# Energy(MeV) Fluence(cm^-2*MeV^-1)
1.000000e+00 3.167407e+09
1.013939e+00 3.140736e+09
1.028073e+00 3.114596e+09
1.042404e+00 3.088485e+09
1.056935e+00 3.062486e+09
1.071668e+00 3.036674e+09
1.086606e+00 3.011281e+09
1.101753e+00 2.985889e+09
1.117111e+00 2.960114e+09
1.132683e+00 2.934921e+09
1.148472e+00 2.909881e+09
1.164481e+00 2.885038e+09
1.180713e+00 2.859790e+09
1.197171e+00 2.834637e+09
1.213859e+00 2.809677e+09
1.230780e+00 2.785826e+09
1.247936e+00 2.762701e+09
1.265332e+00 2.739346e+09
1.282970e+00 2.716075e+09
1.300854e+00 2.692338e+09
1.318987e+00 2.669229e+09
1.337373e+00 2.646501e+09
1.356015e+00 2.623908e+09
1.374917e+00 2.601594e+09
1.394083e+00 2.579579e+09
1.413516e+00 2.558091e+09
1.433219e+00 2.535669e+09
1.453198e+00 2.513809e+09
1.473454e+00 2.491559e+09
1.493993e+00 2.470970e+09
1.514819e+00 2.449580e+09
1.535935e+00 2.427163e+09
1.557345e+00 2.405435e+09
1.579053e+00 2.384761e+09
1.601064e+00 2.364229e+09
1.623382e+00 2.343387e+09
1.646012e+00 2.322441e+09
1.668956e+00 2.302791e+09
1.692220e+00 2.282783e+09
1.715809e+00 2.262457e+09
1.739726e+00 2.242120e+09
1.763977e+00 2.221404e+09
1.788566e+00 2.200990e+09
1.813498e+00 2.181707e+09
1.838777e+00 2.162953e+09
1.864409e+00 2.144071e+09
1.890397e+00 2.125238e+09
1.916748e+00 2.106374e+09
1.943467e+00 2.087054e+09
1.970558e+00 2.067676e+09
1.998026e+00 2.048827e+09
2.025878e+00 2.030314e+09
2.054117e+00 2.012388e+09
2.082751e+00 1.993983e+09
2.111783e+00 1.976056e+09
2.141220e+00 1.957876e+09
2.171068e+00 1.939650e+09
2.201331e+00 1.921633e+09
2.232016e+00 1.903905e+09
2.263130e+00 1.886178e+09
2.294676e+00 1.868416e+09
2.326663e+00 1.851661e+09
2.359095e+00 1.834468e+09
2.391980e+00 1.817394e+09
2.425323e+00 1.800438e+09
2.459130e+00 1.783227e+09
2.493409e+00 1.766096e+09
2.528166e+00 1.749934e+09
2.563407e+00 1.733475e+09
2.599140e+00 1.717137e+09
2.635371e+00 1.700698e+09
2.672106e+00 1.684370e+09
2.709354e+00 1.668578e+09
2.747121e+00 1.652465e+09
2.785414e+00 1.636455e+09
2.824241e+00 1.620942e+09
2.863610e+00 1.604893e+09
2.903527e+00 1.588841e+09
2.944000e+00 1.573409e+09
2.985038e+00 1.557875e+09
3.026648e+00 1.543253e+09
3.068838e+00 1.527805e+09
3.111616e+00 1.512907e+09
3.154990e+00 1.496933e+09
3.198969e+00 1.481371e+09
3.243561e+00 1.466844e+09
3.288774e+00 1.452523e+09
3.334618e+00 1.438358e+09
3.381101e+00 1.424294e+09
3.428231e+00 1.409710e+09
3.476019e+00 1.394905e+09
3.524473e+00 1.380516e+09
3.573602e+00 1.366447e+09
3.623416e+00 1.352716e+09
3.673925e+00 1.339757e+09
3.725137e+00 1.326022e+09
3.777064e+00 1.312541e+09
3.829714e+00 1.298778e+09
3.883098e+00 1.285385e+09
3.937226e+00 1.271646e+09
3.992109e+00 1.258470e+09
4.047757e+00 1.245273e+09
4.104181e+00 1.232055e+09
4.161391e+00 1.218849e+09
4.219398e+00 1.206149e+09
4.278214e+00 1.193128e+09
4.337850e+00 1.180540e+09
4.398317e+00 1.168032e+09
4.459628e+00 1.155404e+09
4.521792e+00 1.142766e+09
4.584824e+00 1.130280e+09
4.648734e+00 1.117885e+09
4.713535e+00 1.105585e+09
4.779239e+00 1.093266e+09
4.845859e+00 1.081014e+09
4.913407e+00 1.068860e+09
4.981898e+00 1.056732e+09
5.051342e+00 1.044936e+09
5.121755e+00 1.033460e+09
5.193150e+00 1.021589e+09
5.265540e+00 1.009713e+09
5.338938e+00 9.979509e+08
5.413360e+00 9.866755e+08
5.488820e+00 9.753468e+08
5.565331e+00 9.641609e+08
5.642908e+00 9.530423e+08
5.721568e+00 9.423787e+08
5.801323e+00 9.316023e+08
5.882190e+00 9.204608e+08
5.964185e+00 9.094609e+08
6.047322e+00 8.986870e+08
6.131619e+00 8.881845e+08
6.217090e+00 8.777590e+08
6.303753e+00 8.673814e+08
6.391624e+00 8.568668e+08
6.480720e+00 8.462117e+08
6.571058e+00 8.360466e+08
6.662655e+00 8.261867e+08
6.755528e+00 8.159061e+08
6.849697e+00 8.058723e+08
6.945178e+00 7.958170e+08
7.041990e+00 7.859800e+08
7.140151e+00 7.760393e+08
7.239681e+00 7.662232e+08
7.340598e+00 7.564934e+08
7.442922e+00 7.467535e+08
7.546673e+00 7.373194e+08
7.651869e+00 7.278202e+08
7.758532e+00 7.183980e+08
7.866682e+00 7.091005e+08
7.976339e+00 6.998325e+08
8.087525e+00 6.906819e+08
8.200261e+00 6.814944e+08
8.314568e+00 6.725364e+08
8.430468e+00 6.635738e+08
8.547985e+00 6.547940e+08
8.667139e+00 6.459869e+08
8.787954e+00 6.372535e+08
8.910453e+00 6.285476e+08
9.034660e+00 6.198895e+08
9.160598e+00 6.112544e+08
9.288292e+00 6.026467e+08
9.417766e+00 5.942160e+08
