# Energy(MeV) Planare_Fluence(cm^-2*MeV^-1)
1.000000e+00 3.730317e+10
1.013939e+00 3.644108e+10
1.028073e+00 3.551819e+10
1.042404e+00 3.463223e+10
1.056935e+00 3.375470e+10
1.071668e+00 3.298865e+10
1.086606e+00 3.229781e+10
1.101753e+00 3.158501e+10
1.117111e+00 3.089169e+10
1.132683e+00 3.022626e+10
1.148472e+00 2.951006e+10
1.164481e+00 2.882176e+10
1.180713e+00 2.812886e+10
1.197171e+00 2.746658e+10
1.213859e+00 2.685187e+10
1.230780e+00 2.623446e+10
1.247936e+00 2.561265e+10
1.265332e+00 2.502655e+10
1.282970e+00 2.442157e+10
1.300854e+00 2.383368e+10
1.318987e+00 2.324875e+10
1.337373e+00 2.267941e+10
1.356015e+00 2.213008e+10
1.374917e+00 2.159626e+10
1.394083e+00 2.107201e+10
1.413516e+00 2.056854e+10
1.433219e+00 2.008076e+10
1.453198e+00 1.960432e+10
1.473454e+00 1.912620e+10
1.493993e+00 1.868026e+10
1.514819e+00 1.824071e+10
1.535935e+00 1.782584e+10
1.557345e+00 1.739986e+10
1.579053e+00 1.699512e+10
1.601064e+00 1.657454e+10
1.623382e+00 1.616300e+10
1.646012e+00 1.576883e+10
1.668956e+00 1.542734e+10
1.692220e+00 1.505270e+10
1.715809e+00 1.471017e+10
1.739726e+00 1.434214e+10
1.763977e+00 1.399061e+10
1.788566e+00 1.363985e+10
1.813498e+00 1.330622e+10
1.838777e+00 1.300214e+10
1.864409e+00 1.269917e+10
1.890397e+00 1.239845e+10
1.916748e+00 1.207345e+10
1.943467e+00 1.178963e+10
1.970558e+00 1.150091e+10
1.998026e+00 1.124075e+10
2.025878e+00 1.099707e+10
2.054117e+00 1.071340e+10
2.082751e+00 1.042172e+10
2.111783e+00 1.015398e+10
2.141220e+00 9.919064e+09
2.171068e+00 9.669599e+09
2.201331e+00 9.444215e+09
2.232016e+00 9.218576e+09
2.263130e+00 8.990438e+09
2.294676e+00 8.774969e+09
2.326663e+00 8.539155e+09
2.359095e+00 8.330379e+09
2.391980e+00 8.129290e+09
2.425323e+00 7.929247e+09
2.459130e+00 7.744753e+09
2.493409e+00 7.566955e+09
2.528166e+00 7.380589e+09
2.563407e+00 7.198704e+09
2.599140e+00 7.026154e+09
2.635371e+00 6.858919e+09
2.672106e+00 6.684109e+09
2.709354e+00 6.517600e+09
2.747121e+00 6.351989e+09
2.785414e+00 6.200663e+09
2.824241e+00 6.057102e+09
2.863610e+00 5.896459e+09
2.903527e+00 5.756724e+09
2.944000e+00 5.622040e+09
2.985038e+00 5.485291e+09
3.026648e+00 5.344493e+09
3.068838e+00 5.212453e+09
3.111616e+00 5.084105e+09
3.154990e+00 4.966638e+09
3.198969e+00 4.856418e+09
3.243561e+00 4.739928e+09
3.288774e+00 4.636181e+09
3.334618e+00 4.512733e+09
3.381101e+00 4.416124e+09
3.428231e+00 4.314034e+09
3.476019e+00 4.219660e+09
3.524473e+00 4.120040e+09
3.573602e+00 4.023507e+09
3.623416e+00 3.923867e+09
3.673925e+00 3.833755e+09
3.725137e+00 3.741447e+09
3.777064e+00 3.649141e+09
3.829714e+00 3.561726e+09
3.883098e+00 3.477893e+09
3.937226e+00 3.394010e+09
3.992109e+00 3.314750e+09
4.047757e+00 3.230029e+09
4.104181e+00 3.156466e+09
4.161391e+00 3.078050e+09
4.219398e+00 3.006142e+09
4.278214e+00 2.937431e+09
4.337850e+00 2.868360e+09
4.398317e+00 2.799250e+09
4.459628e+00 2.735737e+09
4.521792e+00 2.672440e+09
4.584824e+00 2.610007e+09
4.648734e+00 2.554661e+09
