# Energy(MeV) Phi16 Phi84
1.000000e+00 1.828864e+10 4.666373e+11
1.013939e+00 1.821593e+10 4.524153e+11
1.028073e+00 1.814286e+10 4.386254e+11
1.042404e+00 1.804805e+10 4.252677e+11
1.056935e+00 1.797512e+10 4.125430e+11
1.071668e+00 1.789416e+10 4.001314e+11
1.086606e+00 1.782297e+10 3.874942e+11
1.101753e+00 1.772690e+10 3.754690e+11
1.117111e+00 1.765063e+10 3.638350e+11
1.132683e+00 1.757780e+10 3.524338e+11
1.148472e+00 1.745111e+10 3.412667e+11
1.164481e+00 1.737284e+10 3.304436e+11
1.180713e+00 1.729451e+10 3.199630e+11
1.197171e+00 1.719881e+10 3.100835e+11
1.213859e+00 1.711436e+10 3.006174e+11
1.230780e+00 1.704008e+10 2.915050e+11
1.247936e+00 1.696542e+10 2.824388e+11
1.265332e+00 1.688669e+10 2.734501e+11
1.282970e+00 1.680975e+10 2.648167e+11
1.300854e+00 1.670167e+10 2.565920e+11
1.318987e+00 1.662270e+10 2.488402e+11
1.337373e+00 1.654652e+10 2.412460e+11
1.356015e+00 1.646995e+10 2.338985e+11
1.374917e+00 1.638572e+10 2.267323e+11
1.394083e+00 1.627508e+10 2.197738e+11
1.413516e+00 1.618043e+10 2.129790e+11
1.433219e+00 1.606361e+10 2.062009e+11
1.453198e+00 1.598901e+10 1.999768e+11
1.473454e+00 1.590846e+10 1.937841e+11
1.493993e+00 1.583494e+10 1.880737e+11
1.514819e+00 1.574590e+10 1.821767e+11
1.535935e+00 1.562872e+10 1.763624e+11
1.557345e+00 1.554538e+10 1.708708e+11
1.579053e+00 1.546163e+10 1.656500e+11
1.601064e+00 1.535802e+10 1.604069e+11
1.623382e+00 1.526226e+10 1.552530e+11
1.646012e+00 1.517645e+10 1.503717e+11
1.668956e+00 1.508612e+10 1.457067e+11
1.692220e+00 1.499930e+10 1.411529e+11
1.715809e+00 1.491179e+10 1.367267e+11
1.739726e+00 1.482387e+10 1.324915e+11
1.763977e+00 1.471395e+10 1.283822e+11
1.788566e+00 1.462424e+10 1.244436e+11
1.813498e+00 1.453247e+10 1.206406e+11
1.838777e+00 1.444301e+10 1.168800e+11
1.864409e+00 1.435315e+10 1.132359e+11
1.890397e+00 1.425393e+10 1.097049e+11
1.916748e+00 1.416522e+10 1.064155e+11
1.943467e+00 1.407489e+10 1.032720e+11
1.970558e+00 1.395263e+10 1.001999e+11
1.998026e+00 1.386045e+10 9.728364e+10
2.025878e+00 1.376948e+10 9.433015e+10
2.054117e+00 1.368185e+10 9.139448e+10
2.082751e+00 1.358225e+10 8.869494e+10
2.111783e+00 1.347570e+10 8.591775e+10
2.141220e+00 1.333795e+10 8.319670e+10
2.171068e+00 1.323963e+10 8.064498e+10
2.201331e+00 1.312573e+10 7.812104e+10
2.232016e+00 1.303865e+10 7.569785e+10
2.263130e+00 1.295119e+10 7.343028e+10
2.294676e+00 1.284261e+10 7.122654e+10
2.326663e+00 1.274320e+10 6.908827e+10
2.359095e+00 1.263560e+10 6.697764e+10
2.391980e+00 1.253053e+10 6.489587e+10
2.425323e+00 1.243244e+10 6.290758e+10
2.459130e+00 1.233728e+10 6.098627e+10
2.493409e+00 1.223368e+10 5.913578e+10
2.528166e+00 1.214335e+10 5.734510e+10
2.563407e+00 1.203588e+10 5.559785e+10
2.599140e+00 1.193461e+10 5.390164e+10
2.635371e+00 1.179915e+10 5.216249e+10
2.672106e+00 1.168479e+10 5.040909e+10
2.709354e+00 1.159132e+10 4.884227e+10
2.747121e+00 1.146176e+10 4.729764e+10
2.785414e+00 1.135975e+10 4.590966e+10
2.824241e+00 1.124928e+10 4.470168e+10
2.863610e+00 1.112489e+10 4.331967e+10
2.903527e+00 1.100591e+10 4.199685e+10
2.944000e+00 1.088209e+10 4.068625e+10
2.985038e+00 1.076115e+10 3.942939e+10
3.026648e+00 1.064364e+10 3.819923e+10
3.068838e+00 1.054664e+10 3.699109e+10
3.111616e+00 1.044521e+10 3.581107e+10
3.154990e+00 1.034610e+10 3.473875e+10
3.198969e+00 1.020883e+10 3.365567e+10
3.243561e+00 1.010506e+10 3.257171e+10
3.288774e+00 9.988065e+09 3.152781e+10
3.334618e+00 9.887035e+09 3.059112e+10
3.381101e+00 9.794445e+09 2.966093e+10
3.428231e+00 9.666396e+09 2.875365e+10
3.476019e+00 9.562864e+09 2.790482e+10
3.524473e+00 9.434448e+09 2.704889e+10
3.573602e+00 9.318388e+09 2.624512e+10
3.623416e+00 9.199073e+09 2.542469e+10
3.673925e+00 9.102008e+09 2.463320e+10
3.725137e+00 8.994773e+09 2.385980e+10
3.777064e+00 8.863738e+09 2.311443e+10
3.829714e+00 8.719015e+09 2.238401e+10
3.883098e+00 8.606206e+09 2.169519e+10
3.937226e+00 8.496707e+09 2.104700e+10
3.992109e+00 8.410744e+09 2.043903e+10
4.047757e+00 8.327511e+09 1.982307e+10
4.104181e+00 8.213142e+09 1.919030e+10
4.161391e+00 8.090544e+09 1.857897e+10
4.219398e+00 7.952467e+09 1.801919e+10
4.278214e+00 7.840306e+09 1.745785e+10
4.337850e+00 7.744909e+09 1.693933e+10
4.398317e+00 7.601800e+09 1.646750e+10
4.459628e+00 7.493727e+09 1.596313e+10
4.521792e+00 7.383390e+09 1.546646e+10
4.584824e+00 7.281118e+09 1.501519e+10
4.648734e+00 7.161002e+09 1.453954e+10
4.713535e+00 7.024418e+09 1.407266e+10
4.779239e+00 6.898468e+09 1.361601e+10
4.845859e+00 6.773221e+09 1.318415e+10
4.913407e+00 6.661842e+09 1.279367e+10
4.981898e+00 6.554608e+09 1.239915e+10
5.051342e+00 6.440031e+09 1.203961e+10
5.121755e+00 6.328691e+09 1.167613e+10
5.193150e+00 6.233368e+09 1.133246e+10
5.265540e+00 6.135937e+09 1.098261e+10
5.338938e+00 6.031398e+09 1.064044e+10
5.413360e+00 5.904359e+09 1.031893e+10
5.488820e+00 5.782058e+09 1.001582e+10
5.565331e+00 5.678469e+09 9.736143e+09
5.642908e+00 5.571040e+09 9.451070e+09
5.721568e+00 5.459498e+09 9.147573e+09
5.801323e+00 5.360349e+09 8.866965e+09
5.882190e+00 5.238933e+09 8.613466e+09
5.964185e+00 5.137584e+09 8.364814e+09
6.047322e+00 5.037902e+09 8.116785e+09
6.131619e+00 4.934255e+09 7.870667e+09
6.217090e+00 4.825004e+09 7.651508e+09
6.303753e+00 4.723285e+09 7.454488e+09
6.391624e+00 4.618967e+09 7.234589e+09
6.480720e+00 4.516364e+09 7.024298e+09
6.571058e+00 4.417836e+09 6.818705e+09
6.662655e+00 4.312728e+09 6.636229e+09
6.755528e+00 4.224101e+09 6.455707e+09
6.849697e+00 4.132484e+09 6.261535e+09
6.945178e+00 4.034880e+09 6.077343e+09
7.041990e+00 3.948016e+09 5.909161e+09
7.140151e+00 3.857396e+09 5.730950e+09
7.239681e+00 3.756742e+09 5.579008e+09
7.340598e+00 3.667950e+09 5.402190e+09
7.442922e+00 3.581231e+09 5.259166e+09
7.546673e+00 3.491109e+09 5.115477e+09
7.651869e+00 3.410881e+09 4.960228e+09
7.758532e+00 3.328153e+09 4.814788e+09
7.866682e+00 3.238642e+09 4.681498e+09
7.976339e+00 3.153588e+09 4.541335e+09
8.087525e+00 3.074601e+09 4.409566e+09
8.200261e+00 2.994844e+09 4.276669e+09
8.314568e+00 2.923038e+09 4.163891e+09
8.430468e+00 2.847684e+09 4.044094e+09
8.547985e+00 2.771849e+09 3.921578e+09
8.667139e+00 2.694428e+09 3.804984e+09
8.787954e+00 2.622704e+09 3.696150e+09
8.910453e+00 2.546297e+09 3.594285e+09
9.034660e+00 2.479298e+09 3.497173e+09
9.160598e+00 2.407888e+09 3.400751e+09
9.288292e+00 2.339514e+09 3.304434e+09
9.417766e+00 2.273696e+09 3.206520e+09
