# Energy(MeV) Sferica_Fluence(cm^-2*MeV^-1)
1.000000e+00 1.492127e+11
1.013939e+00 1.457643e+11
1.028073e+00 1.420727e+11
1.042404e+00 1.385289e+11
1.056935e+00 1.350188e+11
1.071668e+00 1.319546e+11
1.086606e+00 1.291912e+11
1.101753e+00 1.263401e+11
1.117111e+00 1.235668e+11
1.132683e+00 1.209050e+11
1.148472e+00 1.180402e+11
1.164481e+00 1.152870e+11
1.180713e+00 1.125154e+11
1.197171e+00 1.098663e+11
1.213859e+00 1.074075e+11
1.230780e+00 1.049378e+11
1.247936e+00 1.024506e+11
1.265332e+00 1.001062e+11
1.282970e+00 9.768627e+10
1.300854e+00 9.533471e+10
1.318987e+00 9.299500e+10
1.337373e+00 9.071763e+10
1.356015e+00 8.852031e+10
1.374917e+00 8.638505e+10
1.394083e+00 8.428804e+10
1.413516e+00 8.227415e+10
1.433219e+00 8.032304e+10
1.453198e+00 7.841729e+10
1.473454e+00 7.650479e+10
1.493993e+00 7.472104e+10
1.514819e+00 7.296286e+10
1.535935e+00 7.130336e+10
1.557345e+00 6.959945e+10
1.579053e+00 6.798050e+10
1.601064e+00 6.629817e+10
1.623382e+00 6.465200e+10
1.646012e+00 6.307532e+10
1.668956e+00 6.170934e+10
1.692220e+00 6.021079e+10
1.715809e+00 5.884068e+10
1.739726e+00 5.736856e+10
1.763977e+00 5.596243e+10
1.788566e+00 5.455939e+10
1.813498e+00 5.322489e+10
1.838777e+00 5.200857e+10
1.864409e+00 5.079667e+10
1.890397e+00 4.959379e+10
1.916748e+00 4.829379e+10
1.943467e+00 4.715853e+10
1.970558e+00 4.600365e+10
1.998026e+00 4.496301e+10
2.025878e+00 4.398829e+10
2.054117e+00 4.285358e+10
2.082751e+00 4.168688e+10
2.111783e+00 4.061594e+10
2.141220e+00 3.967625e+10
2.171068e+00 3.867840e+10
2.201331e+00 3.777686e+10
2.232016e+00 3.687430e+10
2.263130e+00 3.596175e+10
2.294676e+00 3.509988e+10
2.326663e+00 3.415662e+10
2.359095e+00 3.332151e+10
2.391980e+00 3.251716e+10
2.425323e+00 3.171699e+10
2.459130e+00 3.097901e+10
2.493409e+00 3.026782e+10
2.528166e+00 2.952235e+10
2.563407e+00 2.879481e+10
2.599140e+00 2.810462e+10
2.635371e+00 2.743567e+10
2.672106e+00 2.673644e+10
2.709354e+00 2.607040e+10
2.747121e+00 2.540796e+10
2.785414e+00 2.480265e+10
2.824241e+00 2.422841e+10
2.863610e+00 2.358584e+10
2.903527e+00 2.302690e+10
2.944000e+00 2.248816e+10
2.985038e+00 2.194116e+10
3.026648e+00 2.137797e+10
3.068838e+00 2.084981e+10
3.111616e+00 2.033642e+10
3.154990e+00 1.986655e+10
3.198969e+00 1.942567e+10
3.243561e+00 1.895971e+10
3.288774e+00 1.854472e+10
3.334618e+00 1.805093e+10
3.381101e+00 1.766450e+10
3.428231e+00 1.725613e+10
3.476019e+00 1.687864e+10
3.524473e+00 1.648016e+10
3.573602e+00 1.609403e+10
3.623416e+00 1.569547e+10
3.673925e+00 1.533502e+10
3.725137e+00 1.496579e+10
3.777064e+00 1.459657e+10
3.829714e+00 1.424691e+10
3.883098e+00 1.391157e+10
3.937226e+00 1.357604e+10
3.992109e+00 1.325900e+10
4.047757e+00 1.292012e+10
4.104181e+00 1.262586e+10
4.161391e+00 1.231220e+10
4.219398e+00 1.202457e+10
4.278214e+00 1.174973e+10
4.337850e+00 1.147344e+10
4.398317e+00 1.119700e+10
4.459628e+00 1.094295e+10
4.521792e+00 1.068976e+10
4.584824e+00 1.044003e+10
4.648734e+00 1.021864e+10
4.713535e+00 9.948938e+09
4.779239e+00 9.726789e+09
4.845859e+00 9.504238e+09
4.913407e+00 9.279996e+09
4.981898e+00 9.067806e+09
5.051342e+00 8.845056e+09
5.121755e+00 8.620853e+09
5.193150e+00 8.398542e+09
5.265540e+00 8.193740e+09
5.338938e+00 7.983298e+09
5.413360e+00 7.786881e+09
5.488820e+00 7.593259e+09
5.565331e+00 7.412335e+09
5.642908e+00 7.224859e+09
5.721568e+00 7.050776e+09
5.801323e+00 6.869811e+09
5.882190e+00 6.694879e+09
5.964185e+00 6.534512e+09
6.047322e+00 6.376082e+09
6.131619e+00 6.216395e+09
6.217090e+00 6.054867e+09
6.303753e+00 5.915513e+09
6.391624e+00 5.779694e+09
6.480720e+00 5.615011e+09
6.571058e+00 5.472715e+09
6.662655e+00 5.325817e+09
6.755528e+00 5.189664e+09
6.849697e+00 5.074785e+09
6.945178e+00 4.945507e+09
7.041990e+00 4.821068e+09
7.140151e+00 4.684714e+09
7.239681e+00 4.564556e+09
7.340598e+00 4.443497e+09
7.442922e+00 4.326717e+09
7.546673e+00 4.214344e+09
7.651869e+00 4.104153e+09
7.758532e+00 3.998026e+09
7.866682e+00 3.886456e+09
7.976339e+00 3.782762e+09
8.087525e+00 3.684506e+09
8.200261e+00 3.590298e+09
8.314568e+00 3.496601e+09
8.430468e+00 3.401272e+09
8.547985e+00 3.305428e+09
8.667139e+00 3.216680e+09
8.787954e+00 3.127925e+09
8.910453e+00 3.037347e+09
9.034660e+00 2.952045e+09
9.160598e+00 2.868947e+09
9.288292e+00 2.787527e+09
9.417766e+00 2.707740e+09
9.549045e+00 2.627956e+09
9.682153e+00 2.553482e+09
9.817117e+00 2.480682e+09
9.953962e+00 2.409550e+09
1.009272e+01 2.339735e+09
1.023340e+01 2.269658e+09
1.037605e+01 2.202711e+09
1.052069e+01 2.134645e+09
1.066734e+01 2.070369e+09
1.081604e+01 2.005788e+09
1.096681e+01 1.944954e+09
1.111968e+01 1.887884e+09
1.127468e+01 1.832086e+09
1.143184e+01 1.776009e+09
1.159120e+01 1.722303e+09
1.175277e+01 1.669920e+09
1.191660e+01 1.617840e+09
1.208271e+01 1.564723e+09
1.225114e+01 1.514933e+09
1.242191e+01 1.467443e+09
1.259506e+01 1.420646e+09
1.277063e+01 1.374066e+09
1.294865e+01 1.330453e+09
1.312915e+01 1.288087e+09
1.331216e+01 1.247100e+09
1.349772e+01 1.206978e+09
1.368587e+01 1.167236e+09
1.387665e+01 1.127892e+09
1.407008e+01 1.091950e+09
1.426621e+01 1.056327e+09
1.446507e+01 1.022226e+09
1.466671e+01 9.883019e+08
1.487115e+01 9.555800e+08
1.507845e+01 9.234903e+08
1.528864e+01 8.912393e+08
1.550175e+01 8.610750e+08
1.571784e+01 8.308599e+08
1.593694e+01 8.026742e+08
1.615909e+01 7.761306e+08
1.638434e+01 7.504194e+08
1.661273e+01 7.242191e+08
1.684430e+01 7.001984e+08
1.707910e+01 6.758430e+08
1.731717e+01 6.531079e+08
1.755856e+01 6.296306e+08
1.780332e+01 6.079911e+08
1.805149e+01 5.871282e+08
1.830312e+01 5.666573e+08
1.855825e+01 5.466220e+08
1.881694e+01 5.267085e+08
1.907924e+01 5.078970e+08
1.934520e+01 4.893746e+08
1.961486e+01 4.717078e+08
1.988828e+01 4.551324e+08
2.016551e+01 4.386660e+08
2.044661e+01 4.232158e+08
2.073162e+01 4.083087e+08
2.102061e+01 3.938491e+08
2.131362e+01 3.799457e+08
2.161073e+01 3.661620e+08
2.191197e+01 3.527288e+08
2.221741e+01 3.397982e+08
2.252711e+01 3.276374e+08
2.284112e+01 3.158897e+08
2.315951e+01 3.044911e+08
2.348235e+01 2.935370e+08
2.380968e+01 2.828241e+08
2.414157e+01 2.725810e+08
2.447809e+01 2.623293e+08
2.481930e+01 2.528907e+08
2.516527e+01 2.439430e+08
2.551606e+01 2.349533e+08
2.587174e+01 2.261510e+08
2.623238e+01 2.178300e+08
2.659804e+01 2.094780e+08
2.696881e+01 2.014492e+08
2.734474e+01 1.940289e+08
2.772591e+01 1.868934e+08
2.811239e+01 1.799178e+08
2.850426e+01 1.732392e+08
2.890160e+01 1.668286e+08
2.930447e+01 1.603871e+08
2.971296e+01 1.543141e+08
3.012714e+01 1.483817e+08
3.054710e+01 1.427386e+08
3.097291e+01 1.372440e+08
3.140465e+01 1.320872e+08
3.184242e+01 1.270849e+08
3.228628e+01 1.222510e+08
3.273634e+01 1.175038e+08
3.319266e+01 1.130228e+08
3.365535e+01 1.087410e+08
3.412449e+01 1.044010e+08
3.460016e+01 1.003116e+08
3.508247e+01 9.648677e+07
3.557150e+01 9.271797e+07
3.606735e+01 8.911261e+07
3.657011e+01 8.577268e+07
3.707988e+01 8.239340e+07
3.759675e+01 7.914609e+07
3.812083e+01 7.614058e+07
3.865221e+01 7.311563e+07
3.919100e+01 7.023657e+07
3.973730e+01 6.750531e+07
4.029122e+01 6.480044e+07
4.085286e+01 6.225826e+07
4.142232e+01 5.977919e+07
4.199973e+01 5.743667e+07
4.258518e+01 5.521187e+07
4.317880e+01 5.303177e+07
4.378069e+01 5.094138e+07
4.439097e+01 4.892728e+07
4.500975e+01 4.695612e+07
4.563716e+01 4.512906e+07
4.627332e+01 4.333292e+07
4.691835e+01 4.159255e+07
4.757236e+01 3.989547e+07
4.823549e+01 3.830431e+07
4.890787e+01 3.676337e+07
4.958962e+01 3.529404e+07
5.028087e+01 3.386540e+07
5.098176e+01 3.245621e+07
5.169242e+01 3.112335e+07
5.241298e+01 2.988382e+07
5.314359e+01 2.869288e+07
5.388438e+01 2.752710e+07
5.463550e+01 2.641252e+07
5.539709e+01 2.536177e+07
5.616930e+01 2.431345e+07
5.695227e+01 2.332790e+07
5.774615e+01 2.239356e+07
5.855110e+01 2.148767e+07
5.936727e+01 2.061960e+07
6.019482e+01 1.979161e+07
6.103390e+01 1.898079e+07
6.188468e+01 1.818441e+07
6.274732e+01 1.745018e+07
6.362198e+01 1.673463e+07
6.450884e+01 1.604528e+07
6.540806e+01 1.538788e+07
6.631981e+01 1.475509e+07
6.724427e+01 1.413922e+07
6.818162e+01 1.356918e+07
6.913204e+01 1.301993e+07
7.009570e+01 1.248600e+07
7.107280e+01 1.197751e+07
7.206351e+01 1.147175e+07
7.306804e+01 1.100222e+07
7.408657e+01 1.055087e+07
7.511929e+01 1.011322e+07
7.616642e+01 9.696164e+06
7.722814e+01 9.292984e+06
7.830465e+01 8.911635e+06
7.939618e+01 8.545910e+06
8.050292e+01 8.187879e+06
8.162509e+01 7.842984e+06
8.276289e+01 7.527566e+06
8.391656e+01 7.217670e+06
8.508632e+01 6.923113e+06
8.627237e+01 6.636278e+06
8.747496e+01 6.357593e+06
8.869432e+01 6.090355e+06
8.993067e+01 5.838778e+06
9.118425e+01 5.592207e+06
9.245531e+01 5.352921e+06
9.374409e+01 5.132638e+06
9.505083e+01 4.919700e+06
9.637579e+01 4.714461e+06
9.771921e+01 4.519918e+06
9.908137e+01 4.332830e+06
1.004625e+02 4.151625e+06
1.018629e+02 3.980461e+06
1.032828e+02 3.813741e+06
1.047225e+02 3.653587e+06
1.061823e+02 3.499562e+06
1.076624e+02 3.353301e+06
1.091632e+02 3.216382e+06
1.106848e+02 3.079762e+06
1.122277e+02 2.952945e+06
1.137921e+02 2.832990e+06
1.153783e+02 2.715762e+06
1.169866e+02 2.604066e+06
1.186174e+02 2.498315e+06
1.202708e+02 2.396112e+06
1.219473e+02 2.295958e+06
1.236472e+02 2.204041e+06
1.253708e+02 2.111245e+06
1.271184e+02 2.024197e+06
1.288904e+02 1.938843e+06
1.306870e+02 1.856046e+06
1.325087e+02 1.779374e+06
1.343558e+02 1.705281e+06
1.362287e+02 1.633667e+06
1.381276e+02 1.568148e+06
1.400531e+02 1.503344e+06
1.420053e+02 1.441101e+06
1.439848e+02 1.381387e+06
1.459919e+02 1.324425e+06
1.480269e+02 1.269283e+06
1.500903e+02 1.216535e+06
1.521825e+02 1.165058e+06
1.543038e+02 1.116520e+06
1.564548e+02 1.069989e+06
1.586357e+02 1.025749e+06
1.608469e+02 9.832121e+05
1.630891e+02 9.424962e+05
1.653624e+02 9.035429e+05
1.676675e+02 8.659680e+05
1.700047e+02 8.291867e+05
1.723745e+02 7.933386e+05
1.747773e+02 7.605127e+05
1.772136e+02 7.287716e+05
1.796838e+02 6.990690e+05
1.821885e+02 6.704463e+05
1.847281e+02 6.425724e+05
1.873032e+02 6.157451e+05
1.899141e+02 5.898055e+05
1.925614e+02 5.652419e+05
1.952456e+02 5.416775e+05
1.979672e+02 5.189213e+05
2.007267e+02 4.970643e+05
