# Energy(MeV) Phi16 Phi84
5.000000e-02 1.662478e+11 2.353950e+11
5.100225e-02 1.629985e+11 2.304068e+11
5.202458e-02 1.597481e+11 2.255626e+11
5.306741e-02 1.565904e+11 2.207447e+11
5.413114e-02 1.535311e+11 2.160663e+11
5.521620e-02 1.505467e+11 2.114869e+11
5.632300e-02 1.476297e+11 2.070043e+11
5.745199e-02 1.447805e+11 2.026670e+11
5.860361e-02 1.419824e+11 1.983215e+11
5.977832e-02 1.392276e+11 1.941173e+11
6.097657e-02 1.365101e+11 1.900020e+11
6.219884e-02 1.338734e+11 1.859681e+11
6.344561e-02 1.312939e+11 1.819708e+11
6.471737e-02 1.288218e+11 1.780421e+11
6.601463e-02 1.263289e+11 1.741981e+11
6.733789e-02 1.239082e+11 1.704327e+11
6.868767e-02 1.214911e+11 1.668917e+11
7.006451e-02 1.190527e+11 1.632549e+11
7.146895e-02 1.167306e+11 1.597551e+11
7.290154e-02 1.143397e+11 1.563157e+11
7.436284e-02 1.119923e+11 1.529311e+11
7.585344e-02 1.097256e+11 1.496195e+11
7.737392e-02 1.075303e+11 1.463703e+11
7.892487e-02 1.054800e+11 1.432688e+11
8.050691e-02 1.034834e+11 1.402120e+11
8.212067e-02 1.014166e+11 1.372776e+11
8.376677e-02 9.934853e+10 1.344035e+11
8.544587e-02 9.736873e+10 1.315771e+11
8.715862e-02 9.551174e+10 1.288100e+11
8.890571e-02 9.371624e+10 1.260968e+11
9.068782e-02 9.196784e+10 1.234122e+11
9.250565e-02 9.020350e+10 1.207473e+11
9.435992e-02 8.848041e+10 1.182016e+11
9.625136e-02 8.678123e+10 1.156730e+11
9.818071e-02 8.505606e+10 1.131670e+11
1.001487e-01 8.339663e+10 1.107476e+11
1.021562e-01 8.187247e+10 1.083556e+11
1.042039e-01 8.026840e+10 1.060301e+11
1.062927e-01 7.873913e+10 1.036575e+11
1.084233e-01 7.715435e+10 1.014634e+11
1.105966e-01 7.566495e+10 9.931891e+10
1.128135e-01 7.408261e+10 9.723911e+10
1.150749e-01 7.260514e+10 9.518868e+10
1.173816e-01 7.111002e+10 9.312814e+10
1.197345e-01 6.969101e+10 9.111672e+10
1.221345e-01 6.832214e+10 8.917783e+10
1.245827e-01 6.693393e+10 8.726641e+10
1.270800e-01 6.560187e+10 8.539492e+10
1.296273e-01 6.432908e+10 8.359094e+10
1.322256e-01 6.299556e+10 8.182120e+10
1.348761e-01 6.170260e+10 8.010850e+10
1.375797e-01 6.050053e+10 7.841830e+10
1.403374e-01 5.931995e+10 7.676758e+10
1.431505e-01 5.811199e+10 7.514024e+10
1.460199e-01 5.693287e+10 7.355812e+10
1.489469e-01 5.580178e+10 7.198828e+10
1.519325e-01 5.471945e+10 7.043410e+10
1.549780e-01 5.366469e+10 6.890277e+10
1.580845e-01 5.268211e+10 6.741305e+10
1.612533e-01 5.160706e+10 6.598193e+10
1.644856e-01 5.057757e+10 6.455639e+10
1.677827e-01 4.955795e+10 6.322326e+10
1.711459e-01 4.856001e+10 6.192810e+10
1.745765e-01 4.759169e+10 6.064171e+10
1.780759e-01 4.661406e+10 5.935917e+10
1.816454e-01 4.566902e+10 5.812019e+10
1.852865e-01 4.474292e+10 5.689466e+10
1.890005e-01 4.384131e+10 5.570799e+10
1.927890e-01 4.298855e+10 5.454509e+10
1.966535e-01 4.214916e+10 5.338888e+10
2.005954e-01 4.132339e+10 5.227814e+10
2.046163e-01 4.052095e+10 5.114074e+10
2.087178e-01 3.972515e+10 5.003846e+10
2.129015e-01 3.892843e+10 4.898385e+10
2.171691e-01 3.810955e+10 4.800481e+10
2.215223e-01 3.735098e+10 4.699646e+10
2.259627e-01 3.661797e+10 4.599883e+10
2.304921e-01 3.587186e+10 4.501673e+10
2.351123e-01 3.515290e+10 4.407461e+10
2.398251e-01 3.448250e+10 4.314698e+10
2.446324e-01 3.382881e+10 4.222947e+10
2.495360e-01 3.315877e+10 4.132877e+10
2.545379e-01 3.247105e+10 4.044216e+10
2.596401e-01 3.183049e+10 3.956468e+10
2.648446e-01 3.117447e+10 3.874556e+10
2.701534e-01 3.056712e+10 3.796038e+10
2.755686e-01 2.993775e+10 3.717223e+10
2.810923e-01 2.933972e+10 3.637502e+10
2.867268e-01 2.876127e+10 3.559271e+10
2.924742e-01 2.819531e+10 3.482758e+10
2.983368e-01 2.764207e+10 3.409192e+10
3.043170e-01 2.707259e+10 3.334563e+10
3.104170e-01 2.654353e+10 3.262320e+10
3.166393e-01 2.600084e+10 3.190716e+10
3.229863e-01 2.547829e+10 3.122858e+10
3.294605e-01 2.498186e+10 3.055356e+10
3.360645e-01 2.449840e+10 2.990440e+10
3.428009e-01 2.400928e+10 2.926022e+10
3.496723e-01 2.353018e+10 2.863900e+10
3.566815e-01 2.305022e+10 2.801644e+10
3.638311e-01 2.257772e+10 2.743788e+10
3.711241e-01 2.212554e+10 2.687511e+10
3.785633e-01 2.165604e+10 2.628781e+10
3.861515e-01 2.122760e+10 2.571446e+10
3.938919e-01 2.081163e+10 2.517753e+10
4.017874e-01 2.040487e+10 2.466199e+10
4.098412e-01 1.999505e+10 2.412880e+10
4.180565e-01 1.960735e+10 2.361468e+10
4.264364e-01 1.921308e+10 2.311685e+10
4.349843e-01 1.882792e+10 2.262964e+10
4.437035e-01 1.844672e+10 2.214301e+10
4.525975e-01 1.805254e+10 2.167593e+10
4.616698e-01 1.768696e+10 2.122570e+10
4.709239e-01 1.732476e+10 2.077001e+10
4.803635e-01 1.698475e+10 2.033054e+10
4.899924e-01 1.664002e+10 1.989782e+10
4.998143e-01 1.628095e+10 1.947281e+10
5.098330e-01 1.594824e+10 1.905927e+10
5.200526e-01 1.563518e+10 1.866758e+10
5.304770e-01 1.530902e+10 1.826442e+10
5.411103e-01 1.500018e+10 1.787793e+10
5.519569e-01 1.467908e+10 1.749574e+10
5.630208e-01 1.438294e+10 1.713719e+10
5.743065e-01 1.407082e+10 1.676324e+10
5.858184e-01 1.378085e+10 1.640724e+10
5.975611e-01 1.350066e+10 1.606303e+10
6.095392e-01 1.321648e+10 1.572404e+10
6.217573e-01 1.293931e+10 1.539537e+10
6.342204e-01 1.266925e+10 1.507272e+10
6.469333e-01 1.240443e+10 1.475773e+10
6.599011e-01 1.216186e+10 1.443617e+10
6.731287e-01 1.188789e+10 1.412759e+10
6.866215e-01 1.165014e+10 1.382598e+10
7.003848e-01 1.139532e+10 1.353229e+10
7.144240e-01 1.115520e+10 1.324368e+10
7.287445e-01 1.091793e+10 1.295994e+10
7.433522e-01 1.069110e+10 1.268679e+10
7.582526e-01 1.046346e+10 1.241454e+10
7.734517e-01 1.025109e+10 1.214860e+10
7.889555e-01 1.003580e+10 1.188826e+10
8.047701e-01 9.831613e+09 1.163418e+10
8.209016e-01 9.620212e+09 1.138521e+10
8.373565e-01 9.417042e+09 1.114357e+10
8.541413e-01 9.230187e+09 1.090561e+10
8.712625e-01 9.029501e+09 1.068473e+10
8.887268e-01 8.830397e+09 1.045869e+10
9.065413e-01 8.650146e+09 1.023725e+10
9.247129e-01 8.464932e+09 1.001930e+10
9.432487e-01 8.277494e+09 9.806098e+09
9.621560e-01 8.099282e+09 9.592926e+09
9.814423e-01 7.920221e+09 9.392665e+09
1.001115e+00 7.754750e+09 9.187315e+09
1.021183e+00 7.583528e+09 8.995571e+09
1.041652e+00 7.419879e+09 8.805802e+09
1.062532e+00 7.259795e+09 8.625317e+09
1.083830e+00 7.102262e+09 8.446894e+09
1.105556e+00 6.943056e+09 8.264042e+09
1.127716e+00 6.790216e+09 8.088935e+09
1.150321e+00 6.640349e+09 7.917937e+09
1.173379e+00 6.492570e+09 7.747599e+09
1.196900e+00 6.347320e+09 7.582546e+09
1.220892e+00 6.210423e+09 7.421799e+09
1.245364e+00 6.077975e+09 7.268803e+09
1.270327e+00 5.944270e+09 7.112291e+09
1.295791e+00 5.812125e+09 6.953792e+09
1.321765e+00 5.681692e+09 6.810042e+09
1.348260e+00 5.554841e+09 6.662500e+09
1.375286e+00 5.434389e+09 6.515496e+09
1.402853e+00 5.316511e+09 6.372846e+09
1.430973e+00 5.196738e+09 6.233777e+09
1.459657e+00 5.082450e+09 6.098171e+09
1.488916e+00 4.965854e+09 5.959887e+09
1.518761e+00 4.853959e+09 5.829946e+09
1.549204e+00 4.747337e+09 5.706763e+09
1.580258e+00 4.643660e+09 5.584688e+09
1.611934e+00 4.541553e+09 5.460499e+09
1.644245e+00 4.441561e+09 5.340059e+09
1.677204e+00 4.340756e+09 5.223518e+09
1.710823e+00 4.242086e+09 5.111415e+09
1.745117e+00 4.149832e+09 4.998217e+09
1.780097e+00 4.054786e+09 4.891242e+09
1.815779e+00 3.961693e+09 4.785388e+09
1.852176e+00 3.870167e+09 4.679027e+09
1.889303e+00 3.779774e+09 4.574773e+09
1.927174e+00 3.693445e+09 4.469324e+09
1.965804e+00 3.608863e+09 4.371587e+09
2.005209e+00 3.525294e+09 4.279048e+09
2.045403e+00 3.445544e+09 4.179347e+09
2.086403e+00 3.366836e+09 4.087045e+09
2.128224e+00 3.288316e+09 3.994923e+09
2.170885e+00 3.211918e+09 3.904119e+09
2.214400e+00 3.137092e+09 3.820968e+09
2.258787e+00 3.063812e+09 3.737738e+09
2.304064e+00 2.993131e+09 3.651936e+09
2.350249e+00 2.923876e+09 3.568724e+09
2.397360e+00 2.855656e+09 3.490101e+09
2.445415e+00 2.788960e+09 3.412330e+09
2.494433e+00 2.721976e+09 3.335171e+09
2.544434e+00 2.657359e+09 3.259111e+09
2.595437e+00 2.593855e+09 3.185754e+09
2.647462e+00 2.532148e+09 3.113469e+09
2.700530e+00 2.473778e+09 3.041006e+09
2.754662e+00 2.415010e+09 2.969750e+09
2.809879e+00 2.357262e+09 2.900225e+09
2.866203e+00 2.302328e+09 2.835104e+09
2.923656e+00 2.247722e+09 2.770489e+09
