# Energy(MeV) Planare_Fluence(cm^-2*MeV^-1)
5.000000e-02 1.984174e+11
5.100225e-02 1.943231e+11
5.202458e-02 1.903651e+11
5.306741e-02 1.864360e+11
5.413114e-02 1.825410e+11
5.521620e-02 1.787982e+11
5.632300e-02 1.751876e+11
5.745199e-02 1.715936e+11
5.860361e-02 1.681391e+11
5.977832e-02 1.647356e+11
6.097657e-02 1.613609e+11
6.219884e-02 1.580831e+11
6.344561e-02 1.548360e+11
6.471737e-02 1.516118e+11
6.601463e-02 1.485390e+11
6.733789e-02 1.455710e+11
6.868767e-02 1.426977e+11
7.006451e-02 1.398264e+11
7.146895e-02 1.370104e+11
7.290154e-02 1.342193e+11
7.436284e-02 1.314809e+11
7.585344e-02 1.287978e+11
7.737392e-02 1.261134e+11
7.892487e-02 1.235356e+11
8.050691e-02 1.209966e+11
8.212067e-02 1.185167e+11
8.376677e-02 1.161071e+11
8.544587e-02 1.137208e+11
8.715862e-02 1.113691e+11
8.890571e-02 1.090953e+11
9.068782e-02 1.068629e+11
9.250565e-02 1.046827e+11
9.435992e-02 1.025184e+11
9.625136e-02 1.004553e+11
9.818071e-02 9.839329e+10
1.001487e-01 9.637756e+10
1.021562e-01 9.441052e+10
1.042039e-01 9.249708e+10
1.062927e-01 9.062397e+10
1.084233e-01 8.873506e+10
1.105966e-01 8.688092e+10
1.128135e-01 8.506281e+10
1.150749e-01 8.328121e+10
1.173816e-01 8.155668e+10
1.197345e-01 7.986787e+10
1.221345e-01 7.822532e+10
1.245827e-01 7.660748e+10
1.270800e-01 7.504266e+10
1.296273e-01 7.351830e+10
1.322256e-01 7.199295e+10
1.348761e-01 7.052643e+10
1.375797e-01 6.908410e+10
1.403374e-01 6.766354e+10
1.431505e-01 6.627200e+10
1.460199e-01 6.491515e+10
1.489469e-01 6.358655e+10
1.519325e-01 6.228495e+10
1.549780e-01 6.099408e+10
1.580845e-01 5.974239e+10
1.612533e-01 5.852019e+10
1.644856e-01 5.733270e+10
1.677827e-01 5.616416e+10
1.711459e-01 5.503219e+10
1.745765e-01 5.390857e+10
1.780759e-01 5.281632e+10
1.816454e-01 5.173541e+10
1.852865e-01 5.068754e+10
1.890005e-01 4.964759e+10
1.927890e-01 4.862067e+10
1.966535e-01 4.764768e+10
2.005954e-01 4.666096e+10
2.046163e-01 4.569664e+10
2.087178e-01 4.474725e+10
2.129015e-01 4.381799e+10
2.171691e-01 4.289343e+10
2.215223e-01 4.201390e+10
2.259627e-01 4.114220e+10
2.304921e-01 4.028172e+10
2.351123e-01 3.945990e+10
2.398251e-01 3.866785e+10
2.446324e-01 3.784022e+10
2.495360e-01 3.707635e+10
2.545379e-01 3.631334e+10
2.596401e-01 3.556291e+10
