# Energy(MeV) Phi16 Phi84
5.000000e-02 6.649911e+11 9.415799e+11
5.100225e-02 6.519939e+11 9.216272e+11
5.202458e-02 6.389925e+11 9.022504e+11
5.306741e-02 6.263615e+11 8.829788e+11
5.413114e-02 6.141244e+11 8.642653e+11
5.521620e-02 6.021870e+11 8.459476e+11
5.632300e-02 5.905188e+11 8.280172e+11
5.745199e-02 5.791220e+11 8.106681e+11
5.860361e-02 5.679296e+11 7.932858e+11
5.977832e-02 5.569104e+11 7.764690e+11
6.097657e-02 5.460403e+11 7.600078e+11
6.219884e-02 5.354937e+11 7.438723e+11
6.344561e-02 5.251754e+11 7.278830e+11
6.471737e-02 5.152874e+11 7.121685e+11
6.601463e-02 5.053157e+11 6.967923e+11
6.733789e-02 4.956329e+11 6.817309e+11
6.868767e-02 4.859646e+11 6.675670e+11
7.006451e-02 4.762107e+11 6.530195e+11
7.146895e-02 4.669223e+11 6.390206e+11
7.290154e-02 4.573588e+11 6.252628e+11
7.436284e-02 4.479691e+11 6.117243e+11
7.585344e-02 4.389023e+11 5.984782e+11
7.737392e-02 4.301211e+11 5.854810e+11
7.892487e-02 4.219199e+11 5.730754e+11
8.050691e-02 4.139336e+11 5.608478e+11
8.212067e-02 4.056665e+11 5.491102e+11
8.376677e-02 3.973941e+11 5.376140e+11
8.544587e-02 3.894749e+11 5.263085e+11
8.715862e-02 3.820470e+11 5.152399e+11
8.890571e-02 3.748650e+11 5.043873e+11
9.068782e-02 3.678714e+11 4.936487e+11
9.250565e-02 3.608140e+11 4.829892e+11
9.435992e-02 3.539217e+11 4.728064e+11
9.625136e-02 3.471249e+11 4.626920e+11
9.818071e-02 3.402243e+11 4.526681e+11
1.001487e-01 3.335865e+11 4.429904e+11
1.021562e-01 3.274899e+11 4.334226e+11
1.042039e-01 3.210736e+11 4.241202e+11
1.062927e-01 3.149565e+11 4.146302e+11
1.084233e-01 3.086174e+11 4.058537e+11
1.105966e-01 3.026598e+11 3.972756e+11
1.128135e-01 2.963305e+11 3.889564e+11
1.150749e-01 2.904206e+11 3.807547e+11
1.173816e-01 2.844401e+11 3.725126e+11
1.197345e-01 2.787641e+11 3.644669e+11
1.221345e-01 2.732886e+11 3.567113e+11
1.245827e-01 2.677357e+11 3.490656e+11
1.270800e-01 2.624075e+11 3.415797e+11
1.296273e-01 2.573163e+11 3.343638e+11
1.322256e-01 2.519822e+11 3.272848e+11
1.348761e-01 2.468104e+11 3.204340e+11
1.375797e-01 2.420021e+11 3.136732e+11
1.403374e-01 2.372798e+11 3.070703e+11
1.431505e-01 2.324480e+11 3.005610e+11
1.460199e-01 2.277315e+11 2.942325e+11
1.489469e-01 2.232071e+11 2.879531e+11
1.519325e-01 2.188778e+11 2.817364e+11
1.549780e-01 2.146588e+11 2.756111e+11
1.580845e-01 2.107284e+11 2.696522e+11
1.612533e-01 2.064283e+11 2.639277e+11
1.644856e-01 2.023103e+11 2.582256e+11
1.677827e-01 1.982318e+11 2.528930e+11
1.711459e-01 1.942400e+11 2.477124e+11
1.745765e-01 1.903668e+11 2.425669e+11
1.780759e-01 1.864563e+11 2.374367e+11
1.816454e-01 1.826761e+11 2.324808e+11
1.852865e-01 1.789717e+11 2.275786e+11
1.890005e-01 1.753652e+11 2.228320e+11
1.927890e-01 1.719542e+11 2.181804e+11
1.966535e-01 1.685966e+11 2.135555e+11
2.005954e-01 1.652935e+11 2.091126e+11
2.046163e-01 1.620838e+11 2.045630e+11
2.087178e-01 1.589006e+11 2.001539e+11
2.129015e-01 1.557137e+11 1.959354e+11
2.171691e-01 1.524382e+11 1.920192e+11
2.215223e-01 1.494039e+11 1.879858e+11
2.259627e-01 1.464719e+11 1.839953e+11
2.304921e-01 1.434874e+11 1.800669e+11
2.351123e-01 1.406116e+11 1.762984e+11
2.398251e-01 1.379300e+11 1.725879e+11
2.446324e-01 1.353152e+11 1.689179e+11
2.495360e-01 1.326351e+11 1.653151e+11
2.545379e-01 1.298842e+11 1.617686e+11
2.596401e-01 1.273219e+11 1.582587e+11
2.648446e-01 1.246979e+11 1.549822e+11
2.701534e-01 1.222685e+11 1.518415e+11
2.755686e-01 1.197510e+11 1.486889e+11
2.810923e-01 1.173589e+11 1.455001e+11
2.867268e-01 1.150451e+11 1.423709e+11
2.924742e-01 1.127813e+11 1.393103e+11
2.983368e-01 1.105683e+11 1.363677e+11
3.043170e-01 1.082904e+11 1.333825e+11
3.104170e-01 1.061741e+11 1.304928e+11
3.166393e-01 1.040034e+11 1.276286e+11
3.229863e-01 1.019132e+11 1.249143e+11
3.294605e-01 9.992746e+10 1.222142e+11
3.360645e-01 9.799358e+10 1.196176e+11
3.428009e-01 9.603711e+10 1.170409e+11
3.496723e-01 9.412071e+10 1.145560e+11
3.566815e-01 9.220088e+10 1.120657e+11
3.638311e-01 9.031089e+10 1.097515e+11
3.711241e-01 8.850215e+10 1.075004e+11
3.785633e-01 8.662417e+10 1.051512e+11
3.861515e-01 8.491040e+10 1.028579e+11
3.938919e-01 8.324651e+10 1.007101e+11
4.017874e-01 8.161950e+10 9.864798e+10
4.098412e-01 7.998020e+10 9.651519e+10
4.180565e-01 7.842940e+10 9.445872e+10
4.264364e-01 7.685230e+10 9.246739e+10
4.349843e-01 7.531168e+10 9.051856e+10
4.437035e-01 7.378689e+10 8.857206e+10
4.525975e-01 7.221017e+10 8.670372e+10
4.616698e-01 7.074782e+10 8.490281e+10
4.709239e-01 6.929904e+10 8.308003e+10
4.803635e-01 6.793901e+10 8.132216e+10
4.899924e-01 6.656009e+10 7.959127e+10
4.998143e-01 6.512381e+10 7.789125e+10
5.098330e-01 6.379294e+10 7.623707e+10
5.200526e-01 6.254072e+10 7.467031e+10
5.304770e-01 6.123607e+10 7.305770e+10
5.411103e-01 6.000072e+10 7.151171e+10
5.519569e-01 5.871634e+10 6.998297e+10
5.630208e-01 5.753177e+10 6.854878e+10
5.743065e-01 5.628326e+10 6.705296e+10
5.858184e-01 5.512341e+10 6.562895e+10
5.975611e-01 5.400263e+10 6.425211e+10
6.095392e-01 5.286593e+10 6.289616e+10
6.217573e-01 5.175724e+10 6.158149e+10
6.342204e-01 5.067700e+10 6.029087e+10
6.469333e-01 4.961773e+10 5.903093e+10
6.599011e-01 4.864745e+10 5.774470e+10
6.731287e-01 4.755155e+10 5.651037e+10
6.866215e-01 4.660054e+10 5.530394e+10
7.003848e-01 4.558130e+10 5.412916e+10
7.144240e-01 4.462081e+10 5.297471e+10
7.287445e-01 4.367171e+10 5.183974e+10
7.433522e-01 4.276442e+10 5.074718e+10
7.582526e-01 4.185384e+10 4.965814e+10
7.734517e-01 4.100438e+10 4.859441e+10
7.889555e-01 4.014321e+10 4.755304e+10
8.047701e-01 3.932645e+10 4.653674e+10
8.209016e-01 3.848085e+10 4.554086e+10
8.373565e-01 3.766817e+10 4.457429e+10
8.541413e-01 3.692075e+10 4.362246e+10
8.712625e-01 3.611800e+10 4.273892e+10
8.887268e-01 3.532159e+10 4.183475e+10
9.065413e-01 3.460058e+10 4.094899e+10
9.247129e-01 3.385973e+10 4.007721e+10
9.432487e-01 3.310997e+10 3.922439e+10
9.621560e-01 3.239713e+10 3.837171e+10
9.814423e-01 3.168088e+10 3.757066e+10
1.001115e+00 3.101900e+10 3.674926e+10
1.021183e+00 3.033411e+10 3.598228e+10
1.041652e+00 2.967952e+10 3.522321e+10
1.062532e+00 2.903918e+10 3.450127e+10
1.083830e+00 2.840905e+10 3.378757e+10
1.105556e+00 2.777222e+10 3.305617e+10
1.127716e+00 2.716087e+10 3.235574e+10
1.150321e+00 2.656140e+10 3.167175e+10
1.173379e+00 2.597028e+10 3.099040e+10
1.196900e+00 2.538928e+10 3.033018e+10
1.220892e+00 2.484169e+10 2.968719e+10
1.245364e+00 2.431190e+10 2.907521e+10
1.270327e+00 2.377708e+10 2.844917e+10
1.295791e+00 2.324850e+10 2.781517e+10
1.321765e+00 2.272677e+10 2.724017e+10
1.348260e+00 2.221936e+10 2.665000e+10
1.375286e+00 2.173756e+10 2.606198e+10
1.402853e+00 2.126605e+10 2.549138e+10
1.430973e+00 2.078695e+10 2.493511e+10
1.459657e+00 2.032980e+10 2.439269e+10
1.488916e+00 1.986342e+10 2.383955e+10
1.518761e+00 1.941584e+10 2.331978e+10
1.549204e+00 1.898935e+10 2.282705e+10
1.580258e+00 1.857464e+10 2.233875e+10
1.611934e+00 1.816621e+10 2.184200e+10
1.644245e+00 1.776624e+10 2.136023e+10
1.677204e+00 1.736302e+10 2.089407e+10
1.710823e+00 1.696834e+10 2.044566e+10
1.745117e+00 1.659933e+10 1.999287e+10
1.780097e+00 1.621914e+10 1.956497e+10
1.815779e+00 1.584677e+10 1.914155e+10
1.852176e+00 1.548067e+10 1.871611e+10
1.889303e+00 1.511910e+10 1.829909e+10
1.927174e+00 1.477378e+10 1.787730e+10
1.965804e+00 1.443545e+10 1.748635e+10
2.005209e+00 1.410118e+10 1.711619e+10
2.045403e+00 1.378218e+10 1.671739e+10
2.086403e+00 1.346734e+10 1.634818e+10
2.128224e+00 1.315326e+10 1.597969e+10
2.170885e+00 1.284767e+10 1.561648e+10
2.214400e+00 1.254837e+10 1.528387e+10
2.258787e+00 1.225525e+10 1.495095e+10
2.304064e+00 1.197253e+10 1.460775e+10
2.350249e+00 1.169550e+10 1.427490e+10
2.397360e+00 1.142262e+10 1.396041e+10
2.445415e+00 1.115584e+10 1.364932e+10
2.494433e+00 1.088790e+10 1.334068e+10
2.544434e+00 1.062943e+10 1.303644e+10
2.595437e+00 1.037542e+10 1.274302e+10
2.647462e+00 1.012859e+10 1.245388e+10
2.700530e+00 9.895112e+09 1.216403e+10
2.754662e+00 9.660038e+09 1.187900e+10
2.809879e+00 9.429048e+09 1.160090e+10
2.866203e+00 9.209313e+09 1.134042e+10
2.923656e+00 8.990887e+09 1.108195e+10
2.982260e+00 8.776091e+09 1.083267e+10
3.042039e+00 8.570897e+09 1.058979e+10
3.103017e+00 8.367654e+09 1.035089e+10
3.165216e+00 8.163210e+09 1.011451e+10
3.228663e+00 7.962603e+09 9.877112e+09
3.293381e+00 7.769213e+09 9.639183e+09
3.359397e+00 7.582468e+09 9.414902e+09
3.426736e+00 7.403208e+09 9.199989e+09
3.495424e+00 7.225131e+09 8.982883e+09
3.565490e+00 7.044827e+09 8.772670e+09
3.636960e+00 6.869825e+09 8.561546e+09
3.709862e+00 6.700965e+09 8.354697e+09
3.784226e+00 6.533506e+09 8.153237e+09
3.860081e+00 6.376265e+09 7.955122e+09
3.937456e+00 6.222537e+09 7.762834e+09
4.016382e+00 6.069397e+09 7.574911e+09
4.096890e+00 5.920532e+09 7.393832e+09
4.179012e+00 5.776030e+09 7.212939e+09
4.262780e+00 5.630564e+09 7.034297e+09
4.348227e+00 5.493493e+09 6.862216e+09
4.435387e+00 5.355461e+09 6.694727e+09
4.524294e+00 5.211684e+09 6.533411e+09
4.614983e+00 5.074971e+09 6.372072e+09
4.707490e+00 4.948094e+09 6.210803e+09
4.801851e+00 4.818412e+09 6.057616e+09
4.898104e+00 4.694525e+09 5.905506e+09
4.996286e+00 4.576778e+09 5.756905e+09
5.096436e+00 4.460863e+09 5.610223e+09
5.198594e+00 4.342785e+09 5.463991e+09
5.302799e+00 4.228796e+09 5.327860e+09
5.409093e+00 4.116427e+09 5.193166e+09
5.517518e+00 4.008720e+09 5.055866e+09
5.628116e+00 3.903781e+09 4.922835e+09
5.740932e+00 3.801715e+09 4.790914e+09
5.856008e+00 3.700996e+09 4.665289e+09
5.973391e+00 3.603967e+09 4.544744e+09
6.093127e+00 3.506112e+09 4.423457e+09
6.215264e+00 3.410376e+09 4.302252e+09
6.339848e+00 3.315918e+09 4.185234e+09
6.466930e+00 3.224763e+09 4.071265e+09
6.596559e+00 3.134791e+09 3.958525e+09
6.728787e+00 3.047217e+09 3.850106e+09
6.863665e+00 2.963847e+09 3.749491e+09
7.001246e+00 2.881107e+09 3.649503e+09
7.141586e+00 2.798260e+09 3.548125e+09
7.284738e+00 2.717843e+09 3.452876e+09
7.430760e+00 2.639868e+09 3.354984e+09
7.579709e+00 2.563768e+09 3.258635e+09
7.731644e+00 2.489873e+09 3.165796e+09
7.886624e+00 2.418651e+09 3.076641e+09
8.044711e+00 2.351037e+09 2.987841e+09
8.205967e+00 2.282194e+09 2.904408e+09
8.370455e+00 2.216202e+09 2.819204e+09
8.538240e+00 2.150072e+09 2.737515e+09
8.709388e+00 2.087663e+09 2.659002e+09
8.883967e+00 2.027014e+09 2.581041e+09
9.062045e+00 1.966277e+09 2.504580e+09
9.243693e+00 1.907616e+09 2.428156e+09
9.428983e+00 1.849383e+09 2.354740e+09
9.617986e+00 1.794433e+09 2.281841e+09
9.810778e+00 1.740498e+09 2.210433e+09
1.000743e+01 1.686092e+09 2.142723e+09
1.020803e+01 1.631800e+09 2.076235e+09
1.041265e+01 1.581582e+09 2.010670e+09
1.062137e+01 1.531661e+09 1.946119e+09
1.083428e+01 1.482132e+09 1.880936e+09
1.105145e+01 1.434300e+09 1.822114e+09
1.127297e+01 1.388009e+09 1.765366e+09
1.149894e+01 1.342681e+09 1.707883e+09
1.172944e+01 1.298753e+09 1.653275e+09
1.196455e+01 1.256670e+09 1.598411e+09
1.220438e+01 1.215898e+09 1.547294e+09
1.244902e+01 1.176018e+09 1.496275e+09
1.269856e+01 1.137185e+09 1.446675e+09
1.295310e+01 1.099812e+09 1.398322e+09
1.321274e+01 1.063167e+09 1.352563e+09
1.347759e+01 1.027673e+09 1.305779e+09
1.374775e+01 9.922016e+08 1.261648e+09
1.402332e+01 9.575336e+08 1.216397e+09
1.430442e+01 9.234039e+08 1.173193e+09
1.459115e+01 8.913355e+08 1.131902e+09
1.488362e+01 8.592996e+08 1.092060e+09
1.518197e+01 8.279710e+08 1.053513e+09
1.548629e+01 7.974361e+08 1.016548e+09
1.579671e+01 7.676888e+08 9.801378e+08
1.611335e+01 7.397919e+08 9.437726e+08
1.643634e+01 7.126196e+08 9.076367e+08
1.676581e+01 6.863717e+08 8.735718e+08
1.710188e+01 6.605783e+08 8.392092e+08
1.744468e+01 6.354541e+08 8.065064e+08
1.779436e+01 6.108347e+08 7.759624e+08
1.815105e+01 5.860497e+08 7.449105e+08
1.851488e+01 5.620823e+08 7.157233e+08
1.888601e+01 5.398632e+08 6.876358e+08
1.926458e+01 5.175913e+08 6.607777e+08
1.965074e+01 4.966387e+08 6.333144e+08
2.004464e+01 4.755627e+08 6.069938e+08
2.044643e+01 4.553833e+08 5.815177e+08
2.085628e+01 4.357627e+08 5.567229e+08
2.127434e+01 4.168681e+08 5.331727e+08
2.170078e+01 3.992121e+08 5.113161e+08
2.213577e+01 3.807789e+08 4.898249e+08
2.257948e+01 3.642337e+08 4.683868e+08
2.303209e+01 3.480618e+08 4.483022e+08
2.349376e+01 3.322986e+08 4.287314e+08
2.396469e+01 3.168400e+08 4.101874e+08
2.444506e+01 3.021305e+08 3.913015e+08
2.493506e+01 2.875785e+08 3.732686e+08
2.543488e+01 2.737512e+08 3.560804e+08
2.594472e+01 2.606428e+08 3.392428e+08
2.646478e+01 2.476461e+08 3.235844e+08
2.699527e+01 2.353621e+08 3.081061e+08
2.753639e+01 2.236435e+08 2.935887e+08
2.808835e+01 2.127660e+08 2.794462e+08
2.865138e+01 2.019460e+08 2.658296e+08
2.922570e+01 1.911029e+08 2.526478e+08
2.981152e+01 1.808952e+08 2.399347e+08
3.040909e+01 1.717421e+08 2.278840e+08
3.101864e+01 1.628074e+08 2.163366e+08
3.164041e+01 1.540604e+08 2.051090e+08
3.227464e+01 1.456384e+08 1.945382e+08
3.292158e+01 1.373520e+08 1.842026e+08
3.358149e+01 1.295854e+08 1.743289e+08
3.425463e+01 1.222180e+08 1.648284e+08
3.494126e+01 1.149753e+08 1.560300e+08
3.564165e+01 1.080214e+08 1.475929e+08
3.635609e+01 1.016873e+08 1.396471e+08
3.708484e+01 9.538810e+07 1.318873e+08
3.782820e+01 8.943762e+07 1.243331e+08
3.858647e+01 8.398891e+07 1.172521e+08
3.935993e+01 7.855735e+07 1.104502e+08
4.014890e+01 7.371817e+07 1.041127e+08
4.095368e+01 6.885684e+07 9.795710e+07
4.177459e+01 6.419093e+07 9.213628e+07
4.261196e+01 5.978140e+07 8.647631e+07
4.346611e+01 5.577916e+07 8.111642e+07
4.433739e+01 5.185633e+07 7.627436e+07
4.522613e+01 4.825334e+07 7.150954e+07
4.613268e+01 4.486060e+07 6.692670e+07
4.705741e+01 4.168823e+07 6.266506e+07
4.800067e+01 3.863668e+07 5.864327e+07
4.896284e+01 3.583941e+07 5.478449e+07
4.994430e+01 3.316396e+07 5.115868e+07
5.094543e+01 3.068965e+07 4.773491e+07
5.196662e+01 2.840868e+07 4.449970e+07
5.300829e+01 2.619095e+07 4.147770e+07
5.407084e+01 2.427324e+07 3.868014e+07
5.515468e+01 2.243385e+07 3.599867e+07
5.626026e+01 2.072584e+07 3.338527e+07
5.738799e+01 1.912371e+07 3.095146e+07
5.853833e+01 1.761769e+07 2.872418e+07
5.971172e+01 1.622519e+07 2.664368e+07
6.090864e+01 1.494377e+07 2.464838e+07
6.212955e+01 1.377066e+07 2.278221e+07
6.337493e+01 1.273232e+07 2.103746e+07
6.464528e+01 1.169983e+07 1.937186e+07
6.594109e+01 1.068635e+07 1.785189e+07
6.726287e+01 9.846803e+06 1.638715e+07
6.861115e+01 9.043361e+06 1.501965e+07
6.998645e+01 8.327911e+06 1.378373e+07
7.138933e+01 7.683048e+06 1.265175e+07
7.282032e+01 7.056035e+06 1.160358e+07
7.428000e+01 6.474323e+06 1.061794e+07
7.576894e+01 5.941781e+06 9.698073e+06
7.728772e+01 5.467361e+06 8.848109e+06
7.883694e+01 5.031174e+06 8.040535e+06
8.041722e+01 4.631838e+06 7.320776e+06
8.202918e+01 4.253532e+06 6.647255e+06
8.367345e+01 3.899977e+06 6.042645e+06
8.535068e+01 3.586894e+06 5.488300e+06
8.706153e+01 3.281309e+06 4.986433e+06
8.880667e+01 3.014044e+06 4.513958e+06
9.058679e+01 2.763635e+06 4.102349e+06
9.240260e+01 2.530180e+06 3.738458e+06
9.425480e+01 2.317843e+06 3.392871e+06
9.614413e+01 2.121948e+06 3.090518e+06
9.807133e+01 1.939889e+06 2.827720e+06
1.000372e+02 1.771436e+06 2.574499e+06
1.020424e+02 1.620415e+06 2.339883e+06
1.040878e+02 1.481369e+06 2.139770e+06
1.061743e+02 1.353765e+06 1.944721e+06
1.083025e+02 1.236881e+06 1.770490e+06
1.104734e+02 1.129483e+06 1.613991e+06
1.126879e+02 1.029628e+06 1.477586e+06
1.149467e+02 9.365749e+05 1.347554e+06
1.172508e+02 8.538806e+05 1.229842e+06
1.196011e+02 7.775314e+05 1.121570e+06
1.219985e+02 7.089770e+05 1.024403e+06
1.244439e+02 6.459867e+05 9.394188e+05
1.269384e+02 5.889839e+05 8.575787e+05
1.294828e+02 5.377103e+05 7.846186e+05
1.320783e+02 4.897193e+05 7.167358e+05
1.347258e+02 4.458690e+05 6.520650e+05
1.374264e+02 4.070652e+05 5.968043e+05
1.401811e+02 3.708467e+05 5.483443e+05
1.429910e+02 3.357988e+05 5.033697e+05
1.458573e+02 3.037850e+05 4.603242e+05
1.487810e+02 2.766364e+05 4.237650e+05
1.517633e+02 2.514268e+05 3.892387e+05
1.548053e+02 2.280499e+05 3.580602e+05
1.579084e+02 2.069217e+05 3.276939e+05
1.610737e+02 1.877372e+05 3.007424e+05
1.643024e+02 1.695107e+05 2.763998e+05
1.675958e+02 1.533261e+05 2.539744e+05
1.709552e+02 1.392065e+05 2.345970e+05
1.743820e+02 1.259541e+05 2.155911e+05
1.778775e+02 1.140893e+05 1.979590e+05
1.814430e+02 1.035844e+05 1.827990e+05
1.850801e+02 9.403896e+04 1.688816e+05
1.887900e+02 8.517973e+04 1.552250e+05
1.925743e+02 7.691482e+04 1.432481e+05
1.964344e+02 6.944872e+04 1.319035e+05
2.003719e+02 6.263898e+04 1.216519e+05
2.043883e+02 5.664779e+04 1.119033e+05
2.084853e+02 5.123950e+04 1.030832e+05
2.126644e+02 4.622430e+04 9.513867e+04
2.169272e+02 4.168801e+04 8.766393e+04
2.212755e+02 3.767738e+04 8.083087e+04
2.257109e+02 3.411486e+04 7.440558e+04
2.302353e+02 3.094751e+04 6.858177e+04
2.348503e+02 2.801511e+04 6.320095e+04
2.395579e+02 2.533630e+04 5.827562e+04
2.443598e+02 2.286861e+04 5.364477e+04
2.492580e+02 2.062536e+04 4.929211e+04
2.542544e+02 1.858696e+04 4.544539e+04
2.593509e+02 1.667075e+04 4.191374e+04
2.645495e+02 1.499018e+04 3.865872e+04
2.698524e+02 1.347908e+04 3.561325e+04
2.752616e+02 1.217711e+04 3.281710e+04
2.807792e+02 1.095370e+04 3.024050e+04
2.864074e+02 9.891114e+03 2.786620e+04
2.921484e+02 8.948715e+03 2.566866e+04
2.980045e+02 8.103729e+03 2.363911e+04
3.039780e+02 7.325786e+03 2.176231e+04
3.100712e+02 6.613617e+03 2.004410e+04
3.162865e+02 5.980440e+03 1.844235e+04
3.226265e+02 5.411682e+03 1.698420e+04
3.290935e+02 4.882329e+03 1.567821e+04
3.356901e+02 4.424434e+03 1.445190e+04
3.424190e+02 4.014678e+03 1.332233e+04
3.492828e+02 3.630114e+03 1.227357e+04
3.562841e+02 3.272164e+03 1.130165e+04
3.634258e+02 2.943647e+03 1.038858e+04
3.707107e+02 2.654018e+03 9.544606e+03
3.781415e+02 2.398323e+03 8.785125e+03
3.857213e+02 2.171752e+03 8.128210e+03
3.934531e+02 1.967352e+03 7.504278e+03
4.013398e+02 1.782190e+03 6.917824e+03
4.093847e+02 1.613307e+03 6.371712e+03
4.175907e+02 1.460795e+03 5.868713e+03
4.259613e+02 1.317350e+03 5.405424e+03
4.344997e+02 1.186809e+03 4.978710e+03
4.432092e+02 1.072116e+03 4.588585e+03
4.520933e+02 9.693967e+02 4.229027e+03
4.611555e+02 8.774659e+02 3.900267e+03
4.703993e+02 7.942808e+02 3.602569e+03
4.798284e+02 7.175006e+02 3.324596e+03
4.894465e+02 6.486508e+02 3.063009e+03
4.992574e+02 5.864122e+02 2.822689e+03
5.092650e+02 5.306489e+02 2.603222e+03
5.194732e+02 4.787967e+02 2.402071e+03
5.298860e+02 4.327965e+02 2.216971e+03
5.405075e+02 3.913325e+02 2.045880e+03
5.513420e+02 3.540364e+02 1.886530e+03
5.623936e+02 3.194318e+02 1.738974e+03
5.736667e+02 2.887459e+02 1.605742e+03
5.851658e+02 2.605518e+02 1.481522e+03
5.968954e+02 2.353498e+02 1.365266e+03
6.088601e+02 2.130910e+02 1.257973e+03
6.210647e+02 1.926084e+02 1.158829e+03
6.335139e+02 1.738701e+02 1.068207e+03
6.462126e+02 1.570114e+02 9.833176e+02
6.591659e+02 1.418477e+02 9.060708e+02
6.723788e+02 1.284988e+02 8.348927e+02
6.858566e+02 1.165657e+02 7.693065e+02
6.996046e+02 1.055783e+02 7.088728e+02
7.136281e+02 9.524421e+01 6.531868e+02
7.279327e+02 8.592177e+01 6.018755e+02
7.425240e+02 7.751193e+01 5.545953e+02
7.574079e+02 7.007740e+01 5.110147e+02
7.725901e+02 6.337646e+01 4.716280e+02
7.880766e+02 5.721906e+01 4.354305e+02
8.038735e+02 5.178364e+01 4.020113e+02
8.199871e+02 4.689354e+01 3.711572e+02
8.364237e+02 4.230897e+01 3.426713e+02
8.531897e+02 3.815924e+01 3.163719e+02
8.702918e+02 3.441652e+01 2.920910e+02
8.877368e+02 3.104090e+01 2.696737e+02
9.055314e+02 2.799636e+01 2.489520e+02
9.236827e+02 2.525044e+01 2.295267e+02
9.421978e+02 2.277384e+01 2.113726e+02
9.610841e+02 2.054496e+01 1.946544e+02
9.803490e+02 1.859146e+01 1.792585e+02
1.000000e+03 1.682479e+01 1.650804e+02
