# Energy(MeV) Sferica_Fluence(cm^-2*MeV^-1)
5.000000e-02 7.936696e+11
5.100225e-02 7.772925e+11
5.202458e-02 7.614604e+11
5.306741e-02 7.457441e+11
5.413114e-02 7.301640e+11
5.521620e-02 7.151930e+11
5.632300e-02 7.007505e+11
5.745199e-02 6.863744e+11
5.860361e-02 6.725565e+11
5.977832e-02 6.589424e+11
6.097657e-02 6.454437e+11
6.219884e-02 6.323326e+11
6.344561e-02 6.193438e+11
6.471737e-02 6.064471e+11
6.601463e-02 5.941559e+11
6.733789e-02 5.822839e+11
6.868767e-02 5.707908e+11
7.006451e-02 5.593058e+11
7.146895e-02 5.480417e+11
7.290154e-02 5.368774e+11
7.436284e-02 5.259238e+11
7.585344e-02 5.151911e+11
7.737392e-02 5.044534e+11
7.892487e-02 4.941423e+11
8.050691e-02 4.839866e+11
8.212067e-02 4.740668e+11
8.376677e-02 4.644283e+11
8.544587e-02 4.548832e+11
8.715862e-02 4.454765e+11
8.890571e-02 4.363813e+11
9.068782e-02 4.274517e+11
9.250565e-02 4.187306e+11
9.435992e-02 4.100737e+11
9.625136e-02 4.018212e+11
9.818071e-02 3.935732e+11
1.001487e-01 3.855102e+11
1.021562e-01 3.776421e+11
1.042039e-01 3.699883e+11
1.062927e-01 3.624959e+11
1.084233e-01 3.549403e+11
1.105966e-01 3.475237e+11
1.128135e-01 3.402512e+11
1.150749e-01 3.331249e+11
1.173816e-01 3.262267e+11
1.197345e-01 3.194715e+11
1.221345e-01 3.129013e+11
1.245827e-01 3.064299e+11
1.270800e-01 3.001706e+11
1.296273e-01 2.940732e+11
1.322256e-01 2.879718e+11
1.348761e-01 2.821057e+11
1.375797e-01 2.763364e+11
1.403374e-01 2.706542e+11
1.431505e-01 2.650880e+11
1.460199e-01 2.596606e+11
1.489469e-01 2.543462e+11
1.519325e-01 2.491398e+11
1.549780e-01 2.439763e+11
1.580845e-01 2.389696e+11
1.612533e-01 2.340808e+11
1.644856e-01 2.293308e+11
1.677827e-01 2.246566e+11
1.711459e-01 2.201287e+11
1.745765e-01 2.156343e+11
1.780759e-01 2.112653e+11
1.816454e-01 2.069416e+11
1.852865e-01 2.027501e+11
1.890005e-01 1.985904e+11
1.927890e-01 1.944827e+11
1.966535e-01 1.905907e+11
2.005954e-01 1.866438e+11
2.046163e-01 1.827865e+11
2.087178e-01 1.789890e+11
2.129015e-01 1.752720e+11
2.171691e-01 1.715737e+11
2.215223e-01 1.680556e+11
2.259627e-01 1.645688e+11
2.304921e-01 1.611269e+11
2.351123e-01 1.578396e+11
2.398251e-01 1.546714e+11
2.446324e-01 1.513609e+11
2.495360e-01 1.483054e+11
2.545379e-01 1.452534e+11
2.596401e-01 1.422516e+11
2.648446e-01 1.393350e+11
2.701534e-01 1.364199e+11
2.755686e-01 1.336088e+11
2.810923e-01 1.308178e+11
2.867268e-01 1.281427e+11
2.924742e-01 1.255405e+11
2.983368e-01 1.229753e+11
3.043170e-01 1.204785e+11
3.104170e-01 1.180364e+11
3.166393e-01 1.156183e+11
3.229863e-01 1.131909e+11
3.294605e-01 1.108573e+11
3.360645e-01 1.085899e+11
3.428009e-01 1.063777e+11
3.496723e-01 1.042417e+11
3.566815e-01 1.021123e+11
3.638311e-01 1.000521e+11
3.711241e-01 9.797036e+10
3.785633e-01 9.589932e+10
3.861515e-01 9.387212e+10
3.938919e-01 9.191441e+10
4.017874e-01 9.000811e+10
4.098412e-01 8.808557e+10
4.180565e-01 8.623677e+10
4.264364e-01 8.440636e+10
4.349843e-01 8.262385e+10
4.437035e-01 8.086536e+10
4.525975e-01 7.915729e+10
4.616698e-01 7.749060e+10
4.709239e-01 7.587846e+10
4.803635e-01 7.430036e+10
4.899924e-01 7.277822e+10
4.998143e-01 7.125642e+10
5.098330e-01 6.973822e+10
5.200526e-01 6.824221e+10
5.304770e-01 6.678390e+10
5.411103e-01 6.538030e+10
5.519569e-01 6.404279e+10
5.630208e-01 6.273631e+10
5.743065e-01 6.142929e+10
5.858184e-01 6.015392e+10
5.975611e-01 5.893170e+10
6.095392e-01 5.768842e+10
6.217573e-01 5.646911e+10
6.342204e-01 5.525688e+10
6.469333e-01 5.406997e+10
6.599011e-01 5.292108e+10
6.731287e-01 5.181856e+10
6.866215e-01 5.072839e+10
7.003848e-01 4.968297e+10
7.144240e-01 4.861920e+10
7.287445e-01 4.761299e+10
7.433522e-01 4.658258e+10
7.582526e-01 4.559898e+10
7.734517e-01 4.461486e+10
7.889555e-01 4.366037e+10
8.047701e-01 4.273799e+10
8.209016e-01 4.183275e+10
8.373565e-01 4.095639e+10
8.541413e-01 4.008397e+10
8.712625e-01 3.924285e+10
8.887268e-01 3.839803e+10
9.065413e-01 3.756523e+10
9.247129e-01 3.677632e+10
9.432487e-01 3.598725e+10
9.621560e-01 3.520526e+10
9.814423e-01 3.445204e+10
1.001115e+00 3.369237e+10
1.021183e+00 3.298135e+10
1.041652e+00 3.226860e+10
1.062532e+00 3.157527e+10
1.083830e+00 3.088964e+10
1.105556e+00 3.021301e+10
1.127716e+00 2.956867e+10
1.150321e+00 2.893928e+10
1.173379e+00 2.832124e+10
1.196900e+00 2.770613e+10
1.220892e+00 2.709904e+10
1.245364e+00 2.651285e+10
1.270327e+00 2.592802e+10
1.295791e+00 2.537016e+10
1.321765e+00 2.482110e+10
1.348260e+00 2.430149e+10
1.375286e+00 2.375507e+10
1.402853e+00 2.322915e+10
1.430973e+00 2.272227e+10
1.459657e+00 2.222822e+10
1.488916e+00 2.174606e+10
1.518761e+00 2.126399e+10
1.549204e+00 2.079165e+10
1.580258e+00 2.034606e+10
1.611934e+00 1.989791e+10
1.644245e+00 1.946251e+10
1.677204e+00 1.904818e+10
1.710823e+00 1.862621e+10
1.745117e+00 1.821876e+10
1.780097e+00 1.781120e+10
1.815779e+00 1.740888e+10
1.852176e+00 1.702437e+10
1.889303e+00 1.663528e+10
1.927174e+00 1.626499e+10
1.965804e+00 1.589670e+10
2.005209e+00 1.553684e+10
2.045403e+00 1.519511e+10
2.086403e+00 1.485380e+10
2.128224e+00 1.451835e+10
2.170885e+00 1.418967e+10
2.214400e+00 1.386253e+10
2.258787e+00 1.355038e+10
2.304064e+00 1.324448e+10
2.350249e+00 1.293965e+10
2.397360e+00 1.264421e+10
2.445415e+00 1.235654e+10
2.494433e+00 1.208145e+10
2.544434e+00 1.180274e+10
2.595437e+00 1.153927e+10
2.647462e+00 1.127779e+10
2.700530e+00 1.102633e+10
2.754662e+00 1.076730e+10
2.809879e+00 1.051855e+10
2.866203e+00 1.026991e+10
2.923656e+00 1.002277e+10
2.982260e+00 9.785095e+09
3.042039e+00 9.555228e+09
3.103017e+00 9.327734e+09
3.165216e+00 9.103819e+09
3.228663e+00 8.887289e+09
3.293381e+00 8.676733e+09
3.359397e+00 8.470872e+09
3.426736e+00 8.269533e+09
3.495424e+00 8.072170e+09
3.565490e+00 7.878854e+09
3.636960e+00 7.690042e+09
3.709862e+00 7.504837e+09
3.784226e+00 7.323460e+09
3.860081e+00 7.144431e+09
3.937456e+00 6.968261e+09
4.016382e+00 6.797429e+09
4.096890e+00 6.632411e+09
4.179012e+00 6.470426e+09
4.262780e+00 6.307482e+09
4.348227e+00 6.150459e+09
4.435387e+00 5.994847e+09
4.524294e+00 5.844123e+09
4.614983e+00 5.695108e+09
4.707490e+00 5.552139e+09
4.801851e+00 5.414108e+09
4.898104e+00 5.275480e+09
4.996286e+00 5.139420e+09
5.096436e+00 5.009480e+09
5.198594e+00 4.884298e+09
5.302799e+00 4.758931e+09
5.409093e+00 4.637135e+09
5.517518e+00 4.516355e+09
5.628116e+00 4.399389e+09
5.740932e+00 4.282948e+09
5.856008e+00 4.168753e+09
5.973391e+00 4.057348e+09
6.093127e+00 3.948673e+09
6.215264e+00 3.840661e+09
6.339848e+00 3.739562e+09
6.466930e+00 3.637492e+09
6.596559e+00 3.536159e+09
6.728787e+00 3.439515e+09
6.863665e+00 3.346956e+09
7.001246e+00 3.253902e+09
7.141586e+00 3.162377e+09
7.284738e+00 3.074884e+09
7.430760e+00 2.988491e+09
7.579709e+00 2.906477e+09
7.731644e+00 2.823317e+09
7.886624e+00 2.741826e+09
8.044711e+00 2.665637e+09
8.205967e+00 2.588105e+09
8.370455e+00 2.512629e+09
8.538240e+00 2.439258e+09
8.709388e+00 2.367744e+09
8.883967e+00 2.298761e+09
9.062045e+00 2.230336e+09
9.243693e+00 2.164278e+09
9.428983e+00 2.099498e+09
9.617986e+00 2.035073e+09
9.810778e+00 1.973091e+09
1.000743e+01 1.912541e+09
1.020803e+01 1.852540e+09
1.041265e+01 1.794871e+09
1.062137e+01 1.737424e+09
1.083428e+01 1.682960e+09
1.105145e+01 1.629399e+09
1.127297e+01 1.578099e+09
1.149894e+01 1.526452e+09
1.172944e+01 1.477490e+09
1.196455e+01 1.429226e+09
1.220438e+01 1.382028e+09
1.244902e+01 1.335990e+09
1.269856e+01 1.291072e+09
1.295310e+01 1.247427e+09
1.321274e+01 1.204288e+09
1.347759e+01 1.162105e+09
1.374775e+01 1.121863e+09
1.402332e+01 1.082788e+09
1.430442e+01 1.043995e+09
1.459115e+01 1.006039e+09
1.488362e+01 9.684876e+08
1.518197e+01 9.340415e+08
1.548629e+01 9.004884e+08
1.579671e+01 8.672992e+08
1.611335e+01 8.350252e+08
1.643634e+01 8.027589e+08
1.676581e+01 7.716788e+08
1.710188e+01 7.416770e+08
1.744468e+01 7.121312e+08
1.779436e+01 6.844449e+08
1.815105e+01 6.570859e+08
1.851488e+01 6.302977e+08
1.888601e+01 6.048894e+08
1.926458e+01 5.805046e+08
1.965074e+01 5.570365e+08
2.004464e+01 5.341861e+08
2.044643e+01 5.116180e+08
2.085628e+01 4.905847e+08
2.127434e+01 4.694858e+08
2.170078e+01 4.495418e+08
2.213577e+01 4.298488e+08
2.257948e+01 4.112438e+08
2.303209e+01 3.934240e+08
2.349376e+01 3.761383e+08
2.396469e+01 3.591171e+08
2.444506e+01 3.428393e+08
2.493506e+01 3.274466e+08
2.543488e+01 3.124878e+08
2.594472e+01 2.981541e+08
2.646478e+01 2.841906e+08
2.699527e+01 2.706315e+08
2.753639e+01 2.575053e+08
2.808835e+01 2.444423e+08
