# Energy(MeV) Phi16 Phi84
5.000000e-02 1.585238e+11 2.267882e+11
5.100225e-02 1.554173e+11 2.220772e+11
5.202458e-02 1.524186e+11 2.174602e+11
5.306741e-02 1.495108e+11 2.129017e+11
5.413114e-02 1.467058e+11 2.084312e+11
5.521620e-02 1.440270e+11 2.040682e+11
5.632300e-02 1.413733e+11 1.997964e+11
5.745199e-02 1.387773e+11 1.955986e+11
5.860361e-02 1.361290e+11 1.914887e+11
5.977832e-02 1.335763e+11 1.874720e+11
6.097657e-02 1.310679e+11 1.835842e+11
6.219884e-02 1.285495e+11 1.797404e+11
6.344561e-02 1.261368e+11 1.759963e+11
6.471737e-02 1.237692e+11 1.723527e+11
6.601463e-02 1.214641e+11 1.687844e+11
6.733789e-02 1.190607e+11 1.653403e+11
6.868767e-02 1.168175e+11 1.620909e+11
7.006451e-02 1.145780e+11 1.587206e+11
7.146895e-02 1.124108e+11 1.553826e+11
7.290154e-02 1.102981e+11 1.520769e+11
7.436284e-02 1.082400e+11 1.488472e+11
7.585344e-02 1.061173e+11 1.457103e+11
7.737392e-02 1.041924e+11 1.425840e+11
7.892487e-02 1.022766e+11 1.395426e+11
8.050691e-02 1.003442e+11 1.365481e+11
8.212067e-02 9.841297e+10 1.336607e+11
8.376677e-02 9.655028e+10 1.308785e+11
8.544587e-02 9.472466e+10 1.281979e+11
8.715862e-02 9.286102e+10 1.255216e+11
8.890571e-02 9.112484e+10 1.229095e+11
9.068782e-02 8.943306e+10 1.203677e+11
9.250565e-02 8.772884e+10 1.178864e+11
9.435992e-02 8.605473e+10 1.154465e+11
9.625136e-02 8.442130e+10 1.130569e+11
9.818071e-02 8.281865e+10 1.107077e+11
1.001487e-01 8.124621e+10 1.083736e+11
1.021562e-01 7.970626e+10 1.060769e+11
1.042039e-01 7.820128e+10 1.038221e+11
1.062927e-01 7.673300e+10 1.016150e+11
1.084233e-01 7.524831e+10 9.950198e+10
1.105966e-01 7.384100e+10 9.742786e+10
1.128135e-01 7.241953e+10 9.537690e+10
1.150749e-01 7.100097e+10 9.333755e+10
1.173816e-01 6.960003e+10 9.138675e+10
1.197345e-01 6.830070e+10 8.945298e+10
1.221345e-01 6.703572e+10 8.756143e+10
1.245827e-01 6.574161e+10 8.570964e+10
1.270800e-01 6.447864e+10 8.396024e+10
1.296273e-01 6.322033e+10 8.224513e+10
1.322256e-01 6.199500e+10 8.053195e+10
1.348761e-01 6.079205e+10 7.883166e+10
1.375797e-01 5.962223e+10 7.717698e+10
1.403374e-01 5.846912e+10 7.554713e+10
1.431505e-01 5.732646e+10 7.394564e+10
1.460199e-01 5.620596e+10 7.243615e+10
1.489469e-01 5.507778e+10 7.089944e+10
1.519325e-01 5.402005e+10 6.942619e+10
1.549780e-01 5.299648e+10 6.796573e+10
1.580845e-01 5.194868e+10 6.651423e+10
1.612533e-01 5.091266e+10 6.509546e+10
1.644856e-01 4.988957e+10 6.374662e+10
1.677827e-01 4.890607e+10 6.239476e+10
1.711459e-01 4.801195e+10 6.112288e+10
1.745765e-01 4.710924e+10 5.987883e+10
1.780759e-01 4.620378e+10 5.863134e+10
1.816454e-01 4.531132e+10 5.742282e+10
1.852865e-01 4.441309e+10 5.629315e+10
1.890005e-01 4.356018e+10 5.509986e+10
1.927890e-01 4.269179e+10 5.394168e+10
1.966535e-01 4.183173e+10 5.285987e+10
2.005954e-01 4.097632e+10 5.180310e+10
2.046163e-01 4.015117e+10 5.072896e+10
2.087178e-01 3.937762e+10 4.970226e+10
2.129015e-01 3.865876e+10 4.868499e+10
2.171691e-01 3.791094e+10 4.766877e+10
2.215223e-01 3.718487e+10 4.668650e+10
2.259627e-01 3.647681e+10 4.569312e+10
2.304921e-01 3.577399e+10 4.476407e+10
2.351123e-01 3.506620e+10 4.383679e+10
2.398251e-01 3.438186e+10 4.289677e+10
2.446324e-01 3.373761e+10 4.201677e+10
2.495360e-01 3.306446e+10 4.114786e+10
2.545379e-01 3.239920e+10 4.029001e+10
2.596401e-01 3.176708e+10 3.945665e+10
2.648446e-01 3.114079e+10 3.862369e+10
2.701534e-01 3.053416e+10 3.783373e+10
2.755686e-01 2.993447e+10 3.706417e+10
2.810923e-01 2.932553e+10 3.628440e+10
2.867268e-01 2.874805e+10 3.554270e+10
