# Energy(MeV) Phi16 Phi84
5.000000e-02 6.340950e+11 9.071529e+11
5.100225e-02 6.216691e+11 8.883089e+11
5.202458e-02 6.096744e+11 8.698407e+11
5.306741e-02 5.980434e+11 8.516067e+11
5.413114e-02 5.868233e+11 8.337247e+11
5.521620e-02 5.761079e+11 8.162726e+11
5.632300e-02 5.654931e+11 7.991857e+11
5.745199e-02 5.551093e+11 7.823943e+11
5.860361e-02 5.445161e+11 7.659548e+11
5.977832e-02 5.343052e+11 7.498879e+11
6.097657e-02 5.242717e+11 7.343369e+11
6.219884e-02 5.141980e+11 7.189615e+11
6.344561e-02 5.045473e+11 7.039850e+11
6.471737e-02 4.950770e+11 6.894110e+11
6.601463e-02 4.858562e+11 6.751376e+11
6.733789e-02 4.762427e+11 6.613611e+11
6.868767e-02 4.672698e+11 6.483637e+11
7.006451e-02 4.583121e+11 6.348824e+11
7.146895e-02 4.496433e+11 6.215302e+11
7.290154e-02 4.411925e+11 6.083077e+11
7.436284e-02 4.329598e+11 5.953889e+11
7.585344e-02 4.244691e+11 5.828412e+11
7.737392e-02 4.167698e+11 5.703359e+11
7.892487e-02 4.091064e+11 5.581703e+11
8.050691e-02 4.013770e+11 5.461923e+11
8.212067e-02 3.936519e+11 5.346429e+11
8.376677e-02 3.862011e+11 5.235141e+11
8.544587e-02 3.788986e+11 5.127916e+11
8.715862e-02 3.714441e+11 5.020866e+11
8.890571e-02 3.644993e+11 4.916380e+11
9.068782e-02 3.577322e+11 4.814709e+11
9.250565e-02 3.509154e+11 4.715458e+11
9.435992e-02 3.442189e+11 4.617861e+11
9.625136e-02 3.376852e+11 4.522274e+11
9.818071e-02 3.312746e+11 4.428307e+11
1.001487e-01 3.249848e+11 4.334945e+11
1.021562e-01 3.188251e+11 4.243074e+11
1.042039e-01 3.128051e+11 4.152884e+11
1.062927e-01 3.069320e+11 4.064601e+11
1.084233e-01 3.009932e+11 3.980079e+11
1.105966e-01 2.953640e+11 3.897115e+11
1.128135e-01 2.896781e+11 3.815076e+11
1.150749e-01 2.840039e+11 3.733502e+11
1.173816e-01 2.784001e+11 3.655470e+11
1.197345e-01 2.732028e+11 3.578119e+11
1.221345e-01 2.681429e+11 3.502457e+11
1.245827e-01 2.629664e+11 3.428386e+11
1.270800e-01 2.579146e+11 3.358410e+11
