# Energy(MeV) Sferica_Fluence(cm^-2*MeV^-1)
5.000000e-02 7.615988e+11
5.100225e-02 7.461370e+11
5.202458e-02 7.314303e+11
5.306741e-02 7.170345e+11
5.413114e-02 7.028084e+11
5.521620e-02 6.887865e+11
5.632300e-02 6.751955e+11
5.745199e-02 6.621175e+11
5.860361e-02 6.486326e+11
5.977832e-02 6.358398e+11
6.097657e-02 6.232330e+11
6.219884e-02 6.109343e+11
6.344561e-02 5.989094e+11
6.471737e-02 5.869717e+11
6.601463e-02 5.751034e+11
6.733789e-02 5.632701e+11
6.868767e-02 5.519767e+11
7.006451e-02 5.412175e+11
7.146895e-02 5.305824e+11
7.290154e-02 5.201263e+11
7.436284e-02 5.097475e+11
7.585344e-02 4.995482e+11
7.737392e-02 4.896347e+11
7.892487e-02 4.797209e+11
8.050691e-02 4.701031e+11
8.212067e-02 4.606835e+11
8.376677e-02 4.514468e+11
8.544587e-02 4.424074e+11
8.715862e-02 4.335902e+11
8.890571e-02 4.247655e+11
9.068782e-02 4.163375e+11
9.250565e-02 4.078820e+11
9.435992e-02 3.998124e+11
9.625136e-02 3.917456e+11
9.818071e-02 3.841118e+11
1.001487e-01 3.763716e+11
1.021562e-01 3.687265e+11
1.042039e-01 3.614095e+11
1.062927e-01 3.541996e+11
1.084233e-01 3.471007e+11
1.105966e-01 3.401719e+11
1.128135e-01 3.332841e+11
1.150749e-01 3.265759e+11
1.173816e-01 3.199525e+11
1.197345e-01 3.134174e+11
1.221345e-01 3.071784e+11
1.245827e-01 3.009464e+11
1.270800e-01 2.948788e+11
1.296273e-01 2.888596e+11
1.322256e-01 2.829810e+11
1.348761e-01 2.773291e+11
1.375797e-01 2.717214e+11
1.403374e-01 2.662360e+11
1.431505e-01 2.609604e+11
1.460199e-01 2.557254e+11
1.489469e-01 2.506611e+11
1.519325e-01 2.456595e+11
1.549780e-01 2.407221e+11
1.580845e-01 2.358831e+11
1.612533e-01 2.311404e+11
1.644856e-01 2.264959e+11
1.677827e-01 2.219219e+11
1.711459e-01 2.174693e+11
1.745765e-01 2.130647e+11
1.780759e-01 2.087944e+11
1.816454e-01 2.046323e+11
1.852865e-01 2.005103e+11
1.890005e-01 1.964262e+11
1.927890e-01 1.925603e+11
1.966535e-01 1.886914e+11
2.005954e-01 1.848947e+11
2.046163e-01 1.811618e+11
2.087178e-01 1.774736e+11
2.129015e-01 1.739326e+11
2.171691e-01 1.704180e+11
2.215223e-01 1.669887e+11
2.259627e-01 1.636680e+11
2.304921e-01 1.603518e+11
2.351123e-01 1.571749e+11
2.398251e-01 1.540626e+11
2.446324e-01 1.509792e+11
2.495360e-01 1.479066e+11
2.545379e-01 1.448024e+11
2.596401e-01 1.419269e+11
2.648446e-01 1.390524e+11
