Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	1.0575e+05
1.5000e-03	0.0000e+00	1.0577e+05
2.0000e-03	0.0000e+00	1.0579e+05
2.5000e-03	0.0000e+00	1.0580e+05
3.0000e-03	0.0000e+00	1.0581e+05
3.5000e-03	0.0000e+00	1.0582e+05
4.0000e-03	0.0000e+00	1.0583e+05
4.5000e-03	0.0000e+00	1.0583e+05
5.0000e-03	0.0000e+00	1.0584e+05
5.5000e-03	0.0000e+00	1.0584e+05
6.0000e-03	0.0000e+00	1.0585e+05
6.5000e-03	0.0000e+00	1.0585e+05
7.0000e-03	0.0000e+00	1.0586e+05
7.5000e-03	0.0000e+00	1.0586e+05
8.0000e-03	0.0000e+00	1.0586e+05
8.5000e-03	0.0000e+00	1.0587e+05
9.0000e-03	0.0000e+00	1.0587e+05
9.5000e-03	0.0000e+00	1.0587e+05
1.0000e-02	0.0000e+00	1.0588e+05
1.5000e-02	0.0000e+00	1.0590e+05
2.0000e-02	0.0000e+00	1.0592e+05
2.5000e-02	0.0000e+00	1.0593e+05
3.0000e-02	0.0000e+00	1.0594e+05
3.5000e-02	0.0000e+00	1.0595e+05
4.0000e-02	0.0000e+00	1.0599e+05
4.5000e-02	0.0000e+00	1.0602e+05
5.0000e-02	1.6033e+11	1.0605e+05
5.1002e-02	1.5731e+11	1.0606e+05
5.2025e-02	1.5435e+11	1.0606e+05
5.3067e-02	1.5145e+11	1.0607e+05
5.4131e-02	1.4854e+11	1.0607e+05
5.5216e-02	1.4575e+11	1.0608e+05
5.6323e-02	1.4293e+11	1.0608e+05
5.7452e-02	1.4023e+11	1.0609e+05
5.8604e-02	1.3756e+11	1.0609e+05
5.9778e-02	1.3488e+11	1.0610e+05
6.0977e-02	1.3232e+11	1.0610e+05
6.2199e-02	1.2978e+11	1.0611e+05
6.3446e-02	1.2725e+11	1.0612e+05
6.4717e-02	1.2474e+11	1.0612e+05
6.6015e-02	1.2227e+11	1.0613e+05
6.7338e-02	1.2004e+11	1.0613e+05
6.8688e-02	1.1775e+11	1.0614e+05
7.0065e-02	1.1549e+11	1.0614e+05
7.1469e-02	1.1318e+11	1.0615e+05
