Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	1.2236e+05
1.5000e-03	0.0000e+00	1.2239e+05
2.0000e-03	0.0000e+00	1.2241e+05
2.5000e-03	0.0000e+00	1.2242e+05
3.0000e-03	0.0000e+00	1.2243e+05
3.5000e-03	0.0000e+00	1.2244e+05
4.0000e-03	0.0000e+00	1.2245e+05
4.5000e-03	0.0000e+00	1.2246e+05
5.0000e-03	0.0000e+00	1.2247e+05
5.5000e-03	0.0000e+00	1.2247e+05
6.0000e-03	0.0000e+00	1.2248e+05
6.5000e-03	0.0000e+00	1.2248e+05
7.0000e-03	0.0000e+00	1.2249e+05
7.5000e-03	0.0000e+00	1.2249e+05
8.0000e-03	0.0000e+00	1.2250e+05
8.5000e-03	0.0000e+00	1.2250e+05
9.0000e-03	0.0000e+00	1.2250e+05
9.5000e-03	0.0000e+00	1.2251e+05
1.0000e-02	0.0000e+00	1.2251e+05
1.5000e-02	0.0000e+00	1.2254e+05
2.0000e-02	0.0000e+00	1.2256e+05
2.5000e-02	0.0000e+00	1.2257e+05
3.0000e-02	0.0000e+00	1.2258e+05
3.5000e-02	0.0000e+00	1.2260e+05
4.0000e-02	0.0000e+00	1.2264e+05
4.5000e-02	0.0000e+00	1.2268e+05
5.0000e-02	1.9231e+11	1.2271e+05
5.1002e-02	1.8840e+11	1.2272e+05
5.2025e-02	1.8464e+11	1.2272e+05
5.3067e-02	1.8096e+11	1.2273e+05
5.4131e-02	1.7736e+11	1.2274e+05
5.5216e-02	1.7377e+11	1.2274e+05
5.6323e-02	1.7027e+11	1.2275e+05
5.7452e-02	1.6689e+11	1.2275e+05
5.8604e-02	1.6355e+11	1.2276e+05
5.9778e-02	1.6022e+11	1.2277e+05
6.0977e-02	1.5694e+11	1.2277e+05
6.2199e-02	1.5375e+11	1.2278e+05
6.3446e-02	1.5067e+11	1.2279e+05
6.4717e-02	1.4760e+11	1.2279e+05
6.6015e-02	1.4463e+11	1.2280e+05
6.7338e-02	1.4175e+11	1.2281e+05
6.8688e-02	1.3890e+11	1.2281e+05
7.0065e-02	1.3611e+11	1.2282e+05
7.1469e-02	1.3339e+11	1.2282e+05
7.2902e-02	1.3068e+11	1.2283e+05
7.4363e-02	1.2805e+11	1.2284e+05
7.5853e-02	1.2547e+11	1.2284e+05
7.7374e-02	1.2295e+11	1.2285e+05
7.8925e-02	1.2049e+11	1.2286e+05
8.0507e-02	1.1804e+11	1.2286e+05
8.2121e-02	1.1572e+11	1.2287e+05
8.3767e-02	1.1344e+11	1.2287e+05
8.5446e-02	1.1114e+11	1.2288e+05
8.7159e-02	1.0883e+11	1.2289e+05
8.8906e-02	1.0662e+11	1.2289e+05
9.0688e-02	1.0451e+11	1.2290e+05
9.2506e-02	1.0233e+11	1.2292e+05
9.4360e-02	1.0030e+11	1.2293e+05
9.6251e-02	9.8288e+10	1.2294e+05
9.8181e-02	9.6277e+10	1.2295e+05
1.0015e-01	9.4319e+10	1.2297e+05
1.0216e-01	9.2400e+10	1.2298e+05
1.0420e-01	9.0556e+10	1.2299e+05
1.0629e-01	8.8739e+10	1.2300e+05
1.0842e-01	8.6942e+10	1.2302e+05
1.1060e-01	8.5191e+10	1.2303e+05
1.1281e-01	8.3463e+10	1.2304e+05
1.1507e-01	8.1740e+10	1.2305e+05
1.1738e-01	8.0053e+10	1.2307e+05
1.1973e-01	7.8427e+10	1.2308e+05
1.2213e-01	7.6821e+10	1.2309e+05
1.2458e-01	7.5249e+10	1.2311e+05
1.2708e-01	7.3708e+10	1.2312e+05
1.2963e-01	7.2224e+10	1.2313e+05
1.3223e-01	7.0781e+10	1.2314e+05
1.3488e-01	6.9329e+10	1.2316e+05
1.3758e-01	6.7899e+10	1.2317e+05
1.4034e-01	6.6544e+10	1.2318e+05
1.4315e-01	6.5182e+10	1.2319e+05
1.4602e-01	6.3880e+10	1.2321e+05
1.4895e-01	6.2590e+10	1.2323e+05
1.5193e-01	6.1314e+10	1.2325e+05
1.5498e-01	6.0063e+10	1.2327e+05
1.5808e-01	5.8843e+10	1.2328e+05
1.6125e-01	5.7657e+10	1.2330e+05
1.6449e-01	5.6481e+10	1.2332e+05
1.6778e-01	5.5336e+10	1.2334e+05
1.7115e-01	5.4215e+10	1.2336e+05
1.7458e-01	5.3111e+10	1.2338e+05
1.7808e-01	5.2035e+10	1.2340e+05
1.8165e-01	5.0989e+10	1.2341e+05
1.8529e-01	4.9949e+10	1.2343e+05
1.8900e-01	4.8948e+10	1.2345e+05
1.9279e-01	4.7973e+10	1.2347e+05
1.9665e-01	4.6991e+10	1.2349e+05
2.0060e-01	4.6039e+10	1.2351e+05
2.0462e-01	4.5106e+10	1.2353e+05
2.0872e-01	4.4199e+10	1.2356e+05
2.1290e-01	4.3270e+10	1.2358e+05
2.1717e-01	4.2407e+10	1.2361e+05
2.2152e-01	4.1550e+10	1.2363e+05
2.2596e-01	4.0716e+10	1.2366e+05
2.3049e-01	3.9875e+10	1.2368e+05
2.3511e-01	3.9070e+10	1.2371e+05
2.3983e-01	3.8302e+10	1.2373e+05
2.4463e-01	3.7517e+10	1.2376e+05
2.4954e-01	3.6761e+10	1.2378e+05
2.5454e-01	3.5980e+10	1.2381e+05
2.5964e-01	3.5256e+10	1.2384e+05
2.6484e-01	3.4520e+10	1.2387e+05
2.7015e-01	3.3807e+10	1.2390e+05
2.7557e-01	3.3123e+10	1.2393e+05
2.8109e-01	3.2444e+10	1.2396e+05
2.8673e-01	3.1797e+10	1.2399e+05
2.9247e-01	3.1181e+10	1.2402e+05
2.9834e-01	3.0547e+10	1.2405e+05
3.0432e-01	2.9922e+10	1.2409e+05
3.1042e-01	2.9329e+10	1.2412e+05
3.1664e-01	2.8739e+10	1.2415e+05
3.2299e-01	2.8166e+10	1.2419e+05
3.2946e-01	2.7592e+10	1.2423e+05
3.3606e-01	2.7026e+10	1.2426e+05
3.4280e-01	2.6469e+10	1.2430e+05
3.4967e-01	2.5928e+10	1.2434e+05
3.5668e-01	2.5403e+10	1.2438e+05
3.6383e-01	2.4872e+10	1.2441e+05
3.7112e-01	2.4359e+10	1.2445e+05
3.7856e-01	2.3865e+10	1.2450e+05
3.8615e-01	2.3360e+10	1.2454e+05
3.9389e-01	2.2903e+10	1.2458e+05
4.0179e-01	2.2423e+10	1.2463e+05
4.0984e-01	2.1953e+10	1.2467e+05
4.1806e-01	2.1503e+10	1.2471e+05
4.2644e-01	2.1058e+10	1.2476e+05
4.3498e-01	2.0625e+10	1.2481e+05
4.4370e-01	2.0200e+10	1.2486e+05
4.5260e-01	1.9784e+10	1.2491e+05
4.6167e-01	1.9356e+10	1.2496e+05
4.7092e-01	1.8956e+10	1.2500e+05
4.8036e-01	1.8577e+10	1.2506e+05
4.8999e-01	1.8185e+10	1.2511e+05
4.9981e-01	1.7812e+10	1.2516e+05
5.0983e-01	1.7430e+10	1.2522e+05
5.2005e-01	1.7066e+10	1.2527e+05
5.3048e-01	1.6724e+10	1.2533e+05
5.4111e-01	1.6374e+10	1.2539e+05
5.5196e-01	1.6035e+10	1.2544e+05
5.6302e-01	1.5707e+10	1.2550e+05
5.7431e-01	1.5382e+10	1.2556e+05
5.8582e-01	1.5060e+10	1.2562e+05
5.9756e-01	1.4745e+10	1.2569e+05
6.0954e-01	1.4447e+10	1.2575e+05
6.2176e-01	1.4149e+10	1.2581e+05
6.3422e-01	1.3852e+10	1.2588e+05
6.4693e-01	1.3564e+10	1.2594e+05
6.5990e-01	1.3278e+10	1.2601e+05
6.7313e-01	1.3002e+10	1.2608e+05
6.8662e-01	1.2735e+10	1.2615e+05
7.0038e-01	1.2473e+10	1.2622e+05
7.1442e-01	1.2207e+10	1.2629e+05
7.2874e-01	1.1959e+10	1.2637e+05
7.4335e-01	1.1701e+10	1.2644e+05
7.5825e-01	1.1460e+10	1.2652e+05
7.7345e-01	1.1227e+10	1.2660e+05
7.8896e-01	1.0989e+10	1.2668e+05
8.0477e-01	1.0753e+10	1.2677e+05
8.2090e-01	1.0524e+10	1.2686e+05
8.3736e-01	1.0300e+10	1.2695e+05
8.5414e-01	1.0078e+10	1.2704e+05
8.7126e-01	9.8640e+09	1.2713e+05
8.8873e-01	9.6544e+09	1.2723e+05
9.0654e-01	9.4508e+09	1.2732e+05
9.2471e-01	9.2528e+09	1.2742e+05
9.4325e-01	9.0580e+09	1.2752e+05
9.6216e-01	8.8664e+09	1.2763e+05
9.8144e-01	8.6731e+09	1.2773e+05
1.0011e+00	8.4913e+09	1.2784e+05
1.0212e+00	8.3139e+09	1.2795e+05
1.0417e+00	8.1332e+09	1.2806e+05
1.0625e+00	7.9643e+09	1.2818e+05
1.0838e+00	7.7955e+09	1.2830e+05
1.1056e+00	7.6300e+09	1.2842e+05
1.1277e+00	7.4669e+09	1.2854e+05
1.1503e+00	7.3105e+09	1.2866e+05
1.1734e+00	7.1541e+09	1.2879e+05
1.1969e+00	7.0014e+09	1.2892e+05
1.2209e+00	6.8463e+09	1.2905e+05
1.2454e+00	6.6969e+09	1.2918e+05
1.2703e+00	6.5511e+09	1.2932e+05
1.2958e+00	6.4142e+09	1.2946e+05
1.3218e+00	6.2770e+09	1.2960e+05
1.3483e+00	6.1438e+09	1.2975e+05
1.3753e+00	6.0099e+09	1.2990e+05
1.4029e+00	5.8810e+09	1.3005e+05
1.4310e+00	5.7525e+09	1.3020e+05
1.4597e+00	5.6270e+09	1.3036e+05
1.4889e+00	5.5029e+09	1.3052e+05
1.5188e+00	5.3853e+09	1.3069e+05
1.5492e+00	5.2691e+09	1.3085e+05
1.5803e+00	5.1524e+09	1.3102e+05
1.6119e+00	5.0399e+09	1.3120e+05
1.6442e+00	4.9313e+09	1.3138e+05
1.6772e+00	4.8231e+09	1.3156e+05
1.7108e+00	4.7151e+09	1.3174e+05
1.7451e+00	4.6124e+09	1.3193e+05
1.7801e+00	4.5119e+09	1.3212e+05
1.8158e+00	4.4129e+09	1.3232e+05
1.8522e+00	4.3153e+09	1.3252e+05
1.8893e+00	4.2214e+09	1.3272e+05
1.9272e+00	4.1282e+09	1.3293e+05
1.9658e+00	4.0376e+09	1.3314e+05
2.0052e+00	3.9475e+09	1.3336e+05
2.0454e+00	3.8581e+09	1.3358e+05
2.0864e+00	3.7708e+09	1.3380e+05
2.1282e+00	3.6859e+09	1.3403e+05
2.1709e+00	3.6027e+09	1.3427e+05
2.2144e+00	3.5203e+09	1.3451e+05
2.2588e+00	3.4418e+09	1.3475e+05
2.3041e+00	3.3632e+09	1.3500e+05
2.3502e+00	3.2871e+09	1.3525e+05
2.3974e+00	3.2133e+09	1.3551e+05
2.4454e+00	3.1407e+09	1.3577e+05
2.4944e+00	3.0693e+09	1.3604e+05
2.5444e+00	2.9994e+09	1.3631e+05
2.5954e+00	2.9309e+09	1.3609e+05
2.6475e+00	2.8640e+09	1.3623e+05
2.7005e+00	2.7981e+09	1.3651e+05
2.7547e+00	2.7338e+09	1.3680e+05
2.8099e+00	2.6708e+09	1.3711e+05
2.8662e+00	2.6089e+09	1.3741e+05
2.9237e+00	2.5483e+09	1.3773e+05
2.9823e+00	2.4888e+09	1.3805e+05
3.0420e+00	2.4313e+09	1.3838e+05
3.1030e+00	2.3749e+09	1.3871e+05
3.1652e+00	2.3190e+09	1.3905e+05
3.2287e+00	2.2641e+09	1.3939e+05
3.2934e+00	2.2104e+09	1.3975e+05
3.3594e+00	2.1574e+09	1.4011e+05
3.4267e+00	2.1062e+09	1.4047e+05
3.4954e+00	2.0566e+09	1.4085e+05
3.5655e+00	2.0062e+09	1.4123e+05
3.6370e+00	1.9584e+09	1.4162e+05
3.7099e+00	1.9111e+09	1.4202e+05
3.7842e+00	1.8651e+09	1.4242e+05
3.8601e+00	1.8192e+09	1.4283e+05
3.9375e+00	1.7742e+09	1.4325e+05
4.0164e+00	1.7308e+09	1.4368e+05
4.0969e+00	1.6883e+09	1.4412e+05
4.1790e+00	1.6471e+09	1.4457e+05
4.2628e+00	1.6067e+09	1.4502e+05
4.3482e+00	1.5667e+09	1.4548e+05
4.4354e+00	1.5272e+09	1.4596e+05
4.5243e+00	1.4882e+09	1.4644e+05
4.6150e+00	1.4509e+09	1.4693e+05
4.7075e+00	1.4136e+09	1.4743e+05
4.8019e+00	1.3775e+09	1.4794e+05
4.8981e+00	1.3427e+09	1.4846e+05
4.9963e+00	1.3080e+09	1.4899e+05
5.0964e+00	1.2743e+09	1.4953e+05
5.1986e+00	1.2414e+09	1.5007e+05
5.3028e+00	1.2089e+09	1.5057e+05
5.4091e+00	1.1766e+09	1.5112e+05
5.5175e+00	1.1453e+09	1.5169e+05
5.6281e+00	1.1150e+09	1.5228e+05
5.7409e+00	1.0861e+09	1.5288e+05
5.8560e+00	1.0574e+09	1.5349e+05
5.9734e+00	1.0283e+09	1.5411e+05
6.0931e+00	1.0003e+09	1.5475e+05
6.2153e+00	9.7331e+08	1.5539e+05
6.3398e+00	9.4709e+08	1.5605e+05
6.4669e+00	9.2146e+08	1.5671e+05
6.5966e+00	8.9603e+08	1.5739e+05
6.7288e+00	8.7187e+08	1.5808e+05
6.8637e+00	8.4781e+08	1.5879e+05
7.0012e+00	8.2398e+08	1.5950e+05
7.1416e+00	8.0066e+08	1.6023e+05
7.2847e+00	7.7789e+08	1.6097e+05
7.4308e+00	7.5529e+08	1.6173e+05
7.5797e+00	7.3372e+08	1.6249e+05
7.7316e+00	7.1266e+08	1.6327e+05
7.8866e+00	6.9230e+08	1.6407e+05
8.0447e+00	6.7255e+08	1.6487e+05
8.2060e+00	6.5260e+08	1.6569e+05
8.3705e+00	6.3336e+08	1.6652e+05
8.5382e+00	6.1466e+08	1.6737e+05
8.7094e+00	5.9670e+08	1.6823e+05
8.8840e+00	5.7906e+08	1.6911e+05
9.0620e+00	5.6168e+08	1.7000e+05
9.2437e+00	5.4447e+08	1.7091e+05
9.4290e+00	5.2786e+08	1.7183e+05
9.6180e+00	5.1150e+08	1.7277e+05
9.8108e+00	4.9579e+08	1.7377e+05
1.0007e+01	4.8036e+08	1.7476e+05
1.0208e+01	4.6517e+08	1.7577e+05
1.0413e+01	4.5050e+08	1.7673e+05
1.0621e+01	4.3565e+08	1.7772e+05
1.0834e+01	4.2162e+08	1.7872e+05
1.1051e+01	4.0790e+08	1.7973e+05
1.1273e+01	3.9436e+08	1.8077e+05
1.1499e+01	3.8138e+08	1.8182e+05
1.1729e+01	3.6856e+08	1.8311e+05
1.1965e+01	3.5603e+08	1.8424e+05
1.2204e+01	3.4412e+08	1.8532e+05
1.2449e+01	3.3243e+08	1.8641e+05
1.2699e+01	3.2116e+08	1.8750e+05
1.2953e+01	3.1008e+08	1.8862e+05
1.3213e+01	2.9934e+08	1.8976e+05
1.3478e+01	2.8880e+08	1.9093e+05
1.3748e+01	2.7846e+08	1.9212e+05
1.4023e+01	2.6843e+08	1.9318e+05
1.4304e+01	2.5870e+08	1.9437e+05
1.4591e+01	2.4938e+08	1.9555e+05
1.4884e+01	2.4008e+08	1.9673e+05
1.5182e+01	2.3113e+08	1.9792e+05
1.5486e+01	2.2239e+08	1.9911e+05
1.5797e+01	2.1395e+08	2.0030e+05
1.6113e+01	2.0568e+08	2.0151e+05
1.6436e+01	1.9769e+08	2.0272e+05
1.6766e+01	1.8997e+08	2.0381e+05
1.7102e+01	1.8234e+08	2.0501e+05
1.7445e+01	1.7497e+08	2.0621e+05
1.7794e+01	1.6801e+08	2.0741e+05
1.8151e+01	1.6125e+08	2.0862e+05
1.8515e+01	1.5458e+08	2.0982e+05
1.8886e+01	1.4813e+08	2.1103e+05
1.9265e+01	1.4192e+08	2.1225e+05
1.9651e+01	1.3594e+08	2.1349e+05
2.0045e+01	1.3011e+08	2.1480e+05
2.0446e+01	1.2450e+08	2.1595e+05
2.0856e+01	1.1907e+08	2.1711e+05
2.1274e+01	1.1371e+08	2.1862e+05
2.1701e+01	1.0857e+08	2.1975e+05
2.2136e+01	1.0371e+08	2.2087e+05
2.2579e+01	9.8974e+07	2.2205e+05
2.3032e+01	9.4457e+07	2.2307e+05
2.3494e+01	9.0085e+07	2.2415e+05
2.3965e+01	8.5779e+07	2.2519e+05
2.4445e+01	8.1661e+07	2.2620e+05
2.4935e+01	7.7786e+07	2.2718e+05
2.5435e+01	7.4088e+07	2.2810e+05
2.5945e+01	7.0534e+07	2.2900e+05
2.6465e+01	6.7169e+07	2.2988e+05
2.6995e+01	6.3891e+07	2.3075e+05
2.7536e+01	6.0715e+07	2.3172e+05
2.8088e+01	5.7595e+07	2.3249e+05
2.8651e+01	5.4633e+07	2.3359e+05
2.9226e+01	5.1896e+07	2.3427e+05
2.9812e+01	4.9062e+07	2.3500e+05
3.0409e+01	4.6499e+07	2.3568e+05
3.1019e+01	4.4054e+07	2.3620e+05
3.1640e+01	4.1603e+07	2.3666e+05
3.2275e+01	3.9309e+07	2.3702e+05
3.2922e+01	3.7156e+07	2.3733e+05
3.3581e+01	3.5032e+07	2.3762e+05
3.4255e+01	3.3035e+07	2.3799e+05
3.4941e+01	3.1113e+07	2.3811e+05
3.5642e+01	2.9262e+07	2.3815e+05
3.6356e+01	2.7503e+07	2.3833e+05
3.7085e+01	2.5859e+07	2.3828e+05
3.7828e+01	2.4275e+07	2.3813e+05
3.8586e+01	2.2757e+07	2.3787e+05
3.9360e+01	2.1377e+07	2.3758e+05
4.0149e+01	2.0047e+07	2.3741e+05
4.0954e+01	1.8783e+07	2.3693e+05
4.1775e+01	1.7571e+07	2.3649e+05
