Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	2.1334e+05
1.5000e-03	0.0000e+00	2.1339e+05
2.0000e-03	0.0000e+00	2.1343e+05
2.5000e-03	0.0000e+00	2.1346e+05
3.0000e-03	0.0000e+00	2.1348e+05
3.5000e-03	0.0000e+00	2.1350e+05
4.0000e-03	0.0000e+00	2.1351e+05
4.5000e-03	0.0000e+00	2.1353e+05
5.0000e-03	0.0000e+00	2.1354e+05
5.5000e-03	0.0000e+00	2.1355e+05
6.0000e-03	0.0000e+00	2.1356e+05
6.5000e-03	0.0000e+00	2.1357e+05
7.0000e-03	0.0000e+00	2.1358e+05
7.5000e-03	0.0000e+00	2.1359e+05
8.0000e-03	0.0000e+00	2.1360e+05
8.5000e-03	0.0000e+00	2.1360e+05
9.0000e-03	0.0000e+00	2.1361e+05
9.5000e-03	0.0000e+00	2.1362e+05
1.0000e-02	0.0000e+00	2.1362e+05
1.5000e-02	0.0000e+00	2.1367e+05
2.0000e-02	0.0000e+00	2.1371e+05
2.5000e-02	0.0000e+00	2.1374e+05
3.0000e-02	0.0000e+00	2.1377e+05
3.5000e-02	0.0000e+00	2.1380e+05
4.0000e-02	0.0000e+00	2.1383e+05
4.5000e-02	0.0000e+00	2.1386e+05
5.0000e-02	9.1398e+11	2.1390e+05
5.1002e-02	8.9454e+11	2.1390e+05
5.2025e-02	8.7578e+11	2.1391e+05
5.3067e-02	8.5740e+11	2.1392e+05
5.4131e-02	8.3941e+11	2.1392e+05
5.5216e-02	8.2180e+11	2.1393e+05
5.6323e-02	8.0453e+11	2.1394e+05
5.7452e-02	7.8760e+11	2.1395e+05
5.8604e-02	7.7097e+11	2.1396e+05
5.9778e-02	7.5469e+11	2.1396e+05
6.0977e-02	7.3875e+11	2.1397e+05
6.2199e-02	7.2315e+11	2.1398e+05
6.3446e-02	7.0821e+11	2.1399e+05
6.4717e-02	6.9380e+11	2.1400e+05
6.6015e-02	6.7924e+11	2.1402e+05
6.7338e-02	6.6477e+11	2.1403e+05
6.8688e-02	6.5043e+11	2.1404e+05
7.0065e-02	6.3734e+11	2.1405e+05
7.1469e-02	6.2396e+11	2.1406e+05
7.2902e-02	6.1036e+11	2.1407e+05
7.4363e-02	5.9727e+11	2.1408e+05
7.5853e-02	5.8486e+11	2.1410e+05
7.7374e-02	5.7244e+11	2.1411e+05
7.8925e-02	5.6044e+11	2.1412e+05
8.0507e-02	5.4835e+11	2.1413e+05
8.2121e-02	5.3679e+11	2.1414e+05
8.3767e-02	5.2527e+11	2.1416e+05
8.5446e-02	5.1426e+11	2.1417e+05
8.7159e-02	5.0368e+11	2.1418e+05
8.8906e-02	4.9323e+11	2.1419e+05
9.0688e-02	4.8278e+11	2.1421e+05
9.2506e-02	4.7249e+11	2.1422e+05
9.4360e-02	4.6250e+11	2.1423e+05
9.6251e-02	4.5283e+11	2.1425e+05
9.8181e-02	4.4331e+11	2.1427e+05
1.0015e-01	4.3400e+11	2.1428e+05
1.0216e-01	4.2487e+11	2.1430e+05
1.0420e-01	4.1588e+11	2.1431e+05
1.0629e-01	4.0701e+11	2.1433e+05
1.0842e-01	3.9864e+11	2.1435e+05
1.1060e-01	3.9001e+11	2.1436e+05
1.1281e-01	3.8177e+11	2.1438e+05
1.1507e-01	3.7371e+11	2.1440e+05
1.1738e-01	3.6585e+11	2.1442e+05
1.1973e-01	3.5801e+11	2.1444e+05
1.2213e-01	3.5056e+11	2.1446e+05
1.2458e-01	3.4309e+11	2.1448e+05
1.2708e-01	3.3593e+11	2.1450e+05
1.2963e-01	3.2890e+11	2.1452e+05
1.3223e-01	3.2188e+11	2.1454e+05
1.3488e-01	3.1496e+11	2.1457e+05
1.3758e-01	3.0825e+11	2.1459e+05
1.4034e-01	3.0180e+11	2.1461e+05
1.4315e-01	2.9547e+11	2.1463e+05
1.4602e-01	2.8928e+11	2.1465e+05
1.4895e-01	2.8321e+11	2.1468e+05
1.5193e-01	2.7719e+11	2.1470e+05
1.5498e-01	2.7120e+11	2.1473e+05
1.5808e-01	2.6539e+11	2.1475e+05
1.6125e-01	2.5974e+11	2.1478e+05
1.6449e-01	2.5434e+11	2.1481e+05
1.6778e-01	2.4916e+11	2.1483e+05
1.7115e-01	2.4389e+11	2.1486e+05
1.7458e-01	2.3888e+11	2.1489e+05
1.7808e-01	2.3386e+11	2.1492e+05
1.8165e-01	2.2901e+11	2.1495e+05
1.8529e-01	2.2421e+11	2.1498e+05
1.8900e-01	2.1961e+11	2.1501e+05
1.9279e-01	2.1498e+11	2.1504e+05
1.9665e-01	2.1060e+11	2.1507e+05
2.0060e-01	2.0630e+11	2.1510e+05
2.0462e-01	2.0208e+11	2.1513e+05
2.0872e-01	1.9792e+11	2.1517e+05
2.1290e-01	1.9369e+11	2.1520e+05
2.1717e-01	1.8966e+11	2.1524e+05
2.2152e-01	1.8573e+11	2.1527e+05
2.2596e-01	1.8173e+11	2.1531e+05
2.3049e-01	1.7797e+11	2.1535e+05
2.3511e-01	1.7429e+11	2.1538e+05
2.3983e-01	1.7061e+11	2.1542e+05
2.4463e-01	1.6698e+11	2.1546e+05
2.4954e-01	1.6348e+11	2.1550e+05
2.5454e-01	1.6007e+11	2.1555e+05
2.5964e-01	1.5681e+11	2.1559e+05
2.6484e-01	1.5350e+11	2.1563e+05
2.7015e-01	1.5036e+11	2.1568e+05
2.7557e-01	1.4724e+11	2.1572e+05
2.8109e-01	1.4420e+11	2.1577e+05
2.8673e-01	1.4116e+11	2.1581e+05
2.9247e-01	1.3818e+11	2.1586e+05
2.9834e-01	1.3526e+11	2.1591e+05
3.0432e-01	1.3237e+11	2.1595e+05
3.1042e-01	1.2959e+11	2.1600e+05
3.1664e-01	1.2685e+11	2.1606e+05
3.2299e-01	1.2417e+11	2.1611e+05
3.2946e-01	1.2159e+11	2.1616e+05
3.3606e-01	1.1898e+11	2.1622e+05
3.4280e-01	1.1640e+11	2.1627e+05
3.4967e-01	1.1386e+11	2.1633e+05
3.5668e-01	1.1145e+11	2.1638e+05
3.6383e-01	1.0917e+11	2.1644e+05
