Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	1.8689e+05
1.5000e-03	0.0000e+00	1.8694e+05
2.0000e-03	0.0000e+00	1.8697e+05
2.5000e-03	0.0000e+00	1.8699e+05
3.0000e-03	0.0000e+00	1.8701e+05
3.5000e-03	0.0000e+00	1.8703e+05
4.0000e-03	0.0000e+00	1.8704e+05
4.5000e-03	0.0000e+00	1.8706e+05
5.0000e-03	0.0000e+00	1.8707e+05
5.5000e-03	0.0000e+00	1.8708e+05
6.0000e-03	0.0000e+00	1.8709e+05
6.5000e-03	0.0000e+00	1.8709e+05
7.0000e-03	0.0000e+00	1.8710e+05
7.5000e-03	0.0000e+00	1.8711e+05
8.0000e-03	0.0000e+00	1.8712e+05
8.5000e-03	0.0000e+00	1.8712e+05
9.0000e-03	0.0000e+00	1.8713e+05
9.5000e-03	0.0000e+00	1.8713e+05
1.0000e-02	0.0000e+00	1.8714e+05
1.5000e-02	0.0000e+00	1.8718e+05
2.0000e-02	0.0000e+00	1.8722e+05
2.5000e-02	0.0000e+00	1.8724e+05
3.0000e-02	0.0000e+00	1.8727e+05
3.5000e-02	0.0000e+00	1.8729e+05
4.0000e-02	0.0000e+00	1.8732e+05
4.5000e-02	0.0000e+00	1.8735e+05
5.0000e-02	7.6926e+11	1.8738e+05
5.1002e-02	7.5359e+11	1.8738e+05
5.2025e-02	7.3857e+11	1.8739e+05
5.3067e-02	7.2384e+11	1.8740e+05
5.4131e-02	7.0945e+11	1.8740e+05
5.5216e-02	6.9509e+11	1.8741e+05
5.6323e-02	6.8108e+11	1.8742e+05
5.7452e-02	6.6756e+11	1.8742e+05
5.8604e-02	6.5419e+11	1.8743e+05
5.9778e-02	6.4089e+11	1.8744e+05
6.0977e-02	6.2776e+11	1.8744e+05
6.2199e-02	6.1498e+11	1.8745e+05
6.3446e-02	6.0270e+11	1.8746e+05
6.4717e-02	5.9039e+11	1.8747e+05
6.6015e-02	5.7853e+11	1.8748e+05
6.7338e-02	5.6699e+11	1.8749e+05
6.8688e-02	5.5558e+11	1.8750e+05
7.0065e-02	5.4442e+11	1.8751e+05
7.1469e-02	5.3354e+11	1.8752e+05
7.2902e-02	5.2274e+11	1.8753e+05
7.4363e-02	5.1221e+11	1.8754e+05
7.5853e-02	5.0188e+11	1.8755e+05
7.7374e-02	4.9181e+11	1.8756e+05
7.8925e-02	4.8198e+11	1.8757e+05
8.0507e-02	4.7216e+11	1.8758e+05
8.2121e-02	4.6288e+11	1.8759e+05
8.3767e-02	4.5375e+11	1.8761e+05
8.5446e-02	4.4457e+11	1.8762e+05
8.7159e-02	4.3531e+11	1.8763e+05
8.8906e-02	4.2649e+11	1.8764e+05
9.0688e-02	4.1804e+11	1.8765e+05
9.2506e-02	4.0934e+11	1.8766e+05
9.4360e-02	4.0120e+11	1.8767e+05
9.6251e-02	3.9315e+11	1.8769e+05
9.8181e-02	3.8511e+11	1.8770e+05
1.0015e-01	3.7727e+11	1.8772e+05
1.0216e-01	3.6960e+11	1.8773e+05
1.0420e-01	3.6223e+11	1.8774e+05
1.0629e-01	3.5496e+11	1.8776e+05
1.0842e-01	3.4777e+11	1.8777e+05
1.1060e-01	3.4076e+11	1.8779e+05
1.1281e-01	3.3385e+11	1.8780e+05
1.1507e-01	3.2696e+11	1.8782e+05
1.1738e-01	3.2021e+11	1.8784e+05
1.1973e-01	3.1371e+11	1.8785e+05
1.2213e-01	3.0729e+11	1.8787e+05
1.2458e-01	3.0100e+11	1.8789e+05
1.2708e-01	2.9483e+11	1.8791e+05
1.2963e-01	2.8890e+11	1.8793e+05
1.3223e-01	2.8312e+11	1.8795e+05
1.3488e-01	2.7732e+11	1.8796e+05
1.3758e-01	2.7160e+11	1.8798e+05
1.4034e-01	2.6618e+11	1.8800e+05
1.4315e-01	2.6073e+11	1.8802e+05
1.4602e-01	2.5552e+11	1.8804e+05
1.4895e-01	2.5036e+11	1.8806e+05
1.5193e-01	2.4526e+11	1.8808e+05
1.5498e-01	2.4025e+11	1.8811e+05
1.5808e-01	2.3537e+11	1.8813e+05
1.6125e-01	2.3063e+11	1.8815e+05
1.6449e-01	2.2592e+11	1.8817e+05
1.6778e-01	2.2135e+11	1.8820e+05
1.7115e-01	2.1686e+11	1.8822e+05
1.7458e-01	2.1244e+11	1.8825e+05
1.7808e-01	2.0814e+11	1.8827e+05
1.8165e-01	2.0395e+11	1.8830e+05
1.8529e-01	1.9979e+11	1.8833e+05
1.8900e-01	1.9579e+11	1.8835e+05
1.9279e-01	1.9189e+11	1.8838e+05
1.9665e-01	1.8796e+11	1.8841e+05
2.0060e-01	1.8416e+11	1.8843e+05
2.0462e-01	1.8042e+11	1.8846e+05
2.0872e-01	1.7680e+11	1.8849e+05
2.1290e-01	1.7308e+11	1.8852e+05
2.1717e-01	1.6963e+11	1.8855e+05
2.2152e-01	1.6620e+11	1.8859e+05
2.2596e-01	1.6286e+11	1.8862e+05
2.3049e-01	1.5950e+11	1.8865e+05
2.3511e-01	1.5628e+11	1.8868e+05
