Energy(MeV) Phi_16 Phi_84
1.000000e+00 5.697215e+09 7.029727e+09
1.013939e+00 5.607257e+09 6.929332e+09
1.028073e+00 5.519799e+09 6.824128e+09
1.042404e+00 5.434095e+09 6.722102e+09
1.056935e+00 5.346903e+09 6.624335e+09
1.071668e+00 5.262200e+09 6.522967e+09
1.086606e+00 5.181156e+09 6.422716e+09
1.101753e+00 5.100906e+09 6.330446e+09
1.117111e+00 5.021086e+09 6.240032e+09
1.132683e+00 4.942814e+09 6.150573e+09
1.148472e+00 4.863584e+09 6.061397e+09
1.164481e+00 4.787848e+09 5.973120e+09
1.180713e+00 4.712659e+09 5.881815e+09
1.197171e+00 4.636154e+09 5.792656e+09
1.213859e+00 4.562587e+09 5.698908e+09
1.230780e+00 4.492706e+09 5.606730e+09
1.247936e+00 4.420382e+09 5.522651e+09
1.265332e+00 4.354183e+09 5.439143e+09
1.282970e+00 4.284014e+09 5.358307e+09
1.300854e+00 4.214955e+09 5.274935e+09
1.318987e+00 4.148238e+09 5.190829e+09
1.337373e+00 4.083828e+09 5.110436e+09
1.356015e+00 4.020688e+09 5.033216e+09
1.374917e+00 3.956936e+09 4.953670e+09
1.394083e+00 3.893429e+09 4.876741e+09
1.413516e+00 3.832812e+09 4.806261e+09
1.433219e+00 3.772670e+09 4.736317e+09
1.453198e+00 3.715128e+09 4.664028e+09
1.473454e+00 3.656263e+09 4.592368e+09
1.493993e+00 3.597859e+09 4.524449e+09
1.514819e+00 3.541742e+09 4.454184e+09
1.535935e+00 3.484921e+09 4.387890e+09
1.557345e+00 3.429137e+09 4.321315e+09
1.579053e+00 3.374806e+09 4.254767e+09
1.601064e+00 3.322459e+09 4.189180e+09
1.623382e+00 3.271368e+09 4.124791e+09
1.646012e+00 3.221020e+09 4.061727e+09
1.668956e+00 3.169273e+09 3.998792e+09
1.692220e+00 3.116448e+09 3.937007e+09
1.715809e+00 3.064205e+09 3.876338e+09
1.739726e+00 3.014256e+09 3.816058e+09
1.763977e+00 2.965555e+09 3.754250e+09
1.788566e+00 2.918041e+09 3.694848e+09
1.813498e+00 2.869879e+09 3.638234e+09
1.838777e+00 2.823721e+09 3.581066e+09
1.864409e+00 2.779283e+09 3.525005e+09
1.890397e+00 2.735487e+09 3.469989e+09
1.916748e+00 2.690986e+09 3.414422e+09
1.943467e+00 2.647249e+09 3.362574e+09
1.970558e+00 2.604391e+09 3.311180e+09
1.998026e+00 2.561858e+09 3.259875e+09
2.025878e+00 2.520388e+09 3.205926e+09
2.054117e+00 2.478300e+09 3.154133e+09
2.082751e+00 2.436409e+09 3.105896e+09
2.111783e+00 2.396894e+09 3.058802e+09
2.141220e+00 2.357936e+09 3.011053e+09
2.171068e+00 2.319569e+09 2.964144e+09
2.201331e+00 2.282050e+09 2.916462e+09
2.232016e+00 2.244439e+09 2.869713e+09
2.263130e+00 2.205279e+09 2.824130e+09
2.294676e+00 2.169678e+09 2.781343e+09
2.326663e+00 2.135654e+09 2.739338e+09
2.359095e+00 2.100377e+09 2.696697e+09
2.391980e+00 2.065529e+09 2.652075e+09
2.425323e+00 2.031845e+09 2.607751e+09
2.459130e+00 1.997842e+09 2.565269e+09
2.493409e+00 1.965120e+09 2.524427e+09
2.528166e+00 1.933921e+09 2.483008e+09
2.563407e+00 1.901392e+09 2.442964e+09
2.599140e+00 1.869172e+09 2.404073e+09
2.635371e+00 1.837463e+09 2.365617e+09
2.672106e+00 1.806255e+09 2.327895e+09
2.709354e+00 1.775391e+09 2.291563e+09
2.747121e+00 1.744249e+09 2.253432e+09
2.785414e+00 1.714053e+09 2.216548e+09
2.824241e+00 1.684820e+09 2.179948e+09
2.863610e+00 1.656814e+09 2.144772e+09
2.903527e+00 1.629122e+09 2.109079e+09
2.944000e+00 1.601228e+09 2.075104e+09
2.985038e+00 1.573929e+09 2.041518e+09
3.026648e+00 1.546387e+09 2.008189e+09
3.068838e+00 1.520394e+09 1.975075e+09
3.111616e+00 1.494347e+09 1.943089e+09
3.154990e+00 1.468536e+09 1.911276e+09
3.198969e+00 1.443190e+09 1.879846e+09
3.243561e+00 1.418369e+09 1.848356e+09
3.288774e+00 1.394503e+09 1.817528e+09
3.334618e+00 1.370505e+09 1.787361e+09
3.381101e+00 1.347379e+09 1.757588e+09
3.428231e+00 1.324386e+09 1.728239e+09
3.476019e+00 1.301878e+09 1.699311e+09
3.524473e+00 1.278873e+09 1.670792e+09
3.573602e+00 1.256221e+09 1.642554e+09
3.623416e+00 1.233925e+09 1.614723e+09
3.673925e+00 1.212829e+09 1.587294e+09
3.725137e+00 1.191369e+09 1.560261e+09
3.777064e+00 1.169913e+09 1.534039e+09
3.829714e+00 1.148816e+09 1.508497e+09
3.883098e+00 1.129235e+09 1.483315e+09
3.937226e+00 1.110030e+09 1.458491e+09
3.992109e+00 1.090058e+09 1.434018e+09
