Energy(MeV) Planare_Fluence(cm^-2*MeV^-1)
1.000000e+00 6.332189e+09
1.013939e+00 6.232634e+09
1.028073e+00 6.139593e+09
1.042404e+00 6.047435e+09
1.056935e+00 5.952632e+09
1.071668e+00 5.862397e+09
1.086606e+00 5.774279e+09
1.101753e+00 5.687228e+09
1.117111e+00 5.603106e+09
1.132683e+00 5.520843e+09
1.148472e+00 5.439789e+09
1.164481e+00 5.356798e+09
1.180713e+00 5.271472e+09
1.197171e+00 5.190767e+09
1.213859e+00 5.109905e+09
1.230780e+00 5.031205e+09
1.247936e+00 4.955459e+09
1.265332e+00 4.878329e+09
1.282970e+00 4.802136e+09
1.300854e+00 4.730578e+09
1.318987e+00 4.659348e+09
1.337373e+00 4.587971e+09
1.356015e+00 4.516789e+09
1.374917e+00 4.446458e+09
1.394083e+00 4.378831e+09
1.413516e+00 4.308218e+09
1.433219e+00 4.241256e+09
1.453198e+00 4.175642e+09
1.473454e+00 4.111258e+09
1.493993e+00 4.046500e+09
1.514819e+00 3.984427e+09
1.535935e+00 3.923138e+09
1.557345e+00 3.861941e+09
1.579053e+00 3.802685e+09
1.601064e+00 3.744775e+09
1.623382e+00 3.685758e+09
1.646012e+00 3.627486e+09
1.668956e+00 3.572428e+09
1.692220e+00 3.518296e+09
1.715809e+00 3.463116e+09
1.739726e+00 3.411104e+09
1.763977e+00 3.357151e+09
1.788566e+00 3.303715e+09
1.813498e+00 3.248807e+09
1.838777e+00 3.196564e+09
1.864409e+00 3.147784e+09
1.890397e+00 3.098928e+09
1.916748e+00 3.049228e+09
1.943467e+00 3.001526e+09
1.970558e+00 2.954182e+09
1.998026e+00 2.907900e+09
2.025878e+00 2.862508e+09
2.054117e+00 2.817186e+09
2.082751e+00 2.773141e+09
2.111783e+00 2.729543e+09
2.141220e+00 2.687289e+09
2.171068e+00 2.645076e+09
2.201331e+00 2.603200e+09
2.232016e+00 2.561458e+09
2.263130e+00 2.518989e+09
2.294676e+00 2.477828e+09
2.326663e+00 2.437728e+09
2.359095e+00 2.398932e+09
2.391980e+00 2.362006e+09
2.425323e+00 2.325084e+09
2.459130e+00 2.288121e+09
2.493409e+00 2.250993e+09
2.528166e+00 2.214340e+09
2.563407e+00 2.177991e+09
2.599140e+00 2.143522e+09
2.635371e+00 2.108546e+09
2.672106e+00 2.073843e+09
2.709354e+00 2.039649e+09
2.747121e+00 2.005798e+09
2.785414e+00 1.972209e+09
2.824241e+00 1.939470e+09
2.863610e+00 1.907399e+09
2.903527e+00 1.876191e+09
2.944000e+00 1.846461e+09
2.985038e+00 1.815900e+09
3.026648e+00 1.785746e+09
3.068838e+00 1.756310e+09
3.111616e+00 1.726796e+09
3.154990e+00 1.697921e+09
3.198969e+00 1.669531e+09
3.243561e+00 1.641568e+09
3.288774e+00 1.613731e+09
3.334618e+00 1.586128e+09
3.381101e+00 1.559493e+09
3.428231e+00 1.532505e+09
3.476019e+00 1.506570e+09
3.524473e+00 1.480581e+09
3.573602e+00 1.455678e+09
3.623416e+00 1.431155e+09
3.673925e+00 1.406997e+09
3.725137e+00 1.383046e+09
3.777064e+00 1.359337e+09
3.829714e+00 1.336618e+09
3.883098e+00 1.313504e+09
3.937226e+00 1.290887e+09
