Energy(MeV) Phi_16 Phi_84
1.000000e+00 2.278886e+10 2.811891e+10
1.013939e+00 2.242903e+10 2.771733e+10
1.028073e+00 2.207920e+10 2.729651e+10
1.042404e+00 2.173638e+10 2.688841e+10
1.056935e+00 2.138761e+10 2.649734e+10
1.071668e+00 2.104880e+10 2.609187e+10
1.086606e+00 2.072462e+10 2.569086e+10
1.101753e+00 2.040362e+10 2.532178e+10
1.117111e+00 2.008435e+10 2.496013e+10
1.132683e+00 1.977126e+10 2.460229e+10
1.148472e+00 1.945434e+10 2.424559e+10
1.164481e+00 1.915139e+10 2.389248e+10
1.180713e+00 1.885064e+10 2.352726e+10
1.197171e+00 1.854462e+10 2.317062e+10
1.213859e+00 1.825035e+10 2.279563e+10
1.230780e+00 1.797083e+10 2.242692e+10
1.247936e+00 1.768153e+10 2.209061e+10
1.265332e+00 1.741673e+10 2.175657e+10
1.282970e+00 1.713605e+10 2.143323e+10
1.300854e+00 1.685982e+10 2.109974e+10
1.318987e+00 1.659295e+10 2.076332e+10
1.337373e+00 1.633531e+10 2.044175e+10
1.356015e+00 1.608275e+10 2.013286e+10
1.374917e+00 1.582774e+10 1.981468e+10
1.394083e+00 1.557372e+10 1.950696e+10
1.413516e+00 1.533125e+10 1.922504e+10
1.433219e+00 1.509068e+10 1.894527e+10
1.453198e+00 1.486051e+10 1.865611e+10
1.473454e+00 1.462505e+10 1.836947e+10
1.493993e+00 1.439144e+10 1.809780e+10
1.514819e+00 1.416697e+10 1.781674e+10
1.535935e+00 1.393968e+10 1.755156e+10
1.557345e+00 1.371655e+10 1.728526e+10
1.579053e+00 1.349922e+10 1.701907e+10
1.601064e+00 1.328984e+10 1.675672e+10
1.623382e+00 1.308547e+10 1.649916e+10
1.646012e+00 1.288408e+10 1.624691e+10
1.668956e+00 1.267709e+10 1.599517e+10
1.692220e+00 1.246579e+10 1.574803e+10
1.715809e+00 1.225682e+10 1.550535e+10
1.739726e+00 1.205702e+10 1.526423e+10
1.763977e+00 1.186222e+10 1.501700e+10
1.788566e+00 1.167216e+10 1.477939e+10
1.813498e+00 1.147952e+10 1.455294e+10
1.838777e+00 1.129488e+10 1.432427e+10
1.864409e+00 1.111713e+10 1.410002e+10
1.890397e+00 1.094195e+10 1.387996e+10
1.916748e+00 1.076395e+10 1.365769e+10
1.943467e+00 1.058900e+10 1.345030e+10
1.970558e+00 1.041756e+10 1.324472e+10
1.998026e+00 1.024743e+10 1.303950e+10
2.025878e+00 1.008155e+10 1.282370e+10
2.054117e+00 9.913199e+09 1.261653e+10
2.082751e+00 9.745637e+09 1.242358e+10
2.111783e+00 9.587574e+09 1.223521e+10
2.141220e+00 9.431744e+09 1.204421e+10
2.171068e+00 9.278275e+09 1.185658e+10
2.201331e+00 9.128199e+09 1.166585e+10
2.232016e+00 8.977754e+09 1.147885e+10
2.263130e+00 8.821117e+09 1.129652e+10
2.294676e+00 8.678713e+09 1.112537e+10
2.326663e+00 8.542618e+09 1.095735e+10
2.359095e+00 8.401507e+09 1.078679e+10
2.391980e+00 8.262114e+09 1.060830e+10
2.425323e+00 8.127380e+09 1.043100e+10
2.459130e+00 7.991370e+09 1.026108e+10
2.493409e+00 7.860482e+09 1.009771e+10
2.528166e+00 7.735685e+09 9.932033e+09
2.563407e+00 7.605567e+09 9.771856e+09
2.599140e+00 7.476689e+09 9.616291e+09
2.635371e+00 7.349850e+09 9.462469e+09
2.672106e+00 7.225019e+09 9.311581e+09
2.709354e+00 7.101562e+09 9.166251e+09
2.747121e+00 6.976996e+09 9.013726e+09
2.785414e+00 6.856212e+09 8.866193e+09
2.824241e+00 6.739281e+09 8.719791e+09
2.863610e+00 6.627255e+09 8.579089e+09
2.903527e+00 6.516488e+09 8.436315e+09
2.944000e+00 6.404911e+09 8.300415e+09
2.985038e+00 6.295718e+09 8.166071e+09
3.026648e+00 6.185549e+09 8.032754e+09
3.068838e+00 6.081576e+09 7.900301e+09
3.111616e+00 5.977388e+09 7.772357e+09
3.154990e+00 5.874143e+09 7.645106e+09
3.198969e+00 5.772762e+09 7.519384e+09
3.243561e+00 5.673478e+09 7.393424e+09
3.288774e+00 5.578011e+09 7.270113e+09
3.334618e+00 5.482020e+09 7.149443e+09
3.381101e+00 5.389518e+09 7.030352e+09
3.428231e+00 5.297544e+09 6.912956e+09
3.476019e+00 5.207513e+09 6.797246e+09
3.524473e+00 5.115493e+09 6.683169e+09
3.573602e+00 5.024884e+09 6.570217e+09
3.623416e+00 4.935699e+09 6.458893e+09
3.673925e+00 4.851316e+09 6.349176e+09
3.725137e+00 4.765475e+09 6.241045e+09
3.777064e+00 4.679652e+09 6.136156e+09
3.829714e+00 4.595264e+09 6.033986e+09
3.883098e+00 4.516942e+09 5.933262e+09
3.937226e+00 4.440119e+09 5.833963e+09
3.992109e+00 4.360230e+09 5.736072e+09
4.047757e+00 4.282152e+09 5.636656e+09
4.104181e+00 4.203747e+09 5.538781e+09
4.161391e+00 4.126876e+09 5.440723e+09
4.219398e+00 4.052175e+09 5.352718e+09
4.278214e+00 3.979340e+09 5.256673e+09
4.337850e+00 3.907675e+09 5.166095e+09
4.398317e+00 3.837164e+09 5.079939e+09
4.459628e+00 3.767788e+09 4.989571e+09
4.521792e+00 3.699530e+09 4.904307e+09
4.584824e+00 3.630816e+09 4.816352e+09
4.648734e+00 3.562895e+09 4.729971e+09
4.713535e+00 3.496111e+09 4.645251e+09
4.779239e+00 3.431763e+09 4.560486e+09
4.845859e+00 3.368803e+09 4.478087e+09
4.913407e+00 3.307206e+09 4.396419e+09
4.981898e+00 3.246755e+09 4.316218e+09
5.051342e+00 3.187930e+09 4.239700e+09
5.121755e+00 3.132098e+09 4.162492e+09
5.193150e+00 3.076324e+09 4.089112e+09
5.265540e+00 3.019541e+09 4.017892e+09
5.338938e+00 2.964120e+09 3.945321e+09
5.413360e+00 2.908153e+09 3.870614e+09
