Energy(MeV) Sferica_Fluence(cm^-2*MeV^-1)
1.000000e+00 2.532875e+10
1.013939e+00 2.493054e+10
1.028073e+00 2.455837e+10
1.042404e+00 2.418974e+10
1.056935e+00 2.381053e+10
1.071668e+00 2.344959e+10
1.086606e+00 2.309712e+10
1.101753e+00 2.274891e+10
1.117111e+00 2.241242e+10
1.132683e+00 2.208337e+10
1.148472e+00 2.175916e+10
1.164481e+00 2.142719e+10
1.180713e+00 2.108589e+10
1.197171e+00 2.076307e+10
1.213859e+00 2.043962e+10
1.230780e+00 2.012482e+10
1.247936e+00 1.982183e+10
1.265332e+00 1.951332e+10
1.282970e+00 1.920854e+10
1.300854e+00 1.892231e+10
1.318987e+00 1.863739e+10
1.337373e+00 1.835188e+10
1.356015e+00 1.806715e+10
1.374917e+00 1.778583e+10
1.394083e+00 1.751532e+10
1.413516e+00 1.723287e+10
1.433219e+00 1.696503e+10
1.453198e+00 1.670257e+10
1.473454e+00 1.644503e+10
1.493993e+00 1.618600e+10
1.514819e+00 1.593771e+10
1.535935e+00 1.569255e+10
1.557345e+00 1.544776e+10
1.579053e+00 1.521074e+10
1.601064e+00 1.497910e+10
1.623382e+00 1.474303e+10
1.646012e+00 1.450994e+10
1.668956e+00 1.428971e+10
1.692220e+00 1.407318e+10
1.715809e+00 1.385246e+10
1.739726e+00 1.364442e+10
1.763977e+00 1.342860e+10
1.788566e+00 1.321486e+10
1.813498e+00 1.299523e+10
1.838777e+00 1.278625e+10
1.864409e+00 1.259113e+10
1.890397e+00 1.239571e+10
1.916748e+00 1.219691e+10
1.943467e+00 1.200610e+10
1.970558e+00 1.181673e+10
1.998026e+00 1.163160e+10
2.025878e+00 1.145003e+10
2.054117e+00 1.126874e+10
2.082751e+00 1.109257e+10
2.111783e+00 1.091817e+10
2.141220e+00 1.074915e+10
2.171068e+00 1.058030e+10
2.201331e+00 1.041280e+10
2.232016e+00 1.024583e+10
2.263130e+00 1.007595e+10
2.294676e+00 9.911311e+09
2.326663e+00 9.750912e+09
2.359095e+00 9.595727e+09
2.391980e+00 9.448026e+09
2.425323e+00 9.300336e+09
2.459130e+00 9.152485e+09
2.493409e+00 9.003974e+09
2.528166e+00 8.857359e+09
2.563407e+00 8.711963e+09
2.599140e+00 8.574088e+09
2.635371e+00 8.434184e+09
2.672106e+00 8.295373e+09
2.709354e+00 8.158596e+09
2.747121e+00 8.023193e+09
2.785414e+00 7.888837e+09
2.824241e+00 7.757879e+09
2.863610e+00 7.629595e+09
2.903527e+00 7.504766e+09
2.944000e+00 7.385844e+09
2.985038e+00 7.263599e+09
3.026648e+00 7.142986e+09
3.068838e+00 7.025241e+09
3.111616e+00 6.907182e+09
3.154990e+00 6.791683e+09
3.198969e+00 6.678126e+09
3.243561e+00 6.566273e+09
3.288774e+00 6.454922e+09
3.334618e+00 6.344512e+09
3.381101e+00 6.237972e+09
3.428231e+00 6.130019e+09
3.476019e+00 6.026279e+09
3.524473e+00 5.922323e+09
3.573602e+00 5.822714e+09
3.623416e+00 5.724619e+09
3.673925e+00 5.627987e+09
3.725137e+00 5.532183e+09
3.777064e+00 5.437350e+09
3.829714e+00 5.346472e+09
3.883098e+00 5.254014e+09
3.937226e+00 5.163546e+09
3.992109e+00 5.074849e+09
4.047757e+00 4.988791e+09
4.104181e+00 4.904419e+09
4.161391e+00 4.821864e+09
4.219398e+00 4.739956e+09
4.278214e+00 4.654523e+09
4.337850e+00 4.572665e+09
4.398317e+00 4.489795e+09
4.459628e+00 4.411259e+09
4.521792e+00 4.332763e+09
4.584824e+00 4.255088e+09
4.648734e+00 4.178100e+09
4.713535e+00 4.101154e+09
4.779239e+00 4.026852e+09
4.845859e+00 3.955861e+09
4.913407e+00 3.883841e+09
4.981898e+00 3.812881e+09
5.051342e+00 3.745128e+09
5.121755e+00 3.678770e+09
5.193150e+00 3.612549e+09
5.265540e+00 3.547124e+09
5.338938e+00 3.484288e+09
5.413360e+00 3.421004e+09
5.488820e+00 3.356993e+09
5.565331e+00 3.293980e+09
5.642908e+00 3.231809e+09
5.721568e+00 3.171837e+09
5.801323e+00 3.111853e+09
5.882190e+00 3.052775e+09
5.964185e+00 2.994983e+09
6.047322e+00 2.938503e+09
6.131619e+00 2.883384e+09
6.217090e+00 2.829840e+09
6.303753e+00 2.775816e+09
6.391624e+00 2.722962e+09
6.480720e+00 2.670843e+09
6.571058e+00 2.619664e+09
6.662655e+00 2.570297e+09
