Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	1.0983e+05
1.5000e-03	0.0000e+00	1.0985e+05
2.0000e-03	0.0000e+00	1.0987e+05
2.5000e-03	0.0000e+00	1.0988e+05
3.0000e-03	0.0000e+00	1.0989e+05
3.5000e-03	0.0000e+00	1.0990e+05
4.0000e-03	0.0000e+00	1.0991e+05
4.5000e-03	0.0000e+00	1.0992e+05
5.0000e-03	0.0000e+00	1.0992e+05
5.5000e-03	0.0000e+00	1.0993e+05
6.0000e-03	0.0000e+00	1.0993e+05
6.5000e-03	0.0000e+00	1.0994e+05
7.0000e-03	0.0000e+00	1.0994e+05
7.5000e-03	0.0000e+00	1.0995e+05
8.0000e-03	0.0000e+00	1.0995e+05
8.5000e-03	0.0000e+00	1.0995e+05
9.0000e-03	0.0000e+00	1.0996e+05
9.5000e-03	0.0000e+00	1.0996e+05
1.0000e-02	0.0000e+00	1.0996e+05
1.5000e-02	0.0000e+00	1.0999e+05
2.0000e-02	0.0000e+00	1.1000e+05
2.5000e-02	0.0000e+00	1.1002e+05
3.0000e-02	0.0000e+00	1.1003e+05
3.5000e-02	0.0000e+00	1.1004e+05
4.0000e-02	0.0000e+00	1.1008e+05
4.5000e-02	0.0000e+00	1.1011e+05
5.0000e-02	1.5470e+11	1.1014e+05
5.1002e-02	1.5148e+11	1.1015e+05
5.2025e-02	1.4835e+11	1.1015e+05
5.3067e-02	1.4531e+11	1.1016e+05
5.4131e-02	1.4232e+11	1.1016e+05
5.5216e-02	1.3946e+11	1.1017e+05
5.6323e-02	1.3661e+11	1.1017e+05
5.7452e-02	1.3377e+11	1.1018e+05
5.8604e-02	1.3098e+11	1.1019e+05
5.9778e-02	1.2822e+11	1.1019e+05
6.0977e-02	1.2548e+11	1.1020e+05
6.2199e-02	1.2293e+11	1.1020e+05
6.3446e-02	1.2035e+11	1.1021e+05
6.4717e-02	1.1779e+11	1.1021e+05
6.6015e-02	1.1533e+11	1.1022e+05
6.7338e-02	1.1286e+11	1.1023e+05
6.8688e-02	1.1046e+11	1.1023e+05
7.0065e-02	1.0818e+11	1.1024e+05
7.1469e-02	1.0592e+11	1.1024e+05
7.2902e-02	1.0368e+11	1.1025e+05
7.4363e-02	1.0153e+11	1.1025e+05
7.5853e-02	9.9429e+10	1.1026e+05
7.7374e-02	9.7373e+10	1.1027e+05
7.8925e-02	9.5361e+10	1.1027e+05
8.0507e-02	9.3381e+10	1.1028e+05
8.2121e-02	9.1468e+10	1.1028e+05
8.3767e-02	8.9595e+10	1.1029e+05
8.5446e-02	8.7715e+10	1.1029e+05
8.7159e-02	8.5962e+10	1.1030e+05
8.8906e-02	8.4220e+10	1.1030e+05
9.0688e-02	8.2519e+10	1.1031e+05
9.2506e-02	8.0840e+10	1.1033e+05
9.4360e-02	7.9133e+10	1.1034e+05
9.6251e-02	7.7533e+10	1.1035e+05
9.8181e-02	7.5977e+10	1.1036e+05
1.0015e-01	7.4451e+10	1.1037e+05
1.0216e-01	7.2902e+10	1.1038e+05
1.0420e-01	7.1419e+10	1.1039e+05
1.0629e-01	6.9944e+10	1.1040e+05
1.0842e-01	6.8461e+10	1.1042e+05
1.1060e-01	6.7060e+10	1.1043e+05
1.1281e-01	6.5674e+10	1.1044e+05
1.1507e-01	6.4310e+10	1.1045e+05
1.1738e-01	6.3031e+10	1.1046e+05
1.1973e-01	6.1758e+10	1.1047e+05
1.2213e-01	6.0468e+10	1.1048e+05
1.2458e-01	5.9260e+10	1.1050e+05
1.2708e-01	5.8027e+10	1.1051e+05
1.2963e-01	5.6844e+10	1.1052e+05
1.3223e-01	5.5640e+10	1.1053e+05
1.3488e-01	5.4490e+10	1.1054e+05
1.3758e-01	5.3360e+10	1.1055e+05
1.4034e-01	5.2266e+10	1.1056e+05
1.4315e-01	5.1190e+10	1.1057e+05
1.4602e-01	5.0113e+10	1.1059e+05
1.4895e-01	4.9061e+10	1.1060e+05
1.5193e-01	4.8042e+10	1.1062e+05
1.5498e-01	4.7027e+10	1.1064e+05
1.5808e-01	4.6046e+10	1.1066e+05
1.6125e-01	4.5108e+10	1.1067e+05
1.6449e-01	4.4175e+10	1.1069e+05
1.6778e-01	4.3269e+10	1.1071e+05
1.7115e-01	4.2370e+10	1.1072e+05
1.7458e-01	4.1484e+10	1.1074e+05
1.7808e-01	4.0608e+10	1.1076e+05
1.8165e-01	3.9761e+10	1.1077e+05
1.8529e-01	3.8964e+10	1.1079e+05
1.8900e-01	3.8137e+10	1.1081e+05
1.9279e-01	3.7326e+10	1.1082e+05
1.9665e-01	3.6493e+10	1.1084e+05
2.0060e-01	3.5719e+10	1.1086e+05
2.0462e-01	3.4986e+10	1.1088e+05
2.0872e-01	3.4266e+10	1.1090e+05
2.1290e-01	3.3539e+10	1.1092e+05
2.1717e-01	3.2856e+10	1.1095e+05
2.2152e-01	3.2170e+10	1.1097e+05
2.2596e-01	3.1498e+10	1.1099e+05
2.3049e-01	3.0855e+10	1.1101e+05
2.3511e-01	3.0225e+10	1.1104e+05
2.3983e-01	2.9596e+10	1.1106e+05
2.4463e-01	2.8974e+10	1.1108e+05
2.4954e-01	2.8357e+10	1.1110e+05
2.5454e-01	2.7770e+10	1.1112e+05
2.5964e-01	2.7184e+10	1.1115e+05
2.6484e-01	2.6624e+10	1.1118e+05
2.7015e-01	2.6065e+10	1.1121e+05
2.7557e-01	2.5510e+10	1.1124e+05
2.8109e-01	2.4957e+10	1.1126e+05
2.8673e-01	2.4428e+10	1.1129e+05
2.9247e-01	2.3920e+10	1.1132e+05
2.9834e-01	2.3429e+10	1.1135e+05
3.0432e-01	2.2929e+10	1.1137e+05
3.1042e-01	2.2440e+10	1.1140e+05
3.1664e-01	2.1962e+10	1.1143e+05
3.2299e-01	2.1503e+10	1.1147e+05
3.2946e-01	2.1053e+10	1.1150e+05
3.3606e-01	2.0630e+10	1.1153e+05
3.4280e-01	2.0212e+10	1.1157e+05
3.4967e-01	1.9777e+10	1.1160e+05
3.5668e-01	1.9374e+10	1.1163e+05
3.6383e-01	1.8977e+10	1.1167e+05
3.7112e-01	1.8583e+10	1.1170e+05
3.7856e-01	1.8199e+10	1.1174e+05
3.8615e-01	1.7823e+10	1.1178e+05
3.9389e-01	1.7458e+10	1.1182e+05
4.0179e-01	1.7083e+10	1.1186e+05
4.0984e-01	1.6719e+10	1.1190e+05
4.1806e-01	1.6364e+10	1.1194e+05
4.2644e-01	1.6027e+10	1.1198e+05
4.3498e-01	1.5693e+10	1.1202e+05
4.4370e-01	1.5361e+10	1.1207e+05
4.5260e-01	1.5039e+10	1.1211e+05
4.6167e-01	1.4721e+10	1.1215e+05
4.7092e-01	1.4418e+10	1.1220e+05
4.8036e-01	1.4113e+10	1.1224e+05
4.8999e-01	1.3814e+10	1.1229e+05
4.9981e-01	1.3524e+10	1.1234e+05
5.0983e-01	1.3242e+10	1.1239e+05
5.2005e-01	1.2956e+10	1.1244e+05
5.3048e-01	1.2686e+10	1.1249e+05
5.4111e-01	1.2422e+10	1.1254e+05
5.5196e-01	1.2157e+10	1.1259e+05
5.6302e-01	1.1898e+10	1.1265e+05
5.7431e-01	1.1653e+10	1.1270e+05
5.8582e-01	1.1392e+10	1.1275e+05
5.9756e-01	1.1143e+10	1.1281e+05
6.0954e-01	1.0901e+10	1.1287e+05
6.2176e-01	1.0682e+10	1.1292e+05
6.3422e-01	1.0466e+10	1.1298e+05
6.4693e-01	1.0243e+10	1.1304e+05
6.5990e-01	1.0022e+10	1.1310e+05
6.7313e-01	9.8043e+09	1.1316e+05
6.8662e-01	9.5916e+09	1.1322e+05
7.0038e-01	9.3801e+09	1.1328e+05
7.1442e-01	9.1788e+09	1.1335e+05
7.2874e-01	8.9877e+09	1.1342e+05
7.4335e-01	8.7895e+09	1.1349e+05
7.5825e-01	8.6031e+09	1.1356e+05
7.7345e-01	8.4220e+09	1.1363e+05
7.8896e-01	8.2446e+09	1.1371e+05
8.0477e-01	8.0610e+09	1.1378e+05
8.2090e-01	7.8882e+09	1.1386e+05
8.3736e-01	7.7068e+09	1.1394e+05
8.5414e-01	7.5358e+09	1.1402e+05
8.7126e-01	7.3734e+09	1.1410e+05
8.8873e-01	7.2101e+09	1.1419e+05
9.0654e-01	7.0576e+09	1.1428e+05
9.2471e-01	6.9044e+09	1.1437e+05
9.4325e-01	6.7563e+09	1.1446e+05
9.6216e-01	6.6096e+09	1.1455e+05
9.8144e-01	6.4673e+09	1.1464e+05
1.0011e+00	6.3244e+09	1.1474e+05
1.0212e+00	6.1843e+09	1.1484e+05
1.0417e+00	6.0527e+09	1.1494e+05
1.0625e+00	5.9181e+09	1.1505e+05
1.0838e+00	5.7905e+09	1.1515e+05
1.1056e+00	5.6660e+09	1.1526e+05
1.1277e+00	5.5463e+09	1.1537e+05
1.1503e+00	5.4302e+09	1.1548e+05
1.1734e+00	5.3093e+09	1.1559e+05
1.1969e+00	5.1921e+09	1.1571e+05
1.2209e+00	5.0768e+09	1.1583e+05
1.2454e+00	4.9665e+09	1.1595e+05
1.2703e+00	4.8568e+09	1.1607e+05
1.2958e+00	4.7507e+09	1.1620e+05
1.3218e+00	4.6489e+09	1.1632e+05
1.3483e+00	4.5463e+09	1.1645e+05
1.3753e+00	4.4451e+09	1.1659e+05
1.4029e+00	4.3464e+09	1.1672e+05
1.4310e+00	4.2488e+09	1.1686e+05
1.4597e+00	4.1548e+09	1.1700e+05
1.4889e+00	4.0622e+09	1.1715e+05
1.5188e+00	3.9732e+09	1.1729e+05
1.5492e+00	3.8849e+09	1.1744e+05
1.5803e+00	3.7994e+09	1.1760e+05
1.6119e+00	3.7161e+09	1.1775e+05
1.6442e+00	3.6317e+09	1.1791e+05
1.6772e+00	3.5526e+09	1.1808e+05
1.7108e+00	3.4748e+09	1.1824e+05
1.7451e+00	3.3990e+09	1.1841e+05
1.7801e+00	3.3225e+09	1.1858e+05
1.8158e+00	3.2440e+09	1.1876e+05
1.8522e+00	3.1708e+09	1.1894e+05
1.8893e+00	3.1011e+09	1.1912e+05
