Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	1.6755e+05
1.5000e-03	0.0000e+00	1.6759e+05
2.0000e-03	0.0000e+00	1.6762e+05
2.5000e-03	0.0000e+00	1.6764e+05
3.0000e-03	0.0000e+00	1.6766e+05
3.5000e-03	0.0000e+00	1.6767e+05
4.0000e-03	0.0000e+00	1.6769e+05
4.5000e-03	0.0000e+00	1.6770e+05
5.0000e-03	0.0000e+00	1.6771e+05
5.5000e-03	0.0000e+00	1.6771e+05
6.0000e-03	0.0000e+00	1.6772e+05
6.5000e-03	0.0000e+00	1.6773e+05
7.0000e-03	0.0000e+00	1.6774e+05
7.5000e-03	0.0000e+00	1.6774e+05
8.0000e-03	0.0000e+00	1.6775e+05
8.5000e-03	0.0000e+00	1.6776e+05
9.0000e-03	0.0000e+00	1.6776e+05
9.5000e-03	0.0000e+00	1.6777e+05
1.0000e-02	0.0000e+00	1.6777e+05
1.5000e-02	0.0000e+00	1.6781e+05
2.0000e-02	0.0000e+00	1.6784e+05
2.5000e-02	0.0000e+00	1.6786e+05
3.0000e-02	0.0000e+00	1.6789e+05
3.5000e-02	0.0000e+00	1.6791e+05
4.0000e-02	0.0000e+00	1.6793e+05
4.5000e-02	0.0000e+00	1.6796e+05
5.0000e-02	6.1878e+11	1.6799e+05
5.1002e-02	6.0592e+11	1.6799e+05
5.2025e-02	5.9342e+11	1.6800e+05
5.3067e-02	5.8123e+11	1.6800e+05
5.4131e-02	5.6929e+11	1.6801e+05
5.5216e-02	5.5783e+11	1.6801e+05
5.6323e-02	5.4642e+11	1.6802e+05
5.7452e-02	5.3507e+11	1.6803e+05
5.8604e-02	5.2391e+11	1.6803e+05
5.9778e-02	5.1289e+11	1.6804e+05
6.0977e-02	5.0192e+11	1.6804e+05
6.2199e-02	4.9172e+11	1.6805e+05
6.3446e-02	4.8141e+11	1.6806e+05
6.4717e-02	4.7117e+11	1.6807e+05
6.6015e-02	4.6132e+11	1.6808e+05
6.7338e-02	4.5146e+11	1.6809e+05
6.8688e-02	4.4184e+11	1.6810e+05
7.0065e-02	4.3271e+11	1.6811e+05
7.1469e-02	4.2367e+11	1.6811e+05
7.2902e-02	4.1470e+11	1.6812e+05
7.4363e-02	4.0611e+11	1.6813e+05
7.5853e-02	3.9771e+11	1.6814e+05
7.7374e-02	3.8949e+11	1.6815e+05
7.8925e-02	3.8144e+11	1.6816e+05
8.0507e-02	3.7352e+11	1.6817e+05
8.2121e-02	3.6587e+11	1.6818e+05
8.3767e-02	3.5838e+11	1.6819e+05
8.5446e-02	3.5086e+11	1.6820e+05
8.7159e-02	3.4385e+11	1.6821e+05
8.8906e-02	3.3688e+11	1.6822e+05
9.0688e-02	3.3008e+11	1.6823e+05
9.2506e-02	3.2336e+11	1.6824e+05
9.4360e-02	3.1653e+11	1.6825e+05
9.6251e-02	3.1013e+11	1.6826e+05
9.8181e-02	3.0391e+11	1.6828e+05
1.0015e-01	2.9780e+11	1.6829e+05
1.0216e-01	2.9161e+11	1.6830e+05
1.0420e-01	2.8567e+11	1.6831e+05
1.0629e-01	2.7977e+11	1.6833e+05
1.0842e-01	2.7384e+11	1.6834e+05
1.1060e-01	2.6824e+11	1.6835e+05
1.1281e-01	2.6270e+11	1.6837e+05
1.1507e-01	2.5724e+11	1.6838e+05
1.1738e-01	2.5212e+11	1.6840e+05
1.1973e-01	2.4703e+11	1.6841e+05
1.2213e-01	2.4187e+11	1.6843e+05
1.2458e-01	2.3704e+11	1.6844e+05
1.2708e-01	2.3211e+11	1.6846e+05
1.2963e-01	2.2738e+11	1.6848e+05
1.3223e-01	2.2256e+11	1.6849e+05
1.3488e-01	2.1796e+11	1.6851e+05
1.3758e-01	2.1344e+11	1.6853e+05
1.4034e-01	2.0906e+11	1.6855e+05
1.4315e-01	2.0476e+11	1.6856e+05
1.4602e-01	2.0045e+11	1.6858e+05
1.4895e-01	1.9624e+11	1.6860e+05
1.5193e-01	1.9217e+11	1.6862e+05
1.5498e-01	1.8811e+11	1.6864e+05
1.5808e-01	1.8418e+11	1.6866e+05
1.6125e-01	1.8043e+11	1.6868e+05
1.6449e-01	1.7670e+11	1.6870e+05
1.6778e-01	1.7307e+11	1.6872e+05
1.7115e-01	1.6948e+11	1.6874e+05
1.7458e-01	1.6594e+11	1.6876e+05
1.7808e-01	1.6243e+11	1.6879e+05
1.8165e-01	1.5904e+11	1.6881e+05
1.8529e-01	1.5586e+11	1.6883e+05
1.8900e-01	1.5255e+11	1.6886e+05
1.9279e-01	1.4931e+11	1.6888e+05
1.9665e-01	1.4597e+11	1.6891e+05
2.0060e-01	1.4288e+11	1.6893e+05
2.0462e-01	1.3994e+11	1.6896e+05
2.0872e-01	1.3707e+11	1.6898e+05
2.1290e-01	1.3416e+11	1.6901e+05
2.1717e-01	1.3142e+11	1.6904e+05
2.2152e-01	1.2868e+11	1.6907e+05
2.2596e-01	1.2599e+11	1.6910e+05
2.3049e-01	1.2342e+11	1.6912e+05
2.3511e-01	1.2090e+11	1.6915e+05
2.3983e-01	1.1838e+11	1.6919e+05
2.4463e-01	1.1589e+11	1.6922e+05
2.4954e-01	1.1343e+11	1.6925e+05
2.5454e-01	1.1108e+11	1.6928e+05
2.5964e-01	1.0873e+11	1.6931e+05
2.6484e-01	1.0650e+11	1.6935e+05
2.7015e-01	1.0426e+11	1.6938e+05
2.7557e-01	1.0204e+11	1.6942e+05
2.8109e-01	9.9828e+10	1.6945e+05
2.8673e-01	9.7712e+10	1.6949e+05
2.9247e-01	9.5681e+10	1.6953e+05
2.9834e-01	9.3716e+10	1.6956e+05
3.0432e-01	9.1717e+10	1.6960e+05
3.1042e-01	8.9761e+10	1.6964e+05
3.1664e-01	8.7849e+10	1.6968e+05
3.2299e-01	8.6013e+10	1.6972e+05
3.2946e-01	8.4213e+10	1.6977e+05
3.3606e-01	8.2520e+10	1.6981e+05
3.4280e-01	8.0847e+10	1.6985e+05
3.4967e-01	7.9110e+10	1.6990e+05
3.5668e-01	7.7496e+10	1.6994e+05
3.6383e-01	7.5909e+10	1.6999e+05
3.7112e-01	7.4330e+10	1.7003e+05
3.7856e-01	7.2797e+10	1.7008e+05
3.8615e-01	7.1292e+10	1.7013e+05
3.9389e-01	6.9833e+10	1.7018e+05
4.0179e-01	6.8332e+10	1.7023e+05
4.0984e-01	6.6875e+10	1.7028e+05
4.1806e-01	6.5457e+10	1.7034e+05
4.2644e-01	6.4107e+10	1.7039e+05
4.3498e-01	6.2770e+10	1.7045e+05
4.4370e-01	6.1445e+10	1.7050e+05
4.5260e-01	6.0158e+10	1.7056e+05
4.6167e-01	5.8884e+10	1.7062e+05
4.7092e-01	5.7673e+10	1.7068e+05
4.8036e-01	5.6452e+10	1.7073e+05
4.8999e-01	5.5256e+10	1.7078e+05
4.9981e-01	5.4098e+10	1.7082e+05
5.0983e-01	5.2970e+10	1.7087e+05
5.2005e-01	5.1825e+10	1.7092e+05
5.3048e-01	5.0744e+10	1.7097e+05
5.4111e-01	4.9690e+10	1.7103e+05
5.5196e-01	4.8628e+10	1.7110e+05
5.6302e-01	4.7592e+10	1.7117e+05
5.7431e-01	4.6611e+10	1.7124e+05
5.8582e-01	4.5568e+10	1.7131e+05
5.9756e-01	4.4573e+10	1.7139e+05
6.0954e-01	4.3606e+10	1.7147e+05
6.2176e-01	4.2728e+10	1.7154e+05
6.3422e-01	4.1862e+10	1.7162e+05
6.4693e-01	4.0974e+10	1.7171e+05
6.5990e-01	4.0087e+10	1.7179e+05
6.7313e-01	3.9217e+10	1.7187e+05
6.8662e-01	3.8367e+10	1.7196e+05
7.0038e-01	3.7521e+10	1.7204e+05
7.1442e-01	3.6715e+10	1.7213e+05
7.2874e-01	3.5951e+10	1.7223e+05
7.4335e-01	3.5158e+10	1.7232e+05
7.5825e-01	3.4413e+10	1.7241e+05
7.7345e-01	3.3688e+10	1.7251e+05
7.8896e-01	3.2978e+10	1.7261e+05
8.0477e-01	3.2244e+10	1.7271e+05
8.2090e-01	3.1553e+10	1.7282e+05
8.3736e-01	3.0827e+10	1.7292e+05
8.5414e-01	3.0143e+10	1.7303e+05
8.7126e-01	2.9493e+10	1.7314e+05
8.8873e-01	2.8840e+10	1.7325e+05
9.0654e-01	2.8230e+10	1.7337e+05
9.2471e-01	2.7617e+10	1.7348e+05
9.4325e-01	2.7025e+10	1.7360e+05
9.6216e-01	2.6438e+10	1.7373e+05
9.8144e-01	2.5869e+10	1.7385e+05
1.0011e+00	2.5298e+10	1.7398e+05
1.0212e+00	2.4737e+10	1.7410e+05
1.0417e+00	2.4211e+10	1.7423e+05
1.0625e+00	2.3673e+10	1.7437e+05
1.0838e+00	2.3162e+10	1.7450e+05
1.1056e+00	2.2664e+10	1.7464e+05
1.1277e+00	2.2185e+10	1.7479e+05
1.1503e+00	2.1721e+10	1.7493e+05
1.1734e+00	2.1237e+10	1.7508e+05
1.1969e+00	2.0768e+10	1.7523e+05
1.2209e+00	2.0307e+10	1.7539e+05
1.2454e+00	1.9866e+10	1.7554e+05
1.2703e+00	1.9427e+10	1.7571e+05
1.2958e+00	1.9003e+10	1.7587e+05
1.3218e+00	1.8596e+10	1.7604e+05
1.3483e+00	1.8185e+10	1.7621e+05
1.3753e+00	1.7781e+10	1.7638e+05
1.4029e+00	1.7385e+10	1.7656e+05
1.4310e+00	1.6995e+10	1.7674e+05
1.4597e+00	1.6619e+10	1.7693e+05
1.4889e+00	1.6249e+10	1.7712e+05
1.5188e+00	1.5893e+10	1.7730e+05
1.5492e+00	1.5540e+10	1.7743e+05
1.5803e+00	1.5197e+10	1.7758e+05
1.6119e+00	1.4864e+10	1.7778e+05
1.6442e+00	1.4527e+10	1.7798e+05
1.6772e+00	1.4210e+10	1.7819e+05
1.7108e+00	1.3899e+10	1.7841e+05
1.7451e+00	1.3596e+10	1.7863e+05
1.7801e+00	1.3290e+10	1.7886e+05
1.8158e+00	1.2976e+10	1.7909e+05
1.8522e+00	1.2683e+10	1.7933e+05
1.8893e+00	1.2404e+10	1.7957e+05
1.9272e+00	1.2122e+10	1.7981e+05
1.9658e+00	1.1851e+10	1.8006e+05
2.0052e+00	1.1585e+10	1.8031e+05
