Energy(MeV) Phi_16 Phi_84
5.000000e-02 1.312972e+11 1.850239e+11
5.100225e-02 1.286991e+11 1.810269e+11
5.202458e-02 1.261900e+11 1.770042e+11
5.306741e-02 1.237028e+11 1.732549e+11
5.413114e-02 1.212748e+11 1.695215e+11
5.521620e-02 1.188821e+11 1.657879e+11
5.632300e-02 1.165183e+11 1.621206e+11
5.745199e-02 1.142069e+11 1.585411e+11
5.860361e-02 1.119397e+11 1.551213e+11
5.977832e-02 1.097132e+11 1.518025e+11
6.097657e-02 1.075861e+11 1.485816e+11
6.219884e-02 1.054885e+11 1.454085e+11
6.344561e-02 1.033981e+11 1.422984e+11
6.471737e-02 1.013797e+11 1.392735e+11
6.601463e-02 9.937830e+10 1.363176e+11
6.733789e-02 9.743264e+10 1.333546e+11
6.868767e-02 9.549910e+10 1.304171e+11
7.006451e-02 9.364172e+10 1.276088e+11
7.146895e-02 9.180275e+10 1.249555e+11
7.290154e-02 8.988532e+10 1.222828e+11
7.436284e-02 8.813156e+10 1.197181e+11
7.585344e-02 8.629297e+10 1.169821e+11
7.737392e-02 8.459367e+10 1.143769e+11
7.892487e-02 8.293703e+10 1.119253e+11
8.050691e-02 8.130439e+10 1.095294e+11
8.212067e-02 7.971193e+10 1.071846e+11
8.376677e-02 7.816449e+10 1.048807e+11
8.544587e-02 7.665031e+10 1.026266e+11
8.715862e-02 7.516852e+10 1.004386e+11
8.890571e-02 7.361838e+10 9.813809e+10
9.068782e-02 7.204405e+10 9.608818e+10
9.250565e-02 7.062485e+10 9.407767e+10
9.435992e-02 6.913287e+10 9.198533e+10
9.625136e-02 6.779170e+10 8.991778e+10
9.818071e-02 6.652296e+10 8.792969e+10
1.001487e-01 6.515823e+10 8.598746e+10
1.021562e-01 6.385882e+10 8.413899e+10
1.042039e-01 6.258040e+10 8.228097e+10
1.062927e-01 6.130948e+10 8.045090e+10
1.084233e-01 6.006642e+10 7.871500e+10
1.105966e-01 5.885157e+10 7.706078e+10
1.128135e-01 5.765748e+10 7.541049e+10
1.150749e-01 5.650081e+10 7.383619e+10
1.173816e-01 5.536624e+10 7.235273e+10
1.197345e-01 5.423501e+10 7.089677e+10
1.221345e-01 5.314656e+10 6.933288e+10
1.245827e-01 5.210308e+10 6.786907e+10
1.270800e-01 5.107865e+10 6.644413e+10
1.296273e-01 5.006006e+10 6.498044e+10
1.322256e-01 4.904263e+10 6.349951e+10
1.348761e-01 4.806786e+10 6.214681e+10
1.375797e-01 4.707282e+10 6.078861e+10
1.403374e-01 4.610358e+10 5.948574e+10
1.431505e-01 4.512085e+10 5.819145e+10
1.460199e-01 4.418116e+10 5.698614e+10
1.489469e-01 4.326765e+10 5.576963e+10
1.519325e-01 4.240833e+10 5.453953e+10
1.549780e-01 4.157703e+10 5.336973e+10
1.580845e-01 4.074146e+10 5.220696e+10
1.612533e-01 3.991460e+10 5.108011e+10
1.644856e-01 3.911250e+10 4.996034e+10
1.677827e-01 3.836163e+10 4.888903e+10
1.711459e-01 3.756786e+10 4.781397e+10
1.745765e-01 3.678308e+10 4.679168e+10
1.780759e-01 3.601960e+10 4.580368e+10
1.816454e-01 3.527745e+10 4.481682e+10
1.852865e-01 3.456680e+10 4.387529e+10
1.890005e-01 3.385481e+10 4.289722e+10
1.927890e-01 3.316929e+10 4.192584e+10
1.966535e-01 3.252754e+10 4.106510e+10
2.005954e-01 3.188618e+10 4.018068e+10
2.046163e-01 3.125282e+10 3.933549e+10
2.087178e-01 3.062301e+10 3.848900e+10
2.129015e-01 2.999530e+10 3.761005e+10
2.171691e-01 2.938958e+10 3.683369e+10
2.215223e-01 2.878133e+10 3.603496e+10
2.259627e-01 2.820603e+10 3.525721e+10
2.304921e-01 2.764466e+10 3.451541e+10
2.351123e-01 2.707217e+10 3.378690e+10
2.398251e-01 2.651522e+10 3.304172e+10
2.446324e-01 2.598480e+10 3.229363e+10
2.495360e-01 2.548753e+10 3.154749e+10
2.545379e-01 2.497696e+10 3.089671e+10
2.596401e-01 2.447037e+10 3.027335e+10
2.648446e-01 2.397192e+10 2.965892e+10
2.701534e-01 2.347095e+10 2.904180e+10
2.755686e-01 2.297937e+10 2.842619e+10
2.810923e-01 2.252855e+10 2.780570e+10
2.867268e-01 2.206028e+10 2.720837e+10
2.924742e-01 2.161431e+10 2.663916e+10
2.983368e-01 2.117688e+10 2.606286e+10
3.043170e-01 2.073633e+10 2.550510e+10
3.104170e-01 2.029565e+10 2.494967e+10
3.166393e-01 1.987383e+10 2.440396e+10
3.229863e-01 1.945247e+10 2.384856e+10
3.294605e-01 1.905174e+10 2.334196e+10
3.360645e-01 1.865887e+10 2.284005e+10
3.428009e-01 1.825190e+10 2.235287e+10
3.496723e-01 1.787603e+10 2.186631e+10
3.566815e-01 1.751680e+10 2.141008e+10
3.638311e-01 1.716104e+10 2.095294e+10
3.711241e-01 1.681270e+10 2.048381e+10
3.785633e-01 1.645518e+10 2.004838e+10
3.861515e-01 1.609669e+10 1.962302e+10
3.938919e-01 1.576545e+10 1.920896e+10
4.017874e-01 1.544551e+10 1.879833e+10
4.098412e-01 1.511035e+10 1.839326e+10
4.180565e-01 1.479070e+10 1.799588e+10
4.264364e-01 1.447855e+10 1.761755e+10
4.349843e-01 1.418177e+10 1.725048e+10
4.437035e-01 1.388833e+10 1.689346e+10
4.525975e-01 1.361788e+10 1.653337e+10
4.616698e-01 1.333390e+10 1.617979e+10
4.709239e-01 1.304596e+10 1.583908e+10
4.803635e-01 1.276559e+10 1.549612e+10
4.899924e-01 1.249052e+10 1.516552e+10
4.998143e-01 1.222030e+10 1.486224e+10
5.098330e-01 1.195765e+10 1.455969e+10
5.200526e-01 1.170391e+10 1.425574e+10
5.304770e-01 1.146935e+10 1.396546e+10
5.411103e-01 1.123574e+10 1.366697e+10
5.519569e-01 1.098472e+10 1.338016e+10
5.630208e-01 1.075628e+10 1.309222e+10
5.743065e-01 1.053369e+10 1.280760e+10
5.858184e-01 1.031303e+10 1.254124e+10
5.975611e-01 1.009386e+10 1.226966e+10
6.095392e-01 9.879851e+09 1.200459e+10
6.217573e-01 9.661194e+09 1.174952e+10
6.342204e-01 9.449229e+09 1.150570e+10
6.469333e-01 9.246613e+09 1.125448e+10
6.599011e-01 9.051795e+09 1.102607e+10
6.731287e-01 8.855882e+09 1.079577e+10
6.866215e-01 8.656480e+09 1.056464e+10
7.003848e-01 8.469724e+09 1.034014e+10
7.144240e-01 8.290740e+09 1.011580e+10
7.287445e-01 8.105040e+09 9.903779e+09
7.433522e-01 7.926361e+09 9.698366e+09
7.582526e-01 7.745607e+09 9.484929e+09
7.734517e-01 7.577125e+09 9.275861e+09
7.889555e-01 7.411403e+09 9.074311e+09
8.047701e-01 7.248194e+09 8.885804e+09
8.209016e-01 7.093728e+09 8.703658e+09
8.373565e-01 6.937917e+09 8.516498e+09
8.541413e-01 6.788753e+09 8.333360e+09
8.712625e-01 6.637135e+09 8.159097e+09
8.887268e-01 6.498001e+09 7.994663e+09
9.065413e-01 6.361279e+09 7.826139e+09
9.247129e-01 6.222213e+09 7.656449e+09
9.432487e-01 6.084251e+09 7.491216e+09
9.621560e-01 5.950017e+09 7.336455e+09
9.814423e-01 5.819512e+09 7.175629e+09
1.001115e+00 5.689630e+09 7.021029e+09
1.021183e+00 5.562019e+09 6.876027e+09
1.041652e+00 5.438184e+09 6.727087e+09
1.062532e+00 5.313832e+09 6.585965e+09
1.083830e+00 5.195789e+09 6.440186e+09
1.105556e+00 5.080782e+09 6.307259e+09
1.127716e+00 4.967532e+09 6.178551e+09
1.150321e+00 4.854095e+09 6.051241e+09
1.173379e+00 4.746251e+09 5.921572e+09
1.196900e+00 4.637378e+09 5.794204e+09
1.220892e+00 4.533283e+09 5.659976e+09
1.245364e+00 4.430241e+09 5.534690e+09
1.270327e+00 4.334030e+09 5.415660e+09
1.295791e+00 4.234302e+09 5.298278e+09
1.321765e+00 4.138344e+09 5.178305e+09
1.348260e+00 4.046416e+09 5.066341e+09
1.375286e+00 3.955702e+09 4.952224e+09
1.402853e+00 3.865611e+09 4.844135e+09
1.430973e+00 3.779559e+09 4.744318e+09
1.459657e+00 3.696233e+09 4.640192e+09
1.488916e+00 3.611861e+09 4.541520e+09
1.518761e+00 3.531263e+09 4.441105e+09
1.549204e+00 3.449963e+09 4.346408e+09
1.580258e+00 3.371837e+09 4.251129e+09
1.611934e+00 3.297394e+09 4.157508e+09
1.644245e+00 3.224899e+09 4.066586e+09
1.677204e+00 3.149921e+09 3.976476e+09
1.710823e+00 3.075400e+09 3.889077e+09
1.745117e+00 3.003301e+09 3.802383e+09
1.780097e+00 2.934272e+09 3.715970e+09
1.815779e+00 2.865749e+09 3.633038e+09
1.852176e+00 2.800232e+09 3.551335e+09
1.889303e+00 2.737271e+09 3.472394e+09
1.927174e+00 2.673617e+09 3.394021e+09
1.965804e+00 2.611918e+09 3.320096e+09
2.005209e+00 2.551037e+09 3.245812e+09
2.045403e+00 2.491290e+09 3.169026e+09
2.086403e+00 2.431314e+09 3.099835e+09
2.128224e+00 2.374995e+09 3.032011e+09
2.170885e+00 2.319801e+09 2.964440e+09
2.214400e+00 2.266188e+09 2.896389e+09
2.258787e+00 2.210619e+09 2.830112e+09
2.304064e+00 2.159592e+09 2.768832e+09
2.350249e+00 2.110123e+09 2.708779e+09
2.397360e+00 2.059996e+09 2.644835e+09
2.445415e+00 2.011698e+09 2.581676e+09
2.494433e+00 1.964195e+09 2.523197e+09
2.544434e+00 1.918694e+09 2.464362e+09
2.595437e+00 1.872467e+09 2.408065e+09
2.647462e+00 1.827088e+09 2.353020e+09
2.700530e+00 1.782735e+09 2.300254e+09
2.754662e+00 1.738106e+09 2.245920e+09
2.809879e+00 1.695487e+09 2.193532e+09
2.866203e+00 1.654997e+09 2.142451e+09
2.923656e+00 1.615140e+09 2.091742e+09
2.982260e+00 1.575752e+09 2.043738e+09
3.042039e+00 1.536689e+09 1.995790e+09
3.103017e+00 1.499565e+09 1.949488e+09
3.165216e+00 1.462446e+09 1.903922e+09
3.228663e+00 1.426527e+09 1.858942e+09
3.293381e+00 1.391943e+09 1.814458e+09
