Energy(MeV) Planare_Fluence(cm^-2*MeV^-1)
5.000000e-02 1.546950e+11
5.100225e-02 1.514807e+11
5.202458e-02 1.483543e+11
5.306741e-02 1.453070e+11
5.413114e-02 1.423226e+11
5.521620e-02 1.394563e+11
5.632300e-02 1.366057e+11
5.745199e-02 1.337665e+11
5.860361e-02 1.309767e+11
5.977832e-02 1.282231e+11
6.097657e-02 1.254797e+11
6.219884e-02 1.229294e+11
6.344561e-02 1.203523e+11
6.471737e-02 1.177922e+11
6.601463e-02 1.153297e+11
6.733789e-02 1.128647e+11
6.868767e-02 1.104600e+11
7.006451e-02 1.081780e+11
7.146895e-02 1.059184e+11
7.290154e-02 1.036754e+11
7.436284e-02 1.015279e+11
7.585344e-02 9.942860e+10
7.737392e-02 9.737260e+10
7.892487e-02 9.536123e+10
8.050691e-02 9.338085e+10
8.212067e-02 9.146757e+10
8.376677e-02 8.959458e+10
8.544587e-02 8.771505e+10
8.715862e-02 8.596247e+10
8.890571e-02 8.422000e+10
9.068782e-02 8.251928e+10
9.250565e-02 8.084011e+10
9.435992e-02 7.913345e+10
9.625136e-02 7.753277e+10
9.818071e-02 7.597663e+10
1.001487e-01 7.445100e+10
1.021562e-01 7.290221e+10
1.042039e-01 7.141868e+10
1.062927e-01 6.994371e+10
1.084233e-01 6.846087e+10
1.105966e-01 6.706048e+10
1.128135e-01 6.567398e+10
1.150749e-01 6.431049e+10
1.173816e-01 6.303080e+10
1.197345e-01 6.175782e+10
1.221345e-01 6.046799e+10
1.245827e-01 5.925960e+10
1.270800e-01 5.802744e+10
1.296273e-01 5.684446e+10
1.322256e-01 5.563989e+10
1.348761e-01 5.448989e+10
1.375797e-01 5.336049e+10
1.403374e-01 5.226571e+10
1.431505e-01 5.119008e+10
1.460199e-01 5.011307e+10
1.489469e-01 4.906061e+10
1.519325e-01 4.804223e+10
1.549780e-01 4.702676e+10
1.580845e-01 4.604606e+10
1.612533e-01 4.510787e+10
1.644856e-01 4.417478e+10
1.677827e-01 4.326869e+10
1.711459e-01 4.237008e+10
1.745765e-01 4.148428e+10
1.780759e-01 4.060840e+10
1.816454e-01 3.976055e+10
1.852865e-01 3.896399e+10
1.890005e-01 3.813725e+10
1.927890e-01 3.732628e+10
1.966535e-01 3.649284e+10
2.005954e-01 3.571900e+10
2.046163e-01 3.498579e+10
2.087178e-01 3.426635e+10
2.129015e-01 3.353881e+10
2.171691e-01 3.285574e+10
