Energy(MeV) Phi_16 Phi_84
5.000000e-02 5.251889e+11 7.400956e+11
5.100225e-02 5.147966e+11 7.241076e+11
5.202458e-02 5.047600e+11 7.080170e+11
5.306741e-02 4.948113e+11 6.930196e+11
5.413114e-02 4.850991e+11 6.780860e+11
5.521620e-02 4.755286e+11 6.631515e+11
5.632300e-02 4.660733e+11 6.484825e+11
5.745199e-02 4.568274e+11 6.341643e+11
5.860361e-02 4.477586e+11 6.204852e+11
5.977832e-02 4.388526e+11 6.072099e+11
6.097657e-02 4.303444e+11 5.943263e+11
6.219884e-02 4.219539e+11 5.816340e+11
6.344561e-02 4.135925e+11 5.691936e+11
6.471737e-02 4.055188e+11 5.570939e+11
6.601463e-02 3.975132e+11 5.452705e+11
6.733789e-02 3.897305e+11 5.334185e+11
6.868767e-02 3.819964e+11 5.216683e+11
7.006451e-02 3.745669e+11 5.104350e+11
7.146895e-02 3.672110e+11 4.998221e+11
7.290154e-02 3.595413e+11 4.891311e+11
7.436284e-02 3.525262e+11 4.788725e+11
7.585344e-02 3.451719e+11 4.679283e+11
7.737392e-02 3.383747e+11 4.575074e+11
7.892487e-02 3.317481e+11 4.477012e+11
8.050691e-02 3.252176e+11 4.381175e+11
8.212067e-02 3.188477e+11 4.287384e+11
8.376677e-02 3.126580e+11 4.195228e+11
8.544587e-02 3.066013e+11 4.105065e+11
8.715862e-02 3.006741e+11 4.017546e+11
8.890571e-02 2.944735e+11 3.925524e+11
9.068782e-02 2.881762e+11 3.843527e+11
9.250565e-02 2.824994e+11 3.763107e+11
9.435992e-02 2.765315e+11 3.679413e+11
9.625136e-02 2.711668e+11 3.596711e+11
9.818071e-02 2.660918e+11 3.517188e+11
1.001487e-01 2.606329e+11 3.439498e+11
1.021562e-01 2.554353e+11 3.365560e+11
1.042039e-01 2.503216e+11 3.291239e+11
1.062927e-01 2.452379e+11 3.218036e+11
1.084233e-01 2.402657e+11 3.148600e+11
1.105966e-01 2.354063e+11 3.082431e+11
1.128135e-01 2.306299e+11 3.016419e+11
1.150749e-01 2.260033e+11 2.953448e+11
1.173816e-01 2.214650e+11 2.894109e+11
1.197345e-01 2.169400e+11 2.835871e+11
1.221345e-01 2.125863e+11 2.773315e+11
1.245827e-01 2.084123e+11 2.714763e+11
1.270800e-01 2.043146e+11 2.657765e+11
1.296273e-01 2.002402e+11 2.599218e+11
1.322256e-01 1.961705e+11 2.539980e+11
1.348761e-01 1.922714e+11 2.485872e+11
1.375797e-01 1.882913e+11 2.431544e+11
1.403374e-01 1.844143e+11 2.379430e+11
1.431505e-01 1.804834e+11 2.327658e+11
1.460199e-01 1.767246e+11 2.279446e+11
1.489469e-01 1.730706e+11 2.230785e+11
1.519325e-01 1.696333e+11 2.181581e+11
1.549780e-01 1.663081e+11 2.134789e+11
1.580845e-01 1.629659e+11 2.088278e+11
1.612533e-01 1.596584e+11 2.043204e+11
1.644856e-01 1.564500e+11 1.998413e+11
1.677827e-01 1.534465e+11 1.955561e+11
1.711459e-01 1.502715e+11 1.912559e+11
1.745765e-01 1.471323e+11 1.871667e+11
1.780759e-01 1.440784e+11 1.832147e+11
1.816454e-01 1.411098e+11 1.792673e+11
1.852865e-01 1.382672e+11 1.755012e+11
1.890005e-01 1.354193e+11 1.715889e+11
1.927890e-01 1.326772e+11 1.677033e+11
1.966535e-01 1.301102e+11 1.642604e+11
2.005954e-01 1.275447e+11 1.607227e+11
2.046163e-01 1.250113e+11 1.573420e+11
2.087178e-01 1.224921e+11 1.539560e+11
2.129015e-01 1.199812e+11 1.504402e+11
2.171691e-01 1.175583e+11 1.473348e+11
2.215223e-01 1.151253e+11 1.441398e+11
2.259627e-01 1.128241e+11 1.410288e+11
2.304921e-01 1.105786e+11 1.380616e+11
2.351123e-01 1.082887e+11 1.351476e+11
2.398251e-01 1.060609e+11 1.321669e+11
2.446324e-01 1.039392e+11 1.291745e+11
2.495360e-01 1.019501e+11 1.261900e+11
2.545379e-01 9.990784e+10 1.235869e+11
2.596401e-01 9.788146e+10 1.210934e+11
2.648446e-01 9.588768e+10 1.186357e+11
2.701534e-01 9.388380e+10 1.161672e+11
2.755686e-01 9.191746e+10 1.137048e+11
2.810923e-01 9.011419e+10 1.112228e+11
2.867268e-01 8.824111e+10 1.088335e+11
2.924742e-01 8.645725e+10 1.065566e+11
2.983368e-01 8.470752e+10 1.042514e+11
3.043170e-01 8.294530e+10 1.020204e+11
3.104170e-01 8.118262e+10 9.979869e+10
3.166393e-01 7.949530e+10 9.761586e+10
3.229863e-01 7.780986e+10 9.539426e+10
3.294605e-01 7.620697e+10 9.336784e+10
3.360645e-01 7.463550e+10 9.136018e+10
3.428009e-01 7.300761e+10 8.941146e+10
3.496723e-01 7.150411e+10 8.746525e+10
3.566815e-01 7.006720e+10 8.564033e+10
3.638311e-01 6.864417e+10 8.381176e+10
3.711241e-01 6.725080e+10 8.193526e+10
3.785633e-01 6.582071e+10 8.019350e+10
3.861515e-01 6.438675e+10 7.849206e+10
3.938919e-01 6.306179e+10 7.683582e+10
4.017874e-01 6.178204e+10 7.519334e+10
4.098412e-01 6.044141e+10 7.357305e+10
4.180565e-01 5.916278e+10 7.198353e+10
4.264364e-01 5.791422e+10 7.047021e+10
4.349843e-01 5.672709e+10 6.900191e+10
4.437035e-01 5.555333e+10 6.757384e+10
4.525975e-01 5.447154e+10 6.613347e+10
4.616698e-01 5.333561e+10 6.471914e+10
4.709239e-01 5.218386e+10 6.335630e+10
4.803635e-01 5.106237e+10 6.198447e+10
4.899924e-01 4.996208e+10 6.066209e+10
4.998143e-01 4.888122e+10 5.944895e+10
5.098330e-01 4.783060e+10 5.823875e+10
5.200526e-01 4.681564e+10 5.702294e+10
5.304770e-01 4.587741e+10 5.586186e+10
5.411103e-01 4.494296e+10 5.466789e+10
5.519569e-01 4.393889e+10 5.352063e+10
5.630208e-01 4.302512e+10 5.236886e+10
5.743065e-01 4.213475e+10 5.123040e+10
5.858184e-01 4.125212e+10 5.016496e+10
5.975611e-01 4.037543e+10 4.907865e+10
6.095392e-01 3.951940e+10 4.801836e+10
6.217573e-01 3.864478e+10 4.699809e+10
6.342204e-01 3.779691e+10 4.602278e+10
6.469333e-01 3.698645e+10 4.501793e+10
6.599011e-01 3.620718e+10 4.410427e+10
6.731287e-01 3.542353e+10 4.318309e+10
6.866215e-01 3.462592e+10 4.225855e+10
7.003848e-01 3.387889e+10 4.136055e+10
7.144240e-01 3.316296e+10 4.046319e+10
7.287445e-01 3.242016e+10 3.961512e+10
7.433522e-01 3.170545e+10 3.879346e+10
7.582526e-01 3.098243e+10 3.793972e+10
7.734517e-01 3.030850e+10 3.710344e+10
7.889555e-01 2.964561e+10 3.629724e+10
8.047701e-01 2.899278e+10 3.554322e+10
8.209016e-01 2.837491e+10 3.481463e+10
8.373565e-01 2.775167e+10 3.406599e+10
8.541413e-01 2.715501e+10 3.333344e+10
8.712625e-01 2.654854e+10 3.263639e+10
8.887268e-01 2.599201e+10 3.197865e+10
9.065413e-01 2.544512e+10 3.130456e+10
9.247129e-01 2.488885e+10 3.062580e+10
9.432487e-01 2.433700e+10 2.996486e+10
9.621560e-01 2.380007e+10 2.934582e+10
9.814423e-01 2.327805e+10 2.870252e+10
1.001115e+00 2.275852e+10 2.808412e+10
1.021183e+00 2.224807e+10 2.750411e+10
1.041652e+00 2.175274e+10 2.690835e+10
1.062532e+00 2.125533e+10 2.634386e+10
1.083830e+00 2.078316e+10 2.576074e+10
1.105556e+00 2.032313e+10 2.522904e+10
1.127716e+00 1.987013e+10 2.471420e+10
1.150321e+00 1.941638e+10 2.420496e+10
1.173379e+00 1.898500e+10 2.368629e+10
1.196900e+00 1.854951e+10 2.317682e+10
1.220892e+00 1.813313e+10 2.263990e+10
1.245364e+00 1.772096e+10 2.213876e+10
1.270327e+00 1.733612e+10 2.166264e+10
1.295791e+00 1.693721e+10 2.119311e+10
1.321765e+00 1.655338e+10 2.071322e+10
1.348260e+00 1.618567e+10 2.026536e+10
1.375286e+00 1.582281e+10 1.980890e+10
1.402853e+00 1.546244e+10 1.937654e+10
1.430973e+00 1.511824e+10 1.897727e+10
1.459657e+00 1.478493e+10 1.856077e+10
1.488916e+00 1.444744e+10 1.816608e+10
1.518761e+00 1.412505e+10 1.776442e+10
1.549204e+00 1.379985e+10 1.738563e+10
1.580258e+00 1.348735e+10 1.700452e+10
1.611934e+00 1.318958e+10 1.663003e+10
1.644245e+00 1.289959e+10 1.626634e+10
1.677204e+00 1.259969e+10 1.590590e+10
1.710823e+00 1.230160e+10 1.555631e+10
1.745117e+00 1.201321e+10 1.520953e+10
1.780097e+00 1.173709e+10 1.486388e+10
1.815779e+00 1.146300e+10 1.453215e+10
1.852176e+00 1.120093e+10 1.420534e+10
1.889303e+00 1.094908e+10 1.388958e+10
1.927174e+00 1.069447e+10 1.357608e+10
1.965804e+00 1.044767e+10 1.328038e+10
2.005209e+00 1.020415e+10 1.298325e+10
2.045403e+00 9.965161e+09 1.267611e+10
2.086403e+00 9.725258e+09 1.239934e+10
2.128224e+00 9.499980e+09 1.212804e+10
2.170885e+00 9.279202e+09 1.185776e+10
2.214400e+00 9.064754e+09 1.158555e+10
2.258787e+00 8.842474e+09 1.132045e+10
2.304064e+00 8.638368e+09 1.107533e+10
2.350249e+00 8.440492e+09 1.083512e+10
2.397360e+00 8.239984e+09 1.057934e+10
2.445415e+00 8.046791e+09 1.032670e+10
2.494433e+00 7.856778e+09 1.009279e+10
2.544434e+00 7.674778e+09 9.857447e+09
2.595437e+00 7.489868e+09 9.632259e+09
2.647462e+00 7.308351e+09 9.412082e+09
2.700530e+00 7.130939e+09 9.201016e+09
2.754662e+00 6.952423e+09 8.983680e+09
2.809879e+00 6.781948e+09 8.774128e+09
2.866203e+00 6.619989e+09 8.569805e+09
2.923656e+00 6.460559e+09 8.366970e+09
2.982260e+00 6.303008e+09 8.174953e+09
3.042039e+00 6.146755e+09 7.983159e+09
3.103017e+00 5.998261e+09 7.797953e+09
3.165216e+00 5.849785e+09 7.615687e+09
3.228663e+00 5.706106e+09 7.435768e+09
3.293381e+00 5.567773e+09 7.257832e+09
3.359397e+00 5.431461e+09 7.085546e+09
3.426736e+00 5.300593e+09 6.916632e+09
