Energy(MeV) Sferica_Fluence(cm^-2*MeV^-1)
5.000000e-02 6.187799e+11
5.100225e-02 6.059226e+11
5.202458e-02 5.934173e+11
5.306741e-02 5.812282e+11
5.413114e-02 5.692904e+11
5.521620e-02 5.578252e+11
5.632300e-02 5.464229e+11
5.745199e-02 5.350661e+11
5.860361e-02 5.239069e+11
5.977832e-02 5.128925e+11
6.097657e-02 5.019187e+11
6.219884e-02 4.917175e+11
6.344561e-02 4.814093e+11
6.471737e-02 4.711687e+11
6.601463e-02 4.613187e+11
6.733789e-02 4.514586e+11
6.868767e-02 4.418400e+11
7.006451e-02 4.327120e+11
7.146895e-02 4.236737e+11
7.290154e-02 4.147014e+11
7.436284e-02 4.061115e+11
7.585344e-02 3.977144e+11
7.737392e-02 3.894904e+11
7.892487e-02 3.814449e+11
8.050691e-02 3.735234e+11
8.212067e-02 3.658703e+11
8.376677e-02 3.583783e+11
8.544587e-02 3.508602e+11
8.715862e-02 3.438499e+11
8.890571e-02 3.368800e+11
9.068782e-02 3.300771e+11
9.250565e-02 3.233604e+11
9.435992e-02 3.165338e+11
9.625136e-02 3.101311e+11
9.818071e-02 3.039065e+11
1.001487e-01 2.978040e+11
1.021562e-01 2.916089e+11
1.042039e-01 2.856747e+11
1.062927e-01 2.797748e+11
1.084233e-01 2.738435e+11
1.105966e-01 2.682419e+11
1.128135e-01 2.626959e+11
1.150749e-01 2.572420e+11
1.173816e-01 2.521232e+11
1.197345e-01 2.470313e+11
1.221345e-01 2.418719e+11
1.245827e-01 2.370384e+11
1.270800e-01 2.321097e+11
1.296273e-01 2.273778e+11
1.322256e-01 2.225596e+11
1.348761e-01 2.179595e+11
1.375797e-01 2.134420e+11
1.403374e-01 2.090629e+11
1.431505e-01 2.047603e+11
1.460199e-01 2.004523e+11
1.489469e-01 1.962424e+11
1.519325e-01 1.921689e+11
1.549780e-01 1.881070e+11
1.580845e-01 1.841843e+11
1.612533e-01 1.804315e+11
1.644856e-01 1.766991e+11
1.677827e-01 1.730748e+11
1.711459e-01 1.694803e+11
1.745765e-01 1.659371e+11
1.780759e-01 1.624336e+11
1.816454e-01 1.590422e+11
1.852865e-01 1.558560e+11
1.890005e-01 1.525490e+11
1.927890e-01 1.493051e+11
1.966535e-01 1.459713e+11
2.005954e-01 1.428760e+11
2.046163e-01 1.399432e+11
2.087178e-01 1.370654e+11
2.129015e-01 1.341552e+11
2.171691e-01 1.314230e+11
2.215223e-01 1.286806e+11
2.259627e-01 1.259937e+11
2.304921e-01 1.234201e+11
2.351123e-01 1.208984e+11
2.398251e-01 1.183827e+11
2.446324e-01 1.158943e+11
2.495360e-01 1.134289e+11
2.545379e-01 1.110784e+11
2.596401e-01 1.087341e+11
2.648446e-01 1.064967e+11
2.701534e-01 1.042581e+11
2.755686e-01 1.020400e+11
2.810923e-01 9.982829e+10
2.867268e-01 9.771215e+10
2.924742e-01 9.568060e+10
2.983368e-01 9.371557e+10
3.043170e-01 9.171712e+10
3.104170e-01 8.976080e+10
3.166393e-01 8.784873e+10
3.229863e-01 8.601286e+10
3.294605e-01 8.421268e+10
3.360645e-01 8.252008e+10
3.428009e-01 8.084691e+10
3.496723e-01 7.910975e+10
3.566815e-01 7.749560e+10
3.638311e-01 7.590853e+10
3.711241e-01 7.433014e+10
3.785633e-01 7.279742e+10
3.861515e-01 7.129152e+10
3.938919e-01 6.983253e+10
4.017874e-01 6.833172e+10
4.098412e-01 6.687522e+10
4.180565e-01 6.545659e+10
4.264364e-01 6.410676e+10
4.349843e-01 6.277026e+10
4.437035e-01 6.144505e+10
4.525975e-01 6.015770e+10
4.616698e-01 5.888422e+10
4.709239e-01 5.767317e+10
4.803635e-01 5.645215e+10
4.899924e-01 5.525648e+10
4.998143e-01 5.409778e+10
5.098330e-01 5.296977e+10
5.200526e-01 5.182542e+10
5.304770e-01 5.074422e+10
5.411103e-01 4.968950e+10
5.519569e-01 4.862830e+10
5.630208e-01 4.759209e+10
5.743065e-01 4.661138e+10
5.858184e-01 4.556823e+10
5.975611e-01 4.457344e+10
6.095392e-01 4.360562e+10
6.217573e-01 4.272805e+10
6.342204e-01 4.186209e+10
6.469333e-01 4.097394e+10
6.599011e-01 4.008708e+10
6.731287e-01 3.921736e+10
6.866215e-01 3.836652e+10
7.003848e-01 3.752052e+10
7.144240e-01 3.671529e+10
7.287445e-01 3.595066e+10
7.433522e-01 3.515785e+10
7.582526e-01 3.441256e+10
7.734517e-01 3.368815e+10
7.889555e-01 3.297835e+10
8.047701e-01 3.224380e+10
8.209016e-01 3.155268e+10
8.373565e-01 3.082718e+10
8.541413e-01 3.014330e+10
8.712625e-01 2.949342e+10
8.887268e-01 2.884046e+10
9.065413e-01 2.823045e+10
9.247129e-01 2.761742e+10
9.432487e-01 2.702512e+10
9.621560e-01 2.643837e+10
9.814423e-01 2.586935e+10
1.001115e+00 2.529765e+10
1.021183e+00 2.473722e+10
1.041652e+00 2.421077e+10
1.062532e+00 2.367258e+10
1.083830e+00 2.316198e+10
1.105556e+00 2.266418e+10
1.127716e+00 2.218528e+10
1.150321e+00 2.172098e+10
1.173379e+00 2.123705e+10
1.196900e+00 2.076825e+10
1.220892e+00 2.030737e+10
1.245364e+00 1.986620e+10
1.270327e+00 1.942714e+10
1.295791e+00 1.900283e+10
1.321765e+00 1.859576e+10
1.348260e+00 1.818540e+10
1.375286e+00 1.778058e+10
1.402853e+00 1.738545e+10
1.430973e+00 1.699501e+10
1.459657e+00 1.661929e+10
1.488916e+00 1.624870e+10
1.518761e+00 1.589264e+10
1.549204e+00 1.553976e+10
1.580258e+00 1.519748e+10
