Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	2.6804e+04
1.5000e-03	0.0000e+00	2.6810e+04
2.0000e-03	0.0000e+00	2.6814e+04
2.5000e-03	0.0000e+00	2.6817e+04
3.0000e-03	0.0000e+00	2.6820e+04
3.5000e-03	0.0000e+00	2.6822e+04
4.0000e-03	0.0000e+00	2.6824e+04
4.5000e-03	0.0000e+00	2.6826e+04
5.0000e-03	0.0000e+00	2.6827e+04
5.5000e-03	0.0000e+00	2.6829e+04
6.0000e-03	0.0000e+00	2.6830e+04
6.5000e-03	0.0000e+00	2.6831e+04
7.0000e-03	0.0000e+00	2.6832e+04
7.5000e-03	0.0000e+00	2.6833e+04
8.0000e-03	0.0000e+00	2.6834e+04
8.5000e-03	0.0000e+00	2.6835e+04
9.0000e-03	0.0000e+00	2.6836e+04
9.5000e-03	0.0000e+00	2.6836e+04
1.0000e-02	0.0000e+00	2.6837e+04
1.5000e-02	0.0000e+00	2.6843e+04
2.0000e-02	0.0000e+00	2.6847e+04
2.5000e-02	0.0000e+00	2.6850e+04
3.0000e-02	0.0000e+00	2.6853e+04
3.5000e-02	0.0000e+00	2.6856e+04
4.0000e-02	0.0000e+00	2.6866e+04
4.5000e-02	0.0000e+00	2.6874e+04
5.0000e-02	1.1816e+11	2.6882e+04
5.1002e-02	1.1529e+11	2.6883e+04
5.2025e-02	1.1260e+11	2.6885e+04
5.3067e-02	1.0992e+11	2.6886e+04
5.4131e-02	1.0729e+11	2.6887e+04
5.5216e-02	1.0473e+11	2.6889e+04
5.6323e-02	1.0223e+11	2.6890e+04
5.7452e-02	9.9834e+10	2.6892e+04
5.8604e-02	9.7494e+10	2.6893e+04
5.9778e-02	9.5232e+10	2.6894e+04
6.0977e-02	9.3005e+10	2.6896e+04
6.2199e-02	9.0817e+10	2.6897e+04
6.3446e-02	8.8657e+10	2.6899e+04
6.4717e-02	8.6510e+10	2.6900e+04
6.6015e-02	8.4466e+10	2.6902e+04
6.7338e-02	8.2486e+10	2.6903e+04
6.8688e-02	8.0566e+10	2.6904e+04
7.0065e-02	7.8664e+10	2.6906e+04
7.1469e-02	7.6798e+10	2.6907e+04
7.2902e-02	7.4983e+10	2.6909e+04
7.4363e-02	7.3214e+10	2.6910e+04
7.5853e-02	7.1476e+10	2.6911e+04
7.7374e-02	6.9795e+10	2.6913e+04
7.8925e-02	6.8164e+10	2.6914e+04
8.0507e-02	6.6570e+10	2.6916e+04
8.2121e-02	6.5014e+10	2.6917e+04
8.3767e-02	6.3436e+10	2.6919e+04
8.5446e-02	6.1946e+10	2.6920e+04
8.7159e-02	6.0502e+10	2.6921e+04
8.8906e-02	5.9080e+10	2.6923e+04
9.0688e-02	5.7685e+10	2.6925e+04
9.2506e-02	5.6317e+10	2.6928e+04
9.4360e-02	5.4973e+10	2.6931e+04
9.6251e-02	5.3684e+10	2.6934e+04
9.8181e-02	5.2413e+10	2.6937e+04
1.0015e-01	5.1165e+10	2.6939e+04
1.0216e-01	4.9965e+10	2.6942e+04
1.0420e-01	4.8793e+10	2.6945e+04
1.0629e-01	4.7630e+10	2.6948e+04
1.0842e-01	4.6524e+10	2.6951e+04
1.1060e-01	4.5424e+10	2.6953e+04
1.1281e-01	4.4368e+10	2.6956e+04
1.1507e-01	4.3336e+10	2.6959e+04
1.1738e-01	4.2307e+10	2.6962e+04
1.1973e-01	4.1302e+10	2.6965e+04
1.2213e-01	4.0322e+10	2.6968e+04
1.2458e-01	3.9353e+10	2.6970e+04
1.2708e-01	3.8414e+10	2.6973e+04
1.2963e-01	3.7487e+10	2.6976e+04
1.3223e-01	3.6583e+10	2.6979e+04
1.3488e-01	3.5709e+10	2.6982e+04
1.3758e-01	3.4857e+10	2.6985e+04
1.4034e-01	3.4027e+10	2.6987e+04
1.4315e-01	3.3204e+10	2.6990e+04
1.4602e-01	3.2396e+10	2.6994e+04
1.4895e-01	3.1621e+10	2.6998e+04
1.5193e-01	3.0863e+10	2.7002e+04
1.5498e-01	3.0134e+10	2.7006e+04
1.5808e-01	2.9403e+10	2.7011e+04
1.6125e-01	2.8703e+10	2.7015e+04
1.6449e-01	2.8006e+10	2.7019e+04
1.6778e-01	2.7333e+10	2.7023e+04
1.7115e-01	2.6688e+10	2.7027e+04
1.7458e-01	2.6052e+10	2.7032e+04
1.7808e-01	2.5408e+10	2.7036e+04
1.8165e-01	2.4796e+10	2.7040e+04
1.8529e-01	2.4206e+10	2.7044e+04
1.8900e-01	2.3612e+10	2.7048e+04
1.9279e-01	2.3040e+10	2.7053e+04
1.9665e-01	2.2468e+10	2.7057e+04
2.0060e-01	2.1931e+10	2.7061e+04
2.0462e-01	2.1402e+10	2.7067e+04
2.0872e-01	2.0885e+10	2.7073e+04
2.1290e-01	2.0377e+10	2.7078e+04
2.1717e-01	1.9873e+10	2.7084e+04
2.2152e-01	1.9384e+10	2.7089e+04
2.2596e-01	1.8903e+10	2.7095e+04
2.3049e-01	1.8440e+10	2.7100e+04
2.3511e-01	1.7991e+10	2.7106e+04
2.3983e-01	1.7554e+10	2.7112e+04
2.4463e-01	1.7126e+10	2.7117e+04
2.4954e-01	1.6711e+10	2.7123e+04
2.5454e-01	1.6305e+10	2.7128e+04
2.5964e-01	1.5899e+10	2.7135e+04
2.6484e-01	1.5519e+10	2.7142e+04
2.7015e-01	1.5136e+10	2.7149e+04
2.7557e-01	1.4770e+10	2.7156e+04
2.8109e-01	1.4409e+10	2.7163e+04
2.8673e-01	1.4060e+10	2.7170e+04
2.9247e-01	1.3717e+10	2.7177e+04
2.9834e-01	1.3382e+10	2.7184e+04
3.0432e-01	1.3055e+10	2.7191e+04
3.1042e-01	1.2737e+10	2.7198e+04
3.1664e-01	1.2425e+10	2.7206e+04
3.2299e-01	1.2120e+10	2.7214e+04
3.2946e-01	1.1823e+10	2.7223e+04
3.3606e-01	1.1529e+10	2.7231e+04
3.4280e-01	1.1240e+10	2.7239e+04
3.4967e-01	1.0967e+10	2.7248e+04
3.5668e-01	1.0702e+10	2.7256e+04
3.6383e-01	1.0437e+10	2.7264e+04
3.7112e-01	1.0176e+10	2.7274e+04
3.7856e-01	9.9220e+09	2.7283e+04
3.8615e-01	9.6704e+09	2.7293e+04
3.9389e-01	9.4325e+09	2.7303e+04
4.0179e-01	9.1930e+09	2.7312e+04
4.0984e-01	8.9603e+09	2.7322e+04
4.1806e-01	8.7373e+09	2.7332e+04
4.2644e-01	8.5222e+09	2.7342e+04
4.3498e-01	8.3110e+09	2.7353e+04
4.4370e-01	8.1052e+09	2.7364e+04
4.5260e-01	7.9015e+09	2.7375e+04
4.6167e-01	7.7022e+09	2.7386e+04
4.7092e-01	7.5098e+09	2.7397e+04
4.8036e-01	7.3266e+09	2.7409e+04
4.8999e-01	7.1439e+09	2.7421e+04
4.9981e-01	6.9642e+09	2.7433e+04
5.0983e-01	6.7873e+09	2.7446e+04
5.2005e-01	6.6153e+09	2.7458e+04
5.3048e-01	6.4476e+09	2.7470e+04
5.4111e-01	6.2841e+09	2.7483e+04
5.5196e-01	6.1289e+09	2.7497e+04
5.6302e-01	5.9758e+09	2.7510e+04
5.7431e-01	5.8241e+09	2.7523e+04
5.8582e-01	5.6765e+09	2.7537e+04
5.9756e-01	5.5334e+09	2.7551e+04
6.0954e-01	5.3948e+09	2.7565e+04
6.2176e-01	5.2585e+09	2.7580e+04
6.3422e-01	5.1257e+09	2.7594e+04
6.4693e-01	4.9928e+09	2.7609e+04
6.5990e-01	4.8688e+09	2.7624e+04
6.7313e-01	4.7437e+09	2.7640e+04
6.8662e-01	4.6217e+09	2.7655e+04
7.0038e-01	4.5043e+09	2.7671e+04
7.1442e-01	4.3857e+09	2.7687e+04
7.2874e-01	4.2726e+09	2.7704e+04
7.4335e-01	4.1635e+09	2.7721e+04
7.5825e-01	4.0574e+09	2.7739e+04
7.7345e-01	3.9530e+09	2.7757e+04
7.8896e-01	3.8507e+09	2.7776e+04
8.0477e-01	3.7504e+09	2.7795e+04
8.2090e-01	3.6530e+09	2.7815e+04
8.3736e-01	3.5602e+09	2.7835e+04
8.5414e-01	3.4695e+09	2.7856e+04
8.7126e-01	3.3798e+09	2.7876e+04
8.8873e-01	3.2920e+09	2.7898e+04
9.0654e-01	3.2074e+09	2.7920e+04
9.2471e-01	3.1241e+09	2.7942e+04
9.4325e-01	3.0422e+09	2.7965e+04
9.6216e-01	2.9624e+09	2.7989e+04
9.8144e-01	2.8864e+09	2.8012e+04
1.0011e+00	2.8111e+09	2.8037e+04
1.0212e+00	2.7377e+09	2.8062e+04
1.0417e+00	2.6654e+09	2.8087e+04
1.0625e+00	2.5958e+09	2.8113e+04
1.0838e+00	2.5280e+09	2.8139e+04
1.1056e+00	2.4607e+09	2.8167e+04
1.1277e+00	2.3964e+09	2.8194e+04
1.1503e+00	2.3328e+09	2.8222e+04
1.1734e+00	2.2706e+09	2.8251e+04
1.1969e+00	2.2100e+09	2.8280e+04
1.2209e+00	2.1516e+09	2.8310e+04
1.2454e+00	2.0946e+09	2.8340e+04
1.2703e+00	2.0395e+09	2.8371e+04
1.2958e+00	1.9853e+09	2.8402e+04
1.3218e+00	1.9324e+09	2.8435e+04
1.3483e+00	1.8810e+09	2.8468e+04
1.3753e+00	1.8318e+09	2.8501e+04
1.4029e+00	1.7842e+09	2.8535e+04
1.4310e+00	1.7361e+09	2.8570e+04
1.4597e+00	1.6896e+09	2.8606e+04
1.4889e+00	1.6447e+09	2.8642e+04
1.5188e+00	1.6001e+09	2.8679e+04
1.5492e+00	1.5576e+09	2.8717e+04
1.5803e+00	1.5164e+09	2.8756e+04
1.6119e+00	1.4760e+09	2.8795e+04
1.6442e+00	1.4360e+09	2.8835e+04
1.6772e+00	1.3977e+09	2.8876e+04
1.7108e+00	1.3600e+09	2.8918e+04
1.7451e+00	1.3233e+09	2.8960e+04
1.7801e+00	1.2873e+09	2.9004e+04
1.8158e+00	1.2526e+09	2.9048e+04
1.8522e+00	1.2182e+09	2.9093e+04
1.8893e+00	1.1854e+09	2.9139e+04
1.9272e+00	1.1528e+09	2.9186e+04
1.9658e+00	1.1211e+09	2.9234e+04
2.0052e+00	1.0903e+09	2.9283e+04
2.0454e+00	1.0604e+09	2.9333e+04
