Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	3.3417e+04
1.5000e-03	0.0000e+00	3.3424e+04
2.0000e-03	0.0000e+00	3.3429e+04
2.5000e-03	0.0000e+00	3.3433e+04
3.0000e-03	0.0000e+00	3.3437e+04
3.5000e-03	0.0000e+00	3.3439e+04
4.0000e-03	0.0000e+00	3.3442e+04
4.5000e-03	0.0000e+00	3.3444e+04
5.0000e-03	0.0000e+00	3.3446e+04
5.5000e-03	0.0000e+00	3.3447e+04
6.0000e-03	0.0000e+00	3.3449e+04
6.5000e-03	0.0000e+00	3.3450e+04
7.0000e-03	0.0000e+00	3.3452e+04
7.5000e-03	0.0000e+00	3.3453e+04
8.0000e-03	0.0000e+00	3.3454e+04
8.5000e-03	0.0000e+00	3.3455e+04
9.0000e-03	0.0000e+00	3.3456e+04
9.5000e-03	0.0000e+00	3.3457e+04
1.0000e-02	0.0000e+00	3.3458e+04
1.5000e-02	0.0000e+00	3.3465e+04
2.0000e-02	0.0000e+00	3.3471e+04
2.5000e-02	0.0000e+00	3.3475e+04
3.0000e-02	0.0000e+00	3.3478e+04
3.5000e-02	0.0000e+00	3.3482e+04
4.0000e-02	0.0000e+00	3.3494e+04
4.5000e-02	0.0000e+00	3.3504e+04
5.0000e-02	1.4339e+11	3.3514e+04
5.1002e-02	1.3984e+11	3.3516e+04
5.2025e-02	1.3633e+11	3.3517e+04
5.3067e-02	1.3295e+11	3.3519e+04
5.4131e-02	1.2966e+11	3.3521e+04
5.5216e-02	1.2644e+11	3.3523e+04
5.6323e-02	1.2328e+11	3.3524e+04
5.7452e-02	1.2024e+11	3.3526e+04
5.8604e-02	1.1721e+11	3.3528e+04
5.9778e-02	1.1429e+11	3.3530e+04
6.0977e-02	1.1147e+11	3.3532e+04
6.2199e-02	1.0865e+11	3.3533e+04
6.3446e-02	1.0597e+11	3.3535e+04
6.4717e-02	1.0328e+11	3.3537e+04
6.6015e-02	1.0076e+11	3.3539e+04
6.7338e-02	9.8214e+10	3.3540e+04
6.8688e-02	9.5725e+10	3.3542e+04
7.0065e-02	9.3346e+10	3.3544e+04
7.1469e-02	9.1037e+10	3.3546e+04
7.2902e-02	8.8791e+10	3.3547e+04
7.4363e-02	8.6580e+10	3.3549e+04
7.5853e-02	8.4411e+10	3.3551e+04
7.7374e-02	8.2334e+10	3.3553e+04
7.8925e-02	8.0288e+10	3.3555e+04
8.0507e-02	7.8263e+10	3.3556e+04
8.2121e-02	7.6323e+10	3.3558e+04
8.3767e-02	7.4431e+10	3.3560e+04
8.5446e-02	7.2599e+10	3.3562e+04
8.7159e-02	7.0795e+10	3.3563e+04
8.8906e-02	6.9038e+10	3.3565e+04
9.0688e-02	6.7343e+10	3.3568e+04
9.2506e-02	6.5647e+10	3.3572e+04
9.4360e-02	6.3991e+10	3.3575e+04
9.6251e-02	6.2414e+10	3.3579e+04
9.8181e-02	6.0877e+10	3.3582e+04
1.0015e-01	5.9368e+10	3.3586e+04
1.0216e-01	5.7854e+10	3.3589e+04
1.0420e-01	5.6414e+10	3.3593e+04
1.0629e-01	5.5019e+10	3.3596e+04
1.0842e-01	5.3636e+10	3.3600e+04
1.1060e-01	5.2268e+10	3.3603e+04
1.1281e-01	5.0935e+10	3.3607e+04
1.1507e-01	4.9699e+10	3.3610e+04
1.1738e-01	4.8457e+10	3.3614e+04
1.1973e-01	4.7231e+10	3.3618e+04
1.2213e-01	4.6075e+10	3.3621e+04
1.2458e-01	4.4924e+10	3.3625e+04
1.2708e-01	4.3785e+10	3.3628e+04
1.2963e-01	4.2720e+10	3.3632e+04
1.3223e-01	4.1687e+10	3.3635e+04
1.3488e-01	4.0646e+10	3.3639e+04
1.3758e-01	3.9650e+10	3.3642e+04
1.4034e-01	3.8667e+10	3.3646e+04
1.4315e-01	3.7725e+10	3.3649e+04
1.4602e-01	3.6790e+10	3.3654e+04
