Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	3.0595e+04
1.5000e-03	0.0000e+00	3.0602e+04
2.0000e-03	0.0000e+00	3.0606e+04
2.5000e-03	0.0000e+00	3.0610e+04
3.0000e-03	0.0000e+00	3.0613e+04
3.5000e-03	0.0000e+00	3.0616e+04
4.0000e-03	0.0000e+00	3.0618e+04
4.5000e-03	0.0000e+00	3.0620e+04
5.0000e-03	0.0000e+00	3.0621e+04
5.5000e-03	0.0000e+00	3.0623e+04
6.0000e-03	0.0000e+00	3.0624e+04
6.5000e-03	0.0000e+00	3.0626e+04
7.0000e-03	0.0000e+00	3.0627e+04
7.5000e-03	0.0000e+00	3.0628e+04
8.0000e-03	0.0000e+00	3.0629e+04
8.5000e-03	0.0000e+00	3.0630e+04
9.0000e-03	0.0000e+00	3.0631e+04
9.5000e-03	0.0000e+00	3.0632e+04
1.0000e-02	0.0000e+00	3.0633e+04
1.5000e-02	0.0000e+00	3.0639e+04
2.0000e-02	0.0000e+00	3.0644e+04
2.5000e-02	0.0000e+00	3.0648e+04
3.0000e-02	0.0000e+00	3.0651e+04
3.5000e-02	0.0000e+00	3.0655e+04
4.0000e-02	0.0000e+00	3.0666e+04
4.5000e-02	0.0000e+00	3.0675e+04
5.0000e-02	1.2993e+11	3.0684e+04
5.1002e-02	1.2671e+11	3.0685e+04
5.2025e-02	1.2362e+11	3.0687e+04
5.3067e-02	1.2064e+11	3.0689e+04
5.4131e-02	1.1768e+11	3.0690e+04
5.5216e-02	1.1485e+11	3.0692e+04
5.6323e-02	1.1209e+11	3.0693e+04
5.7452e-02	1.0936e+11	3.0695e+04
5.8604e-02	1.0670e+11	3.0697e+04
5.9778e-02	1.0409e+11	3.0698e+04
6.0977e-02	1.0157e+11	3.0700e+04
6.2199e-02	9.9114e+10	3.0702e+04
6.3446e-02	9.6708e+10	3.0703e+04
6.4717e-02	9.4378e+10	3.0705e+04
6.6015e-02	9.2076e+10	3.0706e+04
6.7338e-02	8.9891e+10	3.0708e+04
6.8688e-02	8.7683e+10	3.0710e+04
7.0065e-02	8.5514e+10	3.0711e+04
7.1469e-02	8.3423e+10	3.0713e+04
7.2902e-02	8.1388e+10	3.0715e+04
7.4363e-02	7.9433e+10	3.0716e+04
7.5853e-02	7.7484e+10	3.0718e+04
7.7374e-02	7.5614e+10	3.0719e+04
7.8925e-02	7.3784e+10	3.0721e+04
8.0507e-02	7.1953e+10	3.0723e+04
8.2121e-02	7.0206e+10	3.0724e+04
8.3767e-02	6.8531e+10	3.0726e+04
8.5446e-02	6.6858e+10	3.0728e+04
8.7159e-02	6.5265e+10	3.0729e+04
8.8906e-02	6.3667e+10	3.0731e+04
9.0688e-02	6.2130e+10	3.0734e+04
9.2506e-02	6.0598e+10	3.0737e+04
9.4360e-02	5.9130e+10	3.0740e+04
9.6251e-02	5.7683e+10	3.0743e+04
9.8181e-02	5.6285e+10	3.0746e+04
1.0015e-01	5.4900e+10	3.0750e+04
1.0216e-01	5.3563e+10	3.0753e+04
1.0420e-01	5.2263e+10	3.0756e+04
1.0629e-01	5.1004e+10	3.0759e+04
1.0842e-01	4.9758e+10	3.0763e+04
1.1060e-01	4.8545e+10	3.0766e+04
1.1281e-01	4.7355e+10	3.0769e+04
