Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	4.5685e+04
1.5000e-03	0.0000e+00	4.5697e+04
2.0000e-03	0.0000e+00	4.5705e+04
2.5000e-03	0.0000e+00	4.5711e+04
3.0000e-03	0.0000e+00	4.5715e+04
3.5000e-03	0.0000e+00	4.5719e+04
4.0000e-03	0.0000e+00	4.5723e+04
4.5000e-03	0.0000e+00	4.5726e+04
5.0000e-03	0.0000e+00	4.5728e+04
5.5000e-03	0.0000e+00	4.5731e+04
6.0000e-03	0.0000e+00	4.5733e+04
6.5000e-03	0.0000e+00	4.5735e+04
7.0000e-03	0.0000e+00	4.5737e+04
7.5000e-03	0.0000e+00	4.5739e+04
8.0000e-03	0.0000e+00	4.5741e+04
8.5000e-03	0.0000e+00	4.5742e+04
9.0000e-03	0.0000e+00	4.5744e+04
9.5000e-03	0.0000e+00	4.5745e+04
1.0000e-02	0.0000e+00	4.5746e+04
1.5000e-02	0.0000e+00	4.5757e+04
2.0000e-02	0.0000e+00	4.5765e+04
2.5000e-02	0.0000e+00	4.5772e+04
3.0000e-02	0.0000e+00	4.5778e+04
3.5000e-02	0.0000e+00	4.5784e+04
4.0000e-02	0.0000e+00	4.5791e+04
4.5000e-02	0.0000e+00	4.5799e+04
5.0000e-02	4.7264e+11	4.5805e+04
5.1002e-02	4.6116e+11	4.5807e+04
5.2025e-02	4.5040e+11	4.5808e+04
5.3067e-02	4.3968e+11	4.5810e+04
5.4131e-02	4.2916e+11	4.5811e+04
5.5216e-02	4.1891e+11	4.5813e+04
5.6323e-02	4.0892e+11	4.5815e+04
5.7452e-02	3.9934e+11	4.5816e+04
5.8604e-02	3.8998e+11	4.5818e+04
5.9778e-02	3.8093e+11	4.5820e+04
6.0977e-02	3.7202e+11	4.5822e+04
6.2199e-02	3.6327e+11	4.5824e+04
6.3446e-02	3.5463e+11	4.5826e+04
6.4717e-02	3.4604e+11	4.5828e+04
6.6015e-02	3.3786e+11	4.5831e+04
