Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	5.7522e+04
1.5000e-03	0.0000e+00	5.7536e+04
2.0000e-03	0.0000e+00	5.7546e+04
2.5000e-03	0.0000e+00	5.7553e+04
3.0000e-03	0.0000e+00	5.7559e+04
3.5000e-03	0.0000e+00	5.7564e+04
4.0000e-03	0.0000e+00	5.7569e+04
4.5000e-03	0.0000e+00	5.7572e+04
5.0000e-03	0.0000e+00	5.7576e+04
5.5000e-03	0.0000e+00	5.7579e+04
6.0000e-03	0.0000e+00	5.7582e+04
6.5000e-03	0.0000e+00	5.7584e+04
7.0000e-03	0.0000e+00	5.7587e+04
7.5000e-03	0.0000e+00	5.7589e+04
8.0000e-03	0.0000e+00	5.7591e+04
8.5000e-03	0.0000e+00	5.7593e+04
9.0000e-03	0.0000e+00	5.7595e+04
9.5000e-03	0.0000e+00	5.7597e+04
1.0000e-02	0.0000e+00	5.7598e+04
1.5000e-02	0.0000e+00	5.7612e+04
2.0000e-02	0.0000e+00	5.7622e+04
2.5000e-02	0.0000e+00	5.7631e+04
3.0000e-02	0.0000e+00	5.7639e+04
3.5000e-02	0.0000e+00	5.7646e+04
4.0000e-02	0.0000e+00	5.7654e+04
4.5000e-02	0.0000e+00	5.7664e+04
5.0000e-02	5.7355e+11	5.7673e+04
5.1002e-02	5.5936e+11	5.7675e+04
5.2025e-02	5.4531e+11	5.7676e+04
5.3067e-02	5.3180e+11	5.7678e+04
5.4131e-02	5.1862e+11	5.7680e+04
5.5216e-02	5.0575e+11	5.7682e+04
5.6323e-02	4.9311e+11	5.7685e+04
5.7452e-02	4.8096e+11	5.7687e+04
5.8604e-02	4.6885e+11	5.7689e+04
5.9778e-02	4.5717e+11	5.7691e+04
6.0977e-02	4.4588e+11	5.7693e+04
6.2199e-02	4.3460e+11	5.7696e+04
6.3446e-02	4.2388e+11	5.7699e+04
6.4717e-02	4.1313e+11	5.7702e+04
6.6015e-02	4.0304e+11	5.7705e+04
6.7338e-02	3.9286e+11	5.7708e+04
6.8688e-02	3.8290e+11	5.7711e+04
7.0065e-02	3.7338e+11	5.7714e+04
7.1469e-02	3.6415e+11	5.7717e+04
7.2902e-02	3.5516e+11	5.7720e+04
7.4363e-02	3.4632e+11	5.7723e+04
7.5853e-02	3.3764e+11	5.7726e+04
7.7374e-02	3.2934e+11	5.7729e+04
7.8925e-02	3.2115e+11	5.7733e+04
8.0507e-02	3.1305e+11	5.7736e+04
8.2121e-02	3.0529e+11	5.7739e+04
8.3767e-02	2.9772e+11	5.7743e+04
8.5446e-02	2.9039e+11	5.7746e+04
8.7159e-02	2.8318e+11	5.7750e+04
8.8906e-02	2.7615e+11	5.7753e+04
9.0688e-02	2.6937e+11	5.7757e+04
9.2506e-02	2.6259e+11	5.7760e+04
9.4360e-02	2.5596e+11	5.7764e+04
9.6251e-02	2.4966e+11	5.7768e+04
9.8181e-02	2.4351e+11	5.7772e+04
1.0015e-01	2.3747e+11	5.7777e+04
1.0216e-01	2.3142e+11	5.7781e+04
1.0420e-01	2.2566e+11	5.7786e+04
1.0629e-01	2.2008e+11	5.7790e+04
1.0842e-01	2.1455e+11	5.7795e+04
1.1060e-01	2.0907e+11	5.7799e+04
1.1281e-01	2.0374e+11	5.7804e+04
1.1507e-01	1.9880e+11	5.7809e+04
1.1738e-01	1.9383e+11	5.7814e+04
1.1973e-01	1.8892e+11	5.7819e+04
1.2213e-01	1.8430e+11	5.7825e+04
1.2458e-01	1.7970e+11	5.7830e+04
1.2708e-01	1.7514e+11	5.7836e+04
1.2963e-01	1.7088e+11	5.7842e+04
1.3223e-01	1.6675e+11	5.7848e+04
1.3488e-01	1.6258e+11	5.7854e+04
1.3758e-01	1.5860e+11	5.7860e+04
1.4034e-01	1.5467e+11	5.7866e+04
1.4315e-01	1.5090e+11	5.7872e+04
1.4602e-01	1.4716e+11	5.7878e+04
1.4895e-01	1.4342e+11	5.7884e+04
1.5193e-01	1.3984e+11	5.7891e+04
1.5498e-01	1.3639e+11	5.7898e+04
1.5808e-01	1.3298e+11	5.7905e+04
1.6125e-01	1.2970e+11	5.7912e+04
1.6449e-01	1.2649e+11	5.7919e+04
1.6778e-01	1.2336e+11	5.7926e+04
1.7115e-01	1.2032e+11	5.7933e+04
1.7458e-01	1.1730e+11	5.7941e+04
1.7808e-01	1.1439e+11	5.7949e+04
1.8165e-01	1.1160e+11	5.7957e+04
1.8529e-01	1.0880e+11	5.7965e+04
1.8900e-01	1.0610e+11	5.7974e+04
1.9279e-01	1.0348e+11	5.7982e+04
1.9665e-01	1.0088e+11	5.7991e+04
2.0060e-01	9.8344e+10	5.7999e+04
2.0462e-01	9.5924e+10	5.8008e+04
2.0872e-01	9.3529e+10	5.8017e+04
2.1290e-01	9.1211e+10	5.8027e+04
2.1717e-01	8.8903e+10	5.8036e+04
2.2152e-01	8.6676e+10	5.8046e+04
2.2596e-01	8.4504e+10	5.8056e+04
2.3049e-01	8.2461e+10	5.8065e+04
2.3511e-01	8.0476e+10	5.8076e+04
2.3983e-01	7.8462e+10	5.8086e+04
2.4463e-01	7.6486e+10	5.8097e+04
2.4954e-01	7.4592e+10	5.8108e+04
2.5454e-01	7.2693e+10	5.8120e+04
2.5964e-01	7.0919e+10	5.8131e+04
2.6484e-01	6.9125e+10	5.8143e+04
2.7015e-01	6.7416e+10	5.8155e+04
2.7557e-01	6.5740e+10	5.8167e+04
2.8109e-01	6.4083e+10	5.8179e+04
2.8673e-01	6.2470e+10	5.8191e+04
2.9247e-01	6.0928e+10	5.8204e+04
2.9834e-01	5.9430e+10	5.8217e+04
3.0432e-01	5.7980e+10	5.8230e+04
3.1042e-01	5.6606e+10	5.8244e+04
3.1664e-01	5.5191e+10	5.8258e+04
3.2299e-01	5.3819e+10	5.8273e+04
3.2946e-01	5.2485e+10	5.8287e+04
3.3606e-01	5.1158e+10	5.8302e+04
3.4280e-01	4.9893e+10	5.8317e+04
3.4967e-01	4.8647e+10	5.8332e+04
