Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	5.2585e+04
1.5000e-03	0.0000e+00	5.2598e+04
2.0000e-03	0.0000e+00	5.2607e+04
2.5000e-03	0.0000e+00	5.2614e+04
3.0000e-03	0.0000e+00	5.2619e+04
3.5000e-03	0.0000e+00	5.2624e+04
4.0000e-03	0.0000e+00	5.2628e+04
4.5000e-03	0.0000e+00	5.2631e+04
5.0000e-03	0.0000e+00	5.2634e+04
5.5000e-03	0.0000e+00	5.2637e+04
6.0000e-03	0.0000e+00	5.2640e+04
6.5000e-03	0.0000e+00	5.2642e+04
7.0000e-03	0.0000e+00	5.2644e+04
7.5000e-03	0.0000e+00	5.2646e+04
8.0000e-03	0.0000e+00	5.2648e+04
8.5000e-03	0.0000e+00	5.2650e+04
9.0000e-03	0.0000e+00	5.2652e+04
9.5000e-03	0.0000e+00	5.2653e+04
1.0000e-02	0.0000e+00	5.2655e+04
1.5000e-02	0.0000e+00	5.2667e+04
2.0000e-02	0.0000e+00	5.2677e+04
2.5000e-02	0.0000e+00	5.2685e+04
3.0000e-02	0.0000e+00	5.2692e+04
3.5000e-02	0.0000e+00	5.2698e+04
4.0000e-02	0.0000e+00	5.2706e+04
4.5000e-02	0.0000e+00	5.2715e+04
5.0000e-02	5.1970e+11	5.2723e+04
5.1002e-02	5.0682e+11	5.2725e+04
5.2025e-02	4.9449e+11	5.2726e+04
5.3067e-02	4.8257e+11	5.2728e+04
5.4131e-02	4.7071e+11	5.2730e+04
5.5216e-02	4.5942e+11	5.2732e+04
5.6323e-02	4.4835e+11	5.2734e+04
5.7452e-02	4.3744e+11	5.2736e+04
5.8604e-02	4.2678e+11	5.2737e+04
5.9778e-02	4.1636e+11	5.2739e+04
6.0977e-02	4.0626e+11	5.2742e+04
6.2199e-02	3.9646e+11	5.2744e+04
6.3446e-02	3.8683e+11	5.2747e+04
6.4717e-02	3.7751e+11	5.2749e+04
6.6015e-02	3.6830e+11	5.2752e+04
6.7338e-02	3.5956e+11	5.2755e+04
6.8688e-02	3.5073e+11	5.2758e+04
7.0065e-02	3.4206e+11	5.2761e+04
7.1469e-02	3.3369e+11	5.2763e+04
7.2902e-02	3.2555e+11	5.2766e+04
7.4363e-02	3.1773e+11	5.2769e+04
7.5853e-02	3.0994e+11	5.2772e+04
7.7374e-02	3.0246e+11	5.2775e+04
7.8925e-02	2.9514e+11	5.2778e+04
8.0507e-02	2.8781e+11	5.2781e+04
8.2121e-02	2.8082e+11	5.2784e+04
8.3767e-02	2.7412e+11	5.2787e+04
8.5446e-02	2.6743e+11	5.2790e+04
8.7159e-02	2.6106e+11	5.2793e+04
8.8906e-02	2.5467e+11	5.2797e+04
9.0688e-02	2.4852e+11	5.2800e+04
9.2506e-02	2.4239e+11	5.2803e+04
9.4360e-02	2.3652e+11	5.2807e+04
9.6251e-02	2.3073e+11	5.2810e+04
9.8181e-02	2.2514e+11	5.2814e+04
1.0015e-01	2.1960e+11	5.2818e+04
1.0216e-01	2.1425e+11	5.2822e+04
1.0420e-01	2.0905e+11	5.2826e+04
1.0629e-01	2.0402e+11	5.2830e+04
1.0842e-01	1.9903e+11	5.2835e+04
1.1060e-01	1.9418e+11	5.2839e+04
1.1281e-01	1.8942e+11	5.2843e+04
1.1507e-01	1.8492e+11	5.2848e+04
1.1738e-01	1.8036e+11	5.2852e+04
