Energy(MeV) Phi_16 Phi_84
5.000000e-02 1.181610e+11 1.433885e+11
5.100225e-02 1.152895e+11 1.398411e+11
5.202458e-02 1.126008e+11 1.363267e+11
5.306741e-02 1.099209e+11 1.329489e+11
5.413114e-02 1.072899e+11 1.296551e+11
5.521620e-02 1.047276e+11 1.264365e+11
5.632300e-02 1.022306e+11 1.232765e+11
5.745199e-02 9.983405e+10 1.202403e+11
5.860361e-02 9.749423e+10 1.172119e+11
5.977832e-02 9.523213e+10 1.142937e+11
6.097657e-02 9.300524e+10 1.114690e+11
6.219884e-02 9.081669e+10 1.086490e+11
6.344561e-02 8.865697e+10 1.059690e+11
6.471737e-02 8.651038e+10 1.032830e+11
6.601463e-02 8.446602e+10 1.007590e+11
6.733789e-02 8.248559e+10 9.821431e+10
6.868767e-02 8.056634e+10 9.572515e+10
7.006451e-02 7.866427e+10 9.334559e+10
7.146895e-02 7.679817e+10 9.103672e+10
7.290154e-02 7.498335e+10 8.879103e+10
7.436284e-02 7.321407e+10 8.657965e+10
7.585344e-02 7.147572e+10 8.441087e+10
7.737392e-02 6.979489e+10 8.233427e+10
7.892487e-02 6.816416e+10 8.028805e+10
8.050691e-02 6.657045e+10 7.826343e+10
8.212067e-02 6.501361e+10 7.632325e+10
8.376677e-02 6.343603e+10 7.443097e+10
8.544587e-02 6.194610e+10 7.259868e+10
8.715862e-02 6.050222e+10 7.079483e+10
8.890571e-02 5.908044e+10 6.903836e+10
9.068782e-02 5.768543e+10 6.734319e+10
9.250565e-02 5.631651e+10 6.564723e+10
9.435992e-02 5.497326e+10 6.399121e+10
9.625136e-02 5.368402e+10 6.241387e+10
9.818071e-02 5.241295e+10 6.087670e+10
1.001487e-01 5.116452e+10 5.936754e+10
1.021562e-01 4.996465e+10 5.785431e+10
1.042039e-01 4.879255e+10 5.641414e+10
1.062927e-01 4.762980e+10 5.501885e+10
1.084233e-01 4.652376e+10 5.363627e+10
1.105966e-01 4.542423e+10 5.226807e+10
1.128135e-01 4.436764e+10 5.093471e+10
1.150749e-01 4.333569e+10 4.969899e+10
1.173816e-01 4.230741e+10 4.845696e+10
1.197345e-01 4.130198e+10 4.723087e+10
1.221345e-01 4.032210e+10 4.607506e+10
1.245827e-01 3.935276e+10 4.492442e+10
1.270800e-01 3.841350e+10 4.378540e+10
1.296273e-01 3.748678e+10 4.271959e+10
1.322256e-01 3.658268e+10 4.168720e+10
1.348761e-01 3.570894e+10 4.064591e+10
1.375797e-01 3.485702e+10 3.964955e+10
1.403374e-01 3.402700e+10 3.866685e+10
1.431505e-01 3.320366e+10 3.772470e+10
1.460199e-01 3.239624e+10 3.679015e+10
1.489469e-01 3.162136e+10 3.585398e+10
1.519325e-01 3.086311e+10 3.495962e+10
1.549780e-01 3.013400e+10 3.409827e+10
1.580845e-01 2.940293e+10 3.324515e+10
1.612533e-01 2.870303e+10 3.242544e+10
1.644856e-01 2.800608e+10 3.162176e+10
1.677827e-01 2.733261e+10 3.084026e+10
1.711459e-01 2.668820e+10 3.007991e+10
1.745765e-01 2.605163e+10 2.932545e+10
1.780759e-01 2.540834e+10 2.859768e+10
1.816454e-01 2.479647e+10 2.789892e+10
1.852865e-01 2.420578e+10 2.719930e+10
1.890005e-01 2.361167e+10 2.652585e+10
1.927890e-01 2.304033e+10 2.586971e+10
1.966535e-01 2.246817e+10 2.521880e+10
2.005954e-01 2.193106e+10 2.458604e+10
2.046163e-01 2.140213e+10 2.398089e+10
2.087178e-01 2.088485e+10 2.338219e+10
2.129015e-01 2.037672e+10 2.280279e+10
2.171691e-01 1.987339e+10 2.222582e+10
2.215223e-01 1.938352e+10 2.166889e+10
2.259627e-01 1.890265e+10 2.112606e+10
2.304921e-01 1.843981e+10 2.061523e+10
2.351123e-01 1.799106e+10 2.011898e+10
2.398251e-01 1.755354e+10 1.961557e+10
2.446324e-01 1.712577e+10 1.912141e+10
2.495360e-01 1.671060e+10 1.864812e+10
2.545379e-01 1.630518e+10 1.817316e+10
2.596401e-01 1.589948e+10 1.772983e+10
2.648446e-01 1.551865e+10 1.728115e+10
2.701534e-01 1.513607e+10 1.685398e+10
