Energy(MeV) Phi_16 Phi_84
5.000000e-02 4.726441e+11 5.735540e+11
5.100225e-02 4.611582e+11 5.593644e+11
5.202458e-02 4.504034e+11 5.453069e+11
5.306741e-02 4.396837e+11 5.317955e+11
5.413114e-02 4.291594e+11 5.186205e+11
5.521620e-02 4.189105e+11 5.057460e+11
5.632300e-02 4.089224e+11 4.931062e+11
5.745199e-02 3.993362e+11 4.809613e+11
5.860361e-02 3.899769e+11 4.688475e+11
5.977832e-02 3.809285e+11 4.571748e+11
6.097657e-02 3.720210e+11 4.458760e+11
6.219884e-02 3.632668e+11 4.345960e+11
6.344561e-02 3.546279e+11 4.238761e+11
6.471737e-02 3.460415e+11 4.131319e+11
6.601463e-02 3.378641e+11 4.030360e+11
6.733789e-02 3.299424e+11 3.928572e+11
6.868767e-02 3.222654e+11 3.829006e+11
7.006451e-02 3.146571e+11 3.733824e+11
7.146895e-02 3.071927e+11 3.641469e+11
7.290154e-02 2.999334e+11 3.551641e+11
7.436284e-02 2.928563e+11 3.463186e+11
7.585344e-02 2.859029e+11 3.376435e+11
7.737392e-02 2.791796e+11 3.293371e+11
7.892487e-02 2.726567e+11 3.211522e+11
8.050691e-02 2.662818e+11 3.130537e+11
8.212067e-02 2.600544e+11 3.052930e+11
8.376677e-02 2.537441e+11 2.977239e+11
8.544587e-02 2.477844e+11 2.903947e+11
8.715862e-02 2.420089e+11 2.831793e+11
8.890571e-02 2.363218e+11 2.761534e+11
9.068782e-02 2.307417e+11 2.693727e+11
9.250565e-02 2.252661e+11 2.625889e+11
9.435992e-02 2.198930e+11 2.559648e+11
9.625136e-02 2.147361e+11 2.496555e+11
9.818071e-02 2.096518e+11 2.435068e+11
1.001487e-01 2.046581e+11 2.374702e+11
1.021562e-01 1.998586e+11 2.314173e+11
1.042039e-01 1.951702e+11 2.256566e+11
1.062927e-01 1.905192e+11 2.200754e+11
1.084233e-01 1.860950e+11 2.145451e+11
1.105966e-01 1.816969e+11 2.090723e+11
1.128135e-01 1.774706e+11 2.037388e+11
1.150749e-01 1.733427e+11 1.987959e+11
1.173816e-01 1.692297e+11 1.938279e+11
1.197345e-01 1.652079e+11 1.889235e+11
1.221345e-01 1.612884e+11 1.843003e+11
1.245827e-01 1.574111e+11 1.796977e+11
1.270800e-01 1.536540e+11 1.751416e+11
1.296273e-01 1.499471e+11 1.708784e+11
1.322256e-01 1.463307e+11 1.667488e+11
1.348761e-01 1.428357e+11 1.625836e+11
1.375797e-01 1.394281e+11 1.585982e+11
1.403374e-01 1.361080e+11 1.546674e+11
1.431505e-01 1.328146e+11 1.508988e+11
1.460199e-01 1.295850e+11 1.471606e+11
1.489469e-01 1.264854e+11 1.434159e+11
1.519325e-01 1.234524e+11 1.398385e+11
1.549780e-01 1.205360e+11 1.363931e+11
1.580845e-01 1.176117e+11 1.329806e+11
1.612533e-01 1.148121e+11 1.297018e+11
1.644856e-01 1.120243e+11 1.264871e+11
1.677827e-01 1.093304e+11 1.233610e+11
1.711459e-01 1.067528e+11 1.203197e+11
1.745765e-01 1.042065e+11 1.173018e+11
1.780759e-01 1.016333e+11 1.143907e+11
1.816454e-01 9.918588e+10 1.115957e+11
1.852865e-01 9.682313e+10 1.087972e+11
1.890005e-01 9.444669e+10 1.061034e+11
1.927890e-01 9.216132e+10 1.034788e+11
1.966535e-01 8.987269e+10 1.008752e+11
2.005954e-01 8.772423e+10 9.834416e+10
2.046163e-01 8.560851e+10 9.592354e+10
2.087178e-01 8.353940e+10 9.352875e+10
2.129015e-01 8.150688e+10 9.121115e+10
2.171691e-01 7.949357e+10 8.890327e+10
2.215223e-01 7.753409e+10 8.667556e+10
2.259627e-01 7.561060e+10 8.450425e+10
2.304921e-01 7.375924e+10 8.246091e+10
2.351123e-01 7.196422e+10 8.047593e+10
2.398251e-01 7.021417e+10 7.846227e+10
2.446324e-01 6.850309e+10 7.648565e+10
2.495360e-01 6.684241e+10 7.459248e+10
2.545379e-01 6.522074e+10 7.269262e+10
2.596401e-01 6.359793e+10 7.091934e+10
2.648446e-01 6.207460e+10 6.912461e+10
2.701534e-01 6.054429e+10 6.741592e+10
2.755686e-01 5.908053e+10 6.574043e+10
2.810923e-01 5.763775e+10 6.408330e+10
