Energy(MeV) Sferica_Fluence(cm^-2*MeV^-1)
5.000000e-02 5.197046e+11
5.100225e-02 5.068206e+11
5.202458e-02 4.944881e+11
5.306741e-02 4.825715e+11
5.413114e-02 4.707054e+11
5.521620e-02 4.594151e+11
5.632300e-02 4.483483e+11
5.745199e-02 4.374362e+11
5.860361e-02 4.267813e+11
5.977832e-02 4.163550e+11
6.097657e-02 4.062641e+11
6.219884e-02 3.964573e+11
6.344561e-02 3.868332e+11
6.471737e-02 3.775139e+11
6.601463e-02 3.683046e+11
6.733789e-02 3.595633e+11
6.868767e-02 3.507319e+11
7.006451e-02 3.420555e+11
7.146895e-02 3.336905e+11
7.290154e-02 3.255501e+11
7.436284e-02 3.177328e+11
7.585344e-02 3.099372e+11
7.737392e-02 3.024558e+11
7.892487e-02 2.951358e+11
8.050691e-02 2.878124e+11
8.212067e-02 2.808223e+11
8.376677e-02 2.741224e+11
8.544587e-02 2.674328e+11
8.715862e-02 2.610604e+11
8.890571e-02 2.546665e+11
9.068782e-02 2.485185e+11
9.250565e-02 2.423927e+11
9.435992e-02 2.365192e+11
9.625136e-02 2.307318e+11
9.818071e-02 2.251385e+11
1.001487e-01 2.195995e+11
1.021562e-01 2.142508e+11
1.042039e-01 2.090525e+11
1.062927e-01 2.040157e+11
1.084233e-01 1.990316e+11
1.105966e-01 1.941798e+11
1.128135e-01 1.894193e+11
1.150749e-01 1.849191e+11
1.173816e-01 1.803623e+11
1.197345e-01 1.760203e+11
1.221345e-01 1.717877e+11
1.245827e-01 1.676026e+11
1.270800e-01 1.634424e+11
1.296273e-01 1.594199e+11
1.322256e-01 1.554966e+11
1.348761e-01 1.516875e+11
1.375797e-01 1.479856e+11
1.403374e-01 1.443737e+11
1.431505e-01 1.408783e+11
1.460199e-01 1.374162e+11
1.489469e-01 1.340786e+11
1.519325e-01 1.308301e+11
1.549780e-01 1.276205e+11
1.580845e-01 1.245201e+11
1.612533e-01 1.215512e+11
1.644856e-01 1.185825e+11
1.677827e-01 1.157519e+11
1.711459e-01 1.129181e+11
1.745765e-01 1.101506e+11
1.780759e-01 1.074607e+11
1.816454e-01 1.048448e+11
1.852865e-01 1.022909e+11
1.890005e-01 9.981780e+10
1.927890e-01 9.738381e+10
1.966535e-01 9.499910e+10
2.005954e-01 9.269708e+10
2.046163e-01 9.043643e+10
2.087178e-01 8.823930e+10
2.129015e-01 8.606843e+10
2.171691e-01 8.392574e+10
2.215223e-01 8.189631e+10
2.259627e-01 7.989924e+10
2.304921e-01 7.794560e+10
2.351123e-01 7.604424e+10
2.398251e-01 7.415640e+10
2.446324e-01 7.232233e+10
2.495360e-01 7.054095e+10
2.545379e-01 6.882116e+10
2.596401e-01 6.709413e+10
2.648446e-01 6.542616e+10
2.701534e-01 6.382199e+10
2.755686e-01 6.224627e+10
2.810923e-01 6.071144e+10
2.867268e-01 5.921852e+10
2.924742e-01 5.776377e+10
2.983368e-01 5.636762e+10
3.043170e-01 5.497554e+10
3.104170e-01 5.364132e+10
3.166393e-01 5.230915e+10
3.229863e-01 5.102425e+10
3.294605e-01 4.972909e+10
3.360645e-01 4.850115e+10
3.428009e-01 4.731150e+10
3.496723e-01 4.615813e+10
3.566815e-01 4.500550e+10
3.638311e-01 4.389102e+10
3.711241e-01 4.282386e+10
3.785633e-01 4.177879e+10
3.861515e-01 4.074141e+10
3.938919e-01 3.972076e+10
4.017874e-01 3.874681e+10
4.098412e-01 3.779074e+10
4.180565e-01 3.686574e+10
4.264364e-01 3.595588e+10
4.349843e-01 3.506058e+10
4.437035e-01 3.419718e+10
4.525975e-01 3.334760e+10
4.616698e-01 3.250883e+10
4.709239e-01 3.170587e+10
4.803635e-01 3.091173e+10
4.899924e-01 3.013727e+10
4.998143e-01 2.939474e+10
5.098330e-01 2.866232e+10
5.200526e-01 2.794687e+10
5.304770e-01 2.725138e+10
5.411103e-01 2.657905e+10
5.519569e-01 2.592773e+10
5.630208e-01 2.527357e+10
5.743065e-01 2.464637e+10
5.858184e-01 2.403031e+10
5.975611e-01 2.342083e+10
6.095392e-01 2.282731e+10
6.217573e-01 2.224975e+10
6.342204e-01 2.168923e+10
6.469333e-01 2.116192e+10
6.599011e-01 2.063758e+10
6.731287e-01 2.010833e+10
6.866215e-01 1.958844e+10
7.003848e-01 1.908609e+10
7.144240e-01 1.860927e+10
7.287445e-01 1.814452e+10
7.433522e-01 1.768460e+10
7.582526e-01 1.724058e+10
7.734517e-01 1.679617e+10
7.889555e-01 1.636698e+10
8.047701e-01 1.594741e+10
8.209016e-01 1.554634e+10
8.373565e-01 1.515014e+10
8.541413e-01 1.476616e+10
8.712625e-01 1.438581e+10
8.887268e-01 1.402320e+10
9.065413e-01 1.366494e+10
9.247129e-01 1.331579e+10
9.432487e-01 1.297102e+10
9.621560e-01 1.263352e+10
9.814423e-01 1.231387e+10
1.001115e+00 1.200016e+10
1.021183e+00 1.169118e+10
1.041652e+00 1.138743e+10
1.062532e+00 1.109311e+10
1.083830e+00 1.080760e+10
1.105556e+00 1.052803e+10
1.127716e+00 1.025523e+10
1.150321e+00 9.991876e+09
1.173379e+00 9.730664e+09
1.196900e+00 9.476889e+09
1.220892e+00 9.231269e+09
1.245364e+00 8.991516e+09
1.270327e+00 8.757479e+09
1.295791e+00 8.526944e+09
1.321765e+00 8.300542e+09
1.348260e+00 8.081535e+09
1.375286e+00 7.869193e+09
1.402853e+00 7.662276e+09
1.430973e+00 7.460753e+09
1.459657e+00 7.262384e+09
1.488916e+00 7.072981e+09
1.518761e+00 6.885651e+09
1.549204e+00 6.702708e+09
1.580258e+00 6.524717e+09
1.611934e+00 6.350323e+09
1.644245e+00 6.179788e+09
1.677204e+00 6.014092e+09
1.710823e+00 5.852622e+09
1.745117e+00 5.695137e+09
1.780097e+00 5.541106e+09
1.815779e+00 5.391149e+09
1.852176e+00 5.246838e+09
1.889303e+00 5.107204e+09
1.927174e+00 4.969056e+09
1.965804e+00 4.833180e+09
2.005209e+00 4.700643e+09
2.045403e+00 4.573022e+09
2.086403e+00 4.448739e+09
2.128224e+00 4.326636e+09
2.170885e+00 4.206970e+09
2.214400e+00 4.090452e+09
2.258787e+00 3.977795e+09
2.304064e+00 3.868313e+09
2.350249e+00 3.761495e+09
2.397360e+00 3.658733e+09
2.445415e+00 3.557586e+09
2.494433e+00 3.459354e+09
2.544434e+00 3.361264e+09
2.595437e+00 3.266375e+09
2.647462e+00 3.173151e+09
2.700530e+00 3.084678e+09
2.754662e+00 2.997515e+09
2.809879e+00 2.912794e+09
2.866203e+00 2.829937e+09
2.923656e+00 2.748552e+09
2.982260e+00 2.668922e+09
3.042039e+00 2.592015e+09
3.103017e+00 2.516823e+09
3.165216e+00 2.444278e+09
3.228663e+00 2.373431e+09
3.293381e+00 2.304210e+09
3.359397e+00 2.236936e+09
3.426736e+00 2.172187e+09
3.495424e+00 2.108904e+09
3.565490e+00 2.046667e+09
3.636960e+00 1.986214e+09
3.709862e+00 1.926360e+09
3.784226e+00 1.869053e+09
3.860081e+00 1.813358e+09
3.937456e+00 1.758552e+09
4.016382e+00 1.705400e+09
4.096890e+00 1.653641e+09
4.179012e+00 1.603083e+09
4.262780e+00 1.554242e+09
4.348227e+00 1.506508e+09
4.435387e+00 1.460641e+09
4.524294e+00 1.415141e+09
4.614983e+00 1.371376e+09
4.707490e+00 1.328470e+09
4.801851e+00 1.286244e+09
4.898104e+00 1.245365e+09
