Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	6.9421e+04
1.5000e-03	0.0000e+00	6.9436e+04
2.0000e-03	0.0000e+00	6.9447e+04
2.5000e-03	0.0000e+00	6.9456e+04
3.0000e-03	0.0000e+00	6.9462e+04
3.5000e-03	0.0000e+00	6.9468e+04
4.0000e-03	0.0000e+00	6.9473e+04
4.5000e-03	0.0000e+00	6.9478e+04
5.0000e-03	0.0000e+00	6.9481e+04
5.5000e-03	0.0000e+00	6.9485e+04
6.0000e-03	0.0000e+00	6.9488e+04
6.5000e-03	0.0000e+00	6.9491e+04
7.0000e-03	0.0000e+00	6.9494e+04
7.5000e-03	0.0000e+00	6.9497e+04
8.0000e-03	0.0000e+00	6.9499e+04
8.5000e-03	0.0000e+00	6.9501e+04
9.0000e-03	0.0000e+00	6.9503e+04
9.5000e-03	0.0000e+00	6.9505e+04
1.0000e-02	0.0000e+00	6.9507e+04
1.5000e-02	0.0000e+00	6.9523e+04
2.0000e-02	0.0000e+00	6.9533e+04
2.5000e-02	0.0000e+00	6.9542e+04
3.0000e-02	0.0000e+00	6.9548e+04
3.5000e-02	0.0000e+00	6.9557e+04
4.0000e-02	0.0000e+00	6.9582e+04
4.5000e-02	0.0000e+00	6.9604e+04
5.0000e-02	2.7706e+11	6.9624e+04
5.1002e-02	2.6959e+11	6.9627e+04
5.2025e-02	2.6231e+11	6.9631e+04
5.3067e-02	2.5526e+11	6.9635e+04
5.4131e-02	2.4821e+11	6.9638e+04
5.5216e-02	2.4133e+11	6.9642e+04
5.6323e-02	2.3465e+11	6.9646e+04
5.7452e-02	2.2842e+11	6.9650e+04
5.8604e-02	2.2235e+11	6.9653e+04
5.9778e-02	2.1634e+11	6.9657e+04
6.0977e-02	2.1041e+11	6.9661e+04
6.2199e-02	2.0456e+11	6.9664e+04
6.3446e-02	1.9882e+11	6.9668e+04
6.4717e-02	1.9327e+11	6.9672e+04
6.6015e-02	1.8792e+11	6.9675e+04
6.7338e-02	1.8295e+11	6.9679e+04
6.8688e-02	1.7806e+11	6.9683e+04
7.0065e-02	1.7318e+11	6.9686e+04
7.1469e-02	1.6842e+11	6.9690e+04
7.2902e-02	1.6380e+11	6.9694e+04
7.4363e-02	1.5930e+11	6.9698e+04
7.5853e-02	1.5495e+11	6.9701e+04
7.7374e-02	1.5072e+11	6.9705e+04
7.8925e-02	1.4660e+11	6.9709e+04
8.0507e-02	1.4284e+11	6.9712e+04
8.2121e-02	1.3896e+11	6.9716e+04
8.3767e-02	1.3513e+11	6.9720e+04
8.5446e-02	1.3152e+11	6.9723e+04
8.7159e-02	1.2794e+11	6.9727e+04
8.8906e-02	1.2452e+11	6.9731e+04
9.0688e-02	1.2119e+11	6.9737e+04
9.2506e-02	1.1778e+11	6.9744e+04
9.4360e-02	1.1458e+11	6.9752e+04
9.6251e-02	1.1153e+11	6.9759e+04
9.8181e-02	1.0845e+11	6.9767e+04
1.0015e-01	1.0545e+11	6.9774e+04
1.0216e-01	1.0253e+11	6.9781e+04
1.0420e-01	9.9695e+10	6.9789e+04
1.0629e-01	9.6944e+10	6.9796e+04
1.0842e-01	9.4281e+10	6.9803e+04
1.1060e-01	9.1687e+10	6.9811e+04
1.1281e-01	8.9214e+10	6.9818e+04
1.1507e-01	8.6840e+10	6.9826e+04
1.1738e-01	8.4534e+10	6.9833e+04
1.1973e-01	8.2212e+10	6.9840e+04
1.2213e-01	7.9943e+10	6.9848e+04
1.2458e-01	7.7743e+10	6.9855e+04
1.2708e-01	7.5657e+10	6.9862e+04
1.2963e-01	7.3635e+10	6.9870e+04
1.3223e-01	7.1622e+10	6.9877e+04
1.3488e-01	6.9698e+10	6.9885e+04
1.3758e-01	6.7853e+10	6.9892e+04
1.4034e-01	6.6016e+10	6.9899e+04
1.4315e-01	6.4271e+10	6.9907e+04
1.4602e-01	6.2587e+10	6.9916e+04
1.4895e-01	6.0886e+10	6.9927e+04
1.5193e-01	5.9228e+10	6.9938e+04
1.5498e-01	5.7606e+10	6.9949e+04
1.5808e-01	5.6031e+10	6.9960e+04
1.6125e-01	5.4485e+10	6.9971e+04
1.6449e-01	5.2994e+10	6.9982e+04
1.6778e-01	5.1540e+10	6.9993e+04
1.7115e-01	5.0157e+10	7.0004e+04
1.7458e-01	4.8794e+10	7.0015e+04
1.7808e-01	4.7497e+10	7.0026e+04
1.8165e-01	4.6218e+10	7.0037e+04
1.8529e-01	4.4990e+10	7.0048e+04
1.8900e-01	4.3808e+10	7.0059e+04
1.9279e-01	4.2652e+10	7.0069e+04
1.9665e-01	4.1510e+10	7.0080e+04
2.0060e-01	4.0377e+10	7.0092e+04
2.0462e-01	3.9307e+10	7.0107e+04
2.0872e-01	3.8280e+10	7.0121e+04
2.1290e-01	3.7255e+10	7.0136e+04
2.1717e-01	3.6259e+10	7.0150e+04
2.2152e-01	3.5296e+10	7.0165e+04
2.2596e-01	3.4362e+10	7.0179e+04
2.3049e-01	3.3426e+10	7.0194e+04
2.3511e-01	3.2555e+10	7.0209e+04
2.3983e-01	3.1704e+10	7.0223e+04
2.4463e-01	3.0807e+10	7.0238e+04
2.4954e-01	2.9984e+10	7.0252e+04
2.5454e-01	2.9196e+10	7.0267e+04
2.5964e-01	2.8414e+10	7.0285e+04
2.6484e-01	2.7656e+10	7.0303e+04
