Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	6.0847e+04
1.5000e-03	0.0000e+00	6.0860e+04
2.0000e-03	0.0000e+00	6.0870e+04
2.5000e-03	0.0000e+00	6.0877e+04
3.0000e-03	0.0000e+00	6.0883e+04
3.5000e-03	0.0000e+00	6.0888e+04
4.0000e-03	0.0000e+00	6.0892e+04
4.5000e-03	0.0000e+00	6.0896e+04
5.0000e-03	0.0000e+00	6.0900e+04
5.5000e-03	0.0000e+00	6.0903e+04
6.0000e-03	0.0000e+00	6.0906e+04
6.5000e-03	0.0000e+00	6.0908e+04
7.0000e-03	0.0000e+00	6.0911e+04
7.5000e-03	0.0000e+00	6.0913e+04
8.0000e-03	0.0000e+00	6.0915e+04
8.5000e-03	0.0000e+00	6.0917e+04
9.0000e-03	0.0000e+00	6.0919e+04
9.5000e-03	0.0000e+00	6.0921e+04
1.0000e-02	0.0000e+00	6.0922e+04
1.5000e-02	0.0000e+00	6.0936e+04
2.0000e-02	0.0000e+00	6.0945e+04
2.5000e-02	0.0000e+00	6.0953e+04
3.0000e-02	0.0000e+00	6.0959e+04
3.5000e-02	0.0000e+00	6.0966e+04
4.0000e-02	0.0000e+00	6.0988e+04
4.5000e-02	0.0000e+00	6.1007e+04
5.0000e-02	2.2840e+11	6.1025e+04
5.1002e-02	2.2240e+11	6.1028e+04
5.2025e-02	2.1670e+11	6.1031e+04
5.3067e-02	2.1110e+11	6.1034e+04
5.4131e-02	2.0574e+11	6.1038e+04
5.5216e-02	2.0042e+11	6.1041e+04
5.6323e-02	1.9521e+11	6.1044e+04
5.7452e-02	1.9023e+11	6.1047e+04
5.8604e-02	1.8546e+11	6.1051e+04
5.9778e-02	1.8073e+11	6.1054e+04
6.0977e-02	1.7584e+11	6.1057e+04
6.2199e-02	1.7131e+11	6.1060e+04
6.3446e-02	1.6688e+11	6.1064e+04
6.4717e-02	1.6238e+11	6.1067e+04
6.6015e-02	1.5813e+11	6.1070e+04
6.7338e-02	1.5409e+11	6.1073e+04
6.8688e-02	1.5016e+11	6.1077e+04
7.0065e-02	1.4625e+11	6.1080e+04
7.1469e-02	1.4246e+11	6.1083e+04
7.2902e-02	1.3880e+11	6.1086e+04
7.4363e-02	1.3519e+11	6.1090e+04
7.5853e-02	1.3174e+11	6.1093e+04
7.7374e-02	1.2835e+11	6.1096e+04
7.8925e-02	1.2504e+11	6.1099e+04
8.0507e-02	1.2183e+11	6.1103e+04
8.2121e-02	1.1870e+11	6.1106e+04
8.3767e-02	1.1556e+11	6.1109e+04
8.5446e-02	1.1252e+11	6.1112e+04
8.7159e-02	1.0964e+11	6.1116e+04
8.8906e-02	1.0678e+11	6.1119e+04
9.0688e-02	1.0401e+11	6.1124e+04
9.2506e-02	1.0130e+11	6.1131e+04
9.4360e-02	9.8649e+10	6.1137e+04
