Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	1.1259e+05
1.5000e-03	0.0000e+00	1.1262e+05
2.0000e-03	0.0000e+00	1.1264e+05
2.5000e-03	0.0000e+00	1.1265e+05
3.0000e-03	0.0000e+00	1.1266e+05
3.5000e-03	0.0000e+00	1.1267e+05
4.0000e-03	0.0000e+00	1.1268e+05
4.5000e-03	0.0000e+00	1.1269e+05
5.0000e-03	0.0000e+00	1.1269e+05
5.5000e-03	0.0000e+00	1.1270e+05
6.0000e-03	0.0000e+00	1.1271e+05
6.5000e-03	0.0000e+00	1.1271e+05
7.0000e-03	0.0000e+00	1.1272e+05
7.5000e-03	0.0000e+00	1.1272e+05
8.0000e-03	0.0000e+00	1.1272e+05
8.5000e-03	0.0000e+00	1.1273e+05
9.0000e-03	0.0000e+00	1.1273e+05
9.5000e-03	0.0000e+00	1.1274e+05
1.0000e-02	0.0000e+00	1.1274e+05
1.5000e-02	0.0000e+00	1.1276e+05
2.0000e-02	0.0000e+00	1.1279e+05
2.5000e-02	0.0000e+00	1.1280e+05
3.0000e-02	0.0000e+00	1.1282e+05
3.5000e-02	0.0000e+00	1.1283e+05
4.0000e-02	0.0000e+00	1.1285e+05
4.5000e-02	0.0000e+00	1.1287e+05
5.0000e-02	9.1360e+11	1.1288e+05
5.1002e-02	8.8961e+11	1.1289e+05
5.2025e-02	8.6680e+11	1.1289e+05
5.3067e-02	8.4442e+11	1.1290e+05
5.4131e-02	8.2297e+11	1.1290e+05
5.5216e-02	8.0167e+11	1.1290e+05
5.6323e-02	7.8086e+11	1.1291e+05
5.7452e-02	7.6090e+11	1.1291e+05
5.8604e-02	7.4185e+11	1.1292e+05
5.9778e-02	7.2290e+11	1.1292e+05
6.0977e-02	7.0336e+11	1.1292e+05
6.2199e-02	6.8524e+11	1.1293e+05
6.3446e-02	6.6751e+11	1.1294e+05
6.4717e-02	6.4951e+11	1.1294e+05
6.6015e-02	6.3252e+11	1.1295e+05
6.7338e-02	6.1635e+11	1.1295e+05
6.8688e-02	6.0064e+11	1.1296e+05
7.0065e-02	5.8500e+11	1.1296e+05
7.1469e-02	5.6984e+11	1.1297e+05
7.2902e-02	5.5520e+11	1.1298e+05
7.4363e-02	5.4075e+11	1.1298e+05
7.5853e-02	5.2694e+11	1.1299e+05
7.7374e-02	5.1338e+11	1.1299e+05
7.8925e-02	5.0016e+11	1.1300e+05
8.0507e-02	4.8732e+11	1.1301e+05
8.2121e-02	4.7480e+11	1.1301e+05
8.3767e-02	4.6223e+11	1.1302e+05
8.5446e-02	4.5010e+11	1.1303e+05
8.7159e-02	4.3856e+11	1.1303e+05
