Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	9.7272e+04
1.5000e-03	0.0000e+00	9.7296e+04
2.0000e-03	0.0000e+00	9.7313e+04
2.5000e-03	0.0000e+00	9.7326e+04
3.0000e-03	0.0000e+00	9.7336e+04
3.5000e-03	0.0000e+00	9.7344e+04
4.0000e-03	0.0000e+00	9.7352e+04
4.5000e-03	0.0000e+00	9.7358e+04
5.0000e-03	0.0000e+00	9.7364e+04
5.5000e-03	0.0000e+00	9.7369e+04
6.0000e-03	0.0000e+00	9.7374e+04
6.5000e-03	0.0000e+00	9.7378e+04
7.0000e-03	0.0000e+00	9.7382e+04
7.5000e-03	0.0000e+00	9.7386e+04
8.0000e-03	0.0000e+00	9.7390e+04
8.5000e-03	0.0000e+00	9.7393e+04
9.0000e-03	0.0000e+00	9.7396e+04
9.5000e-03	0.0000e+00	9.7399e+04
1.0000e-02	0.0000e+00	9.7402e+04
1.5000e-02	0.0000e+00	9.7425e+04
2.0000e-02	0.0000e+00	9.7443e+04
2.5000e-02	0.0000e+00	9.7457e+04
3.0000e-02	0.0000e+00	9.7470e+04
3.5000e-02	0.0000e+00	9.7483e+04
4.0000e-02	0.0000e+00	9.7497e+04
4.5000e-02	0.0000e+00	9.7514e+04
5.0000e-02	7.5025e+11	9.7528e+04
5.1002e-02	7.3154e+11	9.7531e+04
5.2025e-02	7.1341e+11	9.7534e+04
5.3067e-02	6.9581e+11	9.7538e+04
5.4131e-02	6.7866e+11	9.7541e+04
5.5216e-02	6.6203e+11	9.7544e+04
5.6323e-02	6.4585e+11	9.7548e+04
5.7452e-02	6.2998e+11	9.7551e+04
5.8604e-02	6.1443e+11	9.7555e+04
5.9778e-02	5.9937e+11	9.7558e+04
6.0977e-02	5.8421e+11	9.7562e+04
6.2199e-02	5.6958e+11	9.7567e+04
6.3446e-02	5.5573e+11	9.7572e+04
6.4717e-02	5.4194e+11	9.7577e+04
6.6015e-02	5.2849e+11	9.7582e+04
6.7338e-02	5.1550e+11	9.7587e+04
6.8688e-02	5.0297e+11	9.7592e+04
7.0065e-02	4.9012e+11	9.7597e+04
7.1469e-02	4.7777e+11	9.7602e+04
7.2902e-02	4.6612e+11	9.7607e+04
7.4363e-02	4.5494e+11	9.7613e+04
7.5853e-02	4.4364e+11	9.7618e+04
7.7374e-02	4.3243e+11	9.7623e+04
7.8925e-02	4.2197e+11	9.7629e+04
8.0507e-02	4.1187e+11	9.7634e+04
8.2121e-02	4.0199e+11	9.7640e+04
8.3767e-02	3.9225e+11	9.7646e+04
8.5446e-02	3.8294e+11	9.7651e+04
8.7159e-02	3.7322e+11	9.7657e+04
8.8906e-02	3.6349e+11	9.7663e+04
9.0688e-02	3.5416e+11	9.7669e+04
9.2506e-02	3.4541e+11	9.7675e+04
9.4360e-02	3.3701e+11	9.7682e+04
9.6251e-02	3.2881e+11	9.7689e+04
9.8181e-02	3.2099e+11	9.7696e+04
1.0015e-01	3.1327e+11	9.7703e+04
1.0216e-01	3.0521e+11	9.7710e+04
1.0420e-01	2.9768e+11	9.7718e+04
1.0629e-01	2.9036e+11	9.7725e+04
1.0842e-01	2.8317e+11	9.7733e+04
1.1060e-01	2.7583e+11	9.7741e+04
1.1281e-01	2.6897e+11	9.7749e+04
1.1507e-01	2.6223e+11	9.7757e+04
1.1738e-01	2.5548e+11	9.7765e+04
1.1973e-01	2.4891e+11	9.7774e+04
1.2213e-01	2.4274e+11	9.7784e+04
1.2458e-01	2.3673e+11	9.7793e+04
1.2708e-01	2.3080e+11	9.7803e+04
1.2963e-01	2.2489e+11	9.7812e+04
1.3223e-01	2.1903e+11	9.7822e+04
1.3488e-01	2.1345e+11	9.7832e+04
1.3758e-01	2.0812e+11	9.7842e+04
1.4034e-01	2.0280e+11	9.7852e+04
1.4315e-01	1.9786e+11	9.7862e+04
1.4602e-01	1.9289e+11	9.7873e+04
1.4895e-01	1.8803e+11	9.7884e+04
1.5193e-01	1.8325e+11	9.7895e+04
1.5498e-01	1.7865e+11	9.7907e+04
1.5808e-01	1.7412e+11	9.7918e+04
1.6125e-01	1.6976e+11	9.7930e+04
1.6449e-01	1.6534e+11	9.7942e+04
1.6778e-01	1.6107e+11	9.7954e+04
1.7115e-01	1.5685e+11	9.7966e+04
1.7458e-01	1.5275e+11	9.7979e+04
1.7808e-01	1.4874e+11	9.7993e+04
1.8165e-01	1.4500e+11	9.8007e+04
1.8529e-01	1.4140e+11	9.8020e+04
1.8900e-01	1.3783e+11	9.8034e+04
1.9279e-01	1.3431e+11	9.8049e+04
1.9665e-01	1.3085e+11	9.8063e+04
2.0060e-01	1.2765e+11	9.8078e+04
2.0462e-01	1.2431e+11	9.8092e+04
2.0872e-01	1.2121e+11	9.8108e+04
2.1290e-01	1.1809e+11	9.8124e+04
2.1717e-01	1.1503e+11	9.8140e+04
2.2152e-01	1.1214e+11	9.8156e+04
2.2596e-01	1.0937e+11	9.8173e+04
2.3049e-01	1.0660e+11	9.8189e+04
2.3511e-01	1.0398e+11	9.8206e+04
2.3983e-01	1.0135e+11	9.8225e+04
2.4463e-01	9.8718e+10	9.8243e+04
2.4954e-01	9.6240e+10	9.8261e+04
2.5454e-01	9.3786e+10	9.8281e+04
2.5964e-01	9.1356e+10	9.8300e+04
2.6484e-01	8.9044e+10	9.8320e+04
2.7015e-01	8.6793e+10	9.8340e+04
2.7557e-01	8.4598e+10	9.8360e+04
2.8109e-01	8.2462e+10	9.8381e+04
2.8673e-01	8.0282e+10	9.8402e+04
2.9247e-01	7.8304e+10	9.8423e+04
2.9834e-01	7.6399e+10	9.8445e+04
3.0432e-01	7.4426e+10	9.8467e+04
3.1042e-01	7.2560e+10	9.8490e+04
3.1664e-01	7.0674e+10	9.8514e+04
3.2299e-01	6.8854e+10	9.8538e+04
3.2946e-01	6.7075e+10	9.8563e+04
3.3606e-01	6.5318e+10	9.8588e+04
3.4280e-01	6.3736e+10	9.8613e+04
3.4967e-01	6.2099e+10	9.8638e+04
3.5668e-01	6.0518e+10	9.8664e+04
3.6383e-01	5.8931e+10	9.8691e+04
3.7112e-01	5.7371e+10	9.8719e+04
3.7856e-01	5.5824e+10	9.8747e+04
3.8615e-01	5.4389e+10	9.8776e+04
3.9389e-01	5.2993e+10	9.8805e+04
4.0179e-01	5.1636e+10	9.8835e+04
4.0984e-01	5.0267e+10	9.8865e+04
4.1806e-01	4.8935e+10	9.8896e+04
4.2644e-01	4.7673e+10	9.8927e+04
4.3498e-01	4.6425e+10	9.8960e+04
4.4370e-01	4.5229e+10	9.8993e+04
4.5260e-01	4.4061e+10	9.9026e+04
4.6167e-01	4.2894e+10	9.9060e+04
4.7092e-01	4.1759e+10	9.9095e+04
4.8036e-01	4.0660e+10	9.9124e+04
4.8999e-01	3.9568e+10	9.9153e+04
4.9981e-01	3.8511e+10	9.9181e+04
5.0983e-01	3.7523e+10	9.9210e+04
5.2005e-01	3.6548e+10	9.9240e+04
