# Energy(MeV) Phi16 Phi84
1.800000e+00 7.457728e+08 1.146172e+09
1.822942e+00 7.212998e+08 1.110111e+09
1.846177e+00 6.984077e+08 1.073435e+09
1.869708e+00 6.769871e+08 1.038050e+09
1.893539e+00 6.554975e+08 1.003291e+09
1.917674e+00 6.349674e+08 9.724247e+08
1.942116e+00 6.143859e+08 9.401017e+08
1.966870e+00 5.942063e+08 9.094789e+08
1.991940e+00 5.764596e+08 8.812698e+08
2.017328e+00 5.583598e+08 8.518327e+08
2.043041e+00 5.406002e+08 8.236825e+08
2.069081e+00 5.229836e+08 7.966923e+08
2.095453e+00 5.057735e+08 7.701582e+08
2.122162e+00 4.884774e+08 7.449889e+08
2.149210e+00 4.717728e+08 7.206783e+08
2.176604e+00 4.556395e+08 6.964391e+08
2.204346e+00 4.400579e+08 6.733887e+08
2.232442e+00 4.250091e+08 6.523245e+08
2.260897e+00 4.104749e+08 6.308629e+08
2.289714e+00 3.964378e+08 6.098773e+08
2.318898e+00 3.828807e+08 5.887716e+08
2.348454e+00 3.697873e+08 5.684191e+08
2.378387e+00 3.571416e+08 5.492595e+08
2.408702e+00 3.450174e+08 5.312159e+08
2.439402e+00 3.333070e+08 5.130017e+08
2.470495e+00 3.219941e+08 4.952729e+08
2.501983e+00 3.110653e+08 4.781567e+08
2.533873e+00 3.006827e+08 4.616321e+08
2.566169e+00 2.908008e+08 4.456515e+08
2.598877e+00 2.812494e+08 4.302858e+08
2.632002e+00 2.720019e+08 4.155446e+08
2.665549e+00 2.630490e+08 4.013083e+08
2.699523e+00 2.543815e+08 3.874740e+08
2.733931e+00 2.459906e+08 3.743799e+08
2.768777e+00 2.378519e+08 3.616794e+08
2.804067e+00 2.298003e+08 3.493838e+08
2.839808e+00 2.220214e+08 3.374679e+08
2.876003e+00 2.144971e+08 3.258478e+08
2.912660e+00 2.072305e+08 3.146195e+08
2.949784e+00 2.002100e+08 3.038315e+08
2.987382e+00 1.934274e+08 2.932929e+08
3.025458e+00 1.868745e+08 2.832152e+08
3.064020e+00 1.805437e+08 2.735759e+08
3.103074e+00 1.744273e+08 2.642647e+08
3.142625e+00 1.685182e+08 2.552705e+08
3.182680e+00 1.628092e+08 2.465823e+08
3.223246e+00 1.572937e+08 2.381865e+08
3.264329e+00 1.519734e+08 2.300965e+08
3.305936e+00 1.468405e+08 2.221860e+08
3.348072e+00 1.418809e+08 2.145859e+08
3.390746e+00 1.370890e+08 2.072175e+08
3.433964e+00 1.325440e+08 2.000568e+08
3.477733e+00 1.281695e+08 1.931434e+08
3.522059e+00 1.238567e+08 1.865027e+08
3.566951e+00 1.196554e+08 1.800298e+08
3.612415e+00 1.155966e+08 1.737583e+08
3.658458e+00 1.116844e+08 1.678038e+08
3.705088e+00 1.079048e+08 1.620120e+08
3.752312e+00 1.042531e+08 1.563857e+08
3.800138e+00 1.007250e+08 1.509549e+08
3.848574e+00 9.731629e+07 1.457523e+08
3.897627e+00 9.406510e+07 1.407380e+08
3.947306e+00 9.090893e+07 1.358539e+08
3.997617e+00 8.784267e+07 1.311519e+08
4.048570e+00 8.489274e+07 1.266176e+08
4.100173e+00 8.204208e+07 1.222917e+08
4.152433e+00 7.925630e+07 1.181190e+08
4.205359e+00 7.656432e+07 1.140986e+08
4.258959e+00 7.396379e+07 1.102310e+08
4.313243e+00 7.145157e+07 1.064886e+08
4.368219e+00 6.902469e+07 1.028679e+08
4.423896e+00 6.668024e+07 9.937020e+07
4.480282e+00 6.441542e+07 9.599153e+07
4.537387e+00 6.222974e+07 9.270370e+07
4.595219e+00 6.011939e+07 8.952356e+07
4.653789e+00 5.808061e+07 8.645013e+07
4.713105e+00 5.611098e+07 8.348009e+07
4.773178e+00 5.421884e+07 8.060011e+07
4.834016e+00 5.239472e+07 7.784683e+07
4.895629e+00 5.063599e+07 7.519536e+07
4.958028e+00 4.893693e+07 7.264426e+07
5.021222e+00 4.729488e+07 7.017971e+07
5.085222e+00 4.570793e+07 6.779877e+07
5.150037e+00 4.417628e+07 6.549609e+07
5.215678e+00 4.270499e+07 6.327106e+07
5.282156e+00 4.128987e+07 6.112161e+07
5.349482e+00 3.989431e+07 5.904519e+07
5.417665e+00 3.855950e+07 5.703801e+07
5.486718e+00 3.727008e+07 5.508429e+07
5.556650e+00 3.601931e+07 5.319159e+07
5.627475e+00 3.481510e+07 5.139575e+07
5.699201e+00 3.365114e+07 4.963915e+07
5.771842e+00 3.252611e+07 4.796297e+07
5.845409e+00 3.143884e+07 4.633074e+07
5.919913e+00 3.038789e+07 4.475263e+07
5.995368e+00 2.937207e+07 4.322613e+07
6.071783e+00 2.839021e+07 4.175547e+07
6.149173e+00 2.744117e+07 4.032891e+07
6.227549e+00 2.652386e+07 3.895247e+07
6.306925e+00 2.563721e+07 3.761628e+07
6.387311e+00 2.476212e+07 3.633927e+07
6.468723e+00 2.390224e+07 3.509511e+07
6.551172e+00 2.310119e+07 3.390249e+07
6.634672e+00 2.232721e+07 3.274331e+07
6.719236e+00 2.157696e+07 3.162758e+07
6.804878e+00 2.083625e+07 3.053136e+07
6.891612e+00 2.013315e+07 2.947672e+07
6.979451e+00 1.945420e+07 2.847463e+07
7.068410e+00 1.879815e+07 2.750226e+07
7.158503e+00 1.815730e+07 2.655545e+07
7.249744e+00 1.753278e+07 2.564124e+07
7.342148e+00 1.692975e+07 2.475850e+07
7.435729e+00 1.634745e+07 2.390615e+07
7.530504e+00 1.579111e+07 2.308314e+07
7.626486e+00 1.525604e+07 2.229002e+07
7.723692e+00 1.473910e+07 2.152326e+07
7.822136e+00 1.423968e+07 2.078825e+07
7.921836e+00 1.375719e+07 2.007396e+07
8.022806e+00 1.329104e+07 1.938771e+07
8.125063e+00 1.284069e+07 1.872175e+07
8.228624e+00 1.240559e+07 1.807193e+07
8.333504e+00 1.197608e+07 1.745894e+07
8.439722e+00 1.155836e+07 1.686158e+07
8.547293e+00 1.115522e+07 1.628403e+07
8.656235e+00 1.076613e+07 1.572967e+07
8.766566e+00 1.039074e+07 1.520422e+07
8.878303e+00 1.002919e+07 1.469706e+07
8.991464e+00 9.680219e+06 1.419012e+07
9.106067e+00 9.343393e+06 1.370512e+07
9.222132e+00 9.018288e+06 1.323342e+07
9.339675e+00 8.710301e+06 1.277920e+07
9.458717e+00 8.414021e+06 1.235228e+07
9.579276e+00 8.128971e+06 1.192245e+07
9.701372e+00 7.855217e+06 1.152404e+07
9.825023e+00 7.592839e+06 1.114061e+07
9.950251e+00 7.339226e+06 1.076036e+07
1.007708e+01 7.094085e+06 1.039368e+07
1.020552e+01 6.857532e+06 1.003550e+07
1.033559e+01 6.629103e+06 9.691594e+06
1.046733e+01 6.408284e+06 9.359472e+06
1.060074e+01 6.194820e+06 9.041798e+06
1.073586e+01 5.988467e+06 8.732831e+06
1.087270e+01 5.788988e+06 8.438634e+06
1.101128e+01 5.596154e+06 8.154820e+06
1.115162e+01 5.407869e+06 7.876705e+06
1.129376e+01 5.223653e+06 7.608277e+06
1.143771e+01 5.045712e+06 7.352013e+06
1.158349e+01 4.873833e+06 7.100745e+06
1.173113e+01 4.707810e+06 6.856260e+06
1.188066e+01 4.549254e+06 6.623563e+06
1.203208e+01 4.396658e+06 6.397593e+06
1.218544e+01 4.249180e+06 6.181215e+06
1.234076e+01 4.103921e+06 5.969469e+06
1.249805e+01 3.963412e+06 5.770624e+06
1.265735e+01 3.827713e+06 5.572775e+06
1.281868e+01 3.695363e+06 5.383425e+06
1.298206e+01 3.567151e+06 5.203027e+06
1.314753e+01 3.443388e+06 5.024710e+06
1.331510e+01 3.324630e+06 4.851702e+06
1.348482e+01 3.210650e+06 4.685332e+06
1.365669e+01 3.100578e+06 4.526777e+06
1.383076e+01 2.994279e+06 4.372379e+06
1.400704e+01 2.891628e+06 4.222639e+06
1.418557e+01 2.792990e+06 4.081208e+06
1.436638e+01 2.697718e+06 3.943150e+06
1.454949e+01 2.605695e+06 3.808464e+06
1.473493e+01 2.516811e+06 3.680017e+06
1.492274e+01 2.430981e+06 3.554847e+06
1.511294e+01 2.350335e+06 3.433178e+06
1.530557e+01 2.270042e+06 3.316811e+06
1.550065e+01 2.192566e+06 3.203873e+06
1.569822e+01 2.119484e+06 3.093235e+06
1.589831e+01 2.047151e+06 2.987402e+06
1.610095e+01 1.977908e+06 2.886922e+06
1.630616e+01 1.911008e+06 2.788618e+06
1.651400e+01 1.846370e+06 2.694459e+06
1.672448e+01 1.783919e+06 2.602483e+06
1.693765e+01 1.723587e+06 2.511616e+06
1.715354e+01 1.665422e+06 2.424319e+06
1.737217e+01 1.609220e+06 2.342498e+06
1.759359e+01 1.554914e+06 2.263549e+06
1.781784e+01 1.502441e+06 2.186411e+06
1.804494e+01 1.451738e+06 2.111621e+06
1.827494e+01 1.402864e+06 2.040254e+06
1.850787e+01 1.355728e+06 1.971123e+06
1.874377e+01 1.310104e+06 1.903513e+06
1.898267e+01 1.264709e+06 1.839634e+06
1.922462e+01 1.221840e+06 1.776628e+06
1.946965e+01 1.180410e+06 1.716337e+06
1.971781e+01 1.139909e+06 1.657937e+06
1.996913e+01 1.101103e+06 1.601745e+06
2.022365e+01 1.063631e+06 1.546823e+06
2.048142e+01 1.027435e+06 1.493929e+06
2.074247e+01 9.924698e+05 1.442223e+06
2.100685e+01 9.586950e+05 1.393080e+06
2.127460e+01 9.263678e+05 1.345580e+06
2.154576e+01 8.953048e+05 1.300300e+06
2.182038e+01 8.651609e+05 1.255750e+06
2.209850e+01 8.353348e+05 1.213219e+06
2.238016e+01 8.062898e+05 1.171943e+06
2.266542e+01 7.783144e+05 1.131994e+06
2.295430e+01 7.516440e+05 1.093281e+06
2.324688e+01 7.259773e+05 1.055211e+06
2.354318e+01 7.012456e+05 1.018476e+06
2.384325e+01 6.774408e+05 9.839817e+05
2.414715e+01 6.545979e+05 9.504275e+05
2.445493e+01 6.325252e+05 9.178817e+05
2.476663e+01 6.111991e+05 8.866204e+05
2.508230e+01 5.905442e+05 8.567088e+05
2.540199e+01 5.703580e+05 8.278063e+05
2.572576e+01 5.508617e+05 7.998789e+05
2.605366e+01 5.320319e+05 7.726448e+05
2.638573e+01 5.137344e+05 7.462855e+05
2.672204e+01 4.961561e+05 7.210102e+05
2.706263e+01 4.792424e+05 6.964807e+05
2.740757e+01 4.628132e+05 6.729945e+05
2.775690e+01 4.469509e+05 6.502810e+05
2.811069e+01 4.316563e+05 6.283039e+05
2.846898e+01 4.168851e+05 6.070607e+05
2.883184e+01 4.025520e+05 5.864987e+05
2.919932e+01 3.887059e+05 5.665704e+05
2.957149e+01 3.753360e+05 5.474855e+05
2.994841e+01 3.624260e+05 5.290311e+05
3.033012e+01 3.501867e+05 5.112154e+05
3.071671e+01 3.382874e+05 4.939812e+05
3.110821e+01 3.267112e+05 4.771350e+05
3.150471e+01 3.155312e+05 4.611260e+05
3.190627e+01 3.047337e+05 4.454324e+05
3.231294e+01 2.943057e+05 4.301988e+05
3.272479e+01 2.842346e+05 4.157731e+05
3.314190e+01 2.745081e+05 4.017007e+05
3.356432e+01 2.651145e+05 3.881511e+05
3.399212e+01 2.560423e+05 3.750446e+05
3.442538e+01 2.472937e+05 3.623907e+05
3.486416e+01 2.388819e+05 3.501307e+05
3.530853e+01 2.307563e+05 3.382610e+05
3.575857e+01 2.229071e+05 3.266074e+05
3.621434e+01 2.153249e+05 3.155351e+05
3.667592e+01 2.080005e+05 3.049846e+05
3.714338e+01 2.009441e+05 2.946468e+05
3.761681e+01 1.942936e+05 2.847217e+05
3.809626e+01 1.879166e+05 2.751142e+05
3.858183e+01 1.817027e+05 2.658159e+05
3.907359e+01 1.754931e+05 2.569258e+05
3.957161e+01 1.694743e+05 2.482807e+05
4.007598e+01 1.636619e+05 2.397713e+05
4.058679e+01 1.580489e+05 2.315548e+05
4.110410e+01 1.526283e+05 2.237115e+05
4.162800e+01 1.473972e+05 2.161958e+05
4.215858e+01 1.423522e+05 2.089207e+05
4.269593e+01 1.374830e+05 2.018683e+05
4.324012e+01 1.327465e+05 1.950386e+05
4.379126e+01 1.281929e+05 1.884241e+05
4.434941e+01 1.238211e+05 1.820582e+05
4.491468e+01 1.196120e+05 1.758536e+05
4.548715e+01 1.155394e+05 1.699111e+05
4.606692e+01 1.116055e+05 1.641509e+05
4.665408e+01 1.078055e+05 1.586355e+05
4.724873e+01 1.041411e+05 1.532426e+05
4.785095e+01 1.006016e+05 1.480522e+05
4.846085e+01 9.718241e+04 1.429925e+05
4.907852e+01 9.388246e+04 1.381572e+05
4.970407e+01 9.069821e+04 1.334693e+05
5.033759e+01 8.762197e+04 1.289536e+05
5.097918e+01 8.465007e+04 1.245907e+05
5.162895e+01 8.178991e+04 1.203754e+05
5.228701e+01 7.904106e+04 1.163027e+05
5.295345e+01 7.638459e+04 1.123645e+05
5.362838e+01 7.379327e+04 1.085537e+05
5.431192e+01 7.127957e+04 1.048830e+05
5.500417e+01 6.885149e+04 1.013364e+05
5.570524e+01 6.649176e+04 9.791695e+04
5.641525e+01 6.420915e+04 9.459875e+04
5.713431e+01 6.201130e+04 9.145919e+04
5.786253e+01 5.989953e+04 8.838148e+04
5.860004e+01 5.785968e+04 8.540218e+04
5.934694e+01 5.588930e+04 8.250494e+04
6.010337e+01 5.398761e+04 7.973427e+04
6.086943e+01 5.214627e+04 7.701828e+04
6.164526e+01 5.034300e+04 7.440506e+04
6.243098e+01 4.860253e+04 7.189583e+04
6.322671e+01 4.694571e+04 6.946947e+04
6.403259e+01 4.535185e+04 6.712197e+04
6.484874e+01 4.381451e+04 6.485088e+04
6.567529e+01 4.234088e+04 6.265426e+04
6.651237e+01 4.091947e+04 6.053983e+04
6.736013e+01 3.953498e+04 5.847516e+04
6.821869e+01 3.818835e+04 5.646428e+04
6.908819e+01 3.688759e+04 5.455820e+04
6.996877e+01 3.563113e+04 5.270337e+04
7.086058e+01 3.441747e+04 5.092025e+04
7.176376e+01 3.324515e+04 4.917676e+04
7.267845e+01 3.211276e+04 4.749088e+04
7.360479e+01 3.101894e+04 4.591155e+04
7.454294e+01 2.996238e+04 4.436354e+04
7.549305e+01 2.894181e+04 4.286344e+04
7.645527e+01 2.795600e+04 4.141216e+04
7.742976e+01 2.700557e+04 4.001002e+04
7.841666e+01 2.608760e+04 3.867146e+04
7.941615e+01 2.519799e+04 3.735994e+04
8.042837e+01 2.433668e+04 3.608961e+04
8.145350e+01 2.350359e+04 3.486247e+04
8.249169e+01 2.270075e+04 3.368048e+04
8.354311e+01 2.193238e+04 3.253275e+04
8.460794e+01 2.118750e+04 3.144154e+04
8.568633e+01 2.046484e+04 3.037825e+04
8.677847e+01 1.976682e+04 2.935261e+04
8.788454e+01 1.909262e+04 2.835754e+04
8.900470e+01 1.843972e+04 2.739701e+04
9.013913e+01 1.780957e+04 2.646836e+04
9.128803e+01 1.720050e+04 2.557451e+04
9.245157e+01 1.661219e+04 2.471082e+04
9.362994e+01 1.604400e+04 2.387630e+04
9.482333e+01 1.549525e+04 2.306931e+04
9.603193e+01 1.496526e+04 2.228858e+04
9.725594e+01 1.445341e+04 2.153392e+04
9.849554e+01 1.395906e+04 2.080481e+04
9.975095e+01 1.348271e+04 2.010039e+04
