# Energy(MeV) Fluence_Planare_Median
1.800000e+00 9.920555e+08
1.822942e+00 9.604496e+08
1.846177e+00 9.296573e+08
1.869708e+00 8.991443e+08
1.893539e+00 8.687039e+08
1.917674e+00 8.394778e+08
1.942116e+00 8.110203e+08
1.966870e+00 7.858960e+08
1.991940e+00 7.612961e+08
2.017328e+00 7.368287e+08
2.043041e+00 7.125429e+08
2.069081e+00 6.887092e+08
2.095453e+00 6.665668e+08
2.122162e+00 6.443450e+08
2.149210e+00 6.228952e+08
2.176604e+00 6.023031e+08
2.204346e+00 5.821826e+08
2.232442e+00 5.627629e+08
2.260897e+00 5.438113e+08
2.289714e+00 5.255356e+08
2.318898e+00 5.077707e+08
2.348454e+00 4.906802e+08
2.378387e+00 4.741296e+08
2.408702e+00 4.580553e+08
2.439402e+00 4.425353e+08
2.470495e+00 4.275303e+08
2.501983e+00 4.129464e+08
2.533873e+00 3.988810e+08
2.566169e+00 3.854056e+08
2.598877e+00 3.723254e+08
2.632002e+00 3.596960e+08
2.665549e+00 3.474811e+08
2.699523e+00 3.356672e+08
2.733931e+00 3.242094e+08
2.768777e+00 3.131850e+08
2.804067e+00 3.025355e+08
2.839808e+00 2.922990e+08
2.876003e+00 2.824173e+08
2.912660e+00 2.728697e+08
2.949784e+00 2.636448e+08
2.987382e+00 2.547319e+08
3.025458e+00 2.461202e+08
3.064020e+00 2.378054e+08
3.103074e+00 2.297909e+08
3.142625e+00 2.219348e+08
3.182680e+00 2.144145e+08
3.223246e+00 2.071037e+08
3.264329e+00 1.999840e+08
3.305936e+00 1.933122e+08
3.348072e+00 1.868473e+08
3.390746e+00 1.805719e+08
3.433964e+00 1.745072e+08
3.477733e+00 1.686295e+08
3.522059e+00 1.629260e+08
3.566951e+00 1.574155e+08
3.612415e+00 1.520878e+08
3.658458e+00 1.469304e+08
3.705088e+00 1.419522e+08
3.752312e+00 1.371205e+08
3.800138e+00 1.324042e+08
3.848574e+00 1.278629e+08
3.897627e+00 1.235142e+08
3.947306e+00 1.192796e+08
3.997617e+00 1.151981e+08
4.048570e+00 1.112732e+08
4.100173e+00 1.074725e+08
4.152433e+00 1.038383e+08
4.205359e+00 1.003109e+08
4.258959e+00 9.691094e+07
4.313243e+00 9.360083e+07
4.368219e+00 9.042959e+07
4.423896e+00 8.735944e+07
4.480282e+00 8.437699e+07
4.537387e+00 8.152134e+07
4.595219e+00 7.877539e+07
4.653789e+00 7.613822e+07
4.713105e+00 7.358444e+07
4.773178e+00 7.111633e+07
4.834016e+00 6.873045e+07
4.895629e+00 6.639407e+07
4.958028e+00 6.416584e+07
5.021222e+00 6.200914e+07
5.085222e+00 5.990166e+07
5.150037e+00 5.787949e+07
5.215678e+00 5.592065e+07
5.282156e+00 5.404407e+07
5.349482e+00 5.221299e+07
5.417665e+00 5.043305e+07
5.486718e+00 4.872043e+07
5.556650e+00 4.707646e+07
5.627475e+00 4.549533e+07
5.699201e+00 4.394722e+07
5.771842e+00 4.245618e+07
5.845409e+00 4.102302e+07
5.919913e+00 3.963580e+07
5.995368e+00 3.829104e+07
6.071783e+00 3.699687e+07
6.149173e+00 3.574644e+07
6.227549e+00 3.452767e+07
6.306925e+00 3.335319e+07
6.387311e+00 3.222799e+07
6.468723e+00 3.114317e+07
6.551172e+00 3.009492e+07
6.634672e+00 2.908196e+07
6.719236e+00 2.810310e+07
6.804878e+00 2.715609e+07
6.891612e+00 2.624064e+07
6.979451e+00 2.535341e+07
7.068410e+00 2.448048e+07
7.158503e+00 2.364763e+07
7.249744e+00 2.284707e+07
7.342148e+00 2.207395e+07
7.435729e+00 2.132327e+07
7.530504e+00 2.060157e+07
7.626486e+00 1.991026e+07
7.723692e+00 1.923870e+07
7.822136e+00 1.859027e+07
7.921836e+00 1.795765e+07
8.022806e+00 1.734560e+07
8.125063e+00 1.675871e+07
8.228624e+00 1.619309e+07
8.333504e+00 1.564071e+07
8.439722e+00 1.510930e+07
8.547293e+00 1.459931e+07
8.656235e+00 1.410456e+07
8.766566e+00 1.362630e+07
8.878303e+00 1.316719e+07
8.991464e+00 1.271840e+07
9.106067e+00 1.228940e+07
9.222132e+00 1.187526e+07
9.339675e+00 1.147261e+07
9.458717e+00 1.107958e+07
9.579276e+00 1.070082e+07
9.701372e+00 1.033633e+07
9.825023e+00 9.982106e+06
9.950251e+00 9.640069e+06
1.007708e+01 9.311868e+06
1.020552e+01 8.995618e+06
1.033559e+01 8.690109e+06
1.046733e+01 8.393032e+06
1.060074e+01 8.107106e+06
1.073586e+01 7.832116e+06
1.087270e+01 7.566950e+06
1.101128e+01 7.312639e+06
1.115162e+01 7.064573e+06
1.129376e+01 6.825699e+06
1.143771e+01 6.594608e+06
1.158349e+01 6.371386e+06
1.173113e+01 6.157152e+06
1.188066e+01 5.948708e+06
1.203208e+01 5.746219e+06
1.218544e+01 5.551345e+06
1.234076e+01 5.363399e+06
1.249805e+01 5.181648e+06
1.265735e+01 5.005185e+06
1.281868e+01 4.832028e+06
1.298206e+01 4.667231e+06
1.314753e+01 4.509295e+06
1.331510e+01 4.357459e+06
1.348482e+01 4.209046e+06
1.365669e+01 4.064874e+06
1.383076e+01 3.926271e+06
1.400704e+01 3.794090e+06
1.418557e+01 3.665612e+06
1.436638e+01 3.539601e+06
1.454949e+01 3.417923e+06
1.473493e+01 3.301608e+06
1.492274e+01 3.189977e+06
1.511294e+01 3.082075e+06
1.530557e+01 2.977625e+06
1.550065e+01 2.876949e+06
1.569822e+01 2.778363e+06
1.589831e+01 2.684001e+06
1.610095e+01 2.593758e+06
1.630616e+01 2.505426e+06
1.651400e+01 2.419200e+06
1.672448e+01 2.336391e+06
1.693765e+01 2.256555e+06
1.715354e+01 2.179822e+06
1.737217e+01 2.106697e+06
