Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	2.9789e+03
1.5000e-03	0.0000e+00	2.9796e+03
2.0000e-03	0.0000e+00	2.9801e+03
2.5000e-03	0.0000e+00	2.9804e+03
3.0000e-03	0.0000e+00	2.9807e+03
3.5000e-03	0.0000e+00	2.9810e+03
4.0000e-03	0.0000e+00	2.9812e+03
4.5000e-03	0.0000e+00	2.9814e+03
5.0000e-03	0.0000e+00	2.9815e+03
5.5000e-03	0.0000e+00	2.9817e+03
6.0000e-03	0.0000e+00	2.9818e+03
6.5000e-03	0.0000e+00	2.9820e+03
7.0000e-03	0.0000e+00	2.9821e+03
7.5000e-03	0.0000e+00	2.9822e+03
8.0000e-03	0.0000e+00	2.9823e+03
8.5000e-03	0.0000e+00	2.9824e+03
9.0000e-03	0.0000e+00	2.9825e+03
9.5000e-03	0.0000e+00	2.9826e+03
1.0000e-02	0.0000e+00	2.9826e+03
1.5000e-02	0.0000e+00	2.9833e+03
2.0000e-02	0.0000e+00	2.9838e+03
2.5000e-02	0.0000e+00	2.9841e+03
3.0000e-02	0.0000e+00	2.9844e+03
3.5000e-02	0.0000e+00	2.9848e+03
4.0000e-02	0.0000e+00	2.9859e+03
4.5000e-02	0.0000e+00	2.9868e+03
5.0000e-02	0.0000e+00	2.9877e+03
5.5000e-02	0.0000e+00	2.9884e+03
6.0000e-02	0.0000e+00	2.9891e+03
6.5000e-02	0.0000e+00	2.9898e+03
7.0000e-02	0.0000e+00	2.9903e+03
7.5000e-02	0.0000e+00	2.9909e+03
8.0000e-02	0.0000e+00	2.9914e+03
8.5000e-02	0.0000e+00	2.9919e+03
9.0000e-02	0.0000e+00	2.9924e+03
9.5000e-02	0.0000e+00	2.9933e+03
1.0000e-01	0.0000e+00	2.9941e+03
1.5000e-01	0.0000e+00	3.0009e+03
2.0000e-01	0.0000e+00	3.0077e+03
2.5000e-01	0.0000e+00	3.0148e+03
3.0000e-01	0.0000e+00	3.0218e+03
3.5000e-01	0.0000e+00	3.0288e+03
4.0000e-01	0.0000e+00	3.0358e+03
4.5000e-01	0.0000e+00	3.0428e+03
5.0000e-01	0.0000e+00	3.0497e+03
5.5000e-01	0.0000e+00	3.0565e+03
6.0000e-01	0.0000e+00	3.0632e+03
6.5000e-01	0.0000e+00	3.0698e+03
7.0000e-01	0.0000e+00	3.0763e+03
7.5000e-01	0.0000e+00	3.0829e+03
8.0000e-01	0.0000e+00	3.0897e+03
8.5000e-01	0.0000e+00	3.0966e+03
9.0000e-01	0.0000e+00	3.1035e+03
9.5000e-01	0.0000e+00	3.1104e+03
1.0000e+00	0.0000e+00	3.1174e+03
1.5000e+00	0.0000e+00	3.1872e+03
1.8000e+00	9.9206e+08	3.2291e+03
1.8229e+00	9.6045e+08	3.2323e+03
1.8462e+00	9.2966e+08	3.2356e+03
1.8697e+00	8.9914e+08	3.2389e+03
1.8935e+00	8.6870e+08	3.2422e+03
1.9177e+00	8.3948e+08	3.2456e+03
1.9421e+00	8.1102e+08	3.2490e+03
1.9669e+00	7.8590e+08	3.2525e+03
1.9919e+00	7.6130e+08	3.2560e+03
2.0173e+00	7.3683e+08	3.2595e+03
2.0430e+00	7.1254e+08	3.2631e+03
2.0691e+00	6.8871e+08	3.2668e+03
2.0955e+00	6.6657e+08	3.2704e+03
2.1222e+00	6.4434e+08	3.2742e+03
2.1492e+00	6.2290e+08	3.2780e+03
2.1766e+00	6.0230e+08	3.2818e+03
2.2043e+00	5.8218e+08	3.2857e+03
2.2324e+00	5.6276e+08	3.2896e+03
2.2609e+00	5.4381e+08	3.2936e+03
2.2897e+00	5.2554e+08	3.2977e+03
2.3189e+00	5.0777e+08	3.3017e+03
2.3485e+00	4.9068e+08	3.3059e+03
2.3784e+00	4.7413e+08	3.3101e+03
2.4087e+00	4.5806e+08	3.3143e+03
2.4394e+00	4.4254e+08	3.3186e+03
2.4705e+00	4.2753e+08	3.3230e+03
2.5020e+00	4.1295e+08	3.3274e+03
2.5339e+00	3.9888e+08	3.3318e+03
