# Energy(MeV) Phi16 Phi84
1.800000e+00 2.983091e+09 4.584688e+09
1.822942e+00 2.885199e+09 4.440443e+09
1.846177e+00 2.793631e+09 4.293740e+09
1.869708e+00 2.707948e+09 4.152200e+09
1.893539e+00 2.621990e+09 4.013163e+09
1.917674e+00 2.539870e+09 3.889699e+09
1.942116e+00 2.457543e+09 3.760407e+09
1.966870e+00 2.376825e+09 3.637916e+09
1.991940e+00 2.305838e+09 3.525079e+09
2.017328e+00 2.233439e+09 3.407331e+09
2.043041e+00 2.162401e+09 3.294730e+09
2.069081e+00 2.091934e+09 3.186769e+09
2.095453e+00 2.023094e+09 3.080633e+09
2.122162e+00 1.953910e+09 2.979956e+09
2.149210e+00 1.887091e+09 2.882713e+09
2.176604e+00 1.822558e+09 2.785756e+09
2.204346e+00 1.760231e+09 2.693555e+09
2.232442e+00 1.700036e+09 2.609298e+09
2.260897e+00 1.641900e+09 2.523451e+09
2.289714e+00 1.585751e+09 2.439509e+09
2.318898e+00 1.531523e+09 2.355086e+09
2.348454e+00 1.479149e+09 2.273676e+09
2.378387e+00 1.428566e+09 2.197038e+09
2.408702e+00 1.380070e+09 2.124863e+09
2.439402e+00 1.333228e+09 2.052007e+09
2.470495e+00 1.287976e+09 1.981092e+09
2.501983e+00 1.244261e+09 1.912627e+09
2.533873e+00 1.202731e+09 1.846528e+09
2.566169e+00 1.163203e+09 1.782606e+09
2.598877e+00 1.124998e+09 1.721143e+09
2.632002e+00 1.088008e+09 1.662178e+09
2.665549e+00 1.052196e+09 1.605233e+09
2.699523e+00 1.017526e+09 1.549896e+09
2.733931e+00 9.839623e+08 1.497519e+09
2.768777e+00 9.514075e+08 1.446718e+09
2.804067e+00 9.192014e+08 1.397535e+09
2.839808e+00 8.880855e+08 1.349872e+09
2.876003e+00 8.579886e+08 1.303391e+09
2.912660e+00 8.289219e+08 1.258478e+09
2.949784e+00 8.008401e+08 1.215326e+09
2.987382e+00 7.737095e+08 1.173171e+09
3.025458e+00 7.474982e+08 1.132861e+09
3.064020e+00 7.221748e+08 1.094304e+09
3.103074e+00 6.977093e+08 1.057059e+09
3.142625e+00 6.740727e+08 1.021082e+09
3.182680e+00 6.512369e+08 9.863293e+08
3.223246e+00 6.291747e+08 9.527460e+08
3.264329e+00 6.078935e+08 9.203860e+08
3.305936e+00 5.873619e+08 8.887438e+08
3.348072e+00 5.675238e+08 8.583435e+08
3.390746e+00 5.483558e+08 8.288701e+08
3.433964e+00 5.301759e+08 8.002270e+08
3.477733e+00 5.126781e+08 7.725738e+08
3.522059e+00 4.954267e+08 7.460109e+08
3.566951e+00 4.786216e+08 7.201193e+08
3.612415e+00 4.623865e+08 6.950330e+08
3.658458e+00 4.467375e+08 6.712151e+08
3.705088e+00 4.316191e+08 6.480480e+08
3.752312e+00 4.170124e+08 6.255430e+08
3.800138e+00 4.029000e+08 6.038195e+08
3.848574e+00 3.892652e+08 5.830090e+08
3.897627e+00 3.762604e+08 5.629519e+08
3.947306e+00 3.636357e+08 5.434157e+08
3.997617e+00 3.513707e+08 5.246076e+08
4.048570e+00 3.395710e+08 5.064705e+08
4.100173e+00 3.281683e+08 4.891666e+08
4.152433e+00 3.170252e+08 4.724761e+08
4.205359e+00 3.062573e+08 4.563943e+08
4.258959e+00 2.958551e+08 4.409241e+08
4.313243e+00 2.858063e+08 4.259544e+08
4.368219e+00 2.760988e+08 4.114715e+08
4.423896e+00 2.667210e+08 3.974808e+08
4.480282e+00 2.576617e+08 3.839661e+08
4.537387e+00 2.489190e+08 3.708148e+08
4.595219e+00 2.404776e+08 3.580943e+08
4.653789e+00 2.323225e+08 3.458005e+08
4.713105e+00 2.244439e+08 3.339203e+08
4.773178e+00 2.168754e+08 3.224004e+08
4.834016e+00 2.095789e+08 3.113873e+08
4.895629e+00 2.025440e+08 3.007814e+08
4.958028e+00 1.957477e+08 2.905770e+08
5.021222e+00 1.891795e+08 2.807188e+08
5.085222e+00 1.828317e+08 2.711951e+08
5.150037e+00 1.767051e+08 2.619843e+08
5.215678e+00 1.708199e+08 2.530842e+08
5.282156e+00 1.651595e+08 2.444865e+08
5.349482e+00 1.595772e+08 2.361808e+08
5.417665e+00 1.542380e+08 2.281520e+08
5.486718e+00 1.490803e+08 2.203372e+08
5.556650e+00 1.440772e+08 2.127664e+08
5.627475e+00 1.392604e+08 2.055830e+08
5.699201e+00 1.346046e+08 1.985566e+08
5.771842e+00 1.301044e+08 1.918519e+08
5.845409e+00 1.257554e+08 1.853230e+08
5.919913e+00 1.215516e+08 1.790105e+08
5.995368e+00 1.174883e+08 1.729045e+08
6.071783e+00 1.135609e+08 1.670219e+08
6.149173e+00 1.097647e+08 1.613156e+08
6.227549e+00 1.060954e+08 1.558099e+08
6.306925e+00 1.025488e+08 1.504651e+08
6.387311e+00 9.904850e+07 1.453571e+08
6.468723e+00 9.560897e+07 1.403804e+08
6.551172e+00 9.240475e+07 1.356100e+08
6.634672e+00 8.930882e+07 1.309733e+08
6.719236e+00 8.630786e+07 1.265103e+08
6.804878e+00 8.334500e+07 1.221254e+08
6.891612e+00 8.053261e+07 1.179069e+08
6.979451e+00 7.781681e+07 1.138985e+08
7.068410e+00 7.519260e+07 1.100090e+08
7.158503e+00 7.262919e+07 1.062218e+08
7.249744e+00 7.013112e+07 1.025649e+08
7.342148e+00 6.771898e+07 9.903398e+07
7.435729e+00 6.538981e+07 9.562458e+07
7.530504e+00 6.316446e+07 9.233256e+07
7.626486e+00 6.102417e+07 8.916006e+07
7.723692e+00 5.895642e+07 8.609302e+07
7.822136e+00 5.695873e+07 8.315298e+07
7.921836e+00 5.502874e+07 8.029585e+07
8.022806e+00 5.316415e+07 7.755085e+07
8.125063e+00 5.136274e+07 7.488702e+07
8.228624e+00 4.962238e+07 7.228773e+07
8.333504e+00 4.790433e+07 6.983577e+07
8.439722e+00 4.623345e+07 6.744630e+07
8.547293e+00 4.462086e+07 6.513612e+07
8.656235e+00 4.306452e+07 6.291868e+07
8.766566e+00 4.156296e+07 6.081687e+07
8.878303e+00 4.011676e+07 5.878826e+07
8.991464e+00 3.872088e+07 5.676047e+07
9.106067e+00 3.737357e+07 5.482046e+07
9.222132e+00 3.607315e+07 5.293367e+07
9.339675e+00 3.484120e+07 5.111682e+07
9.458717e+00 3.365608e+07 4.940912e+07
9.579276e+00 3.251588e+07 4.768982e+07
9.701372e+00 3.142087e+07 4.609616e+07
9.825023e+00 3.037136e+07 4.456243e+07
9.950251e+00 2.935691e+07 4.304145e+07
1.007708e+01 2.837634e+07 4.157472e+07
1.020552e+01 2.743013e+07 4.014201e+07
1.033559e+01 2.651641e+07 3.876638e+07
1.046733e+01 2.563314e+07 3.743789e+07
1.060074e+01 2.477928e+07 3.616719e+07
1.073586e+01 2.395387e+07 3.493132e+07
1.087270e+01 2.315595e+07 3.375454e+07
1.101128e+01 2.238461e+07 3.261928e+07
1.115162e+01 2.163148e+07 3.150682e+07
1.129376e+01 2.089461e+07 3.043311e+07
1.143771e+01 2.018285e+07 2.940805e+07
1.158349e+01 1.949533e+07 2.840298e+07
1.173113e+01 1.883124e+07 2.742504e+07
1.188066e+01 1.819702e+07 2.649425e+07
1.203208e+01 1.758663e+07 2.559037e+07
1.218544e+01 1.699672e+07 2.472486e+07
1.234076e+01 1.641568e+07 2.387788e+07
1.249805e+01 1.585365e+07 2.308249e+07
1.265735e+01 1.531085e+07 2.229110e+07
1.281868e+01 1.478145e+07 2.153370e+07
1.298206e+01 1.426860e+07 2.081211e+07
1.314753e+01 1.377355e+07 2.009884e+07
1.331510e+01 1.329852e+07 1.940681e+07
1.348482e+01 1.284260e+07 1.874133e+07
1.365669e+01 1.240231e+07 1.810711e+07
1.383076e+01 1.197712e+07 1.748952e+07
1.400704e+01 1.156651e+07 1.689056e+07
1.418557e+01 1.117196e+07 1.632483e+07
1.436638e+01 1.079087e+07 1.577260e+07
1.454949e+01 1.042278e+07 1.523386e+07
1.473493e+01 1.006725e+07 1.472007e+07
1.492274e+01 9.723924e+06 1.421939e+07
1.511294e+01 9.401342e+06 1.373271e+07
1.530557e+01 9.080169e+06 1.326724e+07
1.550065e+01 8.770266e+06 1.281549e+07
