# Energy(MeV) Fluence_Sferico_Median
1.800000e+00 3.968222e+09
1.822942e+00 3.841798e+09
1.846177e+00 3.718629e+09
1.869708e+00 3.596577e+09
1.893539e+00 3.474815e+09
1.917674e+00 3.357911e+09
1.942116e+00 3.244081e+09
1.966870e+00 3.143584e+09
1.991940e+00 3.045184e+09
2.017328e+00 2.947315e+09
2.043041e+00 2.850172e+09
2.069081e+00 2.754837e+09
2.095453e+00 2.666267e+09
2.122162e+00 2.577380e+09
2.149210e+00 2.491581e+09
2.176604e+00 2.409213e+09
2.204346e+00 2.328730e+09
2.232442e+00 2.251052e+09
2.260897e+00 2.175245e+09
2.289714e+00 2.102142e+09
2.318898e+00 2.031083e+09
2.348454e+00 1.962721e+09
2.378387e+00 1.896518e+09
2.408702e+00 1.832221e+09
2.439402e+00 1.770141e+09
2.470495e+00 1.710121e+09
2.501983e+00 1.651786e+09
2.533873e+00 1.595524e+09
2.566169e+00 1.541622e+09
2.598877e+00 1.489301e+09
2.632002e+00 1.438784e+09
2.665549e+00 1.389925e+09
2.699523e+00 1.342669e+09
2.733931e+00 1.296838e+09
2.768777e+00 1.252740e+09
2.804067e+00 1.210142e+09
2.839808e+00 1.169196e+09
2.876003e+00 1.129669e+09
2.912660e+00 1.091479e+09
2.949784e+00 1.054579e+09
2.987382e+00 1.018927e+09
3.025458e+00 9.844809e+08
3.064020e+00 9.512216e+08
3.103074e+00 9.191637e+08
3.142625e+00 8.877393e+08
3.182680e+00 8.576580e+08
3.223246e+00 8.284146e+08
3.264329e+00 7.999360e+08
3.305936e+00 7.732490e+08
3.348072e+00 7.473892e+08
3.390746e+00 7.222874e+08
3.433964e+00 6.980287e+08
3.477733e+00 6.745180e+08
3.522059e+00 6.517041e+08
3.566951e+00 6.296618e+08
3.612415e+00 6.083513e+08
3.658458e+00 5.877214e+08
3.705088e+00 5.678088e+08
3.752312e+00 5.484822e+08
3.800138e+00 5.296169e+08
3.848574e+00 5.114514e+08
3.897627e+00 4.940570e+08
3.947306e+00 4.771185e+08
3.997617e+00 4.607926e+08
4.048570e+00 4.450927e+08
4.100173e+00 4.298902e+08
4.152433e+00 4.153533e+08
4.205359e+00 4.012434e+08
4.258959e+00 3.876437e+08
4.313243e+00 3.744033e+08
4.368219e+00 3.617184e+08
4.423896e+00 3.494378e+08
4.480282e+00 3.375079e+08
4.537387e+00 3.260854e+08
4.595219e+00 3.151015e+08
4.653789e+00 3.045529e+08
4.713105e+00 2.943378e+08
4.773178e+00 2.844653e+08
4.834016e+00 2.749218e+08
4.895629e+00 2.655763e+08
4.958028e+00 2.566634e+08
5.021222e+00 2.480365e+08
5.085222e+00 2.396067e+08
5.150037e+00 2.315180e+08
5.215678e+00 2.236826e+08
5.282156e+00 2.161763e+08
5.349482e+00 2.088520e+08
5.417665e+00 2.017322e+08
5.486718e+00 1.948817e+08
5.556650e+00 1.883058e+08
5.627475e+00 1.819813e+08
5.699201e+00 1.757889e+08
5.771842e+00 1.698247e+08
5.845409e+00 1.640921e+08
5.919913e+00 1.585432e+08
5.995368e+00 1.531642e+08
6.071783e+00 1.479875e+08
6.149173e+00 1.429858e+08
6.227549e+00 1.381107e+08
6.306925e+00 1.334128e+08
6.387311e+00 1.289119e+08
6.468723e+00 1.245727e+08
6.551172e+00 1.203797e+08
6.634672e+00 1.163278e+08
6.719236e+00 1.124124e+08
6.804878e+00 1.086243e+08
6.891612e+00 1.049625e+08
6.979451e+00 1.014136e+08
7.068410e+00 9.792194e+07
7.158503e+00 9.459051e+07
7.249744e+00 9.138828e+07
7.342148e+00 8.829581e+07
7.435729e+00 8.529308e+07
7.530504e+00 8.240628e+07
7.626486e+00 7.964104e+07
7.723692e+00 7.695478e+07
7.822136e+00 7.436106e+07
7.921836e+00 7.183059e+07
8.022806e+00 6.938240e+07
8.125063e+00 6.703483e+07
8.228624e+00 6.477235e+07
8.333504e+00 6.256283e+07
8.439722e+00 6.043719e+07
8.547293e+00 5.839722e+07
8.656235e+00 5.641823e+07
