Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	3.7849e+03
1.5000e-03	0.0000e+00	3.7857e+03
2.0000e-03	0.0000e+00	3.7863e+03
2.5000e-03	0.0000e+00	3.7868e+03
3.0000e-03	0.0000e+00	3.7871e+03
3.5000e-03	0.0000e+00	3.7875e+03
4.0000e-03	0.0000e+00	3.7877e+03
4.5000e-03	0.0000e+00	3.7880e+03
5.0000e-03	0.0000e+00	3.7882e+03
5.5000e-03	0.0000e+00	3.7884e+03
6.0000e-03	0.0000e+00	3.7886e+03
6.5000e-03	0.0000e+00	3.7887e+03
7.0000e-03	0.0000e+00	3.7889e+03
7.5000e-03	0.0000e+00	3.7890e+03
8.0000e-03	0.0000e+00	3.7891e+03
8.5000e-03	0.0000e+00	3.7893e+03
9.0000e-03	0.0000e+00	3.7894e+03
9.5000e-03	0.0000e+00	3.7895e+03
1.0000e-02	0.0000e+00	3.7896e+03
1.5000e-02	0.0000e+00	3.7904e+03
2.0000e-02	0.0000e+00	3.7910e+03
2.5000e-02	0.0000e+00	3.7915e+03
3.0000e-02	0.0000e+00	3.7918e+03
3.5000e-02	0.0000e+00	3.7923e+03
4.0000e-02	0.0000e+00	3.7937e+03
4.5000e-02	0.0000e+00	3.7949e+03
5.0000e-02	0.0000e+00	3.7960e+03
5.5000e-02	0.0000e+00	3.7969e+03
6.0000e-02	0.0000e+00	3.7978e+03
6.5000e-02	0.0000e+00	3.7986e+03
7.0000e-02	0.0000e+00	3.7994e+03
7.5000e-02	0.0000e+00	3.8001e+03
8.0000e-02	0.0000e+00	3.8007e+03
8.5000e-02	0.0000e+00	3.8014e+03
9.0000e-02	0.0000e+00	3.8020e+03
9.5000e-02	0.0000e+00	3.8031e+03
1.0000e-01	0.0000e+00	3.8042e+03
1.5000e-01	0.0000e+00	3.8128e+03
2.0000e-01	0.0000e+00	3.8215e+03
2.5000e-01	0.0000e+00	3.8304e+03
3.0000e-01	0.0000e+00	3.8393e+03
3.5000e-01	0.0000e+00	3.8482e+03
4.0000e-01	0.0000e+00	3.8571e+03
4.5000e-01	0.0000e+00	3.8659e+03
5.0000e-01	0.0000e+00	3.8747e+03
5.5000e-01	0.0000e+00	3.8834e+03
6.0000e-01	0.0000e+00	3.8919e+03
6.5000e-01	0.0000e+00	3.9003e+03
7.0000e-01	0.0000e+00	3.9085e+03
7.5000e-01	0.0000e+00	3.9168e+03
8.0000e-01	0.0000e+00	3.9256e+03
8.5000e-01	0.0000e+00	3.9343e+03
9.0000e-01	0.0000e+00	3.9431e+03
9.5000e-01	0.0000e+00	3.9519e+03
1.0000e+00	0.0000e+00	3.9607e+03
1.5000e+00	0.0000e+00	4.0493e+03
1.8000e+00	1.1865e+09	4.1026e+03
1.8229e+00	1.1556e+09	4.1066e+03
1.8462e+00	1.1177e+09	4.1108e+03
1.8697e+00	1.0828e+09	4.1149e+03
1.8935e+00	1.0516e+09	4.1192e+03
1.9177e+00	1.0189e+09	4.1234e+03
1.9421e+00	9.9061e+08	4.1278e+03
1.9669e+00	9.6216e+08	4.1322e+03
1.9919e+00	9.3596e+08	4.1366e+03
2.0173e+00	9.1043e+08	4.1411e+03
2.0430e+00	8.8536e+08	4.1457e+03
2.0691e+00	8.5977e+08	4.1503e+03
2.0955e+00	8.3626e+08	4.1550e+03
2.1222e+00	8.1261e+08	4.1597e+03
2.1492e+00	7.8861e+08	4.1645e+03
2.1766e+00	7.6535e+08	4.1694e+03
2.2043e+00	7.4244e+08	4.1743e+03
2.2324e+00	7.2045e+08	4.1793e+03
2.2609e+00	7.0107e+08	4.1844e+03
2.2897e+00	6.8152e+08	4.1895e+03
2.3189e+00	6.6187e+08	4.1947e+03
2.3485e+00	6.4212e+08	4.1999e+03
2.3784e+00	6.2165e+08	4.2052e+03
2.4087e+00	6.0375e+08	4.2106e+03
2.4394e+00	5.8492e+08	4.2161e+03
2.4705e+00	5.6865e+08	4.2216e+03
2.5020e+00	5.5176e+08	4.2272e+03
2.5339e+00	5.3465e+08	4.2329e+03
2.5662e+00	5.1731e+08	4.2326e+03
2.5989e+00	5.0196e+08	4.2277e+03
2.6320e+00	4.8639e+08	4.2308e+03
2.6655e+00	4.7092e+08	4.2358e+03
2.6995e+00	4.5711e+08	4.2418e+03
2.7339e+00	4.4184e+08	4.2479e+03
2.7688e+00	4.2734e+08	4.2541e+03
2.8041e+00	4.1390e+08	4.2604e+03
2.8398e+00	4.0157e+08	4.2667e+03
2.8760e+00	3.8833e+08	4.2731e+03
2.9127e+00	3.7692e+08	4.2797e+03
2.9498e+00	3.6501e+08	4.2862e+03
2.9874e+00	3.5290e+08	4.2929e+03
3.0255e+00	3.4200e+08	4.2997e+03
3.0640e+00	3.3064e+08	4.3065e+03
3.1031e+00	3.1981e+08	4.3135e+03
3.1426e+00	3.0875e+08	4.3205e+03
3.1827e+00	2.9845e+08	4.3276e+03
3.2232e+00	2.8838e+08	4.3348e+03
3.2643e+00	2.7859e+08	4.3421e+03
3.3059e+00	2.6924e+08	4.3495e+03
3.3481e+00	2.6014e+08	4.3570e+03
3.3907e+00	2.5140e+08	4.3646e+03
3.4340e+00	2.4283e+08	4.3722e+03
3.4777e+00	2.3505e+08	4.3800e+03
3.5221e+00	2.2730e+08	4.3879e+03
3.5670e+00	2.1954e+08	4.3958e+03
3.6124e+00	2.1200e+08	4.4039e+03
3.6585e+00	2.0466e+08	4.4121e+03
3.7051e+00	1.9774e+08	4.4204e+03
3.7523e+00	1.9094e+08	4.4288e+03
3.8001e+00	1.8430e+08	4.4373e+03
3.8486e+00	1.7791e+08	4.4459e+03
3.8976e+00	1.7173e+08	4.4546e+03
3.9473e+00	1.6609e+08	4.4634e+03
3.9976e+00	1.6032e+08	4.4724e+03
4.0486e+00	1.5477e+08	4.4814e+03
4.1002e+00	1.4943e+08	4.4906e+03
4.1524e+00	1.4422e+08	4.4999e+03
4.2054e+00	1.3918e+08	4.5093e+03
4.2590e+00	1.3448e+08	4.5188e+03
4.3132e+00	1.2985e+08	4.5285e+03
4.3682e+00	1.2539e+08	4.5382e+03
4.4239e+00	1.2104e+08	4.5481e+03
4.4803e+00	1.1687e+08	4.5582e+03
4.5374e+00	1.1288e+08	4.5683e+03
4.5952e+00	1.0903e+08	4.5786e+03
4.6538e+00	1.0531e+08	4.5890e+03
4.7131e+00	1.0164e+08	4.5995e+03
4.7732e+00	9.8111e+07	4.6102e+03
4.8340e+00	9.4768e+07	4.6210e+03
4.8956e+00	9.1493e+07	4.6319e+03
4.9580e+00	8.8368e+07	4.6429e+03
5.0212e+00	8.5316e+07	4.6541e+03
5.0852e+00	8.2295e+07	4.6654e+03
5.1500e+00	7.9430e+07	4.6768e+03
5.2157e+00	7.6674e+07	4.6883e+03
5.2822e+00	7.4013e+07	4.6988e+03
5.3495e+00	7.1462e+07	4.7095e+03
5.4177e+00	6.8995e+07	4.7215e+03
5.4867e+00	6.6612e+07	4.7336e+03
5.5567e+00	6.4308e+07	4.7459e+03
5.6275e+00	6.2081e+07	4.7584e+03
5.6992e+00	5.9922e+07	4.7710e+03
5.7718e+00	5.7824e+07	4.7837e+03
5.8454e+00	5.5812e+07	4.7966e+03
5.9199e+00	5.3909e+07	4.8097e+03
5.9954e+00	5.2049e+07	4.8229e+03
6.0718e+00	5.0248e+07	4.8363e+03
6.1492e+00	4.8533e+07	4.8499e+03
6.2275e+00	4.6876e+07	4.8636e+03
6.3069e+00	4.5276e+07	4.8775e+03
6.3873e+00	4.3726e+07	4.8915e+03
6.4687e+00	4.2208e+07	4.9057e+03
6.5512e+00	4.0739e+07	4.9201e+03
6.6347e+00	3.9350e+07	4.9347e+03
6.7192e+00	3.8009e+07	4.9494e+03
6.8049e+00	3.6699e+07	4.9643e+03
6.8916e+00	3.5419e+07	4.9794e+03
6.9795e+00	3.4184e+07	4.9947e+03
7.0684e+00	3.3008e+07	5.0102e+03
7.1585e+00	3.1880e+07	5.0258e+03
7.2497e+00	3.0785e+07	5.0416e+03
7.3421e+00	2.9723e+07	5.0577e+03
7.4357e+00	2.8709e+07	5.0739e+03
7.5305e+00	2.7703e+07	5.0902e+03
7.6265e+00	2.6747e+07	5.1068e+03
7.7237e+00	2.5844e+07	5.1236e+03
7.8221e+00	2.4962e+07	5.1406e+03
7.9218e+00	2.4116e+07	5.1577e+03
8.0228e+00	2.3299e+07	5.1751e+03
8.1251e+00	2.2489e+07	5.1927e+03
8.2286e+00	2.1720e+07	5.2104e+03
8.3335e+00	2.0965e+07	5.2284e+03
8.4397e+00	2.0237e+07	5.2466e+03
8.5473e+00	1.9535e+07	5.2651e+03
8.6562e+00	1.8861e+07	5.2837e+03
8.7666e+00	1.8216e+07	5.3026e+03
8.8783e+00	1.7598e+07	5.3217e+03
