Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	7.0018e+03
1.5000e-03	0.0000e+00	7.0035e+03
2.0000e-03	0.0000e+00	7.0047e+03
2.5000e-03	0.0000e+00	7.0056e+03
3.0000e-03	0.0000e+00	7.0063e+03
3.5000e-03	0.0000e+00	7.0069e+03
4.0000e-03	0.0000e+00	7.0075e+03
4.5000e-03	0.0000e+00	7.0079e+03
5.0000e-03	0.0000e+00	7.0083e+03
5.5000e-03	0.0000e+00	7.0087e+03
6.0000e-03	0.0000e+00	7.0091e+03
6.5000e-03	0.0000e+00	7.0094e+03
7.0000e-03	0.0000e+00	7.0097e+03
7.5000e-03	0.0000e+00	7.0099e+03
8.0000e-03	0.0000e+00	7.0102e+03
8.5000e-03	0.0000e+00	7.0104e+03
9.0000e-03	0.0000e+00	7.0107e+03
9.5000e-03	0.0000e+00	7.0109e+03
1.0000e-02	0.0000e+00	7.0111e+03
1.5000e-02	0.0000e+00	7.0127e+03
2.0000e-02	0.0000e+00	7.0140e+03
2.5000e-02	0.0000e+00	7.0151e+03
3.0000e-02	0.0000e+00	7.0160e+03
3.5000e-02	0.0000e+00	7.0169e+03
4.0000e-02	0.0000e+00	7.0180e+03
4.5000e-02	0.0000e+00	7.0191e+03
5.0000e-02	0.0000e+00	7.0202e+03
5.5000e-02	0.0000e+00	7.0213e+03
6.0000e-02	0.0000e+00	7.0224e+03
6.5000e-02	0.0000e+00	7.0238e+03
7.0000e-02	0.0000e+00	7.0251e+03
7.5000e-02	0.0000e+00	7.0264e+03
8.0000e-02	0.0000e+00	7.0277e+03
8.5000e-02	0.0000e+00	7.0289e+03
9.0000e-02	0.0000e+00	7.0302e+03
9.5000e-02	0.0000e+00	7.0314e+03
1.0000e-01	0.0000e+00	7.0327e+03
1.5000e-01	0.0000e+00	7.0460e+03
2.0000e-01	0.0000e+00	7.0596e+03
2.5000e-01	0.0000e+00	7.0731e+03
3.0000e-01	0.0000e+00	7.0866e+03
3.5000e-01	0.0000e+00	7.1001e+03
4.0000e-01	0.0000e+00	7.1137e+03
4.5000e-01	0.0000e+00	7.1273e+03
5.0000e-01	0.0000e+00	7.1392e+03
5.5000e-01	0.0000e+00	7.1506e+03
6.0000e-01	0.0000e+00	7.1638e+03
6.5000e-01	0.0000e+00	7.1774e+03
7.0000e-01	0.0000e+00	7.1907e+03
7.5000e-01	0.0000e+00	7.2041e+03
8.0000e-01	0.0000e+00	7.2176e+03
8.5000e-01	0.0000e+00	7.2312e+03
9.0000e-01	0.0000e+00	7.2447e+03
9.5000e-01	0.0000e+00	7.2582e+03
1.0000e+00	0.0000e+00	7.2717e+03
1.5000e+00	0.0000e+00	7.4073e+03
