# Energy(MeV) Phi16 Phi84
1.000000e+00 4.572902e+09 1.166203e+11
1.013939e+00 4.554725e+09 1.130531e+11
1.028073e+00 4.536456e+09 1.096078e+11
1.042404e+00 4.512815e+09 1.062930e+11
1.056935e+00 4.494599e+09 1.031130e+11
1.071668e+00 4.474612e+09 1.000237e+11
1.086606e+00 4.456813e+09 9.683288e+10
1.101753e+00 4.432365e+09 9.386011e+10
1.117111e+00 4.413665e+09 9.092597e+10
1.132683e+00 4.392969e+09 8.810891e+10
1.148472e+00 4.363497e+09 8.531906e+10
1.164481e+00 4.344012e+09 8.261343e+10
1.180713e+00 4.324427e+09 7.999343e+10
1.197171e+00 4.301071e+09 7.752170e+10
1.213859e+00 4.279558e+09 7.515546e+10
1.230780e+00 4.260984e+09 7.281442e+10
1.247936e+00 4.242315e+09 7.057624e+10
1.265332e+00 4.222741e+09 6.837049e+10
1.282970e+00 4.203371e+09 6.620116e+10
1.300854e+00 4.176047e+09 6.414847e+10
1.318987e+00 4.156568e+09 6.220684e+10
1.337373e+00 4.137520e+09 6.030945e+10
1.356015e+00 4.118374e+09 5.847672e+10
1.374917e+00 4.095239e+09 5.668681e+10
1.394083e+00 4.069283e+09 5.494179e+10
1.413516e+00 4.046521e+09 5.323249e+10
1.433219e+00 4.016925e+09 5.154764e+10
1.453198e+00 3.998191e+09 4.999376e+10
1.473454e+00 3.978097e+09 4.845074e+10
1.493993e+00 3.959715e+09 4.700799e+10
1.514819e+00 3.937018e+09 4.554808e+10
1.535935e+00 3.907978e+09 4.409510e+10
1.557345e+00 3.887141e+09 4.272505e+10
1.579053e+00 3.865307e+09 4.141971e+10
1.601064e+00 3.840294e+09 4.010714e+10
1.623382e+00 3.816322e+09 3.881983e+10
1.646012e+00 3.794867e+09 3.760172e+10
1.668956e+00 3.772348e+09 3.643182e+10
1.692220e+00 3.750573e+09 3.529329e+10
1.715809e+00 3.728694e+09 3.418516e+10
1.739726e+00 3.706712e+09 3.312630e+10
1.763977e+00 3.679301e+09 3.209898e+10
1.788566e+00 3.656953e+09 3.110532e+10
1.813498e+00 3.634005e+09 3.016101e+10
1.838777e+00 3.611638e+09 2.922093e+10
1.864409e+00 3.589169e+09 2.830999e+10
1.890397e+00 3.564112e+09 2.742729e+10
1.916748e+00 3.542039e+09 2.659574e+10
1.943467e+00 3.519596e+09 2.581029e+10
1.970558e+00 3.488913e+09 2.504788e+10
1.998026e+00 3.465923e+09 2.431900e+10
2.025878e+00 3.443114e+09 2.356966e+10
2.054117e+00 3.421276e+09 2.284768e+10
2.082751e+00 3.396306e+09 2.217293e+10
2.111783e+00 3.368512e+09 2.147928e+10
