# Energy(MeV) Planare_Fluence(cm^-2*MeV^-1)
1.000000e+00 3.729428e+10
1.013939e+00 3.643267e+10
1.028073e+00 3.551640e+10
1.042404e+00 3.462980e+10
1.056935e+00 3.375179e+10
1.071668e+00 3.297703e+10
1.086606e+00 3.227531e+10
1.101753e+00 3.158497e+10
1.117111e+00 3.091181e+10
1.132683e+00 3.023595e+10
1.148472e+00 2.952273e+10
1.164481e+00 2.881334e+10
1.180713e+00 2.812080e+10
1.197171e+00 2.744972e+10
1.213859e+00 2.682669e+10
1.230780e+00 2.622890e+10
1.247936e+00 2.560389e+10
1.265332e+00 2.503108e+10
1.282970e+00 2.441582e+10
1.300854e+00 2.382918e+10
1.318987e+00 2.324906e+10
1.337373e+00 2.267430e+10
1.356015e+00 2.212438e+10
1.374917e+00 2.158989e+10
1.394083e+00 2.106674e+10
1.413516e+00 2.055756e+10
1.433219e+00 2.007021e+10
1.453198e+00 1.959140e+10
1.473454e+00 1.911496e+10
1.493993e+00 1.867523e+10
1.514819e+00 1.823174e+10
1.535935e+00 1.781759e+10
1.557345e+00 1.739526e+10
1.579053e+00 1.698814e+10
1.601064e+00 1.656885e+10
1.623382e+00 1.615843e+10
1.646012e+00 1.576812e+10
1.668956e+00 1.540424e+10
1.692220e+00 1.505145e+10
1.715809e+00 1.470685e+10
1.739726e+00 1.434193e+10
1.763977e+00 1.399047e+10
1.788566e+00 1.363678e+10
1.813498e+00 1.330315e+10
1.838777e+00 1.299850e+10
1.864409e+00 1.269730e+10
1.890397e+00 1.239955e+10
1.916748e+00 1.207174e+10
1.943467e+00 1.178790e+10
1.970558e+00 1.150039e+10
1.998026e+00 1.123894e+10
2.025878e+00 1.099439e+10
2.054117e+00 1.071398e+10
2.082751e+00 1.042183e+10
2.111783e+00 1.015238e+10
2.141220e+00 9.917211e+09
2.171068e+00 9.668932e+09
2.201331e+00 9.444165e+09
2.232016e+00 9.217477e+09
2.263130e+00 8.988996e+09
2.294676e+00 8.775872e+09
2.326663e+00 8.538924e+09
2.359095e+00 8.330237e+09
2.391980e+00 8.129808e+09
2.425323e+00 7.928226e+09
2.459130e+00 7.744303e+09
2.493409e+00 7.565461e+09
2.528166e+00 7.379189e+09
2.563407e+00 7.197583e+09
2.599140e+00 7.030088e+09
2.635371e+00 6.857597e+09
2.672106e+00 6.684164e+09
2.709354e+00 6.517108e+09
2.747121e+00 6.351921e+09
2.785414e+00 6.200536e+09
2.824241e+00 6.057873e+09
2.863610e+00 5.897287e+09
2.903527e+00 5.757778e+09
2.944000e+00 5.623145e+09
2.985038e+00 5.486069e+09
3.026648e+00 5.345271e+09
3.068838e+00 5.213182e+09
3.111616e+00 5.084366e+09
3.154990e+00 4.967238e+09
3.198969e+00 4.856921e+09
3.243561e+00 4.739681e+09
3.288774e+00 4.637690e+09
3.334618e+00 4.513606e+09
3.381101e+00 4.416983e+09
3.428231e+00 4.314637e+09
3.476019e+00 4.220443e+09
3.524473e+00 4.120953e+09
