# Energy(MeV) Phi16 Phi84
1.000000e+00 1.829161e+10 4.664811e+11
1.013939e+00 1.821890e+10 4.522122e+11
1.028073e+00 1.814582e+10 4.384313e+11
1.042404e+00 1.805126e+10 4.251718e+11
1.056935e+00 1.797840e+10 4.124519e+11
1.071668e+00 1.789845e+10 4.000947e+11
1.086606e+00 1.782725e+10 3.873315e+11
1.101753e+00 1.772946e+10 3.754405e+11
1.117111e+00 1.765466e+10 3.637039e+11
1.132683e+00 1.757188e+10 3.524356e+11
1.148472e+00 1.745399e+10 3.412762e+11
1.164481e+00 1.737605e+10 3.304537e+11
1.180713e+00 1.729771e+10 3.199737e+11
1.197171e+00 1.720428e+10 3.100868e+11
1.213859e+00 1.711823e+10 3.006219e+11
1.230780e+00 1.704394e+10 2.912577e+11
1.247936e+00 1.696926e+10 2.823050e+11
1.265332e+00 1.689096e+10 2.734820e+11
1.282970e+00 1.681349e+10 2.648046e+11
1.300854e+00 1.670419e+10 2.565939e+11
1.318987e+00 1.662627e+10 2.488274e+11
1.337373e+00 1.655008e+10 2.412378e+11
1.356015e+00 1.647350e+10 2.339069e+11
1.374917e+00 1.638095e+10 2.267472e+11
1.394083e+00 1.627713e+10 2.197672e+11
1.413516e+00 1.618608e+10 2.129300e+11
1.433219e+00 1.606770e+10 2.061906e+11
1.453198e+00 1.599276e+10 1.999750e+11
1.473454e+00 1.591239e+10 1.938030e+11
1.493993e+00 1.583886e+10 1.880319e+11
1.514819e+00 1.574807e+10 1.821923e+11
1.535935e+00 1.563191e+10 1.763804e+11
1.557345e+00 1.554856e+10 1.709002e+11
1.579053e+00 1.546123e+10 1.656788e+11
1.601064e+00 1.536118e+10 1.604286e+11
1.623382e+00 1.526529e+10 1.552793e+11
1.646012e+00 1.517947e+10 1.504069e+11
1.668956e+00 1.508939e+10 1.457273e+11
1.692220e+00 1.500229e+10 1.411731e+11
1.715809e+00 1.491478e+10 1.367407e+11
1.739726e+00 1.482685e+10 1.325052e+11
1.763977e+00 1.471720e+10 1.283959e+11
1.788566e+00 1.462781e+10 1.244213e+11
1.813498e+00 1.453602e+10 1.206440e+11
1.838777e+00 1.444655e+10 1.168837e+11
1.864409e+00 1.435668e+10 1.132400e+11
1.890397e+00 1.425645e+10 1.097092e+11
1.916748e+00 1.416816e+10 1.063829e+11
1.943467e+00 1.407838e+10 1.032412e+11
1.970558e+00 1.395565e+10 1.001915e+11
1.998026e+00 1.386369e+10 9.727601e+10
2.025878e+00 1.377246e+10 9.427865e+10
2.054117e+00 1.368510e+10 9.139070e+10
2.082751e+00 1.358522e+10 8.869170e+10
2.111783e+00 1.347405e+10 8.591712e+10
2.141220e+00 1.334154e+10 8.317880e+10
2.171068e+00 1.324301e+10 8.065052e+10
2.201331e+00 1.312886e+10 7.812788e+10
2.232016e+00 1.304177e+10 7.569963e+10
2.263130e+00 1.295431e+10 7.342329e+10
2.294676e+00 1.284571e+10 7.122025e+10
2.326663e+00 1.274600e+10 6.908257e+10
2.359095e+00 1.263844e+10 6.697473e+10
2.391980e+00 1.253308e+10 6.491945e+10
2.425323e+00 1.243501e+10 6.291590e+10
2.459130e+00 1.233985e+10 6.099803e+10
2.493409e+00 1.223695e+10 5.914614e+10
2.528166e+00 1.214590e+10 5.735326e+10
2.563407e+00 1.203920e+10 5.560768e+10
2.599140e+00 1.193780e+10 5.391132e+10
2.635371e+00 1.180221e+10 5.219848e+10
