# Energy(MeV) Sferica_Fluence(cm^-2*MeV^-1)
1.000000e+00 1.491771e+11
1.013939e+00 1.457307e+11
1.028073e+00 1.420656e+11
1.042404e+00 1.385192e+11
1.056935e+00 1.350072e+11
1.071668e+00 1.319081e+11
1.086606e+00 1.291013e+11
1.101753e+00 1.263399e+11
1.117111e+00 1.236472e+11
1.132683e+00 1.209438e+11
1.148472e+00 1.180909e+11
1.164481e+00 1.152533e+11
1.180713e+00 1.124832e+11
1.197171e+00 1.097989e+11
1.213859e+00 1.073067e+11
1.230780e+00 1.049156e+11
1.247936e+00 1.024156e+11
1.265332e+00 1.001243e+11
1.282970e+00 9.766328e+10
1.300854e+00 9.531673e+10
1.318987e+00 9.299626e+10
1.337373e+00 9.069719e+10
1.356015e+00 8.849753e+10
1.374917e+00 8.635955e+10
1.394083e+00 8.426697e+10
1.413516e+00 8.223022e+10
1.433219e+00 8.028082e+10
1.453198e+00 7.836560e+10
1.473454e+00 7.645984e+10
1.493993e+00 7.470091e+10
1.514819e+00 7.292695e+10
1.535935e+00 7.127035e+10
1.557345e+00 6.958104e+10
1.579053e+00 6.795257e+10
1.601064e+00 6.627538e+10
1.623382e+00 6.463371e+10
1.646012e+00 6.307247e+10
1.668956e+00 6.161697e+10
1.692220e+00 6.020580e+10
1.715809e+00 5.882742e+10
1.739726e+00 5.736774e+10
1.763977e+00 5.596187e+10
1.788566e+00 5.454713e+10
1.813498e+00 5.321259e+10
1.838777e+00 5.199399e+10
1.864409e+00 5.078918e+10
1.890397e+00 4.959820e+10
1.916748e+00 4.828698e+10
1.943467e+00 4.715160e+10
1.970558e+00 4.600157e+10
1.998026e+00 4.495578e+10
2.025878e+00 4.397755e+10
2.054117e+00 4.285593e+10
2.082751e+00 4.168731e+10
2.111783e+00 4.060953e+10
2.141220e+00 3.966884e+10
2.171068e+00 3.867573e+10
2.201331e+00 3.777666e+10
2.232016e+00 3.686991e+10
2.263130e+00 3.595598e+10
2.294676e+00 3.510349e+10
2.326663e+00 3.415570e+10
2.359095e+00 3.332095e+10
2.391980e+00 3.251923e+10
2.425323e+00 3.171290e+10
2.459130e+00 3.097721e+10
2.493409e+00 3.026184e+10
2.528166e+00 2.951675e+10
2.563407e+00 2.879033e+10
2.599140e+00 2.812035e+10
2.635371e+00 2.743039e+10
2.672106e+00 2.673666e+10
2.709354e+00 2.606843e+10
2.747121e+00 2.540769e+10
2.785414e+00 2.480214e+10
2.824241e+00 2.423149e+10
2.863610e+00 2.358915e+10
2.903527e+00 2.303111e+10
2.944000e+00 2.249258e+10
2.985038e+00 2.194428e+10
3.026648e+00 2.138109e+10
3.068838e+00 2.085273e+10
