Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	1.8101e+05
1.5000e-03	0.0000e+00	1.8105e+05
2.0000e-03	0.0000e+00	1.8108e+05
2.5000e-03	0.0000e+00	1.8110e+05
3.0000e-03	0.0000e+00	1.8112e+05
3.5000e-03	0.0000e+00	1.8113e+05
4.0000e-03	0.0000e+00	1.8114e+05
4.5000e-03	0.0000e+00	1.8116e+05
5.0000e-03	0.0000e+00	1.8117e+05
5.5000e-03	0.0000e+00	1.8118e+05
6.0000e-03	0.0000e+00	1.8118e+05
6.5000e-03	0.0000e+00	1.8119e+05
7.0000e-03	0.0000e+00	1.8120e+05
7.5000e-03	0.0000e+00	1.8121e+05
8.0000e-03	0.0000e+00	1.8121e+05
8.5000e-03	0.0000e+00	1.8122e+05
9.0000e-03	0.0000e+00	1.8122e+05
9.5000e-03	0.0000e+00	1.8123e+05
1.0000e-02	0.0000e+00	1.8123e+05
1.5000e-02	0.0000e+00	1.8127e+05
2.0000e-02	0.0000e+00	1.8130e+05
2.5000e-02	0.0000e+00	1.8132e+05
3.0000e-02	0.0000e+00	1.8134e+05
3.5000e-02	0.0000e+00	1.8136e+05
4.0000e-02	0.0000e+00	1.8143e+05
4.5000e-02	0.0000e+00	1.8148e+05
5.0000e-02	0.0000e+00	1.8153e+05
5.5000e-02	0.0000e+00	1.8158e+05
6.0000e-02	0.0000e+00	1.8162e+05
6.5000e-02	0.0000e+00	1.8166e+05
7.0000e-02	0.0000e+00	1.8170e+05
7.5000e-02	0.0000e+00	1.8173e+05
8.0000e-02	0.0000e+00	1.8176e+05
8.5000e-02	0.0000e+00	1.8179e+05
9.0000e-02	0.0000e+00	1.8182e+05
9.5000e-02	0.0000e+00	1.8187e+05
1.0000e-01	0.0000e+00	1.8192e+05
1.5000e-01	0.0000e+00	1.8233e+05
2.0000e-01	0.0000e+00	1.8274e+05
2.5000e-01	0.0000e+00	1.8316e+05
3.0000e-01	0.0000e+00	1.8359e+05
3.5000e-01	0.0000e+00	1.8401e+05
4.0000e-01	0.0000e+00	1.8443e+05
4.5000e-01	0.0000e+00	1.8484e+05
5.0000e-01	0.0000e+00	1.8526e+05
5.5000e-01	0.0000e+00	1.8567e+05
6.0000e-01	0.0000e+00	1.8607e+05
6.5000e-01	0.0000e+00	1.8647e+05
7.0000e-01	0.0000e+00	1.8685e+05
7.5000e-01	0.0000e+00	1.8725e+05
8.0000e-01	0.0000e+00	1.8766e+05
8.5000e-01	0.0000e+00	1.8807e+05
9.0000e-01	0.0000e+00	1.8849e+05
9.5000e-01	0.0000e+00	1.8890e+05
1.0000e+00	3.7303e+10	1.8932e+05
1.0139e+00	3.6441e+10	1.8944e+05
1.0281e+00	3.5518e+10	1.8955e+05
1.0424e+00	3.4632e+10	1.8967e+05
1.0569e+00	3.3755e+10	1.8980e+05
1.0717e+00	3.2989e+10	1.8992e+05
1.0866e+00	3.2298e+10	1.9004e+05
1.1018e+00	3.1585e+10	1.9017e+05
1.1171e+00	3.0892e+10	1.9030e+05
1.1327e+00	3.0226e+10	1.9043e+05
1.1485e+00	2.9510e+10	1.9056e+05
1.1645e+00	2.8822e+10	1.9070e+05
1.1807e+00	2.8129e+10	1.9083e+05
1.1972e+00	2.7467e+10	1.9097e+05
1.2139e+00	2.6852e+10	1.9111e+05
1.2308e+00	2.6234e+10	1.9125e+05
1.2479e+00	2.5613e+10	1.9139e+05
1.2653e+00	2.5027e+10	1.9154e+05
1.2830e+00	2.4422e+10	1.9169e+05
1.3009e+00	2.3834e+10	1.9184e+05
1.3190e+00	2.3249e+10	1.9199e+05
1.3374e+00	2.2679e+10	1.9214e+05
1.3560e+00	2.2130e+10	1.9230e+05
1.3749e+00	2.1596e+10	1.9246e+05
1.3941e+00	2.1072e+10	1.9262e+05
1.4135e+00	2.0569e+10	1.9278e+05
1.4332e+00	2.0081e+10	1.9295e+05
1.4532e+00	1.9604e+10	1.9311e+05
1.4735e+00	1.9126e+10	1.9328e+05
1.4940e+00	1.8680e+10	1.9346e+05
1.5148e+00	1.8241e+10	1.9363e+05
1.5359e+00	1.7826e+10	1.9381e+05
1.5573e+00	1.7400e+10	1.9399e+05
1.5791e+00	1.6995e+10	1.9417e+05
1.6011e+00	1.6575e+10	1.9435e+05
1.6234e+00	1.6163e+10	1.9454e+05
1.6460e+00	1.5769e+10	1.9473e+05
1.6690e+00	1.5427e+10	1.9492e+05
1.6922e+00	1.5053e+10	1.9512e+05
1.7158e+00	1.4710e+10	1.9531e+05
1.7397e+00	1.4342e+10	1.9551e+05
1.7640e+00	1.3991e+10	1.9572e+05
1.7886e+00	1.3640e+10	1.9592e+05
1.8135e+00	1.3306e+10	1.9613e+05
1.8388e+00	1.3002e+10	1.9634e+05
1.8644e+00	1.2699e+10	1.9656e+05
1.8904e+00	1.2398e+10	1.9678e+05
1.9167e+00	1.2073e+10	1.9700e+05
1.9435e+00	1.1790e+10	1.9722e+05
1.9706e+00	1.1501e+10	1.9745e+05
1.9980e+00	1.1241e+10	1.9768e+05
2.0259e+00	1.0997e+10	1.9791e+05
2.0541e+00	1.0713e+10	1.9815e+05
2.0828e+00	1.0422e+10	1.9839e+05
2.1118e+00	1.0154e+10	1.9863e+05
2.1412e+00	9.9191e+09	1.9888e+05
2.1711e+00	9.6696e+09	1.9913e+05
2.2013e+00	9.4442e+09	1.9938e+05
2.2320e+00	9.2186e+09	1.9964e+05
2.2631e+00	8.9904e+09	1.9990e+05
2.2947e+00	8.7750e+09	2.0016e+05
2.3267e+00	8.5392e+09	2.0043e+05
2.3591e+00	8.3304e+09	2.0070e+05
2.3920e+00	8.1293e+09	2.0098e+05
2.4253e+00	7.9292e+09	2.0126e+05
2.4591e+00	7.7448e+09	2.0154e+05
2.4934e+00	7.5670e+09	2.0183e+05
2.5282e+00	7.3806e+09	2.0212e+05
2.5634e+00	7.1987e+09	2.0217e+05
2.5991e+00	7.0262e+09	2.0191e+05
2.6354e+00	6.8589e+09	2.0208e+05
2.6721e+00	6.6841e+09	2.0235e+05
2.7094e+00	6.5176e+09	2.0266e+05
2.7471e+00	6.3520e+09	2.0297e+05
2.7854e+00	6.2007e+09	2.0329e+05
2.8242e+00	6.0571e+09	2.0362e+05
2.8636e+00	5.8965e+09	2.0395e+05
2.9035e+00	5.7567e+09	2.0428e+05
2.9440e+00	5.6220e+09	2.0462e+05
2.9850e+00	5.4853e+09	2.0497e+05
3.0266e+00	5.3445e+09	2.0531e+05
3.0688e+00	5.2125e+09	2.0567e+05
3.1116e+00	5.0841e+09	2.0602e+05
3.1550e+00	4.9666e+09	2.0639e+05
3.1990e+00	4.8564e+09	2.0676e+05
3.2436e+00	4.7399e+09	2.0713e+05
3.2888e+00	4.6362e+09	2.0751e+05
3.3346e+00	4.5127e+09	2.0789e+05
3.3811e+00	4.4161e+09	2.0828e+05
3.4282e+00	4.3140e+09	2.0867e+05
3.4760e+00	4.2197e+09	2.0907e+05
3.5245e+00	4.1200e+09	2.0948e+05
3.5736e+00	4.0235e+09	2.0989e+05
3.6234e+00	3.9239e+09	2.1031e+05
3.6739e+00	3.8338e+09	2.1073e+05
3.7251e+00	3.7414e+09	2.1116e+05
3.7771e+00	3.6491e+09	2.1159e+05
3.8297e+00	3.5617e+09	2.1203e+05
3.8831e+00	3.4779e+09	2.1248e+05
3.9372e+00	3.3940e+09	2.1293e+05
3.9921e+00	3.3148e+09	2.1339e+05
4.0478e+00	3.2300e+09	2.1386e+05
4.1042e+00	3.1565e+09	2.1433e+05
4.1614e+00	3.0780e+09	2.1481e+05
4.2194e+00	3.0061e+09	2.1529e+05
4.2782e+00	2.9374e+09	2.1578e+05
4.3379e+00	2.8684e+09	2.1628e+05
4.3983e+00	2.7992e+09	2.1679e+05
4.4596e+00	2.7357e+09	2.1730e+05
4.5218e+00	2.6724e+09	2.1782e+05
4.5848e+00	2.6100e+09	2.1835e+05
4.6487e+00	2.5547e+09	2.1888e+05
4.7135e+00	2.4872e+09	2.1942e+05
4.7792e+00	2.4317e+09	2.1997e+05
4.8459e+00	2.3761e+09	2.2052e+05
4.9134e+00	2.3200e+09	2.2109e+05
4.9819e+00	2.2670e+09	2.2166e+05
5.0513e+00	2.2113e+09	2.2223e+05
5.1218e+00	2.1552e+09	2.2282e+05
5.1932e+00	2.0996e+09	2.2341e+05
5.2655e+00	2.0484e+09	2.2396e+05
5.3389e+00	1.9958e+09	2.2450e+05
5.4134e+00	1.9467e+09	2.2511e+05
5.4888e+00	1.8983e+09	2.2573e+05
5.5653e+00	1.8531e+09	2.2636e+05
5.6429e+00	1.8062e+09	2.2700e+05
5.7216e+00	1.7627e+09	2.2765e+05
5.8013e+00	1.7175e+09	2.2831e+05
5.8822e+00	1.6737e+09	2.2898e+05
5.9642e+00	1.6336e+09	2.2965e+05
6.0473e+00	1.5940e+09	2.3033e+05
