# Energy(MeV) Phi16 Phi84
1.000000e+00 4.572160e+09 1.166593e+11
1.013939e+00 4.553983e+09 1.131038e+11
1.028073e+00 4.535715e+09 1.096564e+11
1.042404e+00 4.512014e+09 1.063169e+11
1.056935e+00 4.493780e+09 1.031358e+11
1.071668e+00 4.473539e+09 1.000328e+11
1.086606e+00 4.455743e+09 9.687356e+10
1.101753e+00 4.431726e+09 9.386724e+10
1.117111e+00 4.412656e+09 9.095875e+10
1.132683e+00 4.394450e+09 8.810846e+10
1.148472e+00 4.362776e+09 8.531667e+10
1.164481e+00 4.343210e+09 8.261089e+10
1.180713e+00 4.323627e+09 7.999074e+10
1.197171e+00 4.299703e+09 7.752087e+10
1.213859e+00 4.278591e+09 7.515434e+10
1.230780e+00 4.260020e+09 7.287624e+10
1.247936e+00 4.241354e+09 7.060969e+10
1.265332e+00 4.221672e+09 6.836252e+10
1.282970e+00 4.202437e+09 6.620417e+10
1.300854e+00 4.175418e+09 6.414800e+10
1.318987e+00 4.155676e+09 6.221004e+10
1.337373e+00 4.136629e+09 6.031149e+10
1.356015e+00 4.117486e+09 5.847462e+10
1.374917e+00 4.096429e+09 5.668307e+10
1.394083e+00 4.068770e+09 5.494346e+10
1.413516e+00 4.045108e+09 5.324475e+10
1.433219e+00 4.015903e+09 5.155022e+10
1.453198e+00 3.997252e+09 4.999419e+10
1.473454e+00 3.977114e+09 4.844603e+10
1.493993e+00 3.958735e+09 4.701842e+10
1.514819e+00 3.936476e+09 4.554419e+10
1.535935e+00 3.907181e+09 4.409060e+10
1.557345e+00 3.886346e+09 4.271770e+10
1.579053e+00 3.865409e+09 4.141250e+10
1.601064e+00 3.839506e+09 4.010172e+10
1.623382e+00 3.815566e+09 3.881324e+10
1.646012e+00 3.794112e+09 3.759293e+10
1.668956e+00 3.771529e+09 3.642667e+10
1.692220e+00 3.749824e+09 3.528821e+10
1.715809e+00 3.727947e+09 3.418167e+10
1.739726e+00 3.705967e+09 3.312287e+10
1.763977e+00 3.678487e+09 3.209555e+10
1.788566e+00 3.656059e+09 3.111091e+10
1.813498e+00 3.633117e+09 3.016016e+10
1.838777e+00 3.610753e+09 2.922000e+10
1.864409e+00 3.588287e+09 2.830898e+10
1.890397e+00 3.563484e+09 2.742622e+10
1.916748e+00 3.541304e+09 2.660387e+10
1.943467e+00 3.518723e+09 2.581799e+10
1.970558e+00 3.488156e+09 2.504997e+10
1.998026e+00 3.465112e+09 2.432091e+10
2.025878e+00 3.442369e+09 2.358254e+10
2.054117e+00 3.420463e+09 2.284862e+10
2.082751e+00 3.395562e+09 2.217374e+10
2.111783e+00 3.368926e+09 2.147944e+10
2.141220e+00 3.334488e+09 2.079917e+10
2.171068e+00 3.309907e+09 2.016124e+10
2.201331e+00 3.281432e+09 1.953026e+10
2.232016e+00 3.259662e+09 1.892446e+10
2.263130e+00 3.237798e+09 1.835757e+10
2.294676e+00 3.210654e+09 1.780663e+10
2.326663e+00 3.185801e+09 1.727207e+10
2.359095e+00 3.158900e+09 1.674441e+10
2.391980e+00 3.132631e+09 1.622397e+10
2.425323e+00 3.108109e+09 1.572690e+10
2.459130e+00 3.084320e+09 1.524657e+10
2.493409e+00 3.058419e+09 1.478395e+10
2.528166e+00 3.035838e+09 1.433627e+10
2.563407e+00 3.008970e+09 1.389946e+10
2.599140e+00 2.983653e+09 1.347541e+10
2.635371e+00 2.949788e+09 1.304062e+10
2.672106e+00 2.921197e+09 1.260227e+10
2.709354e+00 2.897829e+09 1.221057e+10
2.747121e+00 2.865439e+09 1.182441e+10
2.785414e+00 2.839938e+09 1.147742e+10
2.824241e+00 2.812321e+09 1.117542e+10
2.863610e+00 2.781223e+09 1.082992e+10
2.903527e+00 2.751477e+09 1.049921e+10
2.944000e+00 2.720523e+09 1.017156e+10
