Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	1.5791e+05
1.5000e-03	0.0000e+00	1.5795e+05
2.0000e-03	0.0000e+00	1.5797e+05
2.5000e-03	0.0000e+00	1.5799e+05
3.0000e-03	0.0000e+00	1.5801e+05
3.5000e-03	0.0000e+00	1.5802e+05
4.0000e-03	0.0000e+00	1.5803e+05
4.5000e-03	0.0000e+00	1.5804e+05
5.0000e-03	0.0000e+00	1.5805e+05
5.5000e-03	0.0000e+00	1.5806e+05
6.0000e-03	0.0000e+00	1.5806e+05
6.5000e-03	0.0000e+00	1.5807e+05
7.0000e-03	0.0000e+00	1.5808e+05
7.5000e-03	0.0000e+00	1.5808e+05
8.0000e-03	0.0000e+00	1.5809e+05
8.5000e-03	0.0000e+00	1.5809e+05
9.0000e-03	0.0000e+00	1.5810e+05
9.5000e-03	0.0000e+00	1.5810e+05
1.0000e-02	0.0000e+00	1.5811e+05
1.5000e-02	0.0000e+00	1.5814e+05
2.0000e-02	0.0000e+00	1.5817e+05
2.5000e-02	0.0000e+00	1.5818e+05
3.0000e-02	0.0000e+00	1.5820e+05
3.5000e-02	0.0000e+00	1.5822e+05
4.0000e-02	0.0000e+00	1.5828e+05
4.5000e-02	0.0000e+00	1.5832e+05
5.0000e-02	0.0000e+00	1.5837e+05
5.5000e-02	0.0000e+00	1.5841e+05
6.0000e-02	0.0000e+00	1.5844e+05
6.5000e-02	0.0000e+00	1.5848e+05
7.0000e-02	0.0000e+00	1.5851e+05
7.5000e-02	0.0000e+00	1.5854e+05
8.0000e-02	0.0000e+00	1.5857e+05
8.5000e-02	0.0000e+00	1.5859e+05
9.0000e-02	0.0000e+00	1.5862e+05
9.5000e-02	0.0000e+00	1.5866e+05
1.0000e-01	0.0000e+00	1.5871e+05
1.5000e-01	0.0000e+00	1.5906e+05
2.0000e-01	0.0000e+00	1.5942e+05
2.5000e-01	0.0000e+00	1.5978e+05
3.0000e-01	0.0000e+00	1.6015e+05
3.5000e-01	0.0000e+00	1.6052e+05
4.0000e-01	0.0000e+00	1.6088e+05
4.5000e-01	0.0000e+00	1.6124e+05
5.0000e-01	0.0000e+00	1.6160e+05
5.5000e-01	0.0000e+00	1.6196e+05
6.0000e-01	0.0000e+00	1.6231e+05
6.5000e-01	0.0000e+00	1.6265e+05
7.0000e-01	0.0000e+00	1.6299e+05
7.5000e-01	0.0000e+00	1.6333e+05
8.0000e-01	0.0000e+00	1.6369e+05
8.5000e-01	0.0000e+00	1.6405e+05
9.0000e-01	0.0000e+00	1.6441e+05
9.5000e-01	0.0000e+00	1.6477e+05
1.0000e+00	4.5722e+09	1.6513e+05
1.0139e+00	4.5540e+09	1.6523e+05
1.0281e+00	4.5357e+09	1.6534e+05
1.0424e+00	4.5120e+09	1.6544e+05
1.0569e+00	4.4938e+09	1.6555e+05
1.0717e+00	4.4735e+09	1.6565e+05
1.0866e+00	4.4557e+09	1.6576e+05
1.1018e+00	4.4317e+09	1.6587e+05
1.1171e+00	4.4127e+09	1.6598e+05
1.1327e+00	4.3944e+09	1.6610e+05
1.1485e+00	4.3628e+09	1.6621e+05
1.1645e+00	4.3432e+09	1.6633e+05
1.1807e+00	4.3236e+09	1.6645e+05
1.1972e+00	4.2997e+09	1.6656e+05
1.2139e+00	4.2786e+09	1.6669e+05
1.2308e+00	4.2600e+09	1.6681e+05
1.2479e+00	4.2414e+09	1.6693e+05
1.2653e+00	4.2217e+09	1.6706e+05
1.2830e+00	4.2024e+09	1.6719e+05
1.3009e+00	4.1754e+09	1.6732e+05
1.3190e+00	4.1557e+09	1.6745e+05
1.3374e+00	4.1366e+09	1.6759e+05
1.3560e+00	4.1175e+09	1.6772e+05
1.3749e+00	4.0964e+09	1.6786e+05
1.3941e+00	4.0688e+09	1.6800e+05
1.4135e+00	4.0451e+09	1.6814e+05
1.4332e+00	4.0159e+09	1.6828e+05
1.4532e+00	3.9973e+09	1.6843e+05
1.4735e+00	3.9771e+09	1.6857e+05
1.4940e+00	3.9587e+09	1.6872e+05
1.5148e+00	3.9365e+09	1.6888e+05
1.5359e+00	3.9072e+09	1.6903e+05
1.5573e+00	3.8863e+09	1.6919e+05
1.5791e+00	3.8654e+09	1.6934e+05
1.6011e+00	3.8395e+09	1.6950e+05
1.6234e+00	3.8156e+09	1.6967e+05
1.6460e+00	3.7941e+09	1.6983e+05
1.6690e+00	3.7715e+09	1.7000e+05
1.6922e+00	3.7498e+09	1.7017e+05
1.7158e+00	3.7279e+09	1.7034e+05
1.7397e+00	3.7060e+09	1.7051e+05
1.7640e+00	3.6785e+09	1.7069e+05
1.7886e+00	3.6561e+09	1.7087e+05
1.8135e+00	3.6331e+09	1.7105e+05
1.8388e+00	3.6108e+09	1.7123e+05
1.8644e+00	3.5883e+09	1.7142e+05
1.8904e+00	3.5635e+09	1.7161e+05
1.9167e+00	3.5413e+09	1.7180e+05
1.9435e+00	3.5187e+09	1.7199e+05
1.9706e+00	3.4882e+09	1.7219e+05
1.9980e+00	3.4651e+09	1.7239e+05
2.0259e+00	3.4424e+09	1.7259e+05
2.0541e+00	3.4205e+09	1.7280e+05
2.0828e+00	3.3956e+09	1.7301e+05
2.1118e+00	3.3689e+09	1.7322e+05
2.1412e+00	3.3345e+09	1.7343e+05
