Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	3.6578e+05
1.5000e-03	0.0000e+00	3.6587e+05
2.0000e-03	0.0000e+00	3.6594e+05
2.5000e-03	0.0000e+00	3.6598e+05
3.0000e-03	0.0000e+00	3.6602e+05
3.5000e-03	0.0000e+00	3.6605e+05
4.0000e-03	0.0000e+00	3.6608e+05
4.5000e-03	0.0000e+00	3.6611e+05
5.0000e-03	0.0000e+00	3.6613e+05
5.5000e-03	0.0000e+00	3.6615e+05
6.0000e-03	0.0000e+00	3.6616e+05
6.5000e-03	0.0000e+00	3.6618e+05
7.0000e-03	0.0000e+00	3.6620e+05
7.5000e-03	0.0000e+00	3.6621e+05
8.0000e-03	0.0000e+00	3.6622e+05
8.5000e-03	0.0000e+00	3.6624e+05
9.0000e-03	0.0000e+00	3.6625e+05
9.5000e-03	0.0000e+00	3.6626e+05
1.0000e-02	0.0000e+00	3.6627e+05
1.5000e-02	0.0000e+00	3.6635e+05
2.0000e-02	0.0000e+00	3.6642e+05
2.5000e-02	0.0000e+00	3.6648e+05
3.0000e-02	0.0000e+00	3.6653e+05
3.5000e-02	0.0000e+00	3.6657e+05
4.0000e-02	0.0000e+00	3.6663e+05
4.5000e-02	0.0000e+00	3.6669e+05
5.0000e-02	0.0000e+00	3.6674e+05
5.5000e-02	0.0000e+00	3.6680e+05
6.0000e-02	0.0000e+00	3.6686e+05
6.5000e-02	0.0000e+00	3.6693e+05
7.0000e-02	0.0000e+00	3.6700e+05
7.5000e-02	0.0000e+00	3.6707e+05
8.0000e-02	0.0000e+00	3.6713e+05
8.5000e-02	0.0000e+00	3.6720e+05
9.0000e-02	0.0000e+00	3.6726e+05
9.5000e-02	0.0000e+00	3.6733e+05
1.0000e-01	0.0000e+00	3.6740e+05
1.5000e-01	0.0000e+00	3.6809e+05
2.0000e-01	0.0000e+00	3.6880e+05
2.5000e-01	0.0000e+00	3.6950e+05
3.0000e-01	0.0000e+00	3.7021e+05
3.5000e-01	0.0000e+00	3.7092e+05
4.0000e-01	0.0000e+00	3.7163e+05
4.5000e-01	0.0000e+00	3.7233e+05
5.0000e-01	0.0000e+00	3.7295e+05
5.5000e-01	0.0000e+00	3.7354e+05
6.0000e-01	0.0000e+00	3.7423e+05
6.5000e-01	0.0000e+00	3.7494e+05
7.0000e-01	0.0000e+00	3.7563e+05
7.5000e-01	0.0000e+00	3.7633e+05
8.0000e-01	0.0000e+00	3.7704e+05
8.5000e-01	0.0000e+00	3.7774e+05
9.0000e-01	0.0000e+00	3.7845e+05
9.5000e-01	0.0000e+00	3.7915e+05
1.0000e+00	4.6664e+11	3.7986e+05
1.0139e+00	4.5242e+11	3.8005e+05
1.0281e+00	4.3863e+11	3.8025e+05
1.0424e+00	4.2527e+11	3.8045e+05
1.0569e+00	4.1254e+11	3.8065e+05
1.0717e+00	4.0013e+11	3.8086e+05
1.0866e+00	3.8749e+11	3.8107e+05
1.1018e+00	3.7547e+11	3.8128e+05
1.1171e+00	3.6384e+11	3.8150e+05
1.1327e+00	3.5243e+11	3.8171e+05
1.1485e+00	3.4127e+11	3.8194e+05
1.1645e+00	3.3044e+11	3.8216e+05
1.1807e+00	3.1996e+11	3.8239e+05
1.1972e+00	3.1008e+11	3.8263e+05
1.2139e+00	3.0062e+11	3.8286e+05
1.2308e+00	2.9150e+11	3.8310e+05
1.2479e+00	2.8244e+11	3.8335e+05
1.2653e+00	2.7345e+11	3.8359e+05
1.2830e+00	2.6482e+11	3.8384e+05
1.3009e+00	2.5659e+11	3.8410e+05
1.3190e+00	2.4884e+11	3.8435e+05
1.3374e+00	2.4125e+11	3.8462e+05
1.3560e+00	2.3390e+11	3.8488e+05
