Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	3.1352e+05
1.5000e-03	0.0000e+00	3.1360e+05
2.0000e-03	0.0000e+00	3.1366e+05
2.5000e-03	0.0000e+00	3.1370e+05
3.0000e-03	0.0000e+00	3.1373e+05
3.5000e-03	0.0000e+00	3.1376e+05
4.0000e-03	0.0000e+00	3.1378e+05
4.5000e-03	0.0000e+00	3.1380e+05
5.0000e-03	0.0000e+00	3.1382e+05
5.5000e-03	0.0000e+00	3.1384e+05
6.0000e-03	0.0000e+00	3.1385e+05
6.5000e-03	0.0000e+00	3.1386e+05
7.0000e-03	0.0000e+00	3.1388e+05
7.5000e-03	0.0000e+00	3.1389e+05
8.0000e-03	0.0000e+00	3.1390e+05
8.5000e-03	0.0000e+00	3.1391e+05
9.0000e-03	0.0000e+00	3.1392e+05
9.5000e-03	0.0000e+00	3.1393e+05
1.0000e-02	0.0000e+00	3.1394e+05
1.5000e-02	0.0000e+00	3.1401e+05
2.0000e-02	0.0000e+00	3.1407e+05
2.5000e-02	0.0000e+00	3.1412e+05
3.0000e-02	0.0000e+00	3.1416e+05
3.5000e-02	0.0000e+00	3.1420e+05
4.0000e-02	0.0000e+00	3.1425e+05
4.5000e-02	0.0000e+00	3.1430e+05
5.0000e-02	0.0000e+00	3.1435e+05
5.5000e-02	0.0000e+00	3.1440e+05
6.0000e-02	0.0000e+00	3.1445e+05
6.5000e-02	0.0000e+00	3.1451e+05
7.0000e-02	0.0000e+00	3.1457e+05
7.5000e-02	0.0000e+00	3.1463e+05
8.0000e-02	0.0000e+00	3.1468e+05
8.5000e-02	0.0000e+00	3.1474e+05
9.0000e-02	0.0000e+00	3.1480e+05
9.5000e-02	0.0000e+00	3.1485e+05
1.0000e-01	0.0000e+00	3.1491e+05
1.5000e-01	0.0000e+00	3.1551e+05
2.0000e-01	0.0000e+00	3.1611e+05
2.5000e-01	0.0000e+00	3.1672e+05
3.0000e-01	0.0000e+00	3.1733e+05
3.5000e-01	0.0000e+00	3.1793e+05
4.0000e-01	0.0000e+00	3.1854e+05
4.5000e-01	0.0000e+00	3.1915e+05
5.0000e-01	0.0000e+00	3.1968e+05
5.5000e-01	0.0000e+00	3.2019e+05
6.0000e-01	0.0000e+00	3.2078e+05
6.5000e-01	0.0000e+00	3.2138e+05
7.0000e-01	0.0000e+00	3.2198e+05
7.5000e-01	0.0000e+00	3.2258e+05
8.0000e-01	0.0000e+00	3.2318e+05
8.5000e-01	0.0000e+00	3.2379e+05
9.0000e-01	0.0000e+00	3.2440e+05
9.5000e-01	0.0000e+00	3.2500e+05
1.0000e+00	1.4921e+11	3.2561e+05
1.0139e+00	1.4576e+11	3.2577e+05
1.0281e+00	1.4207e+11	3.2594e+05
1.0424e+00	1.3853e+11	3.2612e+05
1.0569e+00	1.3502e+11	3.2629e+05
1.0717e+00	1.3195e+11	3.2647e+05
1.0866e+00	1.2919e+11	3.2665e+05
1.1018e+00	1.2634e+11	3.2683e+05
1.1171e+00	1.2357e+11	3.2701e+05
1.1327e+00	1.2090e+11	3.2720e+05
1.1485e+00	1.1804e+11	3.2739e+05
1.1645e+00	1.1529e+11	3.2759e+05
1.1807e+00	1.1252e+11	3.2779e+05
1.1972e+00	1.0987e+11	3.2799e+05
1.2139e+00	1.0741e+11	3.2819e+05
1.2308e+00	1.0494e+11	3.2840e+05
1.2479e+00	1.0245e+11	3.2860e+05
1.2653e+00	1.0011e+11	3.2881e+05
1.2830e+00	9.7686e+10	3.2903e+05
1.3009e+00	9.5335e+10	3.2925e+05
1.3190e+00	9.2995e+10	3.2947e+05
1.3374e+00	9.0718e+10	3.2969e+05
1.3560e+00	8.8520e+10	3.2992e+05
1.3749e+00	8.6385e+10	3.3015e+05
1.3941e+00	8.4288e+10	3.3038e+05
1.4135e+00	8.2274e+10	3.3062e+05
1.4332e+00	8.0323e+10	3.3086e+05
1.4532e+00	7.8417e+10	3.3110e+05
1.4735e+00	7.6505e+10	3.3135e+05
1.4940e+00	7.4721e+10	3.3160e+05
1.5148e+00	7.2963e+10	3.3184e+05
1.5359e+00	7.1303e+10	3.3202e+05
1.5573e+00	6.9599e+10	3.3220e+05
1.5791e+00	6.7980e+10	3.3241e+05
1.6011e+00	6.6298e+10	3.3267e+05
1.6234e+00	6.4652e+10	3.3294e+05
1.6460e+00	6.3075e+10	3.3321e+05
1.6690e+00	6.1709e+10	3.3349e+05
1.6922e+00	6.0211e+10	3.3377e+05
1.7158e+00	5.8841e+10	3.3406e+05
