# Energy(MeV) Sferica_Fluence(cm^-2*MeV^-1)
5.000000e-02 7.615996e+11
5.100225e-02 7.461377e+11
5.202458e-02 7.314310e+11
5.306741e-02 7.170352e+11
5.413114e-02 7.028092e+11
5.521620e-02 6.887872e+11
5.632300e-02 6.751962e+11
5.745199e-02 6.621181e+11
5.860361e-02 6.486333e+11
5.977832e-02 6.358405e+11
6.097657e-02 6.232336e+11
6.219884e-02 6.109349e+11
6.344561e-02 5.989099e+11
6.471737e-02 5.869723e+11
6.601463e-02 5.751039e+11
6.733789e-02 5.632706e+11
6.868767e-02 5.519772e+11
7.006451e-02 5.412180e+11
7.146895e-02 5.305828e+11
7.290154e-02 5.201267e+11
7.436284e-02 5.097480e+11
7.585344e-02 4.995486e+11
7.737392e-02 4.896351e+11
7.892487e-02 4.797213e+11
8.050691e-02 4.701035e+11
8.212067e-02 4.606839e+11
8.376677e-02 4.514471e+11
8.544587e-02 4.424078e+11
8.715862e-02 4.335906e+11
8.890571e-02 4.247658e+11
9.068782e-02 4.163378e+11
9.250565e-02 4.078822e+11
9.435992e-02 3.998127e+11
9.625136e-02 3.917459e+11
9.818071e-02 3.841120e+11
1.001487e-01 3.763719e+11
1.021562e-01 3.687268e+11
1.042039e-01 3.614098e+11
1.062927e-01 3.541998e+11
1.084233e-01 3.471009e+11
1.105966e-01 3.401721e+11
1.128135e-01 3.332843e+11
1.150749e-01 3.265761e+11
1.173816e-01 3.199526e+11
1.197345e-01 3.134176e+11
1.221345e-01 3.071785e+11
1.245827e-01 3.009466e+11
1.270800e-01 2.948789e+11
1.296273e-01 2.888597e+11
1.322256e-01 2.829812e+11
1.348761e-01 2.773292e+11
1.375797e-01 2.717215e+11
1.403374e-01 2.662362e+11
1.431505e-01 2.609605e+11
1.460199e-01 2.557255e+11
1.489469e-01 2.506612e+11
1.519325e-01 2.456596e+11
1.549780e-01 2.407222e+11
1.580845e-01 2.358832e+11
1.612533e-01 2.311405e+11
1.644856e-01 2.264960e+11
1.677827e-01 2.219220e+11
1.711459e-01 2.174694e+11
1.745765e-01 2.130648e+11
1.780759e-01 2.087945e+11
1.816454e-01 2.046324e+11
1.852865e-01 2.005103e+11
1.890005e-01 1.964263e+11
1.927890e-01 1.925604e+11
1.966535e-01 1.886915e+11
2.005954e-01 1.848947e+11
2.046163e-01 1.811618e+11
2.087178e-01 1.774736e+11
2.129015e-01 1.739327e+11
2.171691e-01 1.704180e+11
2.215223e-01 1.669887e+11
2.259627e-01 1.636680e+11
2.304921e-01 1.603518e+11
2.351123e-01 1.571749e+11
2.398251e-01 1.540626e+11
2.446324e-01 1.509792e+11
2.495360e-01 1.479066e+11
2.545379e-01 1.448024e+11
2.596401e-01 1.419269e+11
2.648446e-01 1.390524e+11
2.701534e-01 1.361972e+11
2.755686e-01 1.334453e+11
2.810923e-01 1.307444e+11
2.867268e-01 1.281961e+11
2.924742e-01 1.256684e+11
2.983368e-01 1.231395e+11
3.043170e-01 1.207045e+11
3.104170e-01 1.183005e+11
3.166393e-01 1.160092e+11
3.229863e-01 1.137099e+11
3.294605e-01 1.113711e+11
3.360645e-01 1.091208e+11
3.428009e-01 1.068711e+11
3.496723e-01 1.046792e+11
3.566815e-01 1.025876e+11
3.638311e-01 1.004256e+11
3.711241e-01 9.836959e+10
3.785633e-01 9.638310e+10
3.861515e-01 9.439540e+10
3.938919e-01 9.248641e+10
4.017874e-01 9.061176e+10
4.098412e-01 8.871871e+10
4.180565e-01 8.692843e+10
4.264364e-01 8.510798e+10
