Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	1.0603e+05
1.5000e-03	0.0000e+00	1.0606e+05
2.0000e-03	0.0000e+00	1.0607e+05
2.5000e-03	0.0000e+00	1.0608e+05
3.0000e-03	0.0000e+00	1.0609e+05
3.5000e-03	0.0000e+00	1.0610e+05
4.0000e-03	0.0000e+00	1.0611e+05
4.5000e-03	0.0000e+00	1.0612e+05
5.0000e-03	0.0000e+00	1.0612e+05
5.5000e-03	0.0000e+00	1.0613e+05
6.0000e-03	0.0000e+00	1.0613e+05
6.5000e-03	0.0000e+00	1.0614e+05
7.0000e-03	0.0000e+00	1.0614e+05
7.5000e-03	0.0000e+00	1.0614e+05
8.0000e-03	0.0000e+00	1.0615e+05
8.5000e-03	0.0000e+00	1.0615e+05
9.0000e-03	0.0000e+00	1.0615e+05
9.5000e-03	0.0000e+00	1.0616e+05
1.0000e-02	0.0000e+00	1.0616e+05
1.5000e-02	0.0000e+00	1.0618e+05
2.0000e-02	0.0000e+00	1.0620e+05
2.5000e-02	0.0000e+00	1.0621e+05
3.0000e-02	0.0000e+00	1.0622e+05
3.5000e-02	0.0000e+00	1.0624e+05
4.0000e-02	0.0000e+00	1.0627e+05
4.5000e-02	0.0000e+00	1.0630e+05
5.0000e-02	1.9040e+11	1.0633e+05
5.1002e-02	1.8653e+11	1.0634e+05
5.2025e-02	1.8286e+11	1.0634e+05
5.3067e-02	1.7926e+11	1.0635e+05
5.4131e-02	1.7570e+11	1.0636e+05
5.5216e-02	1.7220e+11	1.0636e+05
5.6323e-02	1.6880e+11	1.0637e+05
5.7452e-02	1.6553e+11	1.0637e+05
5.8604e-02	1.6216e+11	1.0638e+05
5.9778e-02	1.5896e+11	1.0638e+05
6.0977e-02	1.5581e+11	1.0639e+05
6.2199e-02	1.5273e+11	1.0639e+05
6.3446e-02	1.4973e+11	1.0640e+05
6.4717e-02	1.4674e+11	1.0640e+05
6.6015e-02	1.4378e+11	1.0641e+05
6.7338e-02	1.4082e+11	1.0642e+05
6.8688e-02	1.3799e+11	1.0642e+05
7.0065e-02	1.3530e+11	1.0643e+05
7.1469e-02	1.3265e+11	1.0643e+05
7.2902e-02	1.3003e+11	1.0644e+05
