# Energy(MeV) Phi16 Phi84
5.000000e-02 1.585239e+11 2.267884e+11
5.100225e-02 1.554174e+11 2.220774e+11
5.202458e-02 1.524187e+11 2.174604e+11
5.306741e-02 1.495110e+11 2.129019e+11
5.413114e-02 1.467060e+11 2.084314e+11
5.521620e-02 1.440271e+11 2.040683e+11
5.632300e-02 1.413734e+11 1.997966e+11
5.745199e-02 1.387775e+11 1.955988e+11
5.860361e-02 1.361292e+11 1.914889e+11
5.977832e-02 1.335765e+11 1.874722e+11
6.097657e-02 1.310681e+11 1.835844e+11
6.219884e-02 1.285496e+11 1.797405e+11
6.344561e-02 1.261370e+11 1.759964e+11
6.471737e-02 1.237694e+11 1.723529e+11
6.601463e-02 1.214642e+11 1.687845e+11
6.733789e-02 1.190608e+11 1.653404e+11
6.868767e-02 1.168176e+11 1.620911e+11
7.006451e-02 1.145781e+11 1.587207e+11
7.146895e-02 1.124109e+11 1.553827e+11
7.290154e-02 1.102982e+11 1.520770e+11
7.436284e-02 1.082400e+11 1.488474e+11
7.585344e-02 1.061174e+11 1.457104e+11
7.737392e-02 1.041925e+11 1.425841e+11
7.892487e-02 1.022767e+11 1.395427e+11
8.050691e-02 1.003443e+11 1.365482e+11
8.212067e-02 9.841305e+10 1.336608e+11
8.376677e-02 9.655036e+10 1.308786e+11
8.544587e-02 9.472474e+10 1.281980e+11
8.715862e-02 9.286110e+10 1.255217e+11
8.890571e-02 9.112491e+10 1.229096e+11
9.068782e-02 8.943312e+10 1.203678e+11
9.250565e-02 8.772890e+10 1.178865e+11
9.435992e-02 8.605480e+10 1.154466e+11
9.625136e-02 8.442136e+10 1.130569e+11
9.818071e-02 8.281871e+10 1.107077e+11
1.001487e-01 8.124627e+10 1.083737e+11
1.021562e-01 7.970632e+10 1.060769e+11
1.042039e-01 7.820133e+10 1.038222e+11
1.062927e-01 7.673305e+10 1.016151e+11
1.084233e-01 7.524836e+10 9.950204e+10
1.105966e-01 7.384104e+10 9.742792e+10
1.128135e-01 7.241957e+10 9.537696e+10
1.150749e-01 7.100101e+10 9.333760e+10
1.173816e-01 6.960007e+10 9.138680e+10
1.197345e-01 6.830074e+10 8.945303e+10
1.221345e-01 6.703575e+10 8.756148e+10
1.245827e-01 6.574164e+10 8.570969e+10
1.270800e-01 6.447868e+10 8.396028e+10
1.296273e-01 6.322036e+10 8.224517e+10
1.322256e-01 6.199504e+10 8.053199e+10
1.348761e-01 6.079208e+10 7.883170e+10
1.375797e-01 5.962226e+10 7.717701e+10
1.403374e-01 5.846915e+10 7.554717e+10
1.431505e-01 5.732649e+10 7.394567e+10
1.460199e-01 5.620599e+10 7.243618e+10
1.489469e-01 5.507781e+10 7.089947e+10
1.519325e-01 5.402007e+10 6.942622e+10
1.549780e-01 5.299650e+10 6.796576e+10
1.580845e-01 5.194870e+10 6.651426e+10
1.612533e-01 5.091268e+10 6.509548e+10
1.644856e-01 4.988959e+10 6.374664e+10
1.677827e-01 4.890609e+10 6.239478e+10
1.711459e-01 4.801196e+10 6.112291e+10
1.745765e-01 4.710926e+10 5.987885e+10
1.780759e-01 4.620379e+10 5.863136e+10
1.816454e-01 4.531134e+10 5.742284e+10
1.852865e-01 4.441311e+10 5.629317e+10
1.890005e-01 4.356019e+10 5.509988e+10
1.927890e-01 4.269180e+10 5.394170e+10
1.966535e-01 4.183174e+10 5.285989e+10
