Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	9.3146e+04
1.5000e-03	0.0000e+00	9.3166e+04
2.0000e-03	0.0000e+00	9.3180e+04
2.5000e-03	0.0000e+00	9.3191e+04
3.0000e-03	0.0000e+00	9.3200e+04
3.5000e-03	0.0000e+00	9.3207e+04
4.0000e-03	0.0000e+00	9.3214e+04
4.5000e-03	0.0000e+00	9.3219e+04
5.0000e-03	0.0000e+00	9.3225e+04
5.5000e-03	0.0000e+00	9.3229e+04
6.0000e-03	0.0000e+00	9.3233e+04
6.5000e-03	0.0000e+00	9.3237e+04
7.0000e-03	0.0000e+00	9.3241e+04
7.5000e-03	0.0000e+00	9.3244e+04
8.0000e-03	0.0000e+00	9.3248e+04
8.5000e-03	0.0000e+00	9.3251e+04
9.0000e-03	0.0000e+00	9.3253e+04
9.5000e-03	0.0000e+00	9.3256e+04
1.0000e-02	0.0000e+00	9.3259e+04
1.5000e-02	0.0000e+00	9.3278e+04
2.0000e-02	0.0000e+00	9.3292e+04
2.5000e-02	0.0000e+00	9.3303e+04
3.0000e-02	0.0000e+00	9.3312e+04
3.5000e-02	0.0000e+00	9.3324e+04
4.0000e-02	0.0000e+00	9.3356e+04
4.5000e-02	0.0000e+00	9.3385e+04
5.0000e-02	1.5852e+11	9.3410e+04
5.1002e-02	1.5542e+11	9.3415e+04
5.2025e-02	1.5242e+11	9.3420e+04
5.3067e-02	1.4951e+11	9.3425e+04
5.4131e-02	1.4671e+11	9.3430e+04
5.5216e-02	1.4403e+11	9.3435e+04
5.6323e-02	1.4137e+11	9.3439e+04
5.7452e-02	1.3878e+11	9.3444e+04
5.8604e-02	1.3613e+11	9.3449e+04
5.9778e-02	1.3358e+11	9.3454e+04
6.0977e-02	1.3107e+11	9.3459e+04
6.2199e-02	1.2855e+11	9.3463e+04
6.3446e-02	1.2614e+11	9.3468e+04
6.4717e-02	1.2377e+11	9.3473e+04
6.6015e-02	1.2146e+11	9.3478e+04
6.7338e-02	1.1906e+11	9.3483e+04
6.8688e-02	1.1682e+11	9.3488e+04
7.0065e-02	1.1458e+11	9.3492e+04
7.1469e-02	1.1241e+11	9.3497e+04
7.2902e-02	1.1030e+11	9.3502e+04
7.4363e-02	1.0824e+11	9.3507e+04
7.5853e-02	1.0612e+11	9.3512e+04
7.7374e-02	1.0419e+11	9.3516e+04
7.8925e-02	1.0228e+11	9.3521e+04
8.0507e-02	1.0034e+11	9.3526e+04
8.2121e-02	9.8413e+10	9.3531e+04
8.3767e-02	9.6550e+10	9.3536e+04
8.5446e-02	9.4725e+10	9.3540e+04
8.7159e-02	9.2861e+10	9.3545e+04
8.8906e-02	9.1125e+10	9.3550e+04
9.0688e-02	8.9433e+10	9.3558e+04
9.2506e-02	8.7729e+10	9.3568e+04
9.4360e-02	8.6055e+10	9.3578e+04
9.6251e-02	8.4421e+10	9.3587e+04
9.8181e-02	8.2819e+10	9.3597e+04
1.0015e-01	8.1246e+10	9.3606e+04
1.0216e-01	7.9706e+10	9.3616e+04
1.0420e-01	7.8201e+10	9.3626e+04
1.0629e-01	7.6733e+10	9.3635e+04
1.0842e-01	7.5248e+10	9.3645e+04
1.1060e-01	7.3841e+10	9.3654e+04
1.1281e-01	7.2420e+10	9.3664e+04
1.1507e-01	7.1001e+10	9.3674e+04
