Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	1.6301e+05
1.5000e-03	0.0000e+00	1.6305e+05
2.0000e-03	0.0000e+00	1.6308e+05
2.5000e-03	0.0000e+00	1.6310e+05
3.0000e-03	0.0000e+00	1.6312e+05
3.5000e-03	0.0000e+00	1.6313e+05
4.0000e-03	0.0000e+00	1.6314e+05
4.5000e-03	0.0000e+00	1.6316e+05
5.0000e-03	0.0000e+00	1.6317e+05
5.5000e-03	0.0000e+00	1.6317e+05
6.0000e-03	0.0000e+00	1.6318e+05
6.5000e-03	0.0000e+00	1.6319e+05
7.0000e-03	0.0000e+00	1.6320e+05
7.5000e-03	0.0000e+00	1.6320e+05
8.0000e-03	0.0000e+00	1.6321e+05
8.5000e-03	0.0000e+00	1.6321e+05
9.0000e-03	0.0000e+00	1.6322e+05
9.5000e-03	0.0000e+00	1.6322e+05
1.0000e-02	0.0000e+00	1.6323e+05
1.5000e-02	0.0000e+00	1.6327e+05
2.0000e-02	0.0000e+00	1.6330e+05
2.5000e-02	0.0000e+00	1.6332e+05
3.0000e-02	0.0000e+00	1.6334e+05
3.5000e-02	0.0000e+00	1.6336e+05
4.0000e-02	0.0000e+00	1.6339e+05
4.5000e-02	0.0000e+00	1.6341e+05
5.0000e-02	7.6160e+11	1.6344e+05
5.1002e-02	7.4614e+11	1.6344e+05
5.2025e-02	7.3143e+11	1.6345e+05
5.3067e-02	7.1704e+11	1.6345e+05
5.4131e-02	7.0281e+11	1.6346e+05
5.5216e-02	6.8879e+11	1.6346e+05
5.6323e-02	6.7520e+11	1.6347e+05
5.7452e-02	6.6212e+11	1.6348e+05
5.8604e-02	6.4863e+11	1.6348e+05
5.9778e-02	6.3584e+11	1.6349e+05
6.0977e-02	6.2323e+11	1.6349e+05
6.2199e-02	6.1093e+11	1.6350e+05
6.3446e-02	5.9891e+11	1.6351e+05
6.4717e-02	5.8697e+11	1.6352e+05
6.6015e-02	5.7510e+11	1.6353e+05
6.7338e-02	5.6327e+11	1.6354e+05
6.8688e-02	5.5198e+11	1.6355e+05
7.0065e-02	5.4122e+11	1.6355e+05
7.1469e-02	5.3058e+11	1.6356e+05
7.2902e-02	5.2013e+11	1.6357e+05
7.4363e-02	5.0975e+11	1.6358e+05
7.5853e-02	4.9955e+11	1.6359e+05
7.7374e-02	4.8964e+11	1.6360e+05
7.8925e-02	4.7972e+11	1.6361e+05
8.0507e-02	4.7010e+11	1.6362e+05
8.2121e-02	4.6068e+11	1.6363e+05
8.3767e-02	4.5145e+11	1.6364e+05
8.5446e-02	4.4241e+11	1.6365e+05
8.7159e-02	4.3359e+11	1.6366e+05
8.8906e-02	4.2477e+11	1.6367e+05
9.0688e-02	4.1634e+11	1.6367e+05
9.2506e-02	4.0788e+11	1.6368e+05
9.4360e-02	3.9981e+11	1.6370e+05
9.6251e-02	3.9175e+11	1.6371e+05
9.8181e-02	3.8411e+11	1.6372e+05
1.0015e-01	3.7637e+11	1.6373e+05
1.0216e-01	3.6873e+11	1.6374e+05
1.0420e-01	3.6141e+11	1.6376e+05
1.0629e-01	3.5420e+11	1.6377e+05
1.0842e-01	3.4710e+11	1.6378e+05
1.1060e-01	3.4017e+11	1.6380e+05
1.1281e-01	3.3328e+11	1.6381e+05
1.1507e-01	3.2658e+11	1.6382e+05
