# Energy(MeV) Phi16 Phi84
5.000000e-02 6.340957e+11 9.071538e+11
5.100225e-02 6.216698e+11 8.883097e+11
5.202458e-02 6.096750e+11 8.698415e+11
5.306741e-02 5.980440e+11 8.516075e+11
5.413114e-02 5.868239e+11 8.337255e+11
5.521620e-02 5.761085e+11 8.162734e+11
5.632300e-02 5.654936e+11 7.991864e+11
5.745199e-02 5.551099e+11 7.823951e+11
5.860361e-02 5.445167e+11 7.659555e+11
5.977832e-02 5.343058e+11 7.498886e+11
6.097657e-02 5.242722e+11 7.343375e+11
6.219884e-02 5.141986e+11 7.189621e+11
6.344561e-02 5.045478e+11 7.039856e+11
6.471737e-02 4.950774e+11 6.894115e+11
6.601463e-02 4.858567e+11 6.751382e+11
6.733789e-02 4.762431e+11 6.613617e+11
6.868767e-02 4.672702e+11 6.483642e+11
7.006451e-02 4.583125e+11 6.348829e+11
7.146895e-02 4.496437e+11 6.215307e+11
7.290154e-02 4.411929e+11 6.083082e+11
7.436284e-02 4.329602e+11 5.953894e+11
7.585344e-02 4.244694e+11 5.828416e+11
7.737392e-02 4.167701e+11 5.703364e+11
7.892487e-02 4.091067e+11 5.581707e+11
8.050691e-02 4.013773e+11 5.461928e+11
8.212067e-02 3.936522e+11 5.346434e+11
8.376677e-02 3.862014e+11 5.235145e+11
8.544587e-02 3.788990e+11 5.127920e+11
8.715862e-02 3.714444e+11 5.020869e+11
8.890571e-02 3.644996e+11 4.916383e+11
9.068782e-02 3.577325e+11 4.814712e+11
9.250565e-02 3.509156e+11 4.715461e+11
9.435992e-02 3.442192e+11 4.617864e+11
9.625136e-02 3.376854e+11 4.522277e+11
9.818071e-02 3.312748e+11 4.428309e+11
1.001487e-01 3.249851e+11 4.334948e+11
1.021562e-01 3.188253e+11 4.243077e+11
1.042039e-01 3.128053e+11 4.152887e+11
1.062927e-01 3.069322e+11 4.064604e+11
1.084233e-01 3.009934e+11 3.980082e+11
1.105966e-01 2.953642e+11 3.897117e+11
1.128135e-01 2.896783e+11 3.815078e+11
1.150749e-01 2.840040e+11 3.733504e+11
1.173816e-01 2.784003e+11 3.655472e+11
1.197345e-01 2.732030e+11 3.578121e+11
1.221345e-01 2.681430e+11 3.502459e+11
1.245827e-01 2.629666e+11 3.428388e+11
