Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	1.4425e+05
1.5000e-03	0.0000e+00	1.4429e+05
2.0000e-03	0.0000e+00	1.4431e+05
2.5000e-03	0.0000e+00	1.4433e+05
3.0000e-03	0.0000e+00	1.4435e+05
3.5000e-03	0.0000e+00	1.4436e+05
4.0000e-03	0.0000e+00	1.4437e+05
4.5000e-03	0.0000e+00	1.4438e+05
5.0000e-03	0.0000e+00	1.4439e+05
5.5000e-03	0.0000e+00	1.4439e+05
6.0000e-03	0.0000e+00	1.4440e+05
6.5000e-03	0.0000e+00	1.4441e+05
7.0000e-03	0.0000e+00	1.4441e+05
7.5000e-03	0.0000e+00	1.4442e+05
8.0000e-03	0.0000e+00	1.4442e+05
8.5000e-03	0.0000e+00	1.4443e+05
9.0000e-03	0.0000e+00	1.4443e+05
9.5000e-03	0.0000e+00	1.4444e+05
1.0000e-02	0.0000e+00	1.4444e+05
1.5000e-02	0.0000e+00	1.4448e+05
2.0000e-02	0.0000e+00	1.4450e+05
2.5000e-02	0.0000e+00	1.4452e+05
3.0000e-02	0.0000e+00	1.4454e+05
3.5000e-02	0.0000e+00	1.4456e+05
4.0000e-02	0.0000e+00	1.4458e+05
4.5000e-02	0.0000e+00	1.4461e+05
5.0000e-02	6.3410e+11	1.4463e+05
5.1002e-02	6.2167e+11	1.4463e+05
5.2025e-02	6.0968e+11	1.4464e+05
5.3067e-02	5.9804e+11	1.4464e+05
5.4131e-02	5.8682e+11	1.4465e+05
5.5216e-02	5.7611e+11	1.4465e+05
5.6323e-02	5.6549e+11	1.4466e+05
5.7452e-02	5.5511e+11	1.4466e+05
5.8604e-02	5.4452e+11	1.4467e+05
5.9778e-02	5.3431e+11	1.4467e+05
6.0977e-02	5.2427e+11	1.4468e+05
6.2199e-02	5.1420e+11	1.4468e+05
6.3446e-02	5.0455e+11	1.4469e+05
6.4717e-02	4.9508e+11	1.4470e+05
6.6015e-02	4.8586e+11	1.4471e+05
6.7338e-02	4.7624e+11	1.4472e+05
6.8688e-02	4.6727e+11	1.4472e+05
7.0065e-02	4.5831e+11	1.4473e+05
7.1469e-02	4.4964e+11	1.4474e+05
7.2902e-02	4.4119e+11	1.4475e+05
7.4363e-02	4.3296e+11	1.4475e+05
7.5853e-02	4.2447e+11	1.4476e+05
7.7374e-02	4.1677e+11	1.4477e+05
7.8925e-02	4.0911e+11	1.4478e+05
8.0507e-02	4.0138e+11	1.4479e+05
8.2121e-02	3.9365e+11	1.4479e+05
8.3767e-02	3.8620e+11	1.4480e+05
8.5446e-02	3.7890e+11	1.4481e+05
8.7159e-02	3.7144e+11	1.4482e+05
8.8906e-02	3.6450e+11	1.4483e+05
9.0688e-02	3.5773e+11	1.4484e+05
9.2506e-02	3.5092e+11	1.4485e+05
9.4360e-02	3.4422e+11	1.4486e+05
9.6251e-02	3.3769e+11	1.4487e+05
9.8181e-02	3.3127e+11	1.4488e+05
1.0015e-01	3.2499e+11	1.4489e+05
1.0216e-01	3.1883e+11	1.4490e+05
1.0420e-01	3.1281e+11	1.4491e+05
1.0629e-01	3.0693e+11	1.4492e+05
1.0842e-01	3.0099e+11	1.4493e+05
1.1060e-01	2.9536e+11	1.4494e+05
1.1281e-01	2.8968e+11	1.4496e+05
1.1507e-01	2.8400e+11	1.4497e+05
1.1738e-01	2.7840e+11	1.4498e+05
1.1973e-01	2.7320e+11	1.4499e+05
1.2213e-01	2.6814e+11	1.4501e+05
1.2458e-01	2.6297e+11	1.4502e+05
1.2708e-01	2.5791e+11	1.4504e+05
1.2963e-01	2.5288e+11	1.4505e+05
1.3223e-01	2.4798e+11	1.4507e+05
1.3488e-01	2.4317e+11	1.4508e+05
1.3758e-01	2.3849e+11	1.4509e+05
1.4034e-01	2.3388e+11	1.4511e+05
1.4315e-01	2.2931e+11	1.4512e+05
1.4602e-01	2.2482e+11	1.4514e+05
1.4895e-01	2.2031e+11	1.4516e+05
1.5193e-01	2.1608e+11	1.4517e+05
1.5498e-01	2.1199e+11	1.4519e+05
1.5808e-01	2.0779e+11	1.4521e+05
1.6125e-01	2.0365e+11	1.4522e+05
1.6449e-01	1.9956e+11	1.4524e+05
1.6778e-01	1.9562e+11	1.4526e+05
1.7115e-01	1.9205e+11	1.4528e+05
1.7458e-01	1.8844e+11	1.4530e+05
1.7808e-01	1.8482e+11	1.4532e+05
1.8165e-01	1.8125e+11	1.4534e+05
1.8529e-01	1.7765e+11	1.4536e+05
1.8900e-01	1.7424e+11	1.4538e+05
1.9279e-01	1.7077e+11	1.4540e+05
