# Energy(MeV) Fluence_16th Fluence_84th
5.000000e-02 1.662956e+11 2.517872e+11
5.168383e-02 1.607352e+11 2.416943e+11
5.342437e-02 1.556656e+11 2.321748e+11
5.522353e-02 1.503813e+11 2.229423e+11
5.708327e-02 1.452541e+11 2.142976e+11
5.900565e-02 1.405447e+11 2.057417e+11
6.099276e-02 1.360724e+11 1.977448e+11
6.304680e-02 1.313747e+11 1.900421e+11
6.517000e-02 1.268392e+11 1.827601e+11
6.736471e-02 1.226025e+11 1.756452e+11
6.963333e-02 1.181408e+11 1.690193e+11
7.197835e-02 1.137791e+11 1.624315e+11
7.440234e-02 1.099121e+11 1.561459e+11
7.690796e-02 1.060786e+11 1.500186e+11
7.949797e-02 1.023236e+11 1.442470e+11
8.217519e-02 9.865934e+10 1.388066e+11
8.494258e-02 9.514083e+10 1.335248e+11
8.780317e-02 9.201561e+10 1.280897e+11
9.076008e-02 8.881123e+10 1.232692e+11
9.381658e-02 8.545065e+10 1.185083e+11
9.697601e-02 8.217205e+10 1.140526e+11
1.002418e-01 7.927710e+10 1.097279e+11
1.036177e-01 7.643906e+10 1.052982e+11
1.071072e-01 7.329158e+10 1.013447e+11
1.107142e-01 7.090661e+10 9.734250e+10
1.144426e-01 6.831288e+10 9.339429e+10
1.182967e-01 6.590432e+10 8.971348e+10
1.222805e-01 6.331818e+10 8.627514e+10
1.263985e-01 6.095116e+10 8.285767e+10
1.306552e-01 5.872253e+10 7.965930e+10
1.350553e-01 5.636650e+10 7.649662e+10
1.396035e-01 5.406395e+10 7.335460e+10
1.443048e-01 5.191932e+10 7.033918e+10
1.491646e-01 4.980504e+10 6.732456e+10
1.541879e-01 4.789034e+10 6.455945e+10
1.593805e-01 4.597123e+10 6.192342e+10
1.647479e-01 4.424463e+10 5.944909e+10
1.702960e-01 4.242257e+10 5.702771e+10
1.760310e-01 4.074338e+10 5.477287e+10
1.819592e-01 3.897872e+10 5.257438e+10
1.880869e-01 3.747190e+10 5.048003e+10
1.944211e-01 3.591489e+10 4.841990e+10
2.009685e-01 3.444479e+10 4.647329e+10
2.077365e-01 3.293632e+10 4.455086e+10
2.147324e-01 3.153019e+10 4.275618e+10
2.219638e-01 3.026610e+10 4.098649e+10
2.294388e-01 2.897818e+10 3.922303e+10
2.371656e-01 2.772112e+10 3.758076e+10
2.451525e-01 2.647088e+10 3.597907e+10
2.534084e-01 2.527983e+10 3.443289e+10
2.619424e-01 2.416959e+10 3.294784e+10
2.707637e-01 2.302857e+10 3.154552e+10
2.798822e-01 2.193916e+10 3.016355e+10
2.893077e-01 2.092369e+10 2.883633e+10
2.990506e-01 1.991792e+10 2.760292e+10
3.091216e-01 1.896481e+10 2.639974e+10
3.195318e-01 1.805357e+10 2.523127e+10
3.302926e-01 1.722431e+10 2.412655e+10
3.414157e-01 1.640006e+10 2.304828e+10
3.529135e-01 1.559746e+10 2.203322e+10
3.647984e-01 1.485343e+10 2.104037e+10
3.770836e-01 1.415023e+10 2.008961e+10
3.897825e-01 1.348649e+10 1.917660e+10
4.029091e-01 1.280816e+10 1.829591e+10
4.164778e-01 1.217858e+10 1.742562e+10
4.305033e-01 1.154717e+10 1.660486e+10
4.450013e-01 1.097914e+10 1.582841e+10
4.599874e-01 1.040915e+10 1.505734e+10
4.754783e-01 9.897200e+09 1.432675e+10
4.914908e-01 9.396358e+09 1.363644e+10
5.080426e-01 8.919784e+09 1.295999e+10
5.251518e-01 8.464022e+09 1.231585e+10
5.428371e-01 8.030503e+09 1.168841e+10
5.611181e-01 7.591441e+09 1.110043e+10
5.800147e-01 7.158591e+09 1.051782e+10
5.995476e-01 6.783145e+09 9.975957e+09
6.197384e-01 6.399127e+09 9.457442e+09
6.406091e-01 6.061838e+09 8.956075e+09
6.621827e-01 5.685879e+09 8.469591e+09
6.844828e-01 5.363035e+09 7.996518e+09
7.075339e-01 5.069136e+09 7.551521e+09
7.313613e-01 4.769178e+09 7.142571e+09
7.559911e-01 4.448145e+09 6.743361e+09
7.814504e-01 4.157754e+09 6.357545e+09
8.077670e-01 3.890511e+09 5.997018e+09
8.349699e-01 3.644653e+09 5.650220e+09
8.630889e-01 3.405617e+09 5.316299e+09
8.921549e-01 3.194530e+09 4.996111e+09
9.221997e-01 2.989029e+09 4.696976e+09
9.532563e-01 2.778733e+09 4.408105e+09
9.853588e-01 2.579399e+09 4.134067e+09
1.018542e+00 2.412237e+09 3.887999e+09
1.052844e+00 2.252777e+09 3.643848e+09
1.088300e+00 2.066825e+09 3.408116e+09
1.124950e+00 1.918322e+09 3.185832e+09
