Energy_MeV	Diff_Fluence
1.000000e-01	1.099319e+10
1.051025e-01	1.035955e+10
1.104654e-01	9.761941e+09
1.161020e-01	9.198308e+09
1.220261e-01	8.666727e+09
1.282526e-01	8.165381e+09
1.347967e-01	7.692556e+09
1.416748e-01	7.246633e+09
1.489038e-01	6.826089e+09
1.565017e-01	6.429483e+09
1.644872e-01	6.055458e+09
1.728802e-01	5.702735e+09
1.817015e-01	5.370104e+09
1.909729e-01	5.056427e+09
2.007174e-01	4.760629e+09
2.109591e-01	4.481697e+09
2.217234e-01	4.218674e+09
2.330369e-01	3.970657e+09
2.449277e-01	3.736798e+09
2.574252e-01	3.516291e+09
2.705605e-01	3.308382e+09
2.843659e-01	3.112355e+09
2.988758e-01	2.927537e+09
3.141261e-01	2.753292e+09
3.301545e-01	2.589022e+09
3.470007e-01	2.434161e+09
3.647066e-01	2.288176e+09
3.833159e-01	2.150564e+09
4.028748e-01	2.020849e+09
4.234316e-01	1.898586e+09
4.450374e-01	1.783352e+09
4.677456e-01	1.674748e+09
4.916125e-01	1.572400e+09
5.166972e-01	1.475952e+09
5.430619e-01	1.385071e+09
5.707719e-01	1.299442e+09
5.998957e-01	1.218768e+09
6.305057e-01	1.142768e+09
6.626775e-01	1.071178e+09
6.964909e-01	1.003748e+09
7.320296e-01	9.402438e+08
7.693817e-01	8.804429e+08
8.086397e-01	8.241361e+08
8.499009e-01	7.711263e+08
8.932674e-01	7.212272e+08
9.388468e-01	6.742632e+08
9.867518e-01	6.300690e+08
1.037101e+00	5.884882e+08
1.090020e+00	5.493737e+08
1.145638e+00	5.125864e+08
1.204095e+00	4.779954e+08
1.265535e+00	4.454771e+08
1.330109e+00	4.149150e+08
1.397978e+00	3.861990e+08
1.469311e+00	3.592255e+08
1.544283e+00	3.338967e+08
1.623081e+00	3.101201e+08
1.705899e+00	2.878089e+08
1.792943e+00	2.668807e+08
1.884429e+00	2.472580e+08
1.980583e+00	2.288678e+08
2.081643e+00	2.116409e+08
2.187859e+00	1.955121e+08
2.299496e+00	1.804199e+08
2.416828e+00	1.663061e+08
2.540148e+00	1.531159e+08
2.669760e+00	1.407974e+08
2.805986e+00	1.293015e+08
2.949162e+00	1.185819e+08
3.099645e+00	1.085947e+08
3.257805e+00	9.929841e+07
3.424036e+00	9.065386e+07
3.598749e+00	8.262382e+07
3.782377e+00	7.517305e+07
3.975374e+00	6.826816e+07
4.178219e+00	6.187745e+07
4.391414e+00	5.597084e+07
4.615488e+00	5.051977e+07
4.850995e+00	4.549709e+07
5.098519e+00	4.087696e+07
5.358673e+00	3.663481e+07
5.632102e+00	3.274723e+07
5.919482e+00	2.919192e+07
6.221526e+00	2.594760e+07
6.538982e+00	2.299399e+07
6.872636e+00	2.031173e+07
7.223315e+00	1.788233e+07
7.591888e+00	1.568815e+07
7.979267e+00	1.371234e+07
8.386413e+00	1.193884e+07
8.814333e+00	1.035230e+07
9.264088e+00	8.938091e+06
9.736792e+00	7.682299e+06
1.023362e+01	6.571671e+06
1.075579e+01	5.593626e+06
1.130461e+01	4.736237e+06
1.188143e+01	3.988226e+06
1.248769e+01	3.338951e+06
1.312487e+01	2.778408e+06
1.379458e+01	2.297222e+06
1.449845e+01	1.886638e+06
1.523824e+01	1.538524e+06
1.601578e+01	1.245355e+06
1.683299e+01	1.000209e+06
1.769190e+01	7.992045e+05
1.859464e+01	6.385398e+05
1.954344e+01	5.101736e+05
2.054065e+01	4.076130e+05
2.158874e+01	3.256702e+05
2.269032e+01	2.602004e+05
2.384810e+01	2.078921e+05
2.506496e+01	1.660994e+05
2.634391e+01	1.327083e+05
2.768812e+01	1.060298e+05
2.910091e+01	8.471457e+04
3.058580e+01	6.768433e+04
3.214645e+01	5.407769e+04
3.378674e+01	4.320641e+04
3.551072e+01	3.452059e+04
3.732267e+01	2.758089e+04
3.922708e+01	2.203628e+04
4.122865e+01	1.760631e+04
4.333236e+01	1.406690e+04
4.554341e+01	1.123902e+04
4.786728e+01	8.979627e+03
5.030973e+01	7.174445e+03
5.287681e+01	5.732160e+03
5.557487e+01	4.579819e+03
5.841060e+01	3.659135e+03
6.139102e+01	2.923536e+03
6.452353e+01	2.335815e+03
6.781586e+01	1.866244e+03
7.127620e+01	1.491071e+03
7.491309e+01	1.191320e+03
7.873557e+01	9.518280e+02
8.275308e+01	7.604812e+02
8.697559e+01	6.076011e+02
9.141356e+01	4.854545e+02
9.607797e+01	3.878632e+02
1.009804e+02	3.098907e+02
1.061330e+02	2.475931e+02
1.115484e+02	1.978193e+02
1.172402e+02	1.580515e+02
1.232225e+02	1.262783e+02
1.295099e+02	1.008925e+02
1.361182e+02	8.060996e+01
1.430637e+02	6.440487e+01
1.503636e+02	5.145751e+01
1.580360e+02	4.111296e+01
1.660998e+02	3.284799e+01
1.745751e+02	2.624453e+01
1.834829e+02	2.096857e+01
1.928452e+02	1.675324e+01
2.026852e+02	1.338532e+01
2.130273e+02	1.069446e+01
2.238971e+02	8.544544e+00
2.353216e+02	6.826827e+00
2.473289e+02	5.454424e+00
2.599490e+02	4.357917e+00
2.732130e+02	3.481841e+00
2.871538e+02	2.781884e+00
3.018059e+02	2.222639e+00
3.172057e+02	1.775820e+00
3.333913e+02	1.418826e+00
3.504027e+02	1.133598e+00
3.682821e+02	9.057098e-01
3.870739e+02	7.236342e-01
4.068245e+02	5.781614e-01
4.275829e+02	4.619331e-01
4.494005e+02	3.690703e-01
4.723313e+02	2.948758e-01
4.964322e+02	2.355967e-01
5.217629e+02	1.882345e-01
5.483860e+02	1.503936e-01
5.763676e+02	1.201598e-01
6.057770e+02	9.600398e-02
6.366871e+02	7.670422e-02
6.691743e+02	6.128431e-02
7.033192e+02	4.896427e-02
7.392063e+02	3.912094e-02
7.769246e+02	3.125643e-02
8.165675e+02	2.497292e-02
8.582332e+02	1.995259e-02
9.020249e+02	1.594151e-02
9.480511e+02	1.273677e-02
9.964258e+02	1.017629e-02
1.047269e+03	8.130541e-03
1.100706e+03	6.496052e-03
