event,start date,end date,start index,end index,data points,duration (hr),Peak Flux,Fluence
1,1974-07-03 16:15:00,1974-07-09 08:55:00,771,2411,1640,136.66666666666666,2577.297046335558,161017436.47932592
2,1974-09-11 02:00:00,1974-09-17 02:10:00,20760,22490,1730,144.16666666666666,602.8164268459024,69335619.03172228
3,1974-09-19 23:05:00,1974-09-27 10:05:00,23317,25465,2148,179.0,967.2795023554718,43921216.80281649
4,1974-11-05 16:10:00,1974-11-07 01:25:00,36770,37169,399,33.25,77.47544883260052,1866506.9050031344
5,1976-04-30 21:20:00,1976-05-03 00:20:00,192928,193540,612,51.0,304.9726313390398,11426355.76015013
6,1976-08-22 12:55:00,1976-08-23 19:40:00,225659,226028,369,30.75,23.563262974181143,686843.1892395606
7,1977-09-09 03:20:00,1977-09-15 16:35:00,335848,337735,1887,157.25,24.611271333416543,4103967.3526687524
8,1977-09-16 22:15:00,1977-09-22 09:35:00,338091,339667,1576,131.33333333333334,1170.3230437688435,76063221.68770353
9,1977-09-24 06:15:00,1977-09-27 10:15:00,340203,341115,912,76.0,314.6667022967588,17104923.66586323
10,1977-10-12 04:10:00,1977-10-13 07:10:00,345362,345686,324,27.0,15.951402442023364,442663.7065660343
11,1977-11-22 10:20:00,1977-11-26 02:25:00,357244,358301,1057,88.08333333333333,875.0726177908989,44693579.047332674
12,1978-01-03 12:15:00,1978-01-04 12:45:00,369363,369657,294,24.5,45.038127041869785,912749.2210382071
13,1978-02-13 08:15:00,1978-02-18 21:45:00,381123,382725,1602,133.5,4707.6462627378505,361736241.2604587
14,1978-04-11 14:40:00,1978-04-14 21:00:00,397616,398556,940,78.33333333333333,232.55072512698268,11357326.420228688
15,1978-04-17 07:55:00,1978-04-18 12:15:00,399263,399603,340,28.333333333333332,15.19067841070937,671479.6319843085
16,1978-04-20 01:55:00,1978-05-05 12:10:00,400055,404498,4443,370.25,4541.438780842537,454076826.2971786
17,1978-05-06 15:25:00,1978-05-09 19:15:00,404825,405735,910,75.83333333333333,585.3567849047656,16414292.726983259
18,1978-05-31 12:30:00,1978-06-02 23:15:00,411990,412695,705,58.75,251.8471503688265,7123183.009103443
19,1978-06-23 08:50:00,1978-06-28 06:30:00,418570,419982,1412,117.66666666666667,236.0265318784175,17031552.317666557
20,1978-07-12 15:45:00,1978-07-15 14:10:00,424125,424970,845,70.41666666666667,143.42610614335683,6701376.957329255
21,1978-09-23 10:35:00,1978-09-29 09:45:00,445087,446805,1718,143.16666666666666,5923.996644804606,586838296.4482427
22,1978-11-10 04:55:00,1978-11-13 13:20:00,458843,459808,965,80.41666666666667,145.83602462391818,9150542.51025263
23,1978-12-12 00:15:00,1978-12-15 12:20:00,468003,469012,1009,84.08333333333333,16.311517942226512,1091713.9542002564
24,1979-02-17 19:15:00,1979-02-20 13:35:00,487527,488323,796,66.33333333333333,122.68198546514198,2665315.8026820263
